file	ev	rnd	team	kind	x	y	d2_own	d2_enemy	mw	mh
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	0	0	builder_bot	10	4	2	37	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	0	1	builder_bot	13	12	8	85	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	1	0	builder_bot	13	5	8	29	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	1	1	builder_bot	12	9	2	37	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	2	0	builder_bot	12	5	5	26	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	2	1	builder_bot	10	12	5	82	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	3	0	builder_bot	11	2	1	64	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	3	1	builder_bot	11	9	1	36	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	4	0	builder_bot	11	5	4	25	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	4	1	harvester	16	11	26	89	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	5	1	conveyor	15	12	20	97	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	5	0	harvester	16	6	34	41	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	6	0	builder_bot	10	2	2	65	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	6	1	gunner	15	7	25	32	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	7	1	conveyor	16	12	29	106	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	7	0	conveyor	16	5	29	50	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	7	1	harvester	16	8	29	50	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	7	1	harvester	5	12	40	117	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	7	0	sentinel	10	7	17	10	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	8	0	harvester	16	3	25	74	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	8	1	conveyor	15	9	17	52	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	8	1	conveyor	6	11	26	89	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	9	0	harvester	17	3	36	85	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	10	1	conveyor	14	12	13	90	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	10	1	conveyor	15	8	20	41	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	10	1	conveyor	6	12	29	106	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	10	1	conveyor	10	11	2	65	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	DEATH	10	1	gunner	15	7	25	32	25	15
1c839a02-4452-4fe8-aff9-713950f4e11f_game_1.replay26	BUILD	11	1	conveyor	14	9	10	45	25	15
