Update available: 2.3.6 -> 2.3.7. Run: pip install --upgrade fcode
Running match: _v131loki14off vs _probe_border_raw
  Map: antler.map26  Seed: 7102  Replay: /dev/null  TLE: 10ms
Completed turn 0
BRAW r=1 unit=4 pos=(6,11) alive
BRAW r=2 unit=4 pos=(6,10) alive
BRAW r=2 unit=6 pos=(7,11) alive
BRAW r=3 unit=4 pos=(6,9) alive
BRAW r=3 unit=6 pos=(7,10) alive
BRAW r=3 unit=8 pos=(6,11) alive
BRAW r=4 unit=4 pos=(6,8) alive
BRAW r=4 unit=6 pos=(7,9) alive
BRAW r=4 unit=8 pos=(6,10) alive
BRAW r=4 unit=10 pos=(7,11) alive
BRAW r=5 unit=4 pos=(6,7) alive
BRAW r=5 unit=6 pos=(7,8) alive
BRAW r=5 unit=8 pos=(6,9) alive
BRAW r=5 unit=10 pos=(7,10) alive
BRAW r=5 unit=12 pos=(6,11) alive
BRAW r=6 unit=4 pos=(6,6) alive
BRAW r=6 unit=6 pos=(7,7) alive
BRAW r=6 unit=8 pos=(6,8) alive
BRAW r=6 unit=10 pos=(7,9) alive
BRAW r=6 unit=12 pos=(6,10) alive
BRAW r=6 unit=14 pos=(7,11) alive
BRAW r=7 unit=4 pos=(6,7) alive
BRAW r=7 unit=6 pos=(7,6) alive
BRAW r=7 unit=8 pos=(6,9) alive
BRAW r=7 unit=10 pos=(7,8) alive
BRAW r=7 unit=12 pos=(7,10) alive
BRAW r=7 unit=14 pos=(8,11) alive
BRAW r=7 unit=16 pos=(6,11) alive
BRAW r=8 unit=4 pos=(6,6) alive
BRAW r=8 unit=6 pos=(7,7) alive
BRAW r=8 unit=8 pos=(6,8) alive
BRAW r=8 unit=10 pos=(7,9) alive
BRAW r=8 unit=12 pos=(7,11) alive
BRAW r=8 unit=14 pos=(8,10) alive
BRAW r=8 unit=16 pos=(6,10) alive
BRAW r=9 unit=4 pos=(6,7) alive
BRAW r=9 unit=6 pos=(7,8) alive
BRAW r=9 unit=8 pos=(6,9) alive
BRAW r=9 unit=10 pos=(7,10) alive
BRAW r=9 unit=12 pos=(8,11) alive
BRAW r=9 unit=14 pos=(8,9) alive
BRAW r=9 unit=16 pos=(6,11) alive
BRAW r=10 unit=4 pos=(6,6) alive
BRAW r=10 unit=6 pos=(7,7) alive
BRAW r=10 unit=8 pos=(6,8) alive
BRAW r=10 unit=10 pos=(7,9) alive
BRAW r=10 unit=12 pos=(8,10) alive
BRAW r=10 unit=14 pos=(8,8) alive
BRAW r=10 unit=16 pos=(6,10) alive
BRAW r=11 unit=4 pos=(6,7) alive
BRAW r=11 unit=6 pos=(7,8) alive
BRAW r=11 unit=8 pos=(6,9) alive
BRAW r=11 unit=10 pos=(7,10) alive
BRAW r=11 unit=12 pos=(8,9) alive
BRAW r=11 unit=14 pos=(8,7) alive
BRAW r=11 unit=16 pos=(6,10) alive
BRAW r=12 unit=4 pos=(6,8) alive
BRAW r=12 unit=6 pos=(7,7) alive
BRAW r=12 unit=8 pos=(7,9) alive
BRAW r=12 unit=10 pos=(7,11) alive
BRAW r=12 unit=12 pos=(8,8) alive
BRAW r=12 unit=14 pos=(8,6) alive
BRAW r=12 unit=16 pos=(6,9) alive
BRAW r=13 unit=4 pos=(6,7) alive
BRAW r=13 unit=6 pos=(7,8) alive
BRAW r=13 unit=8 pos=(7,10) alive
