file	ev	rnd	team	kind	x	y	d2_own	d2_enemy	mw	mh
_v171late160ammo__antler__952.json	BUILD	0	0	builder_bot	6	6	4	36	14	18
_v171late160ammo__antler__952.json	BUILD	0	1	builder_bot	6	11	1	49	14	18
_v171late160ammo__antler__952.json	BUILD	1	0	builder_bot	5	6	5	37	14	18
_v171late160ammo__antler__952.json	BUILD	1	1	builder_bot	6	14	4	100	14	18
_v171late160ammo__antler__952.json	BUILD	2	0	builder_bot	8	4	4	68	14	18
_v171late160ammo__antler__952.json	BUILD	2	1	builder_bot	5	14	5	101	14	18
_v171late160ammo__antler__952.json	BUILD	3	0	builder_bot	5	6	5	37	14	18
_v171late160ammo__antler__952.json	BUILD	3	1	builder_bot	8	12	4	68	14	18
_v171late160ammo__antler__952.json	BUILD	3	1	harvester	7	15	10	122	14	18
_v171late160ammo__antler__952.json	BUILD	4	0	builder_bot	5	5	2	50	14	18
_v171late160ammo__antler__952.json	BUILD	4	1	builder_bot	5	13	2	82	14	18
_v171late160ammo__antler__952.json	BUILD	4	1	harvester	5	16	17	145	14	18
_v171late160ammo__antler__952.json	BUILD	5	1	barrier	6	6	36	4	14	18
_v171late160ammo__antler__952.json	BUILD	5	1	conveyor	7	14	5	101	14	18
_v171late160ammo__antler__952.json	BUILD	5	0	harvester	7	2	5	101	14	18
_v171late160ammo__antler__952.json	BUILD	5	0	sentinel	5	6	5	37	14	18
_v171late160ammo__antler__952.json	BUILD	5	1	sentinel	5	14	5	101	14	18
_v171late160ammo__antler__952.json	BUILD	6	1	sentinel	7	7	26	10	14	18
_v171late160ammo__antler__952.json	BUILD	6	1	conveyor	6	16	16	144	14	18
_v171late160ammo__antler__952.json	BUILD	6	0	harvester	3	7	18	34	14	18
_v171late160ammo__antler__952.json	BUILD	7	0	sentinel	4	9	29	13	14	18
_v171late160ammo__antler__952.json	BUILD	7	0	conveyor	7	3	2	82	14	18
_v171late160ammo__antler__952.json	BUILD	8	1	conveyor	6	15	9	121	14	18
_v171late160ammo__antler__952.json	BUILD	8	0	conveyor	3	6	13	45	14	18
_v171late160ammo__antler__952.json	BUILD	10	0	conveyor	3	5	10	58	14	18
_v171late160ammo__antler__952.json	BUILD	12	0	conveyor	3	4	9	73	14	18
_v171late160ammo__antler__952.json	BUILD	14	0	conveyor	4	4	4	68	14	18
_v171late160ammo__antler__952.json	BUILD	16	0	conveyor	5	4	1	65	14	18
_v171late160ammo__antler__952.json	BUILD	30	1	conveyor	6	14	4	100	14	18
_v171late160ammo__antler__952.json	BUILD	960	1	barrier	8	5	53	5	14	18
_v171late160ammo__antler__952.json	BUILD	961	0	barrier	8	12	68	4	14	18
_v171late160ammo__antler__952.json	BUILD	962	0	barrier	7	11	50	2	14	18
_v171late160ammo__antler__952.json	BUILD	964	1	barrier	7	6	37	5	14	18
_v171late160ammo__antler__952.json	BUILD	968	0	barrier	6	11	49	1	14	18
_v171late160ammo__antler__952.json	BUILD	969	0	harvester	5	1	10	122	14	18
_v171late160ammo__antler__952.json	BUILD	970	1	harvester	3	10	13	45	14	18
_v171late160ammo__antler__952.json	BUILD	978	0	harvester	9	0	25	153	14	18
_v171late160ammo__antler__952.json	BUILD	978	1	sentinel	7	8	17	17	14	18
_v171late160ammo__antler__952.json	BUILD	984	0	gunner	6	9	25	9	14	18
_v171late160ammo__antler__952.json	BUILD	986	1	gunner	5	8	17	17	14	18
_v171late160ammo__antler__952.json	BUILD	994	0	barrier	5	13	82	2	14	18
_v171late160ammo__antler__952.json	BUILD	996	1	gunner	6	8	16	16	14	18
_v171late160ammo__antler__956.json	BUILD	0	0	builder_bot	5	6	5	37	14	18
_v171late160ammo__antler__956.json	BUILD	0	1	builder_bot	7	14	5	101	14	18
_v171late160ammo__antler__956.json	BUILD	1	0	builder_bot	8	4	4	68	14	18
_v171late160ammo__antler__956.json	BUILD	1	1	builder_bot	6	14	4	100	14	18
_v171late160ammo__antler__956.json	BUILD	2	0	builder_bot	5	5	2	50	14	18
_v171late160ammo__antler__956.json	BUILD	2	1	builder_bot	5	14	5	101	14	18
_v171late160ammo__antler__956.json	BUILD	3	0	builder_bot	8	6	8	40	14	18
_v171late160ammo__antler__956.json	BUILD	3	1	builder_bot	8	12	4	68	14	18
_v171late160ammo__antler__956.json	BUILD	3	1	harvester	7	15	10	122	14	18
_v171late160ammo__antler__956.json	BUILD	4	0	builder_bot	8	3	5	85	14	18
_v171late160ammo__antler__956.json	BUILD	4	1	builder_bot	5	14	5	101	14	18
_v171late160ammo__antler__956.json	BUILD	4	0	harvester	7	2	5	101	14	18
_v171late160ammo__antler__956.json	BUILD	4	1	harvester	5	16	17	145	14	18
_v171late160ammo__antler__956.json	BUILD	5	1	conveyor	7	14	5	101	14	18
_v171late160ammo__antler__956.json	BUILD	6	0	conveyor	7	3	2	82	14	18
_v171late160ammo__antler__956.json	BUILD	6	0	harvester	5	1	10	122	14	18
_v171late160ammo__antler__956.json	BUILD	6	1	conveyor	6	16	16	144	14	18
_v171late160ammo__antler__956.json	BUILD	6	1	sentinel	4	13	5	85	14	18
_v171late160ammo__antler__956.json	BUILD	7	0	sentinel	4	10	40	8	14	18
_v171late160ammo__antler__956.json	BUILD	8	1	sentinel	7	10	5	37	14	18
_v171late160ammo__antler__956.json	BUILD	8	0	conveyor	5	2	5	101	14	18
_v171late160ammo__antler__956.json	BUILD	8	1	conveyor	6	15	9	121	14	18
_v171late160ammo__antler__956.json	BUILD	9	0	harvester	3	7	18	34	14	18
_v171late160ammo__antler__956.json	BUILD	11	0	conveyor	4	7	13	29	14	18
_v171late160ammo__antler__956.json	BUILD	13	0	conveyor	4	6	8	40	14	18
_v171late160ammo__antler__956.json	DEATH	13	0	sentinel	4	10	40	8	14	18
_v171late160ammo__antler__956.json	BUILD	15	1	conveyor	6	14	4	100	14	18
_v171late160ammo__antler__956.json	BUILD	16	0	barrier	6	11	49	1	14	18
_v171late160ammo__antler__956.json	BUILD	17	0	barrier	5	12	65	1	14	18
_v171late160ammo__antler__956.json	BUILD	17	0	conveyor	5	3	2	82	14	18
_v171late160ammo__antler__956.json	BUILD	17	0	conveyor	5	6	5	37	14	18
_v171late160ammo__antler__956.json	BUILD	20	0	conveyor	5	4	1	65	14	18
_v171late160ammo__antler__956.json	BUILD	20	0	conveyor	5	5	2	50	14	18
_v171late160ammo__antler__956.json	BUILD	25	0	sentinel	8	3	5	85	14	18
_v171late160ammo__antler__956.json	DEATH	30	1	builder_bot	8	6	40	8	14	18
_v171late160ammo__antler__956.json	BUILD	36	0	barrier	5	13	82	2	14	18
_v171late160ammo__antler__956.json	BUILD	42	0	barrier	8	13	85	5	14	18
_v171late160ammo__antler__956.json	BUILD	48	0	sentinel	8	14	104	8	14	18
_v171late160ammo__antler__956.json	BUILD	52	1	harvester	12	15	45	157	14	18
_v171late160ammo__antler__956.json	BUILD	55	1	conveyor	11	15	34	146	14	18
_v171late160ammo__antler__956.json	BUILD	55	0	gunner	7	7	10	26	14	18
_v171late160ammo__antler__956.json	BUILD	57	1	conveyor	11	14	29	125	14	18
_v171late160ammo__antler__956.json	BUILD	59	1	conveyor	11	13	26	106	14	18
_v171late160ammo__antler__956.json	BUILD	61	1	conveyor	11	12	25	89	14	18
_v171late160ammo__antler__956.json	DEATH	61	1	sentinel	7	10	5	37	14	18
_v171late160ammo__antler__956.json	BUILD	63	1	conveyor	11	11	26	74	14	18
_v171late160ammo__antler__956.json	BUILD	65	1	conveyor	10	11	17	65	14	18
_v171late160ammo__antler__956.json	BUILD	67	1	conveyor	9	11	10	58	14	18
_v171late160ammo__antler__956.json	BUILD	72	0	harvester	9	0	25	153	14	18
_v171late160ammo__antler__956.json	BUILD	74	0	conveyor	8	0	20	148	14	18
_v171late160ammo__antler__956.json	BUILD	76	0	conveyor	7	0	17	145	14	18
_v171late160ammo__antler__956.json	BUILD	78	1	barrier	8	5	53	5	14	18
_v171late160ammo__antler__956.json	BUILD	79	1	barrier	7	6	37	5	14	18
_v171late160ammo__antler__956.json	DEATH	79	1	builder_bot	8	6	40	8	14	18
_v171late160ammo__antler__956.json	BUILD	80	0	conveyor	6	0	16	144	14	18
_v171late160ammo__antler__956.json	BUILD	81	1	sentinel	5	14	5	101	14	18
_v171late160ammo__antler__956.json	BUILD	82	0	conveyor	6	1	9	121	14	18
_v171late160ammo__antler__956.json	DEATH	83	1	barrier	8	5	53	5	14	18
_v171late160ammo__antler__956.json	BUILD	84	0	conveyor	6	2	4	100	14	18
_v171late160ammo__antler__956.json	BUILD	88	0	conveyor	6	3	1	81	14	18
_v171late160ammo__antler__956.json	DEATH	88	0	sentinel	8	14	104	8	14	18
_v171late160ammo__antler__956.json	DEATH	90	1	barrier	7	6	37	5	14	18
_v171late160ammo__antler__956.json	DEATH	94	0	builder_bot	6	14	100	4	14	18
_v171late160ammo__antler__956.json	BUILD	98	0	harvester	12	3	37	117	14	18
_v171late160ammo__antler__956.json	DEATH	98	0	builder_bot	7	14	101	5	14	18
_v171late160ammo__antler__956.json	BUILD	100	0	conveyor	11	3	26	106	14	18
_v171late160ammo__antler__956.json	BUILD	101	0	harvester	12	2	40	136	14	18
