file	ev	rnd	team	kind	x	y	d2_own	d2_enemy	mw	mh
_v146gunaxis__antler__702.json	BUILD	0	0	builder_bot	8	4	4	68	14	18
_v146gunaxis__antler__702.json	BUILD	0	1	builder_bot	5	14	5	101	14	18
_v146gunaxis__antler__702.json	BUILD	1	0	builder_bot	5	5	2	50	14	18
_v146gunaxis__antler__702.json	BUILD	1	1	builder_bot	8	12	4	68	14	18
_v146gunaxis__antler__702.json	BUILD	2	0	builder_bot	8	3	5	85	14	18
_v146gunaxis__antler__702.json	BUILD	2	1	builder_bot	5	14	5	101	14	18
_v146gunaxis__antler__702.json	BUILD	3	0	builder_bot	5	5	2	50	14	18
_v146gunaxis__antler__702.json	BUILD	3	1	builder_bot	8	11	5	53	14	18
_v146gunaxis__antler__702.json	BUILD	4	0	builder_bot	7	6	5	37	14	18
_v146gunaxis__antler__702.json	BUILD	4	1	builder_bot	5	13	2	82	14	18
_v146gunaxis__antler__702.json	BUILD	4	0	harvester	7	2	5	101	14	18
_v146gunaxis__antler__702.json	BUILD	4	1	harvester	5	16	17	145	14	18
_v146gunaxis__antler__702.json	BUILD	5	0	builder_bot	6	6	4	36	14	18
_v146gunaxis__antler__702.json	BUILD	5	1	builder_bot	5	12	1	65	14	18
_v146gunaxis__antler__702.json	BUILD	5	1	harvester	7	15	10	122	14	18
_v146gunaxis__antler__702.json	BUILD	5	0	launcher	8	6	8	40	14	18
_v146gunaxis__antler__702.json	BUILD	5	1	launcher	5	14	5	101	14	18
_v146gunaxis__antler__702.json	BUILD	6	0	conveyor	7	3	2	82	14	18
_v146gunaxis__antler__702.json	BUILD	6	1	conveyor	6	16	16	144	14	18
_v146gunaxis__antler__702.json	BUILD	6	1	sentinel	4	13	5	85	14	18
_v146gunaxis__antler__702.json	BUILD	7	0	harvester	5	1	10	122	14	18
_v146gunaxis__antler__702.json	BUILD	7	1	conveyor	7	14	5	101	14	18
_v146gunaxis__antler__702.json	BUILD	7	0	harvester	3	7	18	34	14	18
_v146gunaxis__antler__702.json	BUILD	8	0	barrier	8	12	68	4	14	18
_v146gunaxis__antler__702.json	BUILD	8	1	conveyor	6	15	9	121	14	18
_v146gunaxis__antler__702.json	BUILD	9	0	barrier	7	11	50	2	14	18
_v146gunaxis__antler__702.json	BUILD	9	0	conveyor	5	2	5	101	14	18
_v146gunaxis__antler__702.json	BUILD	9	0	conveyor	4	7	13	29	14	18
_v146gunaxis__antler__702.json	BUILD	10	1	conveyor	6	14	4	100	14	18
_v146gunaxis__antler__702.json	BUILD	11	0	conveyor	5	3	2	82	14	18
_v146gunaxis__antler__702.json	BUILD	11	0	conveyor	4	6	8	40	14	18
_v146gunaxis__antler__702.json	BUILD	13	0	conveyor	5	4	1	65	14	18
_v146gunaxis__antler__702.json	BUILD	13	0	conveyor	5	6	5	37	14	18
_v146gunaxis__antler__702.json	BUILD	15	0	conveyor	5	5	2	50	14	18
_v146gunaxis__antler__702.json	BUILD	17	1	barrier	6	6	36	4	14	18
_v146gunaxis__antler__702.json	BUILD	19	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	19	0	barrier	5	12	65	1	14	18
_v146gunaxis__antler__702.json	BUILD	21	0	gunner	3	8	25	25	14	18
_v146gunaxis__antler__702.json	BUILD	26	1	harvester	3	10	13	45	14	18
_v146gunaxis__antler__702.json	BUILD	28	1	conveyor	3	11	10	58	14	18
_v146gunaxis__antler__702.json	BUILD	30	1	conveyor	3	12	9	73	14	18
_v146gunaxis__antler__702.json	DEATH	31	1	harvester	3	10	13	45	14	18
_v146gunaxis__antler__702.json	BUILD	32	1	conveyor	3	13	10	90	14	18
_v146gunaxis__antler__702.json	BUILD	34	0	harvester	9	0	25	153	14	18
_v146gunaxis__antler__702.json	BUILD	34	1	conveyor	3	14	13	109	14	18
_v146gunaxis__antler__702.json	DEATH	34	1	conveyor	3	11	10	58	14	18
_v146gunaxis__antler__702.json	BUILD	36	0	conveyor	8	0	20	148	14	18
_v146gunaxis__antler__702.json	BUILD	36	1	conveyor	4	14	8	104	14	18
_v146gunaxis__antler__702.json	BUILD	38	0	conveyor	8	1	13	125	14	18
_v146gunaxis__antler__702.json	BUILD	38	1	conveyor	4	15	13	125	14	18
_v146gunaxis__antler__702.json	BUILD	40	0	conveyor	8	2	8	104	14	18
_v146gunaxis__antler__702.json	BUILD	42	0	conveyor	8	3	5	85	14	18
_v146gunaxis__antler__702.json	DEATH	42	0	builder_bot	7	10	37	5	14	18
_v146gunaxis__antler__702.json	BUILD	44	0	conveyor	8	4	4	68	14	18
_v146gunaxis__antler__702.json	BUILD	45	1	conveyor	5	15	10	122	14	18
_v146gunaxis__antler__702.json	BUILD	46	0	harvester	12	2	40	136	14	18
_v146gunaxis__antler__702.json	DEATH	46	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	48	0	conveyor	11	2	29	125	14	18
_v146gunaxis__antler__702.json	BUILD	50	0	conveyor	11	3	26	106	14	18
_v146gunaxis__antler__702.json	DEATH	50	0	barrier	5	12	65	1	14	18
_v146gunaxis__antler__702.json	BUILD	52	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	52	0	conveyor	10	3	17	97	14	18
_v146gunaxis__antler__702.json	BUILD	53	0	barrier	5	12	65	1	14	18
_v146gunaxis__antler__702.json	BUILD	54	0	conveyor	10	4	16	80	14	18
_v146gunaxis__antler__702.json	DEATH	54	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	55	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	56	0	conveyor	10	5	17	65	14	18
_v146gunaxis__antler__702.json	BUILD	58	0	conveyor	10	6	20	52	14	18
_v146gunaxis__antler__702.json	BUILD	58	0	sentinel	6	7	9	25	14	18
_v146gunaxis__antler__702.json	DEATH	58	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	60	0	conveyor	9	6	13	45	14	18
_v146gunaxis__antler__702.json	DEATH	61	1	builder_bot	5	6	37	5	14	18
_v146gunaxis__antler__702.json	BUILD	63	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	63	0	conveyor	7	6	5	37	14	18
_v146gunaxis__antler__702.json	DEATH	68	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	69	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	71	0	gunner	3	6	13	45	14	18
_v146gunaxis__antler__702.json	BUILD	72	1	sentinel	3	9	18	34	14	18
_v146gunaxis__antler__702.json	DEATH	74	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	DEATH	74	1	builder_bot	4	7	29	13	14	18
_v146gunaxis__antler__702.json	BUILD	75	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	DEATH	79	0	gunner	3	6	13	45	14	18
_v146gunaxis__antler__702.json	BUILD	80	0	harvester	3	10	45	13	14	18
_v146gunaxis__antler__702.json	DEATH	80	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	81	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	83	0	conveyor	4	10	40	8	14	18
_v146gunaxis__antler__702.json	BUILD	85	0	conveyor	4	9	29	13	14	18
_v146gunaxis__antler__702.json	DEATH	86	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	DEATH	86	1	sentinel	3	9	18	34	14	18
_v146gunaxis__antler__702.json	BUILD	87	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	87	0	conveyor	4	8	20	20	14	18
_v146gunaxis__antler__702.json	DEATH	92	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	93	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	97	0	sentinel	4	11	53	5	14	18
_v146gunaxis__antler__702.json	BUILD	98	1	gunner	5	8	17	17	14	18
_v146gunaxis__antler__702.json	DEATH	98	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	99	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	DEATH	106	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	107	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	DEATH	110	0	conveyor	4	8	20	20	14	18
_v146gunaxis__antler__702.json	DEATH	112	0	gunner	3	8	25	25	14	18
_v146gunaxis__antler__702.json	BUILD	113	0	sentinel	3	6	13	45	14	18
_v146gunaxis__antler__702.json	DEATH	114	1	gunner	5	8	17	17	14	18
_v146gunaxis__antler__702.json	DEATH	115	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	118	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	DEATH	122	1	builder_bot	5	8	17	17	14	18
_v146gunaxis__antler__702.json	DEATH	123	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	124	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	DEATH	129	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	130	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	DEATH	135	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	136	0	barrier	6	11	49	1	14	18
_v146gunaxis__antler__702.json	BUILD	138	0	harvester	9	17	178	34	14	18
