file	ev	rnd	team	kind	x	y	d2_own	d2_enemy	mw	mh
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	0	0	builder_bot	1	16	5	365	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	0	1	builder_bot	13	3	2	242	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	1	0	builder_bot	4	16	8	296	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	1	1	builder_bot	16	4	8	296	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	1	0	conveyor	1	15	2	338	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	2	0	builder_bot	4	13	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	2	1	builder_bot	15	1	2	338	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	2	0	conveyor	4	15	5	269	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	3	0	builder_bot	3	13	2	242	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	3	1	builder_bot	13	2	1	265	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	3	0	conveyor	1	16	5	365	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	3	0	launcher	4	12	8	200	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	4	1	builder_bot	16	3	5	317	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	4	0	conveyor	5	15	10	250	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	4	1	harvester	16	0	8	392	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	5	0	harvester	1	17	10	394	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	5	1	harvester	12	1	5	269	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	6	0	harvester	5	16	13	277	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	6	1	conveyor	15	0	5	365	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	6	0	launcher	4	9	29	149	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	8	1	conveyor	15	1	2	338	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	9	1	conveyor	13	1	2	290	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	11	1	conveyor	14	1	1	313	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	12	0	gunner	12	5	181	13	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	13	1	sentinel	12	4	8	200	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	14	0	gunner	13	5	202	10	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	14	1	sentinel	12	2	4	244	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	15	0	conveyor	4	14	4	244	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	15	0	conveyor	2	16	4	340	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	15	1	gunner	13	3	2	242	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	15	0	gunner	12	5	181	13	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	17	0	conveyor	5	14	9	225	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	19	0	conveyor	5	13	10	202	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	19	0	gunner	13	5	202	10	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	20	0	gunner	14	4	244	4	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	20	0	conveyor	3	16	5	317	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	22	0	conveyor	3	17	10	346	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	24	0	conveyor	2	17	9	369	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	24	0	gunner	14	4	244	4	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	26	0	conveyor	4	16	8	296	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	28	0	conveyor	4	17	13	325	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	28	1	harvester	9	9	74	74	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	29	0	gunner	14	5	225	9	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	30	1	conveyor	10	9	65	89	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	32	1	conveyor	10	8	52	100	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	34	0	conveyor	1	14	1	313	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	34	1	conveyor	11	8	45	117	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	36	0	conveyor	0	14	4	340	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	36	1	conveyor	12	8	40	136	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	38	0	conveyor	0	15	5	365	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	38	1	conveyor	13	8	37	157	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	40	1	conveyor	14	8	36	180	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	42	0	conveyor	0	16	8	392	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	42	1	conveyor	14	7	25	193	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	44	1	conveyor	14	6	16	208	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	45	1	gunner	15	6	17	233	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	46	1	builder_bot	14	4	4	244	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	49	0	gunner	13	5	202	10	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	49	0	gunner	14	5	225	9	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	54	0	conveyor	3	13	2	242	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	54	0	gunner	13	5	202	10	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	56	0	conveyor	4	13	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	62	1	conveyor	13	8	37	157	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	63	0	conveyor	6	15	17	233	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	64	1	sentinel	12	5	13	181	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	65	0	conveyor	6	14	16	208	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	67	0	conveyor	6	13	17	185	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	69	0	conveyor	6	12	20	164	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	70	0	gunner	5	11	18	162	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	72	0	conveyor	5	12	13	181	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	72	1	conveyor	14	7	25	193	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	74	1	conveyor	14	4	4	244	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	76	0	conveyor	2	13	1	265	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	77	1	gunner	13	6	17	185	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	78	0	conveyor	2	12	4	244	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	80	0	conveyor	3	12	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	88	1	harvester	9	8	61	85	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	91	1	conveyor	13	8	37	157	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	91	1	conveyor	14	8	36	180	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	92	0	builder_bot	3	12	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	93	1	conveyor	14	8	36	180	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	95	1	conveyor	14	7	25	193	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	98	1	conveyor	14	5	9	225	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	103	1	conveyor	14	8	36	180	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	103	1	sentinel	16	8	40	232	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	112	1	harvester	8	8	72	72	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	114	1	conveyor	8	7	61	85	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	116	1	conveyor	9	7	50	98	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	118	1	conveyor	10	7	41	113	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	120	0	builder_bot	4	13	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	122	1	conveyor	14	8	36	180	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	123	0	conveyor	7	8	61	85	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	131	1	builder_bot	13	4	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	132	0	builder_bot	4	13	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	144	0	builder_bot	4	13	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	144	1	builder_bot	16	2	4	340	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	145	0	gunner	16	1	365	5	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	146	1	sentinel	16	6	20	260	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	149	0	gunner	16	1	365	5	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	151	1	conveyor	14	8	36	180	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	156	0	builder_bot	4	13	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	159	1	sentinel	13	0	5	317	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	168	0	builder_bot	4	13	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	184	0	builder_bot	3	13	2	242	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	188	1	harvester	8	9	85	61	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	188	0	gunner	5	8	45	117	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	190	1	conveyor	8	10	100	52	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	192	1	conveyor	9	10	89	65	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	194	1	conveyor	10	10	80	80	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	196	0	launcher	13	10	137	65	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	197	1	builder_bot	5	6	97	73	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	201	1	conveyor	14	8	36	180	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	203	0	conveyor	7	9	50	98	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	205	1	sentinel	13	5	10	202	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	210	1	builder_bot	5	6	97	73	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	213	1	builder_bot	5	6	97	73	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	217	1	builder_bot	16	2	4	340	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	224	0	launcher	17	16	229	205	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	225	1	builder_bot	16	2	4	340	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	237	1	builder_bot	16	4	8	296	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	242	0	launcher	6	17	25	289	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	245	1	builder_bot	15	4	5	269	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	253	1	builder_bot	16	3	5	317	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	266	0	launcher	0	17	13	421	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	279	0	launcher	9	12	53	125	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	285	0	builder_bot	10	2	208	16	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	292	1	builder_bot	16	3	5	317	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	297	0	launcher	6	4	116	68	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	300	1	builder_bot	13	4	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	303	0	builder_bot	9	1	218	26	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	305	0	launcher	17	16	229	205	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	313	1	builder_bot	16	2	4	340	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	332	0	builder_bot	1	16	5	365	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	349	0	launcher	2	5	81	153	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	365	0	builder_bot	4	16	8	296	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	367	0	launcher	13	14	121	145	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	405	0	builder_bot	4	13	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	429	0	builder_bot	4	13	5	221	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	433	0	launcher	17	16	229	205	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	447	0	builder_bot	12	8	136	40	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	456	1	sentinel	15	8	37	205	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	458	0	launcher	17	7	274	34	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	461	0	gunner	17	1	394	10	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	BUILD	472	1	sentinel	15	5	10	250	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	475	0	builder_bot	17	3	346	10	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	476	0	launcher	2	5	81	153	18	18
49ded463-242c-4296-99f7-cc715f9a899f_game_1.replay26	DEATH	480	0	launcher	17	16	229	205	18	18
