#ts	shard	phase	mark	n	share	ci_lo	ci_hi	clause
2026-08-15T13:16:28Z	BODYBLK	CLAIM	2700	3562	47.30	45.67	48.94	FUTILITY-BAR@2700
2026-08-15T13:16:28Z	BODYBLK	DONE	2700	3562	47.30	45.67	48.94	FUTILITY-BAR@2700
2026-08-15T13:26:29Z	SPAWNLKL	CLAIM	2700	3636	49.70	48.07	51.32	FUTILITY-BAR@2700
2026-08-15T13:26:29Z	SPAWNLKL	DONE	2700	3636	49.70	48.07	51.32	FUTILITY-BAR@2700
2026-08-15T16:53:21Z	SH286	CLAIM	1000	1072	48.88	45.89	51.87	TREND-FLOOR@1000
2026-08-15T16:53:21Z	SH286	DONE	1000	1072	48.88	45.89	51.87	TREND-FLOOR@1000
2026-08-15T22:37:06Z	CMB294	CLAIM	2700	2707	50.72	48.84	52.60	TREND-FLOOR@2700
2026-08-15T22:37:06Z	CMB294	DONE	2700	2707	50.72	48.84	52.60	TREND-FLOOR@2700
2026-08-15T23:47:11Z	CATSOLO	CLAIM	1000	1114	47.58	44.64	50.51	TREND-FLOOR@1000
2026-08-15T23:47:11Z	CATSOLO	DONE	1000	1114	47.58	44.64	50.51	TREND-FLOOR@1000
2026-08-16T00:07:13Z	CMB295	CLAIM	1000	1052	48.48	45.46	51.50	TREND-FLOOR@1000
2026-08-16T00:07:13Z	CMB295	DONE	1000	1052	48.48	45.46	51.50	TREND-FLOOR@1000
# 2026-08-16 schema: column 10 'fired_on' added — the PREFIX a TREND-FLOOR stop read; '-' for full-CI clauses (FUTILITY-BAR/CATASTROPHE). Rows above this line have 9 columns.
