tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s1_A	atoll	1	A	US	_v530home	Core destroyed	657	0	1370	1170
atoll_s1_B	atoll	1	B	OPP	_v488beltbreak2	Core destroyed	177	0	0	1850
atoll_s2_A	atoll	2	A	US	_v530home	Core destroyed	237	0	2120	310
atoll_s2_B	atoll	2	B	OPP	_v488beltbreak2	Core destroyed	208	0	0	2120
atoll_s3_A	atoll	3	A	US	_v530home	Titanium collected (tiebreak)	1000	0	1810	160
atoll_s3_B	atoll	3	B	OPP	_v488beltbreak2	Core destroyed	210	0	20	510
drakkarfjord_s1_A	drakkarfjord	1	A	US	_v530home	Core destroyed	420	0	320	0
drakkarfjord_s1_B	drakkarfjord	1	B	US	_v530home	Core destroyed	305	0	0	0
drakkarfjord_s2_A	drakkarfjord	2	A	US	_v530home	Core destroyed	269	0	0	0
drakkarfjord_s2_B	drakkarfjord	2	B	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
drakkarfjord_s3_A	drakkarfjord	3	A	US	_v530home	Core destroyed	600	0	1150	0
drakkarfjord_s3_B	drakkarfjord	3	B	US	_v530home	Core destroyed	270	0	720	0
glacierkeep_s1_A	glacierkeep	1	A	US	_v530home	Core destroyed	220	0	320	0
glacierkeep_s1_B	glacierkeep	1	B	US	_v530home	Core destroyed	553	0	0	0
glacierkeep_s2_A	glacierkeep	2	A	US	_v530home	Core destroyed	181	0	0	0
glacierkeep_s2_B	glacierkeep	2	B	US	_v530home	Core destroyed	297	0	0	0
glacierkeep_s3_A	glacierkeep	3	A	US	_v530home	Core destroyed	388	0	1300	0
glacierkeep_s3_B	glacierkeep	3	B	US	_v530home	Core destroyed	308	0	200	0
midgard_s1_A	midgard	1	A	OPP	_v488beltbreak2	Core destroyed	392	0	440	3840
midgard_s1_B	midgard	1	B	US	_v530home	Core destroyed	256	0	2060	710
midgard_s2_A	midgard	2	A	US	_v530home	Titanium collected (tiebreak)	1000	0	4580	780
midgard_s2_B	midgard	2	B	OPP	_v488beltbreak2	Core destroyed	244	0	650	950
midgard_s3_A	midgard	3	A	US	_v530home	Core destroyed	195	0	1650	940
midgard_s3_B	midgard	3	B	US	_v530home	Core destroyed	324	0	2780	720
nordkap_s1_A	nordkap	1	A	US	_v530home	Core destroyed	272	0	830	120
nordkap_s1_B	nordkap	1	B	US	_v530home	Core destroyed	230	0	1550	490
nordkap_s2_A	nordkap	2	A	US	_v530home	Core destroyed	337	0	140	110
nordkap_s2_B	nordkap	2	B	US	_v530home	Core destroyed	355	0	3390	1540
nordkap_s3_A	nordkap	3	A	US	_v530home	Core destroyed	325	0	90	60
nordkap_s3_B	nordkap	3	B	US	_v530home	Core destroyed	156	0	400	180
