tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s1_A	atoll	1	A	OPP	_v488beltbreak2	Core destroyed	351	0	1720	1700
atoll_s1_B	atoll	1	B	US	_v529merge	Core destroyed	660	0	3260	190
atoll_s2_A	atoll	2	A	OPP	_v488beltbreak2	Core destroyed	836	0	4010	4130
atoll_s2_B	atoll	2	B	US	_v529merge	Core destroyed	142	0	680	220
atoll_s3_A	atoll	3	A	OPP	_v488beltbreak2	Core destroyed	836	0	4010	4130
atoll_s3_B	atoll	3	B	US	_v529merge	Core destroyed	574	0	3800	1840
drakkarfjord_s1_A	drakkarfjord	1	A	US	_v529merge	Core destroyed	90	0	280	0
drakkarfjord_s1_B	drakkarfjord	1	B	OPP	_v488beltbreak2	Core destroyed	717	0	240	0
drakkarfjord_s2_A	drakkarfjord	2	A	US	_v529merge	Core destroyed	106	0	410	0
drakkarfjord_s2_B	drakkarfjord	2	B	US	_v529merge	Core destroyed	114	0	340	0
drakkarfjord_s3_A	drakkarfjord	3	A	US	_v529merge	Core destroyed	106	0	410	0
drakkarfjord_s3_B	drakkarfjord	3	B	US	_v529merge	Core destroyed	96	0	320	0
glacierkeep_s1_A	glacierkeep	1	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	160	340
glacierkeep_s1_B	glacierkeep	1	B	US	_v529merge	Core destroyed	216	0	470	0
glacierkeep_s2_A	glacierkeep	2	A	US	_v529merge	Core destroyed	165	0	150	0
glacierkeep_s2_B	glacierkeep	2	B	US	_v529merge	Core destroyed	277	0	0	0
glacierkeep_s3_A	glacierkeep	3	A	US	_v529merge	Core destroyed	169	0	690	0
glacierkeep_s3_B	glacierkeep	3	B	US	_v529merge	Core destroyed	269	0	0	0
midgard_s1_A	midgard	1	A	US	_v529merge	Core destroyed	213	0	620	770
midgard_s1_B	midgard	1	B	OPP	_v488beltbreak2	Core destroyed	240	0	790	1410
midgard_s2_A	midgard	2	A	US	_v529merge	Core destroyed	585	0	610	1130
midgard_s2_B	midgard	2	B	US	_v529merge	Core destroyed	320	0	1510	500
midgard_s3_A	midgard	3	A	US	_v529merge	Titanium collected (tiebreak)	1000	0	750	650
midgard_s3_B	midgard	3	B	US	_v529merge	Core destroyed	821	0	870	760
nordkap_s1_A	nordkap	1	A	US	_v529merge	Core destroyed	112	0	260	0
nordkap_s1_B	nordkap	1	B	US	_v529merge	Core destroyed	185	0	130	220
nordkap_s2_A	nordkap	2	A	US	_v529merge	Core destroyed	152	0	550	30
nordkap_s2_B	nordkap	2	B	US	_v529merge	Core destroyed	193	0	460	150
nordkap_s3_A	nordkap	3	A	US	_v529merge	Core destroyed	253	0	110	100
nordkap_s3_B	nordkap	3	B	OPP	_v488beltbreak2	Core destroyed	200	0	80	1920
atoll_s4_A	atoll	4	A	OPP	_v488beltbreak2	Core destroyed	597	0	1740	2990
atoll_s4_B	atoll	4	B	US	_v529merge	Core destroyed	611	0	3200	3020
atoll_s5_A	atoll	5	A	OPP	_v488beltbreak2	Core destroyed	260	0	800	2470
atoll_s5_B	atoll	5	B	US	_v529merge	Titanium collected (tiebreak)	1000	0	4960	4900
atoll_s6_A	atoll	6	A	OPP	_v488beltbreak2	Core destroyed	203	0	650	2020
atoll_s6_B	atoll	6	B	US	_v529merge	Core destroyed	401	0	1960	1040
drakkarfjord_s4_A	drakkarfjord	4	A	US	_v529merge	Core destroyed	102	0	290	0
drakkarfjord_s4_B	drakkarfjord	4	B	US	_v529merge	Core destroyed	127	0	330	0
drakkarfjord_s5_A	drakkarfjord	5	A	US	_v529merge	Core destroyed	89	0	340	0
drakkarfjord_s5_B	drakkarfjord	5	B	US	_v529merge	Core destroyed	98	0	320	0
drakkarfjord_s6_A	drakkarfjord	6	A	US	_v529merge	Core destroyed	92	0	340	0
drakkarfjord_s6_B	drakkarfjord	6	B	US	_v529merge	Core destroyed	219	0	770	0
glacierkeep_s4_A	glacierkeep	4	A	US	_v529merge	Core destroyed	161	0	170	0
glacierkeep_s4_B	glacierkeep	4	B	US	_v529merge	Core destroyed	285	0	0	0
glacierkeep_s5_A	glacierkeep	5	A	US	_v529merge	Core destroyed	128	0	290	0
glacierkeep_s5_B	glacierkeep	5	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	100	1690
glacierkeep_s6_A	glacierkeep	6	A	OPP	_v488beltbreak2	Core destroyed	449	0	190	1790
glacierkeep_s6_B	glacierkeep	6	B	US	_v529merge	Core destroyed	217	0	180	0
midgard_s4_A	midgard	4	A	US	_v529merge	Core destroyed	180	0	1290	500
midgard_s4_B	midgard	4	B	OPP	_v488beltbreak2	Core destroyed	227	0	670	870
midgard_s5_A	midgard	5	A	US	_v529merge	Core destroyed	409	0	630	610
midgard_s5_B	midgard	5	B	US	_v529merge	Core destroyed	180	0	1690	1280
midgard_s6_A	midgard	6	A	US	_v529merge	Core destroyed	400	0	990	720
midgard_s6_B	midgard	6	B	OPP	_v488beltbreak2	Core destroyed	318	0	690	1760
nordkap_s4_A	nordkap	4	A	OPP	_v488beltbreak2	Core destroyed	235	0	60	2520
nordkap_s4_B	nordkap	4	B	OPP	_v488beltbreak2	Core destroyed	161	0	380	2080
nordkap_s5_A	nordkap	5	A	US	_v529merge	Core destroyed	137	0	320	60
nordkap_s5_B	nordkap	5	B	US	_v529merge	Core destroyed	161	0	90	90
nordkap_s6_A	nordkap	6	A	US	_v529merge	Core destroyed	333	0	770	70
nordkap_s6_B	nordkap	6	B	US	_v529merge	Core destroyed	800	0	100	210
