arm	map	seed	winner	end_turn	CMEDIC	CHAIN	CORE	ADJ	BUDDY	COLLARHOLD	total_heallog	has_exception
TREAT	fjordgate	2001	_v232collarmedic	109	0	0	114	0	0	5	119	no
TREAT	fjordgate	2002	_v232collarmedic	128	0	0	51	0	0	0	51	no
TREAT	fjordgate	2003	_v232collarmedic	97	0	0	83	0	0	0	83	no
TREAT	hive	2001	_v232collarmedic	124	0	0	107	0	0	0	107	no
TREAT	hive	2002	_v232collarmedic	87	0	0	50	0	0	0	50	no
TREAT	hive	2003	_v232collarmedic	88	0	0	52	0	0	0	52	no
TREAT	midgard	2001	_v232collarmedic	99	0	0	44	0	0	0	44	no
TREAT	midgard	2002	_v232collarmedic	73	0	0	12	0	0	0	12	no
TREAT	midgard	2003	_v232collarmedic	73	0	0	15	0	0	0	15	no
TREAT	drakkarfjord	2001	_v232collarmedic	93	0	0	0	0	0	0	0	no
TREAT	drakkarfjord	2002	_v232collarmedic	164	0	0	27	0	0	0	27	no
TREAT	drakkarfjord	2003	_v232collarmedic	221	7	20	58	0	0	0	85	no
CTRL	fjordgate	2001	_v232collarmedic_off	323	0	0	202	0	0	0	202	no
CTRL	fjordgate	2002	_v232collarmedic_off	183	0	0	110	0	0	0	110	no
CTRL	fjordgate	2003	_probe_creeper	106	0	0	5	0	0	0	5	no
CTRL	hive	2001	_v232collarmedic_off	93	0	0	57	0	0	0	57	no
CTRL	hive	2002	_v232collarmedic_off	88	0	0	52	0	0	0	52	no
CTRL	hive	2003	_v232collarmedic_off	112	0	0	74	0	0	0	74	no
CTRL	midgard	2001	_v232collarmedic_off	73	0	0	16	0	0	0	16	no
CTRL	midgard	2002	_v232collarmedic_off	99	0	0	44	0	0	0	44	no
CTRL	midgard	2003	_v232collarmedic_off	95	0	0	6	0	0	0	6	no
CTRL	drakkarfjord	2001	_v232collarmedic_off	190	0	0	137	0	0	0	137	no
CTRL	drakkarfjord	2002	_v232collarmedic_off	220	0	4	91	0	0	0	95	no
CTRL	drakkarfjord	2003	_v232collarmedic_off	138	0	0	68	0	0	0	68	no
TREAT	fjordgate	3001	_v232collarmedic	127	2	0	58	0	0	2	62	no
TREAT	fjordgate	3002	_v232collarmedic	97	0	0	83	0	0	0	83	no
TREAT	fjordgate	3003	_v232collarmedic	101	0	0	101	0	0	0	101	no
TREAT	hive	3001	_v232collarmedic	97	0	0	60	0	0	0	60	no
TREAT	hive	3002	_v232collarmedic	93	0	0	57	0	0	0	57	no
TREAT	hive	3003	_v232collarmedic	97	0	0	88	0	0	0	88	no
TREAT	midgard	3001	_v232collarmedic	98	0	0	36	0	0	0	36	no
TREAT	midgard	3002	_v232collarmedic	104	0	0	20	0	0	0	20	no
TREAT	midgard	3003	_v232collarmedic	73	0	0	15	0	0	0	15	no
TREAT	drakkarfjord	3001	_v232collarmedic	203	0	0	97	0	0	0	97	no
TREAT	drakkarfjord	3002	_v232collarmedic	231	0	0	120	0	0	0	120	no
TREAT	drakkarfjord	3003	_v232collarmedic	251	0	0	195	0	0	0	195	no
CTRL	fjordgate	3001	_v232collarmedic_off	94	0	0	62	0	0	0	62	no
CTRL	fjordgate	3002	_v232collarmedic_off	90	0	0	58	0	4	6	68	no
CTRL	fjordgate	3003	_v232collarmedic_off	69	0	0	4	0	0	0	4	no
CTRL	hive	3001	_v232collarmedic_off	97	0	0	88	0	0	0	88	no
CTRL	hive	3002	_v232collarmedic_off	86	0	0	0	0	0	0	0	no
CTRL	hive	3003	_v232collarmedic_off	236	0	0	143	0	0	0	143	no
CTRL	midgard	3001	_v232collarmedic_off	98	0	0	74	0	0	0	74	no
CTRL	midgard	3002	_v232collarmedic_off	68	0	0	0	0	0	0	0	no
CTRL	midgard	3003	_v232collarmedic_off	75	0	0	0	0	0	0	0	no
CTRL	drakkarfjord	3001	_v232collarmedic_off	96	0	0	0	0	0	0	0	no
CTRL	drakkarfjord	3002	_v232collarmedic_off	164	0	0	27	0	0	0	27	no
CTRL	drakkarfjord	3003	_v232collarmedic_off	96	0	0	0	0	0	0	0	no
