# FLEET QUEUE — ONE central queue; tools/fleet_dispatch.py hands rows to whichever
# host has a free slot. Columns are TAB separated.
#
# state:  QUEUED -> CLAIMED -> RUNNING -> DONE | FAILED
#   ⛔ THE TRANSITION IS ONE-WAY. A CLAIMED row is claimed FOREVER; a shard that
#   dies is marked FAILED, logged, and LEFT. Recovering it is a human decision
#   with the evidence in front of them (overnight_watch.sh restarted NINE
#   completed shards from zero on 2026-08-11 because a dead run and an archived
#   run looked identical to it). To retry a row, ADD A NEW ROW with a new
#   shard_id and a fresh seed_lo — never edit a state backwards.
#
# shard_id	treatment_tree	control_tree	target_n	seed_lo	state	host	claimed_utc	note
F200SIEGELA	bots/_v200siegelaunch	bots/_v223sealrepair	5400	500000	WITHDRAWN	worker@work-server-1	2026-08-15T14:37:02Z	STALE TREATMENT vs FRESH CONTROL: prereg registers _v197mapcode as control (DOSE-siegelaunch45 / DOSE-idlepeck-quiet0-48); queue pairs vs _v223sealrepair. Control moved with the ship per PROGRAMME.md:338, treatment did not -- so this measures plank MINUS ~170 lines of chassis delta and cannot attribute. Rows KEPT. Re-base vs accept is escalated to Magnus (side lane 26937901); re-queue is one line.
F201LAUNCH0	bots/_v201launch0evict	bots/_v223sealrepair	5400	502000	WITHDRAWN	worker@work-server-2	2026-08-15T14:37:02Z	STALE TREATMENT vs FRESH CONTROL: prereg registers _v197mapcode as control (DOSE-siegelaunch45 / DOSE-idlepeck-quiet0-48); queue pairs vs _v223sealrepair. Control moved with the ship per PROGRAMME.md:338, treatment did not -- so this measures plank MINUS ~170 lines of chassis delta and cannot attribute. Rows KEPT. Re-base vs accept is escalated to Magnus (side lane 26937901); re-queue is one line.
F210IDLEPEC	bots/_v210idlepeck2	bots/_v223sealrepair	5400	504000	WITHDRAWN	worker@work-server-1	2026-08-15T14:37:02Z	STALE TREATMENT vs FRESH CONTROL: prereg registers _v197mapcode as control (DOSE-siegelaunch45 / DOSE-idlepeck-quiet0-48); queue pairs vs _v223sealrepair. Control moved with the ship per PROGRAMME.md:338, treatment did not -- so this measures plank MINUS ~170 lines of chassis delta and cannot attribute. Rows KEPT. Re-base vs accept is escalated to Magnus (side lane 26937901); re-queue is one line.
F211PAVEFIR	bots/_v211pavefirst	bots/_v223sealrepair	5400	506000	WITHDRAWN	worker@work-server-2	2026-08-15T14:37:02Z	STALE TREATMENT vs FRESH CONTROL: prereg registers _v197mapcode as control (DOSE-siegelaunch45 / DOSE-idlepeck-quiet0-48); queue pairs vs _v223sealrepair. Control moved with the ship per PROGRAMME.md:338, treatment did not -- so this measures plank MINUS ~170 lines of chassis delta and cannot attribute. Rows KEPT. Re-base vs accept is escalated to Magnus (side lane 26937901); re-queue is one line.
F220OSCK4	bots/_v220osck4	bots/_v223sealrepair	5400	508000	WITHDRAWN	-	2026-08-15T14:37:02Z	STALE TREATMENT vs FRESH CONTROL: prereg registers _v197mapcode as control (DOSE-siegelaunch45 / DOSE-idlepeck-quiet0-48); queue pairs vs _v223sealrepair. Control moved with the ship per PROGRAMME.md:338, treatment did not -- so this measures plank MINUS ~170 lines of chassis delta and cannot attribute. Rows KEPT. Re-base vs accept is escalated to Magnus (side lane 26937901); re-queue is one line.
F220OSCK6	bots/_v220osck6	bots/_v223sealrepair	5400	510000	WITHDRAWN	-	2026-08-15T14:37:02Z	STALE TREATMENT vs FRESH CONTROL: prereg registers _v197mapcode as control (DOSE-siegelaunch45 / DOSE-idlepeck-quiet0-48); queue pairs vs _v223sealrepair. Control moved with the ship per PROGRAMME.md:338, treatment did not -- so this measures plank MINUS ~170 lines of chassis delta and cannot attribute. Rows KEPT. Re-base vs accept is escalated to Magnus (side lane 26937901); re-queue is one line.
F232COLLARM	bots/_v232collarmedic	bots/_v223sealrepair	5400	512000	FAILED	worker@work-server-1	2026-08-15T15:11:53Z	ABORTED_NOWINNER age=34s in worker@work-server-1 — logged and LEFT
F232COLLARM	bots/_v232collarmedic_off	bots/_v223sealrepair	5400	514000	FAILED	worker@work-server-2	2026-08-15T14:39:31Z	ABORTED_NOWINNER age=34s in worker@work-server-1 — logged and LEFT
F232SEALTEM	bots/_v232sealtempo	bots/_v223sealrepair	5400	516000	DONE	worker@work-server-1	2026-08-15T15:12:02Z	COMPLETE age=370s in worker@work-server-1
F250HOMEEAR	bots/_v250homeearly	bots/_v223sealrepair	5400	518000	DONE	worker@work-server-2	2026-08-15T14:44:37Z	COMPLETE age=242s in worker@work-server-2
F251PINAIM	bots/_v251pinaim	bots/_v223sealrepair	5400	520000	DONE	worker@work-server-1	2026-08-15T15:14:50Z	COMPLETE age=289s in worker@work-server-1
F253CATAPUL	bots/_v253catapult	bots/_v223sealrepair	5400	522000	DONE	worker@work-server-2	2026-08-15T15:14:51Z	COMPLETE age=277s in worker@work-server-2
F254COLLARS	bots/_v254collarseal	bots/_v223sealrepair	5400	524000	FAILED	worker@work-server-1	2026-08-15T17:25:37Z	heartbeat RUNNING but 1081s stale (> 900s) — logged and LEFT, never relaunched
F255HOMEMAX	bots/_v255homemax	bots/_v223sealrepair	5400	526000	CLAIMED	worker@work-server-1	2026-08-15T19:26:22Z	claimed for worker@work-server-1
F256PINMAX	bots/_v256pinmax	bots/_v223sealrepair	5400	528000	CLAIMED	worker@work-server-1	2026-08-15T21:01:59Z	claimed for worker@work-server-1
F257CATMAX	bots/_v257catmax	bots/_v223sealrepair	5400	530000	DONE	worker@work-server-2	2026-08-15T23:33:01Z	COMPLETE age=274s in worker@work-server-2
F258SEALMAX	bots/_v258sealmax	bots/_v223sealrepair	5400	532000	RUNNING	worker@work-server-2	2026-08-16T02:04:01Z	RUNNING age=208s
F259RND1	bots/_v259rnd1	bots/_v223sealrepair	5400	534000	CLAIMED	worker@work-server-2	2026-08-16T04:35:06Z	claimed for worker@work-server-2
F263PINRND1	bots/_v263pinrnd1	bots/_v223sealrepair	5400	536000	QUEUED	-	-	-
F266BBNULL	bots/_v266bbnull	bots/_v223sealrepair	5400	538000	QUEUED	-	-	-
F268TRICOMB	bots/_v268tricomb	bots/_v223sealrepair	5400	540000	QUEUED	-	-	-
F269AWRSPAW	bots/_v269awrspawn	bots/_v223sealrepair	5400	542000	QUEUED	-	-	-
F270RNDSPAW	bots/_v270rndspawn	bots/_v223sealrepair	5400	544000	QUEUED	-	-	-
F271CAPTHRE	bots/_v271capthree	bots/_v223sealrepair	5400	546000	QUEUED	-	-	-
F272PINTHRE	bots/_v272pinthree	bots/_v223sealrepair	5400	548000	QUEUED	-	-	-
F313RENTGUN	bots/_v313rentgun	bots/_v223sealrepair	5400	550000	QUEUED	-	-	-
F314AIMSITE	bots/_v314aimsite	bots/_v223sealrepair	5400	552000	QUEUED	-	-	-
F315SIPHIT	bots/_v315siphit	bots/_v223sealrepair	5400	554000	CANCELLED	-	2026-08-16T06:11:32Z	- | SUPERSEDED by local ECO* row (Magnus eco-first directive 2026-08-16T06:11:32Z); QUEUED->CANCELLED is a forward transition
F316SIPCULL	bots/_v316sipcull	bots/_v223sealrepair	5400	556000	CANCELLED	-	2026-08-16T06:11:32Z	- | SUPERSEDED by local ECO* row (Magnus eco-first directive 2026-08-16T06:11:32Z); QUEUED->CANCELLED is a forward transition
F317RAIDPEC	bots/_v317raidpeck	bots/_v223sealrepair	5400	558000	WITHDRAWN	-	2026-08-15T14:17:57Z	unattributable by construction: _raid_peck rank 0 = ENEMY CORE (arm D rejected class), ranks 1/5 = conveyor/splitter already shipped via _salt_turn, and step 6 has no _salt_idle_ok gate so it PREEMPTS salt -- the ordering that killed _v178salt (kill r179 vs pooled r129, p=0.008). Replaced by an arm restricted to the genuinely uncovered ranks.
F318SEATPEC	bots/_v318seatpeck	bots/_v223sealrepair	5400	560000	QUEUED	-	-	-
F319TURRPEC	bots/_v319turrpeck	bots/_v223sealrepair	5400	562000	QUEUED	-	-	successor to WITHDRAWN F317RAIDPEC: _raid_peck restricted to ranks 2/3/4 (launcher/turret/harvester), call site moved after _salt_turn inside the _salt_idle_ok gate
