file	eid	thrown	born_rnd	thrown_rnd	removed_rnd	survived_to_end	undamaged	no_damage_removal	dist_bucket	rounds
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	3	1	0	3	9	0	0	0	mid	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	5	0	1	-1	33	0	0	0	near	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	8	0	2	-1	-1	1	0	0	mid	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	10	0	3	-1	109	0	0	0	mid	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	21	0	11	-1	86	0	0	0	mid	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	121	0	80	-1	123	0	0	0	mid	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	131	0	87	-1	-1	1	0	0	mid	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	164	0	110	-1	-1	1	1	0	far	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	201	0	133	-1	-1	1	1	0	far	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	261	0	162	-1	-1	1	1	0	mid	238
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	348	0	220	-1	-1	1	1	0	near	238
a52fb37c-42d4-40c6-ae71-a7dc8913650e_game_2.replay26	4	0	0	-1	-1	1	1	0	far	74
a52fb37c-42d4-40c6-ae71-a7dc8913650e_game_2.replay26	6	0	1	-1	-1	1	1	0	far	74
a52fb37c-42d4-40c6-ae71-a7dc8913650e_game_2.replay26	9	0	2	-1	-1	1	1	0	far	74
a52fb37c-42d4-40c6-ae71-a7dc8913650e_game_2.replay26	11	0	3	-1	-1	1	1	0	far	74
e08e7ef6-5449-4177-9ada-afbf0470742a_game_5.replay26	3	0	0	-1	-1	1	1	0	near	104
e08e7ef6-5449-4177-9ada-afbf0470742a_game_5.replay26	5	0	1	-1	-1	1	1	0	near	104
e08e7ef6-5449-4177-9ada-afbf0470742a_game_5.replay26	7	0	2	-1	-1	1	1	0	near	104
e08e7ef6-5449-4177-9ada-afbf0470742a_game_5.replay26	19	0	8	-1	-1	1	1	0	near	104
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	3	1	0	55	175	0	0	0	far	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	5	0	1	-1	99	0	0	0	far	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	7	0	2	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	9	0	3	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	11	0	4	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	13	0	5	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	247	0	76	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	261	0	81	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	281	0	88	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	295	0	93	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	325	0	104	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	347	0	112	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	371	0	120	-1	-1	1	1	0	near	344
5125a101-9d34-48f7-b0dc-2aaf5b29d27e_game_4.replay26	393	0	127	-1	-1	1	1	0	near	344
844b5d6c-931c-4faa-b3b1-e83365aa296f_game_2.replay26	3	0	0	-1	-1	1	1	0	far	89
844b5d6c-931c-4faa-b3b1-e83365aa296f_game_2.replay26	6	0	2	-1	-1	1	1	0	near	89
844b5d6c-931c-4faa-b3b1-e83365aa296f_game_2.replay26	11	1	4	50	-1	1	1	0	far	89
844b5d6c-931c-4faa-b3b1-e83365aa296f_game_2.replay26	19	1	6	32	-1	1	1	0	far	89
844b5d6c-931c-4faa-b3b1-e83365aa296f_game_2.replay26	24	1	8	34	-1	1	1	0	far	89
f3fb8c5a-3b7a-4be9-a1cf-baa98ee32c9b_game_4.replay26	4	0	0	-1	-1	1	1	0	near	229
f3fb8c5a-3b7a-4be9-a1cf-baa98ee32c9b_game_4.replay26	6	1	1	3	-1	1	1	0	far	229
f3fb8c5a-3b7a-4be9-a1cf-baa98ee32c9b_game_4.replay26	8	1	2	6	-1	1	1	0	far	229
601165ff-8bb7-4127-88f9-50b806b7c99c_game_5.replay26	4	0	0	-1	-1	1	1	0	near	88
601165ff-8bb7-4127-88f9-50b806b7c99c_game_5.replay26	6	0	1	-1	-1	1	1	0	near	88
601165ff-8bb7-4127-88f9-50b806b7c99c_game_5.replay26	8	0	2	-1	-1	1	1	0	mid	88
601165ff-8bb7-4127-88f9-50b806b7c99c_game_5.replay26	10	0	3	-1	-1	1	1	0	mid	88
601165ff-8bb7-4127-88f9-50b806b7c99c_game_5.replay26	12	0	4	-1	-1	1	1	0	mid	88
601165ff-8bb7-4127-88f9-50b806b7c99c_game_5.replay26	215	0	72	-1	-1	1	1	0	near	88
4ae5f5bc-ccc3-4cfd-ac92-9261b9a0e96b_game_1.replay26	4	0	0	-1	-1	1	1	0	mid	178
4ae5f5bc-ccc3-4cfd-ac92-9261b9a0e96b_game_1.replay26	6	0	1	-1	96	0	0	0	far	178
4ae5f5bc-ccc3-4cfd-ac92-9261b9a0e96b_game_1.replay26	8	0	2	-1	-1	1	1	0	mid	178
4ae5f5bc-ccc3-4cfd-ac92-9261b9a0e96b_game_1.replay26	10	0	3	-1	-1	1	1	0	near	178
4ae5f5bc-ccc3-4cfd-ac92-9261b9a0e96b_game_1.replay26	310	0	120	-1	-1	1	1	0	mid	178
2778c021-9947-4fb1-99c5-d35ce39dc590_game_5.replay26	4	0	0	-1	-1	1	1	0	near	1000
2778c021-9947-4fb1-99c5-d35ce39dc590_game_5.replay26	6	0	1	-1	488	0	0	0	near	1000
2778c021-9947-4fb1-99c5-d35ce39dc590_game_5.replay26	9	0	2	-1	-1	1	0	0	mid	1000
2778c021-9947-4fb1-99c5-d35ce39dc590_game_5.replay26	11	0	3	-1	-1	1	1	0	near	1000
2778c021-9947-4fb1-99c5-d35ce39dc590_game_5.replay26	15	0	4	-1	-1	1	1	0	near	1000
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	4	1	0	21	85	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	6	1	1	3	87	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	9	0	2	-1	352	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	12	0	3	-1	-1	1	1	0	near	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	33	0	12	-1	48	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	128	1	65	117	251	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	287	0	138	-1	171	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	330	0	156	-1	312	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	685	0	342	-1	375	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	714	0	358	-1	394	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	752	0	378	-1	416	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	883	0	470	-1	505	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	892	1	478	553	-1	1	1	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	903	0	488	-1	523	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	914	1	498	519	-1	1	1	0	mid	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	923	0	506	-1	541	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	976	0	542	-1	591	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	992	0	557	-1	591	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1021	0	585	-1	634	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1029	1	592	595	611	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1043	0	605	-1	638	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1055	0	616	-1	650	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1066	0	626	-1	662	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1081	0	640	-1	674	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1092	0	650	-1	688	0	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1104	0	661	-1	-1	1	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1118	0	673	-1	-1	1	0	0	far	741
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	1132	0	685	-1	-1	1	0	0	far	741
c2b2b94c-dcb7-4afc-8669-0268c9ff7a8f_game_4.replay26	3	0	0	-1	174	0	0	0	near	223
c2b2b94c-dcb7-4afc-8669-0268c9ff7a8f_game_4.replay26	5	0	1	-1	-1	1	0	0	mid	223
c2b2b94c-dcb7-4afc-8669-0268c9ff7a8f_game_4.replay26	7	0	2	-1	-1	1	1	0	mid	223
c2b2b94c-dcb7-4afc-8669-0268c9ff7a8f_game_4.replay26	9	0	3	-1	-1	1	1	0	mid	223
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	4	1	0	42	194	0	0	0	far	264
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	6	1	1	3	102	0	0	0	far	264
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	9	0	2	-1	-1	1	1	0	far	264
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	11	0	3	-1	-1	1	1	0	near	264
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	61	0	33	-1	136	0	0	0	far	264
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	200	1	132	135	-1	1	0	0	far	264
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	213	0	140	-1	213	0	0	0	far	264
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	234	1	160	163	-1	1	1	0	far	264
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	243	0	168	-1	-1	1	1	0	far	264
e7b913eb-1ac8-45ad-9120-3030b4cb4829_game_3.replay26	250	1	175	178	-1	1	0	0	far	264
873cfde7-3b19-484f-9504-6feda7ae8bff_game_1.replay26	3	0	0	-1	-1	1	0	0	near	143
873cfde7-3b19-484f-9504-6feda7ae8bff_game_1.replay26	5	0	1	-1	34	0	0	0	near	143
873cfde7-3b19-484f-9504-6feda7ae8bff_game_1.replay26	7	0	2	-1	53	0	0	0	mid	143
873cfde7-3b19-484f-9504-6feda7ae8bff_game_1.replay26	9	0	3	-1	-1	1	1	0	near	143
873cfde7-3b19-484f-9504-6feda7ae8bff_game_1.replay26	169	0	127	-1	-1	1	1	0	near	143
cfb0faf5-641d-4593-8adf-6a27040c5ebd_game_4.replay26	3	0	0	-1	19	0	0	0	mid	139
cfb0faf5-641d-4593-8adf-6a27040c5ebd_game_4.replay26	5	1	1	3	-1	1	0	0	far	139
cfb0faf5-641d-4593-8adf-6a27040c5ebd_game_4.replay26	8	0	2	-1	-1	1	1	0	mid	139
cfb0faf5-641d-4593-8adf-6a27040c5ebd_game_4.replay26	10	0	3	-1	-1	1	1	0	near	139
1a1abd16-4d88-4a33-a9f7-c7ce6d911eb3_game_5.replay26	4	0	0	-1	-1	1	1	0	near	110
1a1abd16-4d88-4a33-a9f7-c7ce6d911eb3_game_5.replay26	6	0	1	-1	-1	1	1	0	near	110
1a1abd16-4d88-4a33-a9f7-c7ce6d911eb3_game_5.replay26	8	1	2	18	-1	1	1	0	mid	110
1a1abd16-4d88-4a33-a9f7-c7ce6d911eb3_game_5.replay26	29	0	10	-1	-1	1	1	0	near	110
1a1abd16-4d88-4a33-a9f7-c7ce6d911eb3_game_5.replay26	30	1	11	20	-1	1	1	0	near	110
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_2.replay26	3	0	0	-1	-1	1	1	0	near	114
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_2.replay26	5	0	1	-1	-1	1	1	0	far	114
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_2.replay26	7	0	2	-1	-1	1	1	0	far	114
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_2.replay26	10	0	3	-1	-1	1	1	0	near	114
d2c20c42-2e6e-4668-94c9-d73681b8616b_game_2.replay26	12	0	4	-1	-1	1	1	0	near	114
0335b9e2-ffb6-4c76-b6b8-585083db629d_game_4.replay26	3	1	0	209	-1	1	0	0	mid	426
0335b9e2-ffb6-4c76-b6b8-585083db629d_game_4.replay26	5	1	1	179	-1	1	0	0	near	426
0335b9e2-ffb6-4c76-b6b8-585083db629d_game_4.replay26	7	1	2	200	-1	1	0	0	near	426
0335b9e2-ffb6-4c76-b6b8-585083db629d_game_4.replay26	10	1	3	266	-1	1	1	0	mid	426
e2df6710-fb4c-466b-bd82-135b2b69df4f_game_2.replay26	3	0	0	-1	-1	1	1	0	mid	445
e2df6710-fb4c-466b-bd82-135b2b69df4f_game_2.replay26	6	0	2	-1	-1	1	1	0	near	445
e2df6710-fb4c-466b-bd82-135b2b69df4f_game_2.replay26	10	1	4	90	-1	1	1	0	far	445
e2df6710-fb4c-466b-bd82-135b2b69df4f_game_2.replay26	15	1	6	53	-1	1	1	0	far	445
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	4	1	0	140	-1	1	1	0	far	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	6	1	1	135	-1	1	1	0	far	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	8	0	2	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	10	0	3	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	12	0	4	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	13	0	5	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	221	0	112	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	240	0	122	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	252	0	131	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	267	0	142	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	284	0	155	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	299	0	166	-1	-1	1	1	0	near	182
b9770e60-b8d0-4a3c-926c-be248ac806cf_game_4.replay26	316	0	179	-1	-1	1	1	0	near	182
c758475a-f2ab-484b-b78a-660f8870d47d_game_2.replay26	3	0	0	-1	-1	1	1	0	near	116
c758475a-f2ab-484b-b78a-660f8870d47d_game_2.replay26	5	1	1	24	-1	1	1	0	far	116
c758475a-f2ab-484b-b78a-660f8870d47d_game_2.replay26	8	0	2	-1	34	0	0	0	far	116
c758475a-f2ab-484b-b78a-660f8870d47d_game_2.replay26	10	1	3	3	-1	1	0	0	far	116
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_5.replay26	3	0	0	-1	-1	1	1	0	far	168
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_5.replay26	5	1	1	3	-1	1	1	0	far	168
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_5.replay26	8	0	2	-1	-1	1	1	0	near	168
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_5.replay26	10	0	3	-1	-1	1	1	0	near	168
126d9e1a-0b16-40a6-9ef5-e44457cf32e0_game_3.replay26	4	0	0	-1	-1	1	0	0	near	64
126d9e1a-0b16-40a6-9ef5-e44457cf32e0_game_3.replay26	6	1	1	30	-1	1	1	0	far	64
126d9e1a-0b16-40a6-9ef5-e44457cf32e0_game_3.replay26	8	1	2	31	-1	1	1	0	far	64
126d9e1a-0b16-40a6-9ef5-e44457cf32e0_game_3.replay26	10	0	3	-1	-1	1	1	0	mid	64
