file	map_w	map_h	rounds	winner	win_condition	a_titanium	b_titanium	a_ti_collected	b_ti_collected	a_chain	b_chain	a_chain_dir	b_chain_dir	a_shipped	b_shipped	a_core_deliv	b_core_deliv	a_sentinel_r	a_sentinel_at	b_sentinel_r	b_sentinel_at	a_gunner_r	a_gunner_at	b_gunner_r	b_gunner_at	a_launcher_r	a_launcher_at	b_launcher_r	b_launcher_at	a_barrier_r	a_barrier_at	b_barrier_r	b_barrier_at	a_harvester_r	a_harvester_at	b_harvester_r	b_harvester_at	a_conveyor_r	a_conveyor_at	b_conveyor_r	b_conveyor_at	a_splitter_r	a_splitter_at	b_splitter_r	b_splitter_at	a_n_builder_bot	b_n_builder_bot	a_n_core	b_n_core	a_n_harvester	b_n_harvester	a_n_conveyor	b_n_conveyor	a_n_splitter	b_n_splitter	a_n_barrier	b_n_barrier	a_n_sentinel	b_n_sentinel	a_n_gunner	b_n_gunner	a_n_launcher	b_n_launcher
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_1.replay26	25	15	359	B	core_destroyed	107	28	2400	930	10/13	4/4	10/13	3/4	12/13	3/4	240	93	5	12,6	1	12,9	20	10,12	216	11,9	1	11,6							156	16,3	5	16,11	160	16,2	7	16,12					10	5	0	1	13	4	37	21	0	0	0	0	0	1	2	0	0	0
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_2.replay26	16	16	245	B	core_destroyed	18	36	1350	1370	2/4	3/5	2/4	3/5	4/4	5/5	135	137	45	14,10	16	5,5	124	13,11	80	3,3	1	3,1	21	13,13					6	1,4	3	14,11	8	1,3	5	14,12					8	5	0	1	4	5	25	38	0	0	0	0	2	0	1	2	0	1
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_3.replay26	10	10	793	A	core_destroyed	50	26	4900	0	5/5	0/0	4/5	0/0	5/5	0/0	490	0	5	6,2	8	3,8	27	5,4	284	5,7	1	4,5							113	3,7	5	3,7	115	3,6	7	8,6					16	0	1	0	5	0	22	0	0	0	0	0	3	0	1	0	0	0
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_4.replay26	24	24	431	B	core_destroyed	21	28	3290	2420	5/15	6/8	5/15	1/8	15/15	8/8	329	242	16	14,14	57	17,17	303	14,20	120	14,14	1	4,6	216	21,18					8	0,2	9	13,19	10	1,2	11	14,19					11	7	0	1	15	8	74	65	0	0	0	0	0	1	4	1	1	1
ebd900b1-2dd7-4178-a3a6-42ddae660958_game_5.replay26	26	26	218	B	core_destroyed	62	4	3740	520	13/13	2/4	13/13	1/4	13/13	2/4	374	52	14	15,16	44	9,10	168	17,20	84	5,9	1	7,8	13	19,18					5	10,6	6	24,20	7	9,6	8	23,20					14	4	0	1	13	4	47	9	0	0	0	0	3	0	4	1	1	1
86e91e86-1608-43b2-8b79-5bc4b7027014_game_1.replay26	20	26	309	A	core_destroyed	11	16	0	2020	0/0	3/3	0/0	3/3	0/0	3/3	0	202	6	12,8	3	9,11			140	8,7			1	9,16							6	10,14			8	10,15					4	4	1	0	0	3	0	26	0	0	0	0	4	0	0	3	0	1
86e91e86-1608-43b2-8b79-5bc4b7027014_game_2.replay26	25	25	90	A	core_destroyed	10	29	200	230	1/2	1/2	1/2	1/2	2/2	2/2	20	23	26	17,8	23	2,15							1	19,5					5	1,17	6	23,7	7	1,18	2	20,5					1	3	1	0	2	2	10	19	0	0	0	0	1	2	0	0	0	1
86e91e86-1608-43b2-8b79-5bc4b7027014_game_3.replay26	18	18	112	A	core_destroyed	39	13	340	0	2/2	0/0	2/2	0/0	2/2	0/0	34	0	7	4,13	6	7,10							1	12,4					2	1,17	84	9,8	4	1,16	88	9,7					4	3	1	0	2	0	10	9	0	0	0	0	3	2	0	0	0	1
86e91e86-1608-43b2-8b79-5bc4b7027014_game_4.replay26	25	25	94	A	core_destroyed	152	27	440	390	3/3	3/3	3/3	3/3	3/3	3/3	44	39	38	14,14	9	10,10							1	16,17					7	1,7	6	13,19	9	2,7	9	15,18					5	3	1	0	3	3	10	13	0	0	0	0	1	1	0	0	0	1
86e91e86-1608-43b2-8b79-5bc4b7027014_game_5.replay26	21	8	109	A	core_destroyed	22	41	260	0	1/1	0/0	1/1	0/0	1/1	0/0	26	0	5	8,3	4	10,3							1	12,3					7	9,5			9	2,4							3	1	1	0	1	0	6	0	0	0	0	0	2	2	0	0	0	0
41f6513a-66b7-4837-94d5-b8876e301756_game_1.replay26	28	20	374	B	core_destroyed	14	6	700	1810	0/6	2/9	0/6	2/9	6/6	5/9	70	181	4	15,9	6	17,11	215	15,11	104	14,8	1	10,9	98	14,7					13	12,5	9	26,11	16	12,4	11	25,11					3	5	0	1	6	9	20	42	0	0	0	0	0	2	0	5	0	1
41f6513a-66b7-4837-94d5-b8876e301756_game_2.replay26	26	26	60	A	core_destroyed	70	10	440	0	4/4	0/3	4/4	0/3	4/4	2/3	44	0	14	15,16	21	9,10					1	7,8							5	10,6	6	24,19	7	9,6	11	18,21					3	6	1	0	4	3	12	8	0	0	0	0	2	0	0	0	1	0
41f6513a-66b7-4837-94d5-b8876e301756_game_3.replay26	18	18	101	B	core_destroyed	85	27	0	350	0/0	2/2	0/0	2/2	0/0	2/2	0	35	6	10,7	14	13,0					1	4,12									6	16,0			9	15,0					2	5	0	1	0	2	0	10	0	0	0	0	2	2	0	0	1	0
41f6513a-66b7-4837-94d5-b8876e301756_game_4.replay26	21	8	127	B	core_destroyed	41	12	0	120	0/0	1/2	0/0	1/2	0/0	2/2	0	12	3	10,3	6	11,4	21	14,2			1	8,3									7	10,1			9	11,1					1	2	0	1	0	2	0	7	0	0	0	0	3	1	1	0	1	0
41f6513a-66b7-4837-94d5-b8876e301756_game_5.replay26	25	15	332	B	core_destroyed	30	51	760	3650	0/2	10/13	0/2	7/13	2/2	11/13	76	365	5	12,6	6	13,8	136	9,10	91	13,7	1	11,6	259	9,7					285	5,2	6	16,8	289	6,2	8	15,8					1	6	0	1	2	13	8	85	0	0	0	0	0	0	0	10	0	1
e055de81-3fe2-465f-aa55-6994584048e7_game_1.replay26	14	18	123	A	core_destroyed	116	57	390	0	2/2	0/0	2/2	0/0	2/2	0/0	39	0	67	7,7	3	6,9			23	6,3			1	6,10					4	7,2			7	7,3							5	1	1	0	2	0	15	0	0	0	0	0	1	3	0	1	0	1
e055de81-3fe2-465f-aa55-6994584048e7_game_2.replay26	26	26	157	A	core_destroyed	33	35	1050	900	3/4	4/5	3/4	4/5	4/4	4/5	105	90	39	15,16	12	9,10	76	20,16			11	4,7	1	17,18					5	1,6	6	18,14	7	2,6	8	18,15					6	7	1	0	4	5	31	31	0	0	0	0	0	0	0	0	1	1
e055de81-3fe2-465f-aa55-6994584048e7_game_3.replay26	21	8	72	A	core_destroyed	83	11	430	0	3/3	0/0	3/3	0/0	3/3	0/0	43	0	5	9,4	4	10,3	12	8,3	33	5,2			1	12,3					5	1,4			6	2,4							3	1	1	0	3	0	12	0	0	0	0	0	1	2	1	1	0	1
