file	match	game	us_side	our_won	ourver	oppver	completedAt	game_winner_side
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_1.replay26	dfe503b5-c2fd-4508-97f0-f99b8bb67821	1	b	0	64	37	2026-08-07T13:36:33.344Z	a
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_2.replay26	dfe503b5-c2fd-4508-97f0-f99b8bb67821	2	b	0	64	37	2026-08-07T13:36:33.344Z	a
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_3.replay26	dfe503b5-c2fd-4508-97f0-f99b8bb67821	3	b	0	64	37	2026-08-07T13:36:33.344Z	a
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_4.replay26	dfe503b5-c2fd-4508-97f0-f99b8bb67821	4	b	0	64	37	2026-08-07T13:36:33.344Z	a
dfe503b5-c2fd-4508-97f0-f99b8bb67821_game_5.replay26	dfe503b5-c2fd-4508-97f0-f99b8bb67821	5	b	0	64	37	2026-08-07T13:36:33.344Z	a
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_1.replay26	c618984a-e93a-4fde-b9b9-5ec0cd3abadf	1	b	0	65	42	2026-08-07T14:46:02.710Z	a
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_2.replay26	c618984a-e93a-4fde-b9b9-5ec0cd3abadf	2	b	0	65	42	2026-08-07T14:46:02.710Z	a
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_3.replay26	c618984a-e93a-4fde-b9b9-5ec0cd3abadf	3	b	1	65	42	2026-08-07T14:46:02.710Z	b
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_4.replay26	c618984a-e93a-4fde-b9b9-5ec0cd3abadf	4	b	0	65	42	2026-08-07T14:46:02.710Z	a
c618984a-e93a-4fde-b9b9-5ec0cd3abadf_game_5.replay26	c618984a-e93a-4fde-b9b9-5ec0cd3abadf	5	b	1	65	42	2026-08-07T14:46:02.710Z	b
03e63d07-fd8c-4933-b290-570be7e52c36_game_1.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	1	a	0	67	42	2026-08-07T17:06:02.377Z	b
03e63d07-fd8c-4933-b290-570be7e52c36_game_2.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	2	a	1	67	42	2026-08-07T17:06:02.377Z	a
03e63d07-fd8c-4933-b290-570be7e52c36_game_3.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	3	a	1	67	42	2026-08-07T17:06:02.377Z	a
03e63d07-fd8c-4933-b290-570be7e52c36_game_4.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	4	a	0	67	42	2026-08-07T17:06:02.377Z	b
03e63d07-fd8c-4933-b290-570be7e52c36_game_5.replay26	03e63d07-fd8c-4933-b290-570be7e52c36	5	a	0	67	42	2026-08-07T17:06:02.377Z	b
f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6_game_1.replay26	f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6	1	a	0	68	42	2026-08-07T18:37:13.640Z	b
f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6_game_2.replay26	f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6	2	a	0	68	42	2026-08-07T18:37:13.640Z	b
f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6_game_3.replay26	f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6	3	a	0	68	42	2026-08-07T18:37:13.640Z	b
f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6_game_4.replay26	f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6	4	a	0	68	42	2026-08-07T18:37:13.640Z	b
f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6_game_5.replay26	f2ea3ff4-eeb6-41b1-9a6c-c3b225ea3fe6	5	a	0	68	42	2026-08-07T18:37:13.640Z	b
4aa0b763-18ec-49b5-bb72-803fc6d70d66_game_1.replay26	4aa0b763-18ec-49b5-bb72-803fc6d70d66	1	b	1	68	42	2026-08-07T20:08:36.578Z	b
4aa0b763-18ec-49b5-bb72-803fc6d70d66_game_2.replay26	4aa0b763-18ec-49b5-bb72-803fc6d70d66	2	b	0	68	42	2026-08-07T20:08:36.578Z	a
4aa0b763-18ec-49b5-bb72-803fc6d70d66_game_3.replay26	4aa0b763-18ec-49b5-bb72-803fc6d70d66	3	b	0	68	42	2026-08-07T20:08:36.578Z	a
4aa0b763-18ec-49b5-bb72-803fc6d70d66_game_4.replay26	4aa0b763-18ec-49b5-bb72-803fc6d70d66	4	b	0	68	42	2026-08-07T20:08:36.578Z	a
4aa0b763-18ec-49b5-bb72-803fc6d70d66_game_5.replay26	4aa0b763-18ec-49b5-bb72-803fc6d70d66	5	b	0	68	42	2026-08-07T20:08:36.578Z	a
b2c92a34-e048-4599-9f11-b375fda9ec84_game_1.replay26	b2c92a34-e048-4599-9f11-b375fda9ec84	1	a	1	70	45	2026-08-07T23:10:40.528Z	a
b2c92a34-e048-4599-9f11-b375fda9ec84_game_2.replay26	b2c92a34-e048-4599-9f11-b375fda9ec84	2	a	0	70	45	2026-08-07T23:10:40.528Z	b
b2c92a34-e048-4599-9f11-b375fda9ec84_game_3.replay26	b2c92a34-e048-4599-9f11-b375fda9ec84	3	a	0	70	45	2026-08-07T23:10:40.528Z	b
b2c92a34-e048-4599-9f11-b375fda9ec84_game_4.replay26	b2c92a34-e048-4599-9f11-b375fda9ec84	4	a	0	70	45	2026-08-07T23:10:40.528Z	b
b2c92a34-e048-4599-9f11-b375fda9ec84_game_5.replay26	b2c92a34-e048-4599-9f11-b375fda9ec84	5	a	1	70	45	2026-08-07T23:10:40.528Z	a
e14bb335-9fd3-492f-974f-9fbb2ca0fbb1_game_1.replay26	e14bb335-9fd3-492f-974f-9fbb2ca0fbb1	1	b	0	72	45	2026-08-08T00:46:57.997Z	a
e14bb335-9fd3-492f-974f-9fbb2ca0fbb1_game_2.replay26	e14bb335-9fd3-492f-974f-9fbb2ca0fbb1	2	b	0	72	45	2026-08-08T00:46:57.997Z	a
e14bb335-9fd3-492f-974f-9fbb2ca0fbb1_game_3.replay26	e14bb335-9fd3-492f-974f-9fbb2ca0fbb1	3	b	0	72	45	2026-08-08T00:46:57.997Z	a
e14bb335-9fd3-492f-974f-9fbb2ca0fbb1_game_4.replay26	e14bb335-9fd3-492f-974f-9fbb2ca0fbb1	4	b	0	72	45	2026-08-08T00:46:57.997Z	a
e14bb335-9fd3-492f-974f-9fbb2ca0fbb1_game_5.replay26	e14bb335-9fd3-492f-974f-9fbb2ca0fbb1	5	b	0	72	45	2026-08-08T00:46:57.997Z	a
447e336c-7266-4188-95ff-a67cbaf06d18_game_1.replay26	447e336c-7266-4188-95ff-a67cbaf06d18	1	a	0	72	45	2026-08-08T02:55:19.962Z	b
447e336c-7266-4188-95ff-a67cbaf06d18_game_2.replay26	447e336c-7266-4188-95ff-a67cbaf06d18	2	a	1	72	45	2026-08-08T02:55:19.962Z	a
447e336c-7266-4188-95ff-a67cbaf06d18_game_3.replay26	447e336c-7266-4188-95ff-a67cbaf06d18	3	a	0	72	45	2026-08-08T02:55:19.962Z	b
447e336c-7266-4188-95ff-a67cbaf06d18_game_4.replay26	447e336c-7266-4188-95ff-a67cbaf06d18	4	a	1	72	45	2026-08-08T02:55:19.962Z	a
447e336c-7266-4188-95ff-a67cbaf06d18_game_5.replay26	447e336c-7266-4188-95ff-a67cbaf06d18	5	a	0	72	45	2026-08-08T02:55:19.962Z	b
de674ded-6727-4f7f-9c54-f038a7e2b432_game_1.replay26	de674ded-6727-4f7f-9c54-f038a7e2b432	1	b	0	74	44	2026-08-08T05:44:35.210Z	a
de674ded-6727-4f7f-9c54-f038a7e2b432_game_2.replay26	de674ded-6727-4f7f-9c54-f038a7e2b432	2	b	0	74	44	2026-08-08T05:44:35.210Z	a
de674ded-6727-4f7f-9c54-f038a7e2b432_game_3.replay26	de674ded-6727-4f7f-9c54-f038a7e2b432	3	b	1	74	44	2026-08-08T05:44:35.210Z	b
de674ded-6727-4f7f-9c54-f038a7e2b432_game_4.replay26	de674ded-6727-4f7f-9c54-f038a7e2b432	4	b	0	74	44	2026-08-08T05:44:35.210Z	a
de674ded-6727-4f7f-9c54-f038a7e2b432_game_5.replay26	de674ded-6727-4f7f-9c54-f038a7e2b432	5	b	1	74	44	2026-08-08T05:44:35.210Z	b
7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa_game_1.replay26	7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa	1	a	0	74	44	2026-08-08T07:26:53.000Z	b
7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa_game_2.replay26	7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa	2	a	0	74	44	2026-08-08T07:26:53.000Z	b
7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa_game_3.replay26	7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa	3	a	0	74	44	2026-08-08T07:26:53.000Z	b
7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa_game_4.replay26	7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa	4	a	0	74	44	2026-08-08T07:26:53.000Z	b
7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa_game_5.replay26	7bd8bf8e-6085-4d09-8a2b-edb72ad2abfa	5	a	0	74	44	2026-08-08T07:26:53.000Z	b
7bcba428-c6f7-4b49-b002-6d5393871e1f_game_1.replay26	7bcba428-c6f7-4b49-b002-6d5393871e1f	1	a	0	75	44	2026-08-08T08:36:54.144Z	b
7bcba428-c6f7-4b49-b002-6d5393871e1f_game_2.replay26	7bcba428-c6f7-4b49-b002-6d5393871e1f	2	a	0	75	44	2026-08-08T08:36:54.144Z	b
7bcba428-c6f7-4b49-b002-6d5393871e1f_game_3.replay26	7bcba428-c6f7-4b49-b002-6d5393871e1f	3	a	1	75	44	2026-08-08T08:36:54.144Z	a
7bcba428-c6f7-4b49-b002-6d5393871e1f_game_4.replay26	7bcba428-c6f7-4b49-b002-6d5393871e1f	4	a	0	75	44	2026-08-08T08:36:54.144Z	b
7bcba428-c6f7-4b49-b002-6d5393871e1f_game_5.replay26	7bcba428-c6f7-4b49-b002-6d5393871e1f	5	a	0	75	44	2026-08-08T08:36:54.144Z	b
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_1.replay26	e64c3327-2ed7-4352-8d1b-8ea0ed1f436c	1	a	1	76	44	2026-08-08T10:06:53.140Z	a
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_2.replay26	e64c3327-2ed7-4352-8d1b-8ea0ed1f436c	2	a	0	76	44	2026-08-08T10:06:53.140Z	b
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_3.replay26	e64c3327-2ed7-4352-8d1b-8ea0ed1f436c	3	a	0	76	44	2026-08-08T10:06:53.140Z	b
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_4.replay26	e64c3327-2ed7-4352-8d1b-8ea0ed1f436c	4	a	1	76	44	2026-08-08T10:06:53.140Z	a
e64c3327-2ed7-4352-8d1b-8ea0ed1f436c_game_5.replay26	e64c3327-2ed7-4352-8d1b-8ea0ed1f436c	5	a	0	76	44	2026-08-08T10:06:53.140Z	b
a63a2f73-9a60-4013-bb38-f721e04ef5b7_game_1.replay26	a63a2f73-9a60-4013-bb38-f721e04ef5b7	1	b	1	76	44	2026-08-08T12:36:40.797Z	b
a63a2f73-9a60-4013-bb38-f721e04ef5b7_game_2.replay26	a63a2f73-9a60-4013-bb38-f721e04ef5b7	2	b	0	76	44	2026-08-08T12:36:40.797Z	a
a63a2f73-9a60-4013-bb38-f721e04ef5b7_game_3.replay26	a63a2f73-9a60-4013-bb38-f721e04ef5b7	3	b	0	76	44	2026-08-08T12:36:40.797Z	a
a63a2f73-9a60-4013-bb38-f721e04ef5b7_game_4.replay26	a63a2f73-9a60-4013-bb38-f721e04ef5b7	4	b	0	76	44	2026-08-08T12:36:40.797Z	a
a63a2f73-9a60-4013-bb38-f721e04ef5b7_game_5.replay26	a63a2f73-9a60-4013-bb38-f721e04ef5b7	5	b	1	76	44	2026-08-08T12:36:40.797Z	b
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_1.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	1	b	0	79	44	2026-08-08T13:38:50.156Z	a
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_2.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	2	b	1	79	44	2026-08-08T13:38:50.156Z	b
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_3.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	3	b	0	79	44	2026-08-08T13:38:50.156Z	a
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_4.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	4	b	1	79	44	2026-08-08T13:38:50.156Z	b
cd9ae34c-a359-495e-83d1-5fa0034a4287_game_5.replay26	cd9ae34c-a359-495e-83d1-5fa0034a4287	5	b	0	79	44	2026-08-08T13:38:50.156Z	a
b8a10d95-4d33-443e-8616-90717e2eb721_game_1.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	1	b	0	80	44	2026-08-08T15:03:21.755Z	a
b8a10d95-4d33-443e-8616-90717e2eb721_game_2.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	2	b	0	80	44	2026-08-08T15:03:21.755Z	a
b8a10d95-4d33-443e-8616-90717e2eb721_game_3.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	3	b	1	80	44	2026-08-08T15:03:21.755Z	b
b8a10d95-4d33-443e-8616-90717e2eb721_game_4.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	4	b	0	80	44	2026-08-08T15:03:21.755Z	a
b8a10d95-4d33-443e-8616-90717e2eb721_game_5.replay26	b8a10d95-4d33-443e-8616-90717e2eb721	5	b	0	80	44	2026-08-08T15:03:21.755Z	a
70ce8cb2-ff59-4077-960a-ef893d2f4b85_game_1.replay26	70ce8cb2-ff59-4077-960a-ef893d2f4b85	1	a	0	80	44	2026-08-08T16:15:52.918Z	b
