ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T16:11:04Z	SALTREF	0	antler	32288000	A	T	core_destroyed	342
2026-08-14T16:10:52Z	SALTREF	1	antler	32288000	B	T	core_destroyed	96
2026-08-14T16:11:04Z	SALTREF	2	archipelago	32288000	A	T	core_destroyed	354
2026-08-14T16:10:57Z	SALTREF	3	archipelago	32288000	B	T	core_destroyed	184
2026-08-14T16:10:55Z	SALTREF	4	auroraveil	32288000	A	C	core_destroyed	139
2026-08-14T16:11:01Z	SALTREF	5	auroraveil	32288000	B	C	core_destroyed	199
2026-08-14T16:11:11Z	SALTREF	6	drakkarfjord	32288000	A	T	core_destroyed	451
2026-08-14T16:10:59Z	SALTREF	7	drakkarfjord	32288000	B	T	core_destroyed	139
2026-08-14T16:11:01Z	SALTREF	8	drumlin	32288000	A	C	core_destroyed	136
2026-08-14T16:11:03Z	SALTREF	9	drumlin	32288000	B	T	core_destroyed	207
2026-08-14T16:10:52Z	SALTREF	10	fjordgate	32288000	A	C	core_destroyed	287
2026-08-14T16:11:02Z	SALTREF	11	fjordgate	32288000	B	C	tiebreak	1000
2026-08-14T16:10:52Z	SALTREF	12	frostgate	32288000	A	T	core_destroyed	173
2026-08-14T16:10:52Z	SALTREF	13	frostgate	32288000	B	T	core_destroyed	156
2026-08-14T16:11:04Z	SALTREF	14	glacierkeep	32288000	A	T	tiebreak	1000
2026-08-14T16:11:07Z	SALTREF	15	glacierkeep	32288000	B	T	core_destroyed	453
2026-08-14T16:10:55Z	SALTREF	16	icefloe	32288000	A	T	core_destroyed	188
2026-08-14T16:11:05Z	SALTREF	17	icefloe	32288000	B	T	core_destroyed	382
2026-08-14T16:11:06Z	SALTREF	18	midgard	32288000	A	T	core_destroyed	185
2026-08-14T16:11:06Z	SALTREF	19	midgard	32288000	B	T	core_destroyed	158
2026-08-14T16:10:52Z	SALTREF	20	nordkap	32288000	A	T	core_destroyed	209
2026-08-14T16:11:02Z	SALTREF	21	nordkap	32288000	B	C	core_destroyed	166
2026-08-14T16:11:04Z	SALTREF	22	ragnarok	32288000	A	C	core_destroyed	148
2026-08-14T16:11:03Z	SALTREF	23	ragnarok	32288000	B	C	core_destroyed	123
2026-08-14T16:11:05Z	SALTREF	24	royale	32288000	A	T	tiebreak	1000
2026-08-14T16:10:52Z	SALTREF	25	royale	32288000	B	T	core_destroyed	212
2026-08-14T16:10:53Z	SALTREF	26	valkyrie	32288000	A	C	core_destroyed	140
2026-08-14T16:11:05Z	SALTREF	27	valkyrie	32288000	B	T	core_destroyed	217
2026-08-14T16:11:05Z	SALTREF	28	yulerune	32288000	A	C	core_destroyed	561
2026-08-14T16:11:01Z	SALTREF	29	yulerune	32288000	B	T	core_destroyed	212
2026-08-14T16:10:53Z	SALTREF	30	antler	32288001	A	T	core_destroyed	139
2026-08-14T16:10:54Z	SALTREF	31	antler	32288001	B	T	core_destroyed	161
2026-08-14T16:10:57Z	SALTREF	32	archipelago	32288001	A	T	core_destroyed	140
2026-08-14T16:10:57Z	SALTREF	33	archipelago	32288001	B	C	core_destroyed	99
2026-08-14T16:10:57Z	SALTREF	34	auroraveil	32288001	A	C	core_destroyed	153
2026-08-14T16:11:02Z	SALTREF	35	auroraveil	32288001	B	T	core_destroyed	540
2026-08-14T16:11:02Z	SALTREF	36	drakkarfjord	32288001	A	T	core_destroyed	177
2026-08-14T16:11:00Z	SALTREF	37	drakkarfjord	32288001	B	T	core_destroyed	102
2026-08-14T16:11:01Z	SALTREF	38	drumlin	32288001	A	C	core_destroyed	257
2026-08-14T16:10:54Z	SALTREF	39	drumlin	32288001	B	C	core_destroyed	233
2026-08-14T16:11:22Z	SALTREF	40	fjordgate	32288001	A	T	core_destroyed	189
2026-08-14T16:11:26Z	SALTREF	41	fjordgate	32288001	B	C	core_destroyed	367
2026-08-14T16:11:24Z	SALTREF	42	frostgate	32288001	A	T	core_destroyed	213
2026-08-14T16:11:27Z	SALTREF	43	frostgate	32288001	B	T	core_destroyed	170
2026-08-14T16:11:30Z	SALTREF	44	glacierkeep	32288001	A	T	core_destroyed	237
2026-08-14T16:11:31Z	SALTREF	45	glacierkeep	32288001	B	C	core_destroyed	348
2026-08-14T16:11:28Z	SALTREF	46	icefloe	32288001	A	T	core_destroyed	183
2026-08-14T16:11:27Z	SALTREF	47	icefloe	32288001	B	T	core_destroyed	190
2026-08-14T16:11:37Z	SALTREF	48	midgard	32288001	A	T	core_destroyed	219
2026-08-14T16:11:37Z	SALTREF	49	midgard	32288001	B	T	core_destroyed	199
2026-08-14T16:11:36Z	SALTREF	50	nordkap	32288001	A	T	tiebreak	1000
2026-08-14T16:11:38Z	SALTREF	51	nordkap	32288001	B	C	tiebreak	1000
2026-08-14T16:11:37Z	SALTREF	52	ragnarok	32288001	A	C	core_destroyed	210
2026-08-14T16:12:45Z	SALTREF	53	ragnarok	32288001	B	C	tiebreak	1000
2026-08-14T16:11:22Z	SALTREF	54	royale	32288001	A	C	core_destroyed	195
2026-08-14T16:11:25Z	SALTREF	55	royale	32288001	B	T	core_destroyed	133
2026-08-14T16:11:31Z	SALTREF	56	valkyrie	32288001	A	C	core_destroyed	155
2026-08-14T16:11:23Z	SALTREF	57	valkyrie	32288001	B	T	core_destroyed	226
2026-08-14T16:11:28Z	SALTREF	58	yulerune	32288001	A	C	core_destroyed	194
2026-08-14T16:11:34Z	SALTREF	59	yulerune	32288001	B	T	core_destroyed	525
2026-08-14T16:11:31Z	SALTREF	60	antler	32288002	A	T	core_destroyed	158
2026-08-14T16:11:22Z	SALTREF	61	antler	32288002	B	T	core_destroyed	158
2026-08-14T16:11:24Z	SALTREF	62	archipelago	32288002	A	C	core_destroyed	156
2026-08-14T16:11:32Z	SALTREF	63	archipelago	32288002	B	T	tiebreak	128
2026-08-14T16:11:33Z	SALTREF	64	auroraveil	32288002	A	C	core_destroyed	275
2026-08-14T16:11:23Z	SALTREF	65	auroraveil	32288002	B	T	core_destroyed	158
2026-08-14T16:11:34Z	SALTREF	66	drakkarfjord	32288002	A	T	core_destroyed	185
2026-08-14T16:12:07Z	SALTREF	67	drakkarfjord	32288002	B	C	core_destroyed	694
2026-08-14T16:11:30Z	SALTREF	68	drumlin	32288002	A	T	core_destroyed	172
2026-08-14T16:11:33Z	SALTREF	69	drumlin	32288002	B	C	core_destroyed	199
2026-08-14T16:11:26Z	SALTREF	70	fjordgate	32288002	A	T	core_destroyed	256
2026-08-14T16:11:21Z	SALTREF	71	fjordgate	32288002	B	C	core_destroyed	132
2026-08-14T16:11:34Z	SALTREF	72	frostgate	32288002	A	C	core_destroyed	359
2026-08-14T16:11:25Z	SALTREF	73	frostgate	32288002	B	C	core_destroyed	101
2026-08-14T16:11:28Z	SALTREF	74	glacierkeep	32288002	A	T	core_destroyed	284
2026-08-14T16:11:24Z	SALTREF	75	glacierkeep	32288002	B	C	core_destroyed	253
2026-08-14T16:11:30Z	SALTREF	76	icefloe	32288002	A	T	core_destroyed	146
2026-08-14T16:11:28Z	SALTREF	77	icefloe	32288002	B	C	core_destroyed	125
2026-08-14T16:11:32Z	SALTREF	78	midgard	32288002	A	T	core_destroyed	97
2026-08-14T16:11:34Z	SALTREF	79	midgard	32288002	B	T	core_destroyed	122
2026-08-14T16:13:00Z	SALTREF	80	nordkap	32288002	A	T	core_destroyed	236
2026-08-14T16:13:06Z	SALTREF	81	nordkap	32288002	B	C	core_destroyed	376
2026-08-14T16:13:14Z	SALTREF	82	ragnarok	32288002	A	C	core_destroyed	231
2026-08-14T16:14:15Z	SALTREF	83	ragnarok	32288002	B	C	tiebreak	1000
2026-08-14T16:13:15Z	SALTREF	84	royale	32288002	A	T	tiebreak	1000
2026-08-14T16:13:00Z	SALTREF	85	royale	32288002	B	T	core_destroyed	161
2026-08-14T16:13:02Z	SALTREF	86	valkyrie	32288002	A	T	core_destroyed	224
2026-08-14T16:12:58Z	SALTREF	87	valkyrie	32288002	B	T	core_destroyed	196
2026-08-14T16:13:14Z	SALTREF	88	yulerune	32288002	A	C	core_destroyed	473
2026-08-14T16:12:56Z	SALTREF	89	yulerune	32288002	B	C	core_destroyed	232
2026-08-14T16:12:52Z	SALTREF	90	antler	32288003	A	T	core_destroyed	277
2026-08-14T16:12:57Z	SALTREF	91	antler	32288003	B	C	core_destroyed	278
2026-08-14T16:13:06Z	SALTREF	92	archipelago	32288003	A	T	core_destroyed	409
2026-08-14T16:13:07Z	SALTREF	93	archipelago	32288003	B	T	core_destroyed	224
2026-08-14T16:13:01Z	SALTREF	94	auroraveil	32288003	A	T	core_destroyed	281
2026-08-14T16:13:04Z	SALTREF	95	auroraveil	32288003	B	C	core_destroyed	170
2026-08-14T16:13:07Z	SALTREF	96	drakkarfjord	32288003	A	C	core_destroyed	338
2026-08-14T16:13:05Z	SALTREF	97	drakkarfjord	32288003	B	T	core_destroyed	168
2026-08-14T16:13:01Z	SALTREF	98	drumlin	32288003	A	C	core_destroyed	108
2026-08-14T16:13:14Z	SALTREF	99	drumlin	32288003	B	T	core_destroyed	360
2026-08-14T16:12:52Z	SALTREF	100	fjordgate	32288003	A	T	core_destroyed	107
2026-08-14T16:12:57Z	SALTREF	101	fjordgate	32288003	B	C	core_destroyed	258
2026-08-14T16:13:01Z	SALTREF	102	frostgate	32288003	A	T	core_destroyed	217
2026-08-14T16:13:02Z	SALTREF	103	frostgate	32288003	B	C	core_destroyed	207
2026-08-14T16:13:04Z	SALTREF	104	glacierkeep	32288003	A	T	core_destroyed	270
2026-08-14T16:13:05Z	SALTREF	105	glacierkeep	32288003	B	C	core_destroyed	341
2026-08-14T16:13:12Z	SALTREF	106	icefloe	32288003	A	T	tiebreak	1000
2026-08-14T16:13:11Z	SALTREF	107	icefloe	32288003	B	T	core_destroyed	367
2026-08-14T16:13:16Z	SALTREF	108	midgard	32288003	A	C	core_destroyed	244
2026-08-14T16:13:11Z	SALTREF	109	midgard	32288003	B	T	core_destroyed	106
2026-08-14T16:13:07Z	SALTREF	110	nordkap	32288003	A	T	core_destroyed	235
2026-08-14T16:13:06Z	SALTREF	111	nordkap	32288003	B	T	core_destroyed	258
2026-08-14T16:13:26Z	SALTREF	112	ragnarok	32288003	A	T	core_destroyed	513
2026-08-14T16:13:13Z	SALTREF	113	ragnarok	32288003	B	C	core_destroyed	162
2026-08-14T16:12:56Z	SALTREF	114	royale	32288003	A	C	core_destroyed	113
2026-08-14T16:13:05Z	SALTREF	115	royale	32288003	B	T	core_destroyed	357
2026-08-14T16:13:10Z	SALTREF	116	valkyrie	32288003	A	C	core_destroyed	374
2026-08-14T16:13:02Z	SALTREF	117	valkyrie	32288003	B	C	core_destroyed	161
2026-08-14T16:13:06Z	SALTREF	118	yulerune	32288003	A	C	core_destroyed	290
2026-08-14T16:12:57Z	SALTREF	119	yulerune	32288003	B	T	core_destroyed	204
2026-08-14T16:14:26Z	SALTREF	120	antler	32288004	A	C	core_destroyed	135
2026-08-14T16:14:19Z	SALTREF	121	antler	32288004	B	T	core_destroyed	153
2026-08-14T16:14:48Z	SALTREF	122	archipelago	32288004	A	C	core_destroyed	532
2026-08-14T16:14:32Z	SALTREF	123	archipelago	32288004	B	T	core_destroyed	95
2026-08-14T16:14:34Z	SALTREF	124	auroraveil	32288004	A	C	core_destroyed	229
2026-08-14T16:14:33Z	SALTREF	125	auroraveil	32288004	B	T	core_destroyed	171
2026-08-14T16:14:56Z	SALTREF	126	drakkarfjord	32288004	A	T	core_destroyed	966
2026-08-14T16:14:46Z	SALTREF	127	drakkarfjord	32288004	B	T	core_destroyed	483
2026-08-14T16:14:28Z	SALTREF	128	drumlin	32288004	A	C	core_destroyed	165
2026-08-14T16:14:29Z	SALTREF	129	drumlin	32288004	B	C	core_destroyed	262
2026-08-14T16:14:29Z	SALTREF	130	fjordgate	32288004	A	C	core_destroyed	239
2026-08-14T16:14:22Z	SALTREF	131	fjordgate	32288004	B	C	core_destroyed	169
2026-08-14T16:14:33Z	SALTREF	132	frostgate	32288004	A	T	core_destroyed	160
2026-08-14T16:14:24Z	SALTREF	133	frostgate	32288004	B	C	core_destroyed	115
2026-08-14T16:14:32Z	SALTREF	134	glacierkeep	32288004	A	T	core_destroyed	210
2026-08-14T16:14:45Z	SALTREF	135	glacierkeep	32288004	B	T	core_destroyed	754
2026-08-14T16:14:35Z	SALTREF	136	icefloe	32288004	A	C	core_destroyed	283
2026-08-14T16:14:40Z	SALTREF	137	icefloe	32288004	B	T	core_destroyed	391
2026-08-14T16:14:44Z	SALTREF	138	midgard	32288004	A	C	core_destroyed	206
2026-08-14T16:14:34Z	SALTREF	139	midgard	32288004	B	C	core_destroyed	103
2026-08-14T16:14:39Z	SALTREF	140	nordkap	32288004	A	C	core_destroyed	889
2026-08-14T16:14:38Z	SALTREF	141	nordkap	32288004	B	C	core_destroyed	274
2026-08-14T16:16:08Z	SALTREF	142	ragnarok	32288004	A	C	tiebreak	1000
2026-08-14T16:14:41Z	SALTREF	143	ragnarok	32288004	B	T	core_destroyed	136
2026-08-14T16:14:27Z	SALTREF	144	royale	32288004	A	C	core_destroyed	92
2026-08-14T16:14:35Z	SALTREF	145	royale	32288004	B	T	core_destroyed	194
2026-08-14T16:14:46Z	SALTREF	146	valkyrie	32288004	A	T	core_destroyed	473
2026-08-14T16:14:39Z	SALTREF	147	valkyrie	32288004	B	C	core_destroyed	227
2026-08-14T16:14:30Z	SALTREF	148	yulerune	32288004	A	T	core_destroyed	257
2026-08-14T16:14:42Z	SALTREF	149	yulerune	32288004	B	C	core_destroyed	331
2026-08-14T16:14:37Z	SALTREF	150	antler	32288005	A	T	core_destroyed	439
2026-08-14T16:14:30Z	SALTREF	151	antler	32288005	B	C	core_destroyed	173
2026-08-14T16:14:36Z	SALTREF	152	archipelago	32288005	A	T	core_destroyed	213
2026-08-14T16:14:36Z	SALTREF	153	archipelago	32288005	B	C	core_destroyed	159
2026-08-14T16:14:27Z	SALTREF	154	auroraveil	32288005	A	T	core_destroyed	169
2026-08-14T16:14:27Z	SALTREF	155	auroraveil	32288005	B	T	core_destroyed	131
2026-08-14T16:14:46Z	SALTREF	156	drakkarfjord	32288005	A	C	core_destroyed	421
2026-08-14T16:14:38Z	SALTREF	157	drakkarfjord	32288005	B	T	core_destroyed	140
2026-08-14T16:14:31Z	SALTREF	158	drumlin	32288005	A	C	core_destroyed	124
2026-08-14T16:14:37Z	SALTREF	159	drumlin	32288005	B	T	core_destroyed	117
2026-08-14T16:16:24Z	SALTREF	160	fjordgate	32288005	A	T	core_destroyed	138
2026-08-14T16:16:21Z	SALTREF	161	fjordgate	32288005	B	T	core_destroyed	150
2026-08-14T16:16:27Z	SALTREF	162	frostgate	32288005	A	C	core_destroyed	250
2026-08-14T16:16:22Z	SALTREF	163	frostgate	32288005	B	T	core_destroyed	101
2026-08-14T16:16:33Z	SALTREF	164	glacierkeep	32288005	A	T	tiebreak	1000
2026-08-14T16:16:17Z	SALTREF	165	glacierkeep	32288005	B	C	core_destroyed	344
2026-08-14T16:16:20Z	SALTREF	166	icefloe	32288005	A	C	core_destroyed	149
2026-08-14T16:16:22Z	SALTREF	167	icefloe	32288005	B	C	core_destroyed	148
2026-08-14T16:16:31Z	SALTREF	168	midgard	32288005	A	C	core_destroyed	126
2026-08-14T16:16:32Z	SALTREF	169	midgard	32288005	B	C	core_destroyed	142
2026-08-14T16:16:22Z	SALTREF	170	nordkap	32288005	A	T	core_destroyed	337
2026-08-14T16:16:27Z	SALTREF	171	nordkap	32288005	B	T	core_destroyed	280
2026-08-14T16:16:32Z	SALTREF	172	ragnarok	32288005	A	T	core_destroyed	153
2026-08-14T16:17:54Z	SALTREF	173	ragnarok	32288005	B	C	tiebreak	1000
2026-08-14T16:16:23Z	SALTREF	174	royale	32288005	A	T	core_destroyed	134
2026-08-14T16:16:20Z	SALTREF	175	royale	32288005	B	C	core_destroyed	117
2026-08-14T16:16:26Z	SALTREF	176	valkyrie	32288005	A	C	core_destroyed	172
2026-08-14T16:16:26Z	SALTREF	177	valkyrie	32288005	B	T	core_destroyed	112
2026-08-14T16:16:17Z	SALTREF	178	yulerune	32288005	A	T	core_destroyed	165
2026-08-14T16:16:22Z	SALTREF	179	yulerune	32288005	B	C	core_destroyed	101
2026-08-14T16:16:23Z	SALTREF	180	antler	32288006	A	T	core_destroyed	128
2026-08-14T16:16:26Z	SALTREF	181	antler	32288006	B	C	core_destroyed	380
2026-08-14T16:16:32Z	SALTREF	182	archipelago	32288006	A	C	core_destroyed	219
2026-08-14T16:16:25Z	SALTREF	183	archipelago	32288006	B	T	core_destroyed	111
2026-08-14T16:16:26Z	SALTREF	184	auroraveil	32288006	A	C	core_destroyed	206
2026-08-14T16:16:25Z	SALTREF	185	auroraveil	32288006	B	T	core_destroyed	204
2026-08-14T16:16:39Z	SALTREF	186	drakkarfjord	32288006	A	T	core_destroyed	784
2026-08-14T16:16:26Z	SALTREF	187	drakkarfjord	32288006	B	T	core_destroyed	101
2026-08-14T16:16:36Z	SALTREF	188	drumlin	32288006	A	C	core_destroyed	463
2026-08-14T16:16:30Z	SALTREF	189	drumlin	32288006	B	T	core_destroyed	253
2026-08-14T16:16:17Z	SALTREF	190	fjordgate	32288006	A	C	core_destroyed	109
2026-08-14T16:16:21Z	SALTREF	191	fjordgate	32288006	B	C	core_destroyed	316
2026-08-14T16:16:23Z	SALTREF	192	frostgate	32288006	A	C	core_destroyed	139
2026-08-14T16:16:31Z	SALTREF	193	frostgate	32288006	B	T	core_destroyed	535
2026-08-14T16:16:36Z	SALTREF	194	glacierkeep	32288006	A	T	core_destroyed	658
2026-08-14T16:16:21Z	SALTREF	195	glacierkeep	32288006	B	C	core_destroyed	232
2026-08-14T16:16:29Z	SALTREF	196	icefloe	32288006	A	C	core_destroyed	271
2026-08-14T16:16:29Z	SALTREF	197	icefloe	32288006	B	C	core_destroyed	211
2026-08-14T16:16:34Z	SALTREF	198	midgard	32288006	A	C	core_destroyed	123
2026-08-14T16:16:37Z	SALTREF	199	midgard	32288006	B	C	core_destroyed	240
2026-08-14T16:18:22Z	SALTREF	200	nordkap	32288006	A	T	core_destroyed	625
2026-08-14T16:18:05Z	SALTREF	201	nordkap	32288006	B	T	core_destroyed	121
2026-08-14T16:19:25Z	SALTREF	202	ragnarok	32288006	A	C	tiebreak	1000
2026-08-14T16:18:09Z	SALTREF	203	ragnarok	32288006	B	C	core_destroyed	169
2026-08-14T16:18:16Z	SALTREF	204	royale	32288006	A	T	core_destroyed	190
2026-08-14T16:18:03Z	SALTREF	205	royale	32288006	B	C	core_destroyed	109
2026-08-14T16:18:16Z	SALTREF	206	valkyrie	32288006	A	C	core_destroyed	183
2026-08-14T16:18:14Z	SALTREF	207	valkyrie	32288006	B	C	core_destroyed	240
2026-08-14T16:18:12Z	SALTREF	208	yulerune	32288006	A	C	core_destroyed	158
2026-08-14T16:18:19Z	SALTREF	209	yulerune	32288006	B	C	core_destroyed	334
2026-08-14T16:18:09Z	SALTREF	210	antler	32288007	A	T	core_destroyed	367
2026-08-14T16:18:20Z	SALTREF	211	antler	32288007	B	C	core_destroyed	332
2026-08-14T16:18:19Z	SALTREF	212	archipelago	32288007	A	C	core_destroyed	108
2026-08-14T16:18:17Z	SALTREF	213	archipelago	32288007	B	T	core_destroyed	88
2026-08-14T16:18:18Z	SALTREF	214	auroraveil	32288007	A	T	core_destroyed	193
2026-08-14T16:18:05Z	SALTREF	215	auroraveil	32288007	B	T	core_destroyed	113
2026-08-14T16:18:15Z	SALTREF	216	drakkarfjord	32288007	A	T	core_destroyed	140
2026-08-14T16:18:46Z	SALTREF	217	drakkarfjord	32288007	B	C	core_destroyed	846
2026-08-14T16:18:21Z	SALTREF	218	drumlin	32288007	A	C	core_destroyed	300
2026-08-14T16:18:11Z	SALTREF	219	drumlin	32288007	B	C	core_destroyed	176
2026-08-14T16:18:21Z	SALTREF	220	fjordgate	32288007	A	C	core_destroyed	295
2026-08-14T16:18:03Z	SALTREF	221	fjordgate	32288007	B	C	core_destroyed	159
2026-08-14T16:18:24Z	SALTREF	222	frostgate	32288007	A	C	tiebreak	1000
2026-08-14T16:18:10Z	SALTREF	223	frostgate	32288007	B	T	core_destroyed	109
2026-08-14T16:18:27Z	SALTREF	224	glacierkeep	32288007	A	T	tiebreak	1000
2026-08-14T16:18:18Z	SALTREF	225	glacierkeep	32288007	B	C	core_destroyed	297
2026-08-14T16:18:08Z	SALTREF	226	icefloe	32288007	A	C	core_destroyed	106
2026-08-14T16:18:22Z	SALTREF	227	icefloe	32288007	B	C	core_destroyed	461
2026-08-14T16:18:21Z	SALTREF	228	midgard	32288007	A	T	core_destroyed	133
2026-08-14T16:18:21Z	SALTREF	229	midgard	32288007	B	C	core_destroyed	136
2026-08-14T16:18:16Z	SALTREF	230	nordkap	32288007	A	C	core_destroyed	156
2026-08-14T16:18:05Z	SALTREF	231	nordkap	32288007	B	T	core_destroyed	169
2026-08-14T16:18:21Z	SALTREF	232	ragnarok	32288007	A	T	core_destroyed	94
2026-08-14T16:18:24Z	SALTREF	233	ragnarok	32288007	B	C	core_destroyed	210
2026-08-14T16:18:12Z	SALTREF	234	royale	32288007	A	C	core_destroyed	197
2026-08-14T16:18:22Z	SALTREF	235	royale	32288007	B	C	tiebreak	1000
2026-08-14T16:18:09Z	SALTREF	236	valkyrie	32288007	A	T	core_destroyed	92
2026-08-14T16:18:02Z	SALTREF	237	valkyrie	32288007	B	T	core_destroyed	186
2026-08-14T16:18:23Z	SALTREF	238	yulerune	32288007	A	C	core_destroyed	306
2026-08-14T16:18:15Z	SALTREF	239	yulerune	32288007	B	C	core_destroyed	276
2026-08-14T16:19:34Z	SALTREF	240	antler	32288008	A	T	core_destroyed	151
2026-08-14T16:19:44Z	SALTREF	241	antler	32288008	B	C	core_destroyed	155
2026-08-14T16:19:42Z	SALTREF	242	archipelago	32288008	A	C	core_destroyed	100
2026-08-14T16:19:50Z	SALTREF	243	archipelago	32288008	B	C	core_destroyed	232
2026-08-14T16:19:35Z	SALTREF	244	auroraveil	32288008	A	T	core_destroyed	78
2026-08-14T16:19:41Z	SALTREF	245	auroraveil	32288008	B	T	core_destroyed	133
2026-08-14T16:19:51Z	SALTREF	246	drakkarfjord	32288008	A	T	core_destroyed	396
2026-08-14T16:19:44Z	SALTREF	247	drakkarfjord	32288008	B	T	core_destroyed	152
2026-08-14T16:19:45Z	SALTREF	248	drumlin	32288008	A	C	core_destroyed	206
2026-08-14T16:19:41Z	SALTREF	249	drumlin	32288008	B	C	core_destroyed	237
2026-08-14T16:19:35Z	SALTREF	250	fjordgate	32288008	A	T	core_destroyed	281
2026-08-14T16:19:34Z	SALTREF	251	fjordgate	32288008	B	C	core_destroyed	252
2026-08-14T16:19:44Z	SALTREF	252	frostgate	32288008	A	T	core_destroyed	178
2026-08-14T16:19:36Z	SALTREF	253	frostgate	32288008	B	C	core_destroyed	131
2026-08-14T16:19:49Z	SALTREF	254	glacierkeep	32288008	A	C	tiebreak	1000
2026-08-14T16:19:54Z	SALTREF	255	glacierkeep	32288008	B	C	core_destroyed	857
2026-08-14T16:19:45Z	SALTREF	256	icefloe	32288008	A	T	core_destroyed	365
2026-08-14T16:19:37Z	SALTREF	257	icefloe	32288008	B	C	core_destroyed	129
2026-08-14T16:19:51Z	SALTREF	258	midgard	32288008	A	C	core_destroyed	157
2026-08-14T16:19:49Z	SALTREF	259	midgard	32288008	B	C	core_destroyed	124
2026-08-14T16:19:36Z	SALTREF	260	nordkap	32288008	A	T	core_destroyed	154
2026-08-14T16:19:48Z	SALTREF	261	nordkap	32288008	B	T	core_destroyed	344
2026-08-14T16:20:06Z	SALTREF	262	ragnarok	32288008	A	C	core_destroyed	442
2026-08-14T16:19:47Z	SALTREF	263	ragnarok	32288008	B	C	core_destroyed	119
2026-08-14T16:19:35Z	SALTREF	264	royale	32288008	A	C	core_destroyed	377
2026-08-14T16:19:37Z	SALTREF	265	royale	32288008	B	C	core_destroyed	302
2026-08-14T16:19:51Z	SALTREF	266	valkyrie	32288008	A	T	core_destroyed	336
2026-08-14T16:19:41Z	SALTREF	267	valkyrie	32288008	B	T	core_destroyed	156
2026-08-14T16:19:45Z	SALTREF	268	yulerune	32288008	A	C	core_destroyed	338
2026-08-14T16:19:56Z	SALTREF	269	yulerune	32288008	B	C	tiebreak	1000
2026-08-14T16:19:49Z	SALTREF	270	antler	32288009	A	T	core_destroyed	444
2026-08-14T16:19:45Z	SALTREF	271	antler	32288009	B	C	core_destroyed	185
2026-08-14T16:19:39Z	SALTREF	272	archipelago	32288009	A	C	core_destroyed	81
2026-08-14T16:19:39Z	SALTREF	273	archipelago	32288009	B	T	core_destroyed	140
2026-08-14T16:19:44Z	SALTREF	274	auroraveil	32288009	A	T	core_destroyed	197
2026-08-14T16:19:42Z	SALTREF	275	auroraveil	32288009	B	C	core_destroyed	234
2026-08-14T16:20:05Z	SALTREF	276	drakkarfjord	32288009	A	T	tiebreak	1000
2026-08-14T16:19:43Z	SALTREF	277	drakkarfjord	32288009	B	C	core_destroyed	82
2026-08-14T16:19:54Z	SALTREF	278	drumlin	32288009	A	C	tiebreak	1000
2026-08-14T16:19:38Z	SALTREF	279	drumlin	32288009	B	C	core_destroyed	97
2026-08-14T16:20:15Z	SALTREF	280	fjordgate	32288009	A	C	core_destroyed	155
2026-08-14T16:20:23Z	SALTREF	281	fjordgate	32288009	B	C	core_destroyed	248
2026-08-14T16:20:30Z	SALTREF	282	frostgate	32288009	A	C	core_destroyed	439
2026-08-14T16:20:16Z	SALTREF	283	frostgate	32288009	B	C	core_destroyed	129
2026-08-14T16:20:38Z	SALTREF	284	glacierkeep	32288009	A	T	tiebreak	1000
2026-08-14T16:20:42Z	SALTREF	285	glacierkeep	32288009	B	T	tiebreak	1000
2026-08-14T16:20:33Z	SALTREF	286	icefloe	32288009	A	C	core_destroyed	473
2026-08-14T16:20:24Z	SALTREF	287	icefloe	32288009	B	C	core_destroyed	245
2026-08-14T16:20:36Z	SALTREF	288	midgard	32288009	A	C	core_destroyed	378
2026-08-14T16:20:28Z	SALTREF	289	midgard	32288009	B	T	core_destroyed	103
2026-08-14T16:20:11Z	SALTREF	290	nordkap	32288009	A	T	core_destroyed	147
2026-08-14T16:20:24Z	SALTREF	291	nordkap	32288009	B	C	core_destroyed	190
2026-08-14T16:21:11Z	SALTREF	292	ragnarok	32288009	A	C	tiebreak	1000
2026-08-14T16:21:09Z	SALTREF	293	ragnarok	32288009	B	C	tiebreak	1000
