ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T15:49:54Z	V140VS143	0	antler	32298000	A	T	core_destroyed	490
2026-08-14T15:49:46Z	V140VS143	1	antler	32298000	B	C	core_destroyed	249
2026-08-14T15:49:51Z	V140VS143	2	archipelago	32298000	A	T	core_destroyed	336
2026-08-14T15:49:55Z	V140VS143	3	archipelago	32298000	B	C	core_destroyed	447
2026-08-14T15:49:32Z	V140VS143	4	auroraveil	32298000	A	C	core_destroyed	125
2026-08-14T15:49:41Z	V140VS143	5	auroraveil	32298000	B	T	core_destroyed	170
2026-08-14T15:49:55Z	V140VS143	6	drakkarfjord	32298000	A	C	core_destroyed	496
2026-08-14T15:49:44Z	V140VS143	7	drakkarfjord	32298000	B	T	core_destroyed	157
2026-08-14T15:49:39Z	V140VS143	8	drumlin	32298000	A	T	core_destroyed	146
2026-08-14T15:49:55Z	V140VS143	9	drumlin	32298000	B	C	tiebreak	1000
2026-08-14T15:49:34Z	V140VS143	10	fjordgate	32298000	A	C	core_destroyed	182
2026-08-14T15:49:36Z	V140VS143	11	fjordgate	32298000	B	T	core_destroyed	119
2026-08-14T15:49:36Z	V140VS143	12	frostgate	32298000	A	T	core_destroyed	93
2026-08-14T15:49:40Z	V140VS143	13	frostgate	32298000	B	C	core_destroyed	261
2026-08-14T15:49:53Z	V140VS143	14	glacierkeep	32298000	A	T	tiebreak	1000
2026-08-14T15:49:43Z	V140VS143	15	glacierkeep	32298000	B	C	core_destroyed	257
2026-08-14T15:49:44Z	V140VS143	16	icefloe	32298000	A	C	core_destroyed	188
2026-08-14T15:49:54Z	V140VS143	17	icefloe	32298000	B	T	core_destroyed	549
2026-08-14T15:49:47Z	V140VS143	18	midgard	32298000	A	T	core_destroyed	121
2026-08-14T15:49:52Z	V140VS143	19	midgard	32298000	B	C	core_destroyed	116
2026-08-14T15:49:38Z	V140VS143	20	nordkap	32298000	A	T	core_destroyed	119
2026-08-14T15:49:48Z	V140VS143	21	nordkap	32298000	B	C	core_destroyed	926
2026-08-14T15:50:55Z	V140VS143	22	ragnarok	32298000	A	T	tiebreak	1000
2026-08-14T15:49:47Z	V140VS143	23	ragnarok	32298000	B	C	core_destroyed	123
2026-08-14T15:49:38Z	V140VS143	24	royale	32298000	A	C	core_destroyed	153
2026-08-14T15:49:40Z	V140VS143	25	royale	32298000	B	T	core_destroyed	153
2026-08-14T15:49:41Z	V140VS143	26	valkyrie	32298000	A	C	core_destroyed	117
2026-08-14T15:49:48Z	V140VS143	27	valkyrie	32298000	B	C	core_destroyed	437
2026-08-14T15:49:47Z	V140VS143	28	yulerune	32298000	A	C	core_destroyed	471
2026-08-14T15:49:43Z	V140VS143	29	yulerune	32298000	B	C	core_destroyed	257
2026-08-14T15:49:41Z	V140VS143	30	antler	32298001	A	T	core_destroyed	345
2026-08-14T15:49:41Z	V140VS143	31	antler	32298001	B	T	core_destroyed	227
2026-08-14T15:49:42Z	V140VS143	32	archipelago	32298001	A	T	core_destroyed	137
2026-08-14T15:49:46Z	V140VS143	33	archipelago	32298001	B	C	core_destroyed	123
2026-08-14T15:49:41Z	V140VS143	34	auroraveil	32298001	A	C	core_destroyed	171
2026-08-14T15:49:36Z	V140VS143	35	auroraveil	32298001	B	C	core_destroyed	79
2026-08-14T15:49:45Z	V140VS143	36	drakkarfjord	32298001	A	C	core_destroyed	139
2026-08-14T15:49:56Z	V140VS143	37	drakkarfjord	32298001	B	T	core_destroyed	355
2026-08-14T15:49:53Z	V140VS143	38	drumlin	32298001	A	T	tiebreak	1000
2026-08-14T15:49:42Z	V140VS143	39	drumlin	32298001	B	T	core_destroyed	161
2026-08-14T15:51:29Z	V140VS143	40	fjordgate	32298001	A	T	core_destroyed	805
2026-08-14T15:51:18Z	V140VS143	41	fjordgate	32298001	B	C	core_destroyed	258
2026-08-14T15:51:18Z	V140VS143	42	frostgate	32298001	A	T	core_destroyed	139
2026-08-14T15:51:21Z	V140VS143	43	frostgate	32298001	B	T	core_destroyed	217
2026-08-14T15:51:35Z	V140VS143	44	glacierkeep	32298001	A	T	core_destroyed	325
2026-08-14T15:51:17Z	V140VS143	45	glacierkeep	32298001	B	C	core_destroyed	179
2026-08-14T15:51:07Z	V140VS143	46	icefloe	32298001	A	T	core_destroyed	83
2026-08-14T15:51:17Z	V140VS143	47	icefloe	32298001	B	C	core_destroyed	153
2026-08-14T15:51:36Z	V140VS143	48	midgard	32298001	A	C	core_destroyed	124
2026-08-14T15:51:38Z	V140VS143	49	midgard	32298001	B	C	core_destroyed	140
2026-08-14T15:51:17Z	V140VS143	50	nordkap	32298001	A	C	core_destroyed	120
2026-08-14T15:51:35Z	V140VS143	51	nordkap	32298001	B	T	core_destroyed	296
2026-08-14T15:51:21Z	V140VS143	52	ragnarok	32298001	A	T	core_destroyed	170
2026-08-14T15:51:33Z	V140VS143	53	ragnarok	32298001	B	T	core_destroyed	195
2026-08-14T15:51:18Z	V140VS143	54	royale	32298001	A	C	core_destroyed	219
2026-08-14T15:51:10Z	V140VS143	55	royale	32298001	B	T	core_destroyed	149
2026-08-14T15:51:34Z	V140VS143	56	valkyrie	32298001	A	T	core_destroyed	497
2026-08-14T15:51:33Z	V140VS143	57	valkyrie	32298001	B	T	core_destroyed	279
2026-08-14T15:51:40Z	V140VS143	58	yulerune	32298001	A	C	core_destroyed	452
2026-08-14T15:51:35Z	V140VS143	59	yulerune	32298001	B	T	tiebreak	1000
2026-08-14T15:51:17Z	V140VS143	60	antler	32298002	A	C	core_destroyed	112
2026-08-14T15:51:21Z	V140VS143	61	antler	32298002	B	T	core_destroyed	199
2026-08-14T15:51:22Z	V140VS143	62	archipelago	32298002	A	T	core_destroyed	156
2026-08-14T15:51:28Z	V140VS143	63	archipelago	32298002	B	T	core_destroyed	147
2026-08-14T15:51:18Z	V140VS143	64	auroraveil	32298002	A	T	core_destroyed	135
2026-08-14T15:51:11Z	V140VS143	65	auroraveil	32298002	B	T	core_destroyed	136
2026-08-14T15:51:31Z	V140VS143	66	drakkarfjord	32298002	A	C	core_destroyed	137
2026-08-14T15:51:38Z	V140VS143	67	drakkarfjord	32298002	B	C	core_destroyed	285
2026-08-14T15:51:16Z	V140VS143	68	drumlin	32298002	A	T	core_destroyed	143
2026-08-14T15:51:33Z	V140VS143	69	drumlin	32298002	B	C	core_destroyed	276
2026-08-14T15:51:20Z	V140VS143	70	fjordgate	32298002	A	T	core_destroyed	277
2026-08-14T15:51:19Z	V140VS143	71	fjordgate	32298002	B	T	core_destroyed	329
2026-08-14T15:51:39Z	V140VS143	72	frostgate	32298002	A	T	tiebreak	1000
2026-08-14T15:51:24Z	V140VS143	73	frostgate	32298002	B	T	core_destroyed	516
2026-08-14T15:51:40Z	V140VS143	74	glacierkeep	32298002	A	T	core_destroyed	805
2026-08-14T15:51:24Z	V140VS143	75	glacierkeep	32298002	B	C	core_destroyed	207
2026-08-14T15:51:43Z	V140VS143	76	icefloe	32298002	A	T	tiebreak	1000
2026-08-14T15:51:35Z	V140VS143	77	icefloe	32298002	B	C	core_destroyed	933
2026-08-14T15:51:36Z	V140VS143	78	midgard	32298002	A	T	core_destroyed	132
2026-08-14T15:51:20Z	V140VS143	79	midgard	32298002	B	T	core_destroyed	115
2026-08-14T15:52:00Z	V140VS143	80	nordkap	32298002	A	T	core_destroyed	205
2026-08-14T15:51:58Z	V140VS143	81	nordkap	32298002	B	T	core_destroyed	103
2026-08-14T15:52:20Z	V140VS143	82	ragnarok	32298002	A	T	core_destroyed	308
2026-08-14T15:52:06Z	V140VS143	83	ragnarok	32298002	B	C	core_destroyed	127
2026-08-14T15:51:55Z	V140VS143	84	royale	32298002	A	T	core_destroyed	173
2026-08-14T15:52:00Z	V140VS143	85	royale	32298002	B	T	core_destroyed	360
2026-08-14T15:52:02Z	V140VS143	86	valkyrie	32298002	A	T	core_destroyed	138
2026-08-14T15:51:52Z	V140VS143	87	valkyrie	32298002	B	T	core_destroyed	192
2026-08-14T15:52:09Z	V140VS143	88	yulerune	32298002	A	C	core_destroyed	382
2026-08-14T15:52:05Z	V140VS143	89	yulerune	32298002	B	C	core_destroyed	469
2026-08-14T15:52:05Z	V140VS143	90	antler	32298003	A	T	core_destroyed	245
2026-08-14T15:52:03Z	V140VS143	91	antler	32298003	B	T	core_destroyed	344
2026-08-14T15:52:03Z	V140VS143	92	archipelago	32298003	A	C	core_destroyed	88
2026-08-14T15:52:00Z	V140VS143	93	archipelago	32298003	B	T	core_destroyed	165
2026-08-14T15:51:58Z	V140VS143	94	auroraveil	32298003	A	T	core_destroyed	102
2026-08-14T15:51:57Z	V140VS143	95	auroraveil	32298003	B	C	core_destroyed	125
2026-08-14T15:52:11Z	V140VS143	96	drakkarfjord	32298003	A	T	core_destroyed	342
2026-08-14T15:52:14Z	V140VS143	97	drakkarfjord	32298003	B	T	tiebreak	1000
2026-08-14T15:51:59Z	V140VS143	98	drumlin	32298003	A	T	core_destroyed	245
2026-08-14T15:52:01Z	V140VS143	99	drumlin	32298003	B	C	core_destroyed	222
2026-08-14T15:51:50Z	V140VS143	100	fjordgate	32298003	A	T	core_destroyed	179
2026-08-14T15:51:59Z	V140VS143	101	fjordgate	32298003	B	T	core_destroyed	115
2026-08-14T15:52:00Z	V140VS143	102	frostgate	32298003	A	T	core_destroyed	213
2026-08-14T15:51:53Z	V140VS143	103	frostgate	32298003	B	C	core_destroyed	104
2026-08-14T15:52:06Z	V140VS143	104	glacierkeep	32298003	A	T	core_destroyed	698
2026-08-14T15:52:13Z	V140VS143	105	glacierkeep	32298003	B	C	tiebreak	1000
2026-08-14T15:52:00Z	V140VS143	106	icefloe	32298003	A	T	core_destroyed	141
2026-08-14T15:51:57Z	V140VS143	107	icefloe	32298003	B	T	core_destroyed	114
2026-08-14T15:52:12Z	V140VS143	108	midgard	32298003	A	C	core_destroyed	138
2026-08-14T15:52:14Z	V140VS143	109	midgard	32298003	B	C	core_destroyed	140
2026-08-14T15:52:05Z	V140VS143	110	nordkap	32298003	A	T	core_destroyed	385
2026-08-14T15:51:57Z	V140VS143	111	nordkap	32298003	B	T	core_destroyed	122
2026-08-14T15:52:24Z	V140VS143	112	ragnarok	32298003	A	C	core_destroyed	568
2026-08-14T15:52:14Z	V140VS143	113	ragnarok	32298003	B	C	core_destroyed	169
2026-08-14T15:51:56Z	V140VS143	114	royale	32298003	A	C	core_destroyed	166
2026-08-14T15:52:01Z	V140VS143	115	royale	32298003	B	T	core_destroyed	245
2026-08-14T15:52:15Z	V140VS143	116	valkyrie	32298003	A	T	core_destroyed	436
2026-08-14T15:52:07Z	V140VS143	117	valkyrie	32298003	B	T	core_destroyed	258
2026-08-14T15:52:11Z	V140VS143	118	yulerune	32298003	A	C	tiebreak	1000
2026-08-14T15:51:48Z	V140VS143	119	yulerune	32298003	B	C	core_destroyed	109
2026-08-14T15:53:18Z	V140VS143	120	antler	32298004	A	T	core_destroyed	162
2026-08-14T15:53:22Z	V140VS143	121	antler	32298004	B	T	core_destroyed	281
2026-08-14T15:53:13Z	V140VS143	122	archipelago	32298004	A	C	core_destroyed	360
2026-08-14T15:53:27Z	V140VS143	123	archipelago	32298004	B	T	core_destroyed	92
2026-08-14T15:53:13Z	V140VS143	124	auroraveil	32298004	A	T	core_destroyed	96
2026-08-14T15:53:27Z	V140VS143	125	auroraveil	32298004	B	C	core_destroyed	362
2026-08-14T15:53:24Z	V140VS143	126	drakkarfjord	32298004	A	T	core_destroyed	177
2026-08-14T15:53:22Z	V140VS143	127	drakkarfjord	32298004	B	T	core_destroyed	252
2026-08-14T15:53:29Z	V140VS143	128	drumlin	32298004	A	T	core_destroyed	325
