ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-13T05:37:04Z	CLEARONLY	0	antler	208000	A	T	core_destroyed	269
2026-08-13T05:37:06Z	CLEARONLY	1	antler	208000	B	T	core_destroyed	167
2026-08-13T05:37:10Z	CLEARONLY	2	atoll	208000	A	C	core_destroyed	415
2026-08-13T05:37:12Z	CLEARONLY	3	atoll	208000	B	C	core_destroyed	265
2026-08-13T05:37:18Z	CLEARONLY	4	drumlin	208000	A	T	core_destroyed	518
2026-08-13T05:37:26Z	CLEARONLY	5	drumlin	208000	B	T	core_destroyed	485
2026-08-13T05:37:27Z	CLEARONLY	6	fjordgate	208000	A	C	core_destroyed	216
2026-08-13T05:37:30Z	CLEARONLY	7	fjordgate	208000	B	C	core_destroyed	315
2026-08-13T05:37:31Z	CLEARONLY	8	heart	208000	A	T	core_destroyed	179
2026-08-13T05:37:33Z	CLEARONLY	9	heart	208000	B	C	core_destroyed	225
2026-08-13T05:37:35Z	CLEARONLY	10	hive	208000	A	C	core_destroyed	129
2026-08-13T05:37:38Z	CLEARONLY	11	hive	208000	B	C	core_destroyed	214
2026-08-13T05:37:42Z	CLEARONLY	12	meander	208000	A	T	tiebreak	1000
2026-08-13T05:37:43Z	CLEARONLY	13	meander	208000	B	T	core_destroyed	128
2026-08-13T05:37:45Z	CLEARONLY	14	nordkap	208000	A	T	core_destroyed	272
2026-08-13T05:38:00Z	CLEARONLY	15	nordkap	208000	B	C	tiebreak	1000
2026-08-13T05:38:02Z	CLEARONLY	16	antler	208001	A	C	core_destroyed	239
2026-08-13T05:38:04Z	CLEARONLY	17	antler	208001	B	C	core_destroyed	440
2026-08-13T05:38:09Z	CLEARONLY	18	atoll	208001	A	T	core_destroyed	440
2026-08-13T05:38:11Z	CLEARONLY	19	atoll	208001	B	C	core_destroyed	223
2026-08-13T05:38:12Z	CLEARONLY	20	drumlin	208001	A	T	core_destroyed	80
2026-08-13T05:38:14Z	CLEARONLY	21	drumlin	208001	B	C	core_destroyed	218
2026-08-13T05:38:16Z	CLEARONLY	22	fjordgate	208001	A	C	core_destroyed	181
2026-08-13T05:38:17Z	CLEARONLY	23	fjordgate	208001	B	C	core_destroyed	114
2026-08-13T05:38:19Z	CLEARONLY	24	heart	208001	A	C	core_destroyed	296
2026-08-13T05:38:21Z	CLEARONLY	25	heart	208001	B	T	core_destroyed	135
2026-08-13T05:38:31Z	CLEARONLY	26	hive	208001	A	T	core_destroyed	553
2026-08-13T05:38:35Z	CLEARONLY	27	hive	208001	B	T	core_destroyed	265
2026-08-13T05:38:36Z	CLEARONLY	28	meander	208001	A	C	core_destroyed	140
2026-08-13T05:38:38Z	CLEARONLY	29	meander	208001	B	T	core_destroyed	179
2026-08-13T05:38:40Z	CLEARONLY	30	nordkap	208001	A	C	core_destroyed	569
2026-08-13T05:38:42Z	CLEARONLY	31	nordkap	208001	B	C	core_destroyed	135
2026-08-13T05:38:45Z	CLEARONLY	32	antler	208002	A	C	tiebreak	1000
2026-08-13T05:38:47Z	CLEARONLY	33	antler	208002	B	T	core_destroyed	330
2026-08-13T05:38:49Z	CLEARONLY	34	atoll	208002	A	T	core_destroyed	137
2026-08-13T05:38:50Z	CLEARONLY	35	atoll	208002	B	T	core_destroyed	110
2026-08-13T05:38:54Z	CLEARONLY	36	drumlin	208002	A	C	core_destroyed	355
2026-08-13T05:38:55Z	CLEARONLY	37	drumlin	208002	B	C	core_destroyed	147
2026-08-13T05:38:56Z	CLEARONLY	38	fjordgate	208002	A	T	core_destroyed	165
2026-08-13T05:38:58Z	CLEARONLY	39	fjordgate	208002	B	T	core_destroyed	187
2026-08-13T05:39:01Z	CLEARONLY	40	heart	208002	A	T	core_destroyed	216
