# FIXTURE	shard=CRASHG	treatment=bots/_v224crashon	control=bots/_probe_border_guard	planned_n=60	workers=1	host=MacBook-Pro	start=2026-08-14T21:20:05Z	runner=tools/overnight.sh
ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T21:20:06Z	CRASHG	0	antler	93100	A	T	core_destroyed	71
2026-08-14T21:20:07Z	CRASHG	1	antler	93100	B	T	core_destroyed	70
2026-08-14T21:20:08Z	CRASHG	2	archipelago	93100	A	T	core_destroyed	72
2026-08-14T21:20:10Z	CRASHG	3	archipelago	93100	B	T	core_destroyed	85
2026-08-14T21:20:11Z	CRASHG	4	auroraveil	93100	A	T	core_destroyed	273
2026-08-14T21:20:12Z	CRASHG	5	auroraveil	93100	B	T	core_destroyed	196
2026-08-14T21:20:14Z	CRASHG	6	drakkarfjord	93100	A	T	core_destroyed	102
2026-08-14T21:20:15Z	CRASHG	7	drakkarfjord	93100	B	T	core_destroyed	99
2026-08-14T21:20:16Z	CRASHG	8	drumlin	93100	A	T	core_destroyed	73
2026-08-14T21:20:17Z	CRASHG	9	drumlin	93100	B	T	core_destroyed	90
2026-08-14T21:20:19Z	CRASHG	10	fjordgate	93100	A	T	core_destroyed	226
2026-08-14T21:20:20Z	CRASHG	11	fjordgate	93100	B	T	core_destroyed	70
2026-08-14T21:20:21Z	CRASHG	12	frostgate	93100	A	T	core_destroyed	106
2026-08-14T21:20:22Z	CRASHG	13	frostgate	93100	B	T	core_destroyed	96
2026-08-14T21:20:23Z	CRASHG	14	glacierkeep	93100	A	T	core_destroyed	114
2026-08-14T21:20:24Z	CRASHG	15	glacierkeep	93100	B	T	core_destroyed	192
2026-08-14T21:20:26Z	CRASHG	16	icefloe	93100	A	T	core_destroyed	131
2026-08-14T21:20:27Z	CRASHG	17	icefloe	93100	B	T	core_destroyed	90
2026-08-14T21:20:29Z	CRASHG	18	midgard	93100	A	T	core_destroyed	109
2026-08-14T21:20:30Z	CRASHG	19	midgard	93100	B	T	core_destroyed	81
2026-08-14T21:20:31Z	CRASHG	20	nordkap	93100	A	T	core_destroyed	102
2026-08-14T21:20:32Z	CRASHG	21	nordkap	93100	B	T	core_destroyed	102
2026-08-14T21:20:34Z	CRASHG	22	ragnarok	93100	A	T	core_destroyed	102
2026-08-14T21:20:35Z	CRASHG	23	ragnarok	93100	B	T	core_destroyed	112
2026-08-14T21:20:36Z	CRASHG	24	royale	93100	A	T	core_destroyed	120
2026-08-14T21:20:37Z	CRASHG	25	royale	93100	B	T	core_destroyed	111
2026-08-14T21:20:39Z	CRASHG	26	valkyrie	93100	A	T	core_destroyed	106
2026-08-14T21:20:40Z	CRASHG	27	valkyrie	93100	B	T	core_destroyed	94
2026-08-14T21:20:41Z	CRASHG	28	yulerune	93100	A	T	core_destroyed	84
2026-08-14T21:20:42Z	CRASHG	29	yulerune	93100	B	T	core_destroyed	84
2026-08-14T21:20:43Z	CRASHG	30	antler	93101	A	T	core_destroyed	65
2026-08-14T21:20:44Z	CRASHG	31	antler	93101	B	T	core_destroyed	71
2026-08-14T21:20:45Z	CRASHG	32	archipelago	93101	A	T	core_destroyed	80
2026-08-14T21:20:46Z	CRASHG	33	archipelago	93101	B	T	core_destroyed	87
2026-08-14T21:20:48Z	CRASHG	34	auroraveil	93101	A	T	core_destroyed	110
2026-08-14T21:20:49Z	CRASHG	35	auroraveil	93101	B	T	core_destroyed	105
2026-08-14T21:20:50Z	CRASHG	36	drakkarfjord	93101	A	T	core_destroyed	131
2026-08-14T21:20:52Z	CRASHG	37	drakkarfjord	93101	B	T	core_destroyed	118
2026-08-14T21:20:53Z	CRASHG	38	drumlin	93101	A	T	core_destroyed	89
2026-08-14T21:20:54Z	CRASHG	39	drumlin	93101	B	T	core_destroyed	102
2026-08-14T21:20:55Z	CRASHG	40	fjordgate	93101	A	T	core_destroyed	120
2026-08-14T21:20:56Z	CRASHG	41	fjordgate	93101	B	T	core_destroyed	107
2026-08-14T21:20:57Z	CRASHG	42	frostgate	93101	A	T	core_destroyed	88
2026-08-14T21:20:58Z	CRASHG	43	frostgate	93101	B	T	core_destroyed	93
2026-08-14T21:20:59Z	CRASHG	44	glacierkeep	93101	A	T	core_destroyed	108
2026-08-14T21:21:01Z	CRASHG	45	glacierkeep	93101	B	T	core_destroyed	112
2026-08-14T21:21:02Z	CRASHG	46	icefloe	93101	A	T	core_destroyed	145
2026-08-14T21:21:03Z	CRASHG	47	icefloe	93101	B	T	core_destroyed	112
2026-08-14T21:21:05Z	CRASHG	48	midgard	93101	A	T	core_destroyed	104
2026-08-14T21:21:06Z	CRASHG	49	midgard	93101	B	T	core_destroyed	110
2026-08-14T21:21:08Z	CRASHG	50	nordkap	93101	A	T	core_destroyed	166
2026-08-14T21:21:09Z	CRASHG	51	nordkap	93101	B	T	core_destroyed	90
2026-08-14T21:21:11Z	CRASHG	52	ragnarok	93101	A	T	core_destroyed	144
2026-08-14T21:21:12Z	CRASHG	53	ragnarok	93101	B	T	core_destroyed	135
2026-08-14T21:21:13Z	CRASHG	54	royale	93101	A	T	core_destroyed	88
2026-08-14T21:21:14Z	CRASHG	55	royale	93101	B	T	core_destroyed	87
2026-08-14T21:21:16Z	CRASHG	56	valkyrie	93101	A	T	core_destroyed	80
2026-08-14T21:21:17Z	CRASHG	57	valkyrie	93101	B	T	core_destroyed	85
2026-08-14T21:21:18Z	CRASHG	58	yulerune	93101	A	T	core_destroyed	81
2026-08-14T21:21:19Z	CRASHG	59	yulerune	93101	B	T	core_destroyed	96
