ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T02:37:31Z	ECORAID2	0	antler	239000	A	T	core_destroyed	169
2026-08-14T02:37:32Z	ECORAID2	1	antler	239000	B	T	core_destroyed	172
2026-08-14T02:37:37Z	ECORAID2	2	archipelago	239000	A	C	core_destroyed	207
2026-08-14T02:37:38Z	ECORAID2	3	archipelago	239000	B	T	core_destroyed	112
2026-08-14T02:37:40Z	ECORAID2	4	auroraveil	239000	A	T	core_destroyed	281
2026-08-14T02:37:41Z	ECORAID2	5	auroraveil	239000	B	T	core_destroyed	114
2026-08-14T02:37:45Z	ECORAID2	6	drakkarfjord	239000	A	T	core_destroyed	585
2026-08-14T02:37:52Z	ECORAID2	7	drakkarfjord	239000	B	C	core_destroyed	618
2026-08-14T02:37:53Z	ECORAID2	8	drumlin	239000	A	T	core_destroyed	197
2026-08-14T02:37:55Z	ECORAID2	9	drumlin	239000	B	C	core_destroyed	139
2026-08-14T02:37:56Z	ECORAID2	10	fjordgate	239000	A	C	core_destroyed	475
2026-08-14T02:37:58Z	ECORAID2	11	fjordgate	239000	B	C	core_destroyed	189
2026-08-14T02:38:02Z	ECORAID2	12	frostgate	239000	A	T	core_destroyed	637
2026-08-14T02:38:06Z	ECORAID2	13	frostgate	239000	B	C	core_destroyed	420
2026-08-14T02:38:18Z	ECORAID2	14	glacierkeep	239000	A	T	tiebreak	1000
2026-08-14T02:38:20Z	ECORAID2	15	glacierkeep	239000	B	C	core_destroyed	204
2026-08-14T02:38:22Z	ECORAID2	16	icefloe	239000	A	C	core_destroyed	268
2026-08-14T02:38:24Z	ECORAID2	17	icefloe	239000	B	C	core_destroyed	203
2026-08-14T02:38:27Z	ECORAID2	18	midgard	239000	A	T	core_destroyed	529
2026-08-14T02:38:29Z	ECORAID2	19	midgard	239000	B	T	core_destroyed	82
2026-08-14T02:38:30Z	ECORAID2	20	nordkap	239000	A	C	core_destroyed	127
2026-08-14T02:38:32Z	ECORAID2	21	nordkap	239000	B	T	core_destroyed	387
2026-08-14T02:38:34Z	ECORAID2	22	ragnarok	239000	A	T	core_destroyed	157
2026-08-14T02:38:38Z	ECORAID2	23	ragnarok	239000	B	C	core_destroyed	194
2026-08-14T02:38:41Z	ECORAID2	24	royale	239000	A	T	core_destroyed	404
2026-08-14T02:38:43Z	ECORAID2	25	royale	239000	B	T	core_destroyed	204
2026-08-14T02:38:44Z	ECORAID2	26	valkyrie	239000	A	T	core_destroyed	92
2026-08-14T02:38:47Z	ECORAID2	27	valkyrie	239000	B	T	core_destroyed	193
2026-08-14T02:38:49Z	ECORAID2	28	yulerune	239000	A	C	core_destroyed	208
2026-08-14T02:38:52Z	ECORAID2	29	yulerune	239000	B	T	core_destroyed	472
2026-08-14T02:38:53Z	ECORAID2	30	antler	239001	A	T	core_destroyed	349
2026-08-14T02:38:55Z	ECORAID2	31	antler	239001	B	C	core_destroyed	205
2026-08-14T02:38:57Z	ECORAID2	32	archipelago	239001	A	C	core_destroyed	96
2026-08-14T02:38:58Z	ECORAID2	33	archipelago	239001	B	T	core_destroyed	93
2026-08-14T02:39:01Z	ECORAID2	34	auroraveil	239001	A	C	core_destroyed	481
2026-08-14T02:39:03Z	ECORAID2	35	auroraveil	239001	B	T	core_destroyed	274
2026-08-14T02:39:15Z	ECORAID2	36	drakkarfjord	239001	A	T	core_destroyed	685
2026-08-14T02:39:22Z	ECORAID2	37	drakkarfjord	239001	B	T	core_destroyed	777
2026-08-14T02:39:23Z	ECORAID2	38	drumlin	239001	A	T	core_destroyed	114
2026-08-14T02:39:26Z	ECORAID2	39	drumlin	239001	B	C	core_destroyed	193
2026-08-14T02:39:27Z	ECORAID2	40	fjordgate	239001	A	C	core_destroyed	120
2026-08-14T02:39:28Z	ECORAID2	41	fjordgate	239001	B	C	core_destroyed	197
2026-08-14T02:39:30Z	ECORAID2	42	frostgate	239001	A	T	core_destroyed	307
2026-08-14T02:39:33Z	ECORAID2	43	frostgate	239001	B	C	core_destroyed	349
2026-08-14T02:39:35Z	ECORAID2	44	glacierkeep	239001	A	C	core_destroyed	333
2026-08-14T02:39:37Z	ECORAID2	45	glacierkeep	239001	B	C	core_destroyed	191
2026-08-14T02:39:39Z	ECORAID2	46	icefloe	239001	A	T	core_destroyed	254
2026-08-14T02:39:45Z	ECORAID2	47	icefloe	239001	B	C	core_destroyed	534
2026-08-14T02:39:47Z	ECORAID2	48	midgard	239001	A	C	core_destroyed	100
2026-08-14T02:39:51Z	ECORAID2	49	midgard	239001	B	C	core_destroyed	325
2026-08-14T02:39:53Z	ECORAID2	50	nordkap	239001	A	T	core_destroyed	162
2026-08-14T02:39:55Z	ECORAID2	51	nordkap	239001	B	C	tiebreak	1000
