ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T08:34:39Z	GUNADD	0	antler	101000	A	C	core_destroyed	102
2026-08-12T08:34:41Z	GUNADD	1	antler	101000	B	C	core_destroyed	325
2026-08-12T08:34:43Z	GUNADD	2	atoll	101000	A	C	core_destroyed	401
2026-08-12T08:34:45Z	GUNADD	3	atoll	101000	B	T	core_destroyed	105
2026-08-12T08:34:47Z	GUNADD	4	drumlin	101000	A	T	core_destroyed	182
2026-08-12T08:34:51Z	GUNADD	5	drumlin	101000	B	T	core_destroyed	317
2026-08-12T08:34:53Z	GUNADD	6	fjordgate	101000	A	C	core_destroyed	135
2026-08-12T08:34:56Z	GUNADD	7	fjordgate	101000	B	T	tiebreak	1000
2026-08-12T08:35:02Z	GUNADD	8	heart	101000	A	C	core_destroyed	543
2026-08-12T08:35:06Z	GUNADD	9	heart	101000	B	T	core_destroyed	321
2026-08-12T08:35:11Z	GUNADD	10	hive	101000	A	T	core_destroyed	296
2026-08-12T08:35:14Z	GUNADD	11	hive	101000	B	T	core_destroyed	245
2026-08-12T08:35:15Z	GUNADD	12	meander	101000	A	C	core_destroyed	89
2026-08-12T08:35:19Z	GUNADD	13	meander	101000	B	C	tiebreak	1000
2026-08-12T08:35:21Z	GUNADD	14	nordkap	101000	A	T	core_destroyed	144
2026-08-12T08:35:23Z	GUNADD	15	nordkap	101000	B	C	core_destroyed	154
2026-08-12T08:35:25Z	GUNADD	16	antler	101001	A	T	core_destroyed	173
2026-08-12T08:35:28Z	GUNADD	17	antler	101001	B	C	tiebreak	1000
2026-08-12T08:35:30Z	GUNADD	18	atoll	101001	A	C	core_destroyed	146
2026-08-12T08:35:32Z	GUNADD	19	atoll	101001	B	T	core_destroyed	166
2026-08-12T08:35:34Z	GUNADD	20	drumlin	101001	A	T	core_destroyed	146
2026-08-12T08:35:35Z	GUNADD	21	drumlin	101001	B	C	core_destroyed	100
2026-08-12T08:35:36Z	GUNADD	22	fjordgate	101001	A	T	core_destroyed	149
2026-08-12T08:35:37Z	GUNADD	23	fjordgate	101001	B	T	core_destroyed	137
2026-08-12T08:35:39Z	GUNADD	24	heart	101001	A	C	core_destroyed	101
2026-08-12T08:35:43Z	GUNADD	25	heart	101001	B	C	core_destroyed	292
2026-08-12T08:35:47Z	GUNADD	26	hive	101001	A	T	core_destroyed	252
2026-08-12T08:35:50Z	GUNADD	27	hive	101001	B	T	core_destroyed	350
2026-08-12T08:35:52Z	GUNADD	28	meander	101001	A	T	core_destroyed	327
2026-08-12T08:35:54Z	GUNADD	29	meander	101001	B	C	core_destroyed	156
2026-08-12T08:35:56Z	GUNADD	30	nordkap	101001	A	C	core_destroyed	151
2026-08-12T08:35:57Z	GUNADD	31	nordkap	101001	B	T	core_destroyed	138
2026-08-12T08:35:59Z	GUNADD	32	antler	101002	A	C	core_destroyed	106
2026-08-12T08:36:01Z	GUNADD	33	antler	101002	B	C	core_destroyed	224
2026-08-12T08:36:03Z	GUNADD	34	atoll	101002	A	C	core_destroyed	140
2026-08-12T08:36:05Z	GUNADD	35	atoll	101002	B	T	core_destroyed	537
2026-08-12T08:36:09Z	GUNADD	36	drumlin	101002	A	C	core_destroyed	390
2026-08-12T08:36:11Z	GUNADD	37	drumlin	101002	B	C	core_destroyed	102
2026-08-12T08:36:12Z	GUNADD	38	fjordgate	101002	A	C	core_destroyed	281
2026-08-12T08:36:13Z	GUNADD	39	fjordgate	101002	B	C	core_destroyed	202
2026-08-12T08:36:15Z	GUNADD	40	heart	101002	A	T	core_destroyed	110
2026-08-12T08:36:18Z	GUNADD	41	heart	101002	B	T	core_destroyed	187
2026-08-12T08:36:21Z	GUNADD	42	hive	101002	A	T	core_destroyed	240
2026-08-12T08:36:26Z	GUNADD	43	hive	101002	B	T	core_destroyed	311
2026-08-12T08:36:28Z	GUNADD	44	meander	101002	A	C	core_destroyed	250
2026-08-12T08:36:30Z	GUNADD	45	meander	101002	B	T	core_destroyed	143
2026-08-12T08:36:31Z	GUNADD	46	nordkap	101002	A	T	core_destroyed	145
2026-08-12T08:36:33Z	GUNADD	47	nordkap	101002	B	T	core_destroyed	182
2026-08-12T08:36:35Z	GUNADD	48	antler	101003	A	T	core_destroyed	201
2026-08-12T08:36:38Z	GUNADD	49	antler	101003	B	T	core_destroyed	251
2026-08-12T08:36:40Z	GUNADD	50	atoll	101003	A	C	core_destroyed	181
2026-08-12T08:36:41Z	GUNADD	51	atoll	101003	B	C	core_destroyed	91
2026-08-12T08:36:46Z	GUNADD	52	drumlin	101003	A	T	core_destroyed	323
2026-08-12T08:36:48Z	GUNADD	53	drumlin	101003	B	C	core_destroyed	182
2026-08-12T08:36:49Z	GUNADD	54	fjordgate	101003	A	T	core_destroyed	150
2026-08-12T08:36:52Z	GUNADD	55	fjordgate	101003	B	T	core_destroyed	523
2026-08-12T08:37:17Z	GUNADD	56	heart	101003	A	C	tiebreak	1000
2026-08-12T08:37:21Z	GUNADD	57	heart	101003	B	T	core_destroyed	265
2026-08-12T08:37:25Z	GUNADD	58	hive	101003	A	C	core_destroyed	241
2026-08-12T08:37:31Z	GUNADD	59	hive	101003	B	T	core_destroyed	345
2026-08-12T08:37:32Z	GUNADD	60	meander	101003	A	C	core_destroyed	160
2026-08-12T08:37:34Z	GUNADD	61	meander	101003	B	C	core_destroyed	259
2026-08-12T08:37:36Z	GUNADD	62	nordkap	101003	A	C	core_destroyed	179
2026-08-12T08:37:39Z	GUNADD	63	nordkap	101003	B	C	core_destroyed	458
2026-08-12T08:37:41Z	GUNADD	64	antler	101004	A	T	core_destroyed	252
2026-08-12T08:37:44Z	GUNADD	65	antler	101004	B	C	core_destroyed	322
2026-08-12T08:37:48Z	GUNADD	66	atoll	101004	A	T	core_destroyed	555
2026-08-12T08:37:49Z	GUNADD	67	atoll	101004	B	T	core_destroyed	78
2026-08-12T08:37:51Z	GUNADD	68	drumlin	101004	A	C	core_destroyed	245
2026-08-12T08:37:53Z	GUNADD	69	drumlin	101004	B	T	core_destroyed	224
2026-08-12T08:37:55Z	GUNADD	70	fjordgate	101004	A	T	core_destroyed	177
2026-08-12T08:37:56Z	GUNADD	71	fjordgate	101004	B	T	core_destroyed	281
2026-08-12T08:37:58Z	GUNADD	72	heart	101004	A	C	core_destroyed	200
2026-08-12T08:38:01Z	GUNADD	73	heart	101004	B	C	core_destroyed	138
2026-08-12T08:38:04Z	GUNADD	74	hive	101004	A	T	core_destroyed	170
2026-08-12T08:38:05Z	GUNADD	75	hive	101004	B	C	core_destroyed	93
2026-08-12T08:38:08Z	GUNADD	76	meander	101004	A	C	core_destroyed	272
2026-08-12T08:38:10Z	GUNADD	77	meander	101004	B	C	core_destroyed	230
2026-08-12T08:38:14Z	GUNADD	78	nordkap	101004	A	T	core_destroyed	312
2026-08-12T08:38:16Z	GUNADD	79	nordkap	101004	B	C	core_destroyed	240
2026-08-12T08:38:18Z	GUNADD	80	antler	101005	A	C	core_destroyed	203
2026-08-12T08:38:20Z	GUNADD	81	antler	101005	B	C	core_destroyed	460
2026-08-12T08:38:22Z	GUNADD	82	atoll	101005	A	T	core_destroyed	369
2026-08-12T08:38:23Z	GUNADD	83	atoll	101005	B	C	core_destroyed	159
2026-08-12T08:38:25Z	GUNADD	84	drumlin	101005	A	C	core_destroyed	220
2026-08-12T08:38:27Z	GUNADD	85	drumlin	101005	B	C	core_destroyed	163
2026-08-12T08:38:29Z	GUNADD	86	fjordgate	101005	A	T	core_destroyed	293
2026-08-12T08:38:31Z	GUNADD	87	fjordgate	101005	B	T	core_destroyed	177
2026-08-12T08:38:38Z	GUNADD	88	heart	101005	A	C	core_destroyed	528
2026-08-12T08:38:40Z	GUNADD	89	heart	101005	B	T	core_destroyed	105
