# FIXTURE	shard=GUNAXABL	treatment=bots/_v240gunaxabl	control=bots/_v223sealrepair	planned_n=5400	workers=1	host=MacBook-Pro	start=2026-08-14T21:41:08Z	runner=tools/overnight.sh
ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T21:41:11Z	GUNAXABL	0	antler	312000	A	C	core_destroyed	615
2026-08-14T21:41:13Z	GUNAXABL	1	antler	312000	B	T	tiebreak	1000
2026-08-14T21:41:15Z	GUNAXABL	2	archipelago	312000	A	C	core_destroyed	92
2026-08-14T21:41:18Z	GUNAXABL	3	archipelago	312000	B	C	core_destroyed	116
2026-08-14T21:41:22Z	GUNAXABL	4	auroraveil	312000	A	C	core_destroyed	613
2026-08-14T21:41:25Z	GUNAXABL	5	auroraveil	312000	B	C	core_destroyed	366
2026-08-14T21:41:32Z	GUNAXABL	6	drakkarfjord	312000	A	T	core_destroyed	556
2026-08-14T21:41:37Z	GUNAXABL	7	drakkarfjord	312000	B	C	core_destroyed	329
2026-08-14T21:41:42Z	GUNAXABL	8	drumlin	312000	A	C	core_destroyed	413
2026-08-14T21:41:44Z	GUNAXABL	9	drumlin	312000	B	C	core_destroyed	174
2026-08-14T21:41:45Z	GUNAXABL	10	fjordgate	312000	A	C	core_destroyed	105
2026-08-14T21:41:47Z	GUNAXABL	11	fjordgate	312000	B	C	core_destroyed	210
2026-08-14T21:41:48Z	GUNAXABL	12	frostgate	312000	A	C	core_destroyed	327
2026-08-14T21:41:51Z	GUNAXABL	13	frostgate	312000	B	C	core_destroyed	375
2026-08-14T21:41:52Z	GUNAXABL	14	glacierkeep	312000	A	T	core_destroyed	146
2026-08-14T21:41:59Z	GUNAXABL	15	glacierkeep	312000	B	T	core_destroyed	500
2026-08-14T21:42:02Z	GUNAXABL	16	icefloe	312000	A	T	core_destroyed	249
2026-08-14T21:42:04Z	GUNAXABL	17	icefloe	312000	B	T	core_destroyed	203
2026-08-14T21:42:07Z	GUNAXABL	18	midgard	312000	A	T	core_destroyed	283
2026-08-14T21:42:10Z	GUNAXABL	19	midgard	312000	B	T	core_destroyed	156
2026-08-14T21:42:12Z	GUNAXABL	20	nordkap	312000	A	T	core_destroyed	134
2026-08-14T21:42:13Z	GUNAXABL	21	nordkap	312000	B	C	core_destroyed	138
2026-08-14T21:42:57Z	GUNAXABL	22	ragnarok	312000	A	C	tiebreak	1000
2026-08-14T21:43:45Z	GUNAXABL	23	ragnarok	312000	B	T	tiebreak	1000
2026-08-14T21:43:47Z	GUNAXABL	24	royale	312000	A	C	core_destroyed	250
2026-08-14T21:43:48Z	GUNAXABL	25	royale	312000	B	T	core_destroyed	121
2026-08-14T21:43:52Z	GUNAXABL	26	valkyrie	312000	A	T	core_destroyed	313
2026-08-14T21:43:54Z	GUNAXABL	27	valkyrie	312000	B	T	core_destroyed	136
2026-08-14T21:43:59Z	GUNAXABL	28	yulerune	312000	A	T	core_destroyed	376
2026-08-14T21:44:02Z	GUNAXABL	29	yulerune	312000	B	C	core_destroyed	207
2026-08-14T21:44:04Z	GUNAXABL	30	antler	312001	A	C	core_destroyed	201
