ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-11T22:57:37Z	GUNBLANK	0	antler	33000	A	T	core_destroyed	492
2026-08-11T22:57:39Z	GUNBLANK	1	antler	33000	B	T	core_destroyed	298
2026-08-11T22:57:41Z	GUNBLANK	2	atoll	33000	A	T	core_destroyed	222
2026-08-11T22:57:43Z	GUNBLANK	3	atoll	33000	B	T	core_destroyed	466
2026-08-11T22:57:45Z	GUNBLANK	4	drumlin	33000	A	T	core_destroyed	161
2026-08-11T22:57:48Z	GUNBLANK	5	drumlin	33000	B	T	core_destroyed	308
2026-08-11T22:57:51Z	GUNBLANK	6	fjordgate	33000	A	T	core_destroyed	803
2026-08-11T22:57:53Z	GUNBLANK	7	fjordgate	33000	B	C	core_destroyed	234
2026-08-11T22:57:54Z	GUNBLANK	8	heart	33000	A	C	core_destroyed	111
2026-08-11T22:57:57Z	GUNBLANK	9	heart	33000	B	T	core_destroyed	234
2026-08-11T22:58:00Z	GUNBLANK	10	hive	33000	A	T	core_destroyed	207
2026-08-11T22:58:08Z	GUNBLANK	11	hive	33000	B	C	core_destroyed	535
2026-08-11T22:58:10Z	GUNBLANK	12	meander	33000	A	T	core_destroyed	255
2026-08-11T22:58:12Z	GUNBLANK	13	meander	33000	B	T	core_destroyed	197
2026-08-11T22:58:14Z	GUNBLANK	14	nordkap	33000	A	C	core_destroyed	185
2026-08-11T22:58:15Z	GUNBLANK	15	nordkap	33000	B	T	core_destroyed	140
2026-08-11T22:58:17Z	GUNBLANK	16	antler	33001	A	C	core_destroyed	161
2026-08-11T22:58:19Z	GUNBLANK	17	antler	33001	B	C	core_destroyed	167
2026-08-11T22:58:20Z	GUNBLANK	18	atoll	33001	A	C	core_destroyed	303
2026-08-11T22:58:23Z	GUNBLANK	19	atoll	33001	B	C	core_destroyed	597
2026-08-11T22:58:27Z	GUNBLANK	20	drumlin	33001	A	C	core_destroyed	354
2026-08-11T22:58:31Z	GUNBLANK	21	drumlin	33001	B	T	core_destroyed	308
2026-08-11T22:58:32Z	GUNBLANK	22	fjordgate	33001	A	C	core_destroyed	161
2026-08-11T22:58:34Z	GUNBLANK	23	fjordgate	33001	B	C	core_destroyed	332
2026-08-11T22:58:37Z	GUNBLANK	24	heart	33001	A	T	core_destroyed	118
2026-08-11T22:58:43Z	GUNBLANK	25	heart	33001	B	C	core_destroyed	525
2026-08-11T22:58:45Z	GUNBLANK	26	hive	33001	A	T	core_destroyed	242
