ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T20:06:26Z	GUNBLOCK	0	antler	131000	A	T	core_destroyed	903
2026-08-12T20:06:28Z	GUNBLOCK	1	antler	131000	B	T	core_destroyed	272
2026-08-12T20:06:30Z	GUNBLOCK	2	atoll	131000	A	C	core_destroyed	305
2026-08-12T20:06:32Z	GUNBLOCK	3	atoll	131000	B	C	core_destroyed	86
2026-08-12T20:06:34Z	GUNBLOCK	4	drumlin	131000	A	T	core_destroyed	160
2026-08-12T20:06:38Z	GUNBLOCK	5	drumlin	131000	B	T	core_destroyed	493
2026-08-12T20:06:39Z	GUNBLOCK	6	fjordgate	131000	A	T	core_destroyed	103
2026-08-12T20:06:41Z	GUNBLOCK	7	fjordgate	131000	B	C	core_destroyed	487
2026-08-12T20:06:44Z	GUNBLOCK	8	heart	131000	A	T	core_destroyed	262
2026-08-12T20:06:47Z	GUNBLOCK	9	heart	131000	B	T	core_destroyed	221
2026-08-12T20:06:50Z	GUNBLOCK	10	hive	131000	A	C	core_destroyed	192
2026-08-12T20:06:54Z	GUNBLOCK	11	hive	131000	B	C	core_destroyed	214
2026-08-12T20:06:56Z	GUNBLOCK	12	meander	131000	A	T	core_destroyed	206
2026-08-12T20:06:57Z	GUNBLOCK	13	meander	131000	B	C	core_destroyed	141
2026-08-12T20:06:59Z	GUNBLOCK	14	nordkap	131000	A	C	core_destroyed	148
2026-08-12T20:07:00Z	GUNBLOCK	15	nordkap	131000	B	T	core_destroyed	105
2026-08-12T20:07:01Z	GUNBLOCK	16	antler	131001	A	T	core_destroyed	192
2026-08-12T20:07:04Z	GUNBLOCK	17	antler	131001	B	C	core_destroyed	215
2026-08-12T20:07:08Z	GUNBLOCK	18	atoll	131001	A	C	core_destroyed	422
2026-08-12T20:07:10Z	GUNBLOCK	19	atoll	131001	B	C	core_destroyed	611
2026-08-12T20:07:13Z	GUNBLOCK	20	drumlin	131001	A	T	core_destroyed	189
2026-08-12T20:07:18Z	GUNBLOCK	21	drumlin	131001	B	C	core_destroyed	562
2026-08-12T20:07:20Z	GUNBLOCK	22	fjordgate	131001	A	C	core_destroyed	235
2026-08-12T20:07:21Z	GUNBLOCK	23	fjordgate	131001	B	C	core_destroyed	131
2026-08-12T20:07:23Z	GUNBLOCK	24	heart	131001	A	T	core_destroyed	133
2026-08-12T20:07:35Z	GUNBLOCK	25	heart	131001	B	T	core_destroyed	628
