ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T04:33:12Z	GUNBORDER	0	antler	60000	A	C	core_destroyed	119
2026-08-12T04:33:14Z	GUNBORDER	1	antler	60000	B	T	core_destroyed	129
2026-08-12T04:33:16Z	GUNBORDER	2	atoll	60000	A	T	core_destroyed	290
2026-08-12T04:33:18Z	GUNBORDER	3	atoll	60000	B	C	core_destroyed	321
2026-08-12T04:33:20Z	GUNBORDER	4	drumlin	60000	A	T	core_destroyed	123
2026-08-12T04:33:21Z	GUNBORDER	5	drumlin	60000	B	C	core_destroyed	124
2026-08-12T04:33:23Z	GUNBORDER	6	fjordgate	60000	A	C	core_destroyed	123
2026-08-12T04:33:26Z	GUNBORDER	7	fjordgate	60000	B	T	tiebreak	1000
2026-08-12T04:33:28Z	GUNBORDER	8	heart	60000	A	C	core_destroyed	152
2026-08-12T04:33:34Z	GUNBORDER	9	heart	60000	B	T	core_destroyed	412
2026-08-12T04:33:36Z	GUNBORDER	10	hive	60000	A	T	core_destroyed	152
2026-08-12T04:33:40Z	GUNBORDER	11	hive	60000	B	T	core_destroyed	267
2026-08-12T04:33:42Z	GUNBORDER	12	meander	60000	A	C	core_destroyed	216
2026-08-12T04:33:44Z	GUNBORDER	13	meander	60000	B	C	core_destroyed	159
2026-08-12T04:33:45Z	GUNBORDER	14	nordkap	60000	A	T	core_destroyed	237
2026-08-12T04:33:49Z	GUNBORDER	15	nordkap	60000	B	C	core_destroyed	326
2026-08-12T04:33:50Z	GUNBORDER	16	antler	60001	A	T	core_destroyed	120
2026-08-12T04:33:51Z	GUNBORDER	17	antler	60001	B	T	core_destroyed	134
2026-08-12T04:33:53Z	GUNBORDER	18	atoll	60001	A	C	core_destroyed	183
2026-08-12T04:33:54Z	GUNBORDER	19	atoll	60001	B	C	core_destroyed	157
2026-08-12T04:33:56Z	GUNBORDER	20	drumlin	60001	A	C	core_destroyed	187
2026-08-12T04:34:02Z	GUNBORDER	21	drumlin	60001	B	C	core_destroyed	507
2026-08-12T04:34:03Z	GUNBORDER	22	fjordgate	60001	A	C	core_destroyed	102
2026-08-12T04:34:04Z	GUNBORDER	23	fjordgate	60001	B	T	core_destroyed	150
2026-08-12T04:34:06Z	GUNBORDER	24	heart	60001	A	T	core_destroyed	104
2026-08-12T04:34:09Z	GUNBORDER	25	heart	60001	B	C	core_destroyed	156
2026-08-12T04:34:12Z	GUNBORDER	26	hive	60001	A	C	core_destroyed	195
2026-08-12T04:34:21Z	GUNBORDER	27	hive	60001	B	T	core_destroyed	717
2026-08-12T04:34:22Z	GUNBORDER	28	meander	60001	A	C	core_destroyed	158
2026-08-12T04:34:26Z	GUNBORDER	29	meander	60001	B	C	tiebreak	1000
2026-08-12T04:34:28Z	GUNBORDER	30	nordkap	60001	A	T	core_destroyed	196
2026-08-12T04:34:31Z	GUNBORDER	31	nordkap	60001	B	C	core_destroyed	512
2026-08-12T04:34:34Z	GUNBORDER	32	antler	60002	A	T	core_destroyed	246
2026-08-12T04:34:37Z	GUNBORDER	33	antler	60002	B	T	core_destroyed	271
2026-08-12T04:34:40Z	GUNBORDER	34	atoll	60002	A	T	core_destroyed	457
2026-08-12T04:34:45Z	GUNBORDER	35	atoll	60002	B	T	core_destroyed	468
2026-08-12T04:34:49Z	GUNBORDER	36	drumlin	60002	A	T	core_destroyed	479
2026-08-12T04:34:53Z	GUNBORDER	37	drumlin	60002	B	T	core_destroyed	303
2026-08-12T04:34:55Z	GUNBORDER	38	fjordgate	60002	A	T	core_destroyed	495
2026-08-12T04:34:56Z	GUNBORDER	39	fjordgate	60002	B	C	core_destroyed	88
2026-08-12T04:34:58Z	GUNBORDER	40	heart	60002	A	T	core_destroyed	158
2026-08-12T04:35:00Z	GUNBORDER	41	heart	60002	B	C	core_destroyed	160
2026-08-12T04:35:02Z	GUNBORDER	42	hive	60002	A	C	core_destroyed	140
2026-08-12T04:35:05Z	GUNBORDER	43	hive	60002	B	T	core_destroyed	245
2026-08-12T04:35:07Z	GUNBORDER	44	meander	60002	A	C	core_destroyed	158
