ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T07:04:27Z	GUNEARLY60	0	antler	99000	A	C	core_destroyed	133
2026-08-12T07:04:29Z	GUNEARLY60	1	antler	99000	B	T	core_destroyed	201
2026-08-12T07:04:31Z	GUNEARLY60	2	atoll	99000	A	C	core_destroyed	118
2026-08-12T07:04:34Z	GUNEARLY60	3	atoll	99000	B	T	core_destroyed	238
2026-08-12T07:04:37Z	GUNEARLY60	4	drumlin	99000	A	T	core_destroyed	289
2026-08-12T07:04:42Z	GUNEARLY60	5	drumlin	99000	B	T	core_destroyed	404
2026-08-12T07:04:44Z	GUNEARLY60	6	fjordgate	99000	A	T	core_destroyed	172
2026-08-12T07:04:45Z	GUNEARLY60	7	fjordgate	99000	B	C	core_destroyed	147
2026-08-12T07:05:06Z	GUNEARLY60	8	heart	99000	A	T	tiebreak	1000
2026-08-12T07:05:08Z	GUNEARLY60	9	heart	99000	B	C	core_destroyed	160
2026-08-12T07:05:12Z	GUNEARLY60	10	hive	99000	A	T	core_destroyed	362
2026-08-12T07:05:15Z	GUNEARLY60	11	hive	99000	B	T	core_destroyed	208
2026-08-12T07:05:16Z	GUNEARLY60	12	meander	99000	A	C	core_destroyed	112
2026-08-12T07:05:18Z	GUNEARLY60	13	meander	99000	B	T	core_destroyed	180
2026-08-12T07:05:21Z	GUNEARLY60	14	nordkap	99000	A	C	core_destroyed	327
2026-08-12T07:05:22Z	GUNEARLY60	15	nordkap	99000	B	T	core_destroyed	167
2026-08-12T07:05:24Z	GUNEARLY60	16	antler	99001	A	C	core_destroyed	160
2026-08-12T07:05:25Z	GUNEARLY60	17	antler	99001	B	C	core_destroyed	286
2026-08-12T07:05:27Z	GUNEARLY60	18	atoll	99001	A	T	core_destroyed	87
2026-08-12T07:05:28Z	GUNEARLY60	19	atoll	99001	B	T	core_destroyed	90
2026-08-12T07:05:30Z	GUNEARLY60	20	drumlin	99001	A	C	core_destroyed	129
