ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T06:46:26Z	GUNFIRST	0	antler	97000	A	C	core_destroyed	239
2026-08-12T06:46:28Z	GUNFIRST	1	antler	97000	B	C	core_destroyed	193
2026-08-12T06:46:30Z	GUNFIRST	2	atoll	97000	A	C	core_destroyed	234
2026-08-12T06:46:38Z	GUNFIRST	3	atoll	97000	B	C	core_destroyed	702
2026-08-12T06:46:39Z	GUNFIRST	4	drumlin	97000	A	C	core_destroyed	165
2026-08-12T06:46:41Z	GUNFIRST	5	drumlin	97000	B	C	core_destroyed	142
2026-08-12T06:46:43Z	GUNFIRST	6	fjordgate	97000	A	C	core_destroyed	168
2026-08-12T06:46:44Z	GUNFIRST	7	fjordgate	97000	B	C	core_destroyed	119
2026-08-12T06:46:49Z	GUNFIRST	8	heart	97000	A	T	core_destroyed	270
2026-08-12T06:46:52Z	GUNFIRST	9	heart	97000	B	T	core_destroyed	158
2026-08-12T06:46:56Z	GUNFIRST	10	hive	97000	A	T	core_destroyed	353
2026-08-12T06:46:59Z	GUNFIRST	11	hive	97000	B	T	core_destroyed	190
2026-08-12T06:47:01Z	GUNFIRST	12	meander	97000	A	T	core_destroyed	317
2026-08-12T06:47:02Z	GUNFIRST	13	meander	97000	B	C	core_destroyed	144
2026-08-12T06:47:04Z	GUNFIRST	14	nordkap	97000	A	C	core_destroyed	92
2026-08-12T06:47:05Z	GUNFIRST	15	nordkap	97000	B	T	core_destroyed	208
2026-08-12T06:47:07Z	GUNFIRST	16	antler	97001	A	T	core_destroyed	157
2026-08-12T06:47:10Z	GUNFIRST	17	antler	97001	B	C	core_destroyed	217
2026-08-12T06:47:12Z	GUNFIRST	18	atoll	97001	A	T	core_destroyed	148
2026-08-12T06:47:16Z	GUNFIRST	19	atoll	97001	B	T	core_destroyed	408
2026-08-12T06:47:22Z	GUNFIRST	20	drumlin	97001	A	T	core_destroyed	436
2026-08-12T06:47:24Z	GUNFIRST	21	drumlin	97001	B	C	core_destroyed	140
2026-08-12T06:47:27Z	GUNFIRST	22	fjordgate	97001	A	C	core_destroyed	443
2026-08-12T06:47:28Z	GUNFIRST	23	fjordgate	97001	B	C	core_destroyed	170
2026-08-12T06:47:32Z	GUNFIRST	24	heart	97001	A	C	core_destroyed	292
2026-08-12T06:47:35Z	GUNFIRST	25	heart	97001	B	T	core_destroyed	149
2026-08-12T06:47:39Z	GUNFIRST	26	hive	97001	A	T	core_destroyed	278
2026-08-12T06:47:41Z	GUNFIRST	27	hive	97001	B	C	core_destroyed	126
2026-08-12T06:47:43Z	GUNFIRST	28	meander	97001	A	T	core_destroyed	157
2026-08-12T06:47:45Z	GUNFIRST	29	meander	97001	B	C	core_destroyed	174
2026-08-12T06:47:49Z	GUNFIRST	30	nordkap	97001	A	T	core_destroyed	344
2026-08-12T06:47:52Z	GUNFIRST	31	nordkap	97001	B	T	tiebreak	1000
2026-08-12T06:47:55Z	GUNFIRST	32	antler	97002	A	C	core_destroyed	447
