ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-11T23:20:38Z	GUNPEN4	0	antler	40000	A	T	core_destroyed	153
2026-08-11T23:20:40Z	GUNPEN4	1	antler	40000	B	C	core_destroyed	217
2026-08-11T23:20:43Z	GUNPEN4	2	atoll	40000	A	T	core_destroyed	380
2026-08-11T23:20:45Z	GUNPEN4	3	atoll	40000	B	T	core_destroyed	299
2026-08-11T23:20:47Z	GUNPEN4	4	drumlin	40000	A	C	core_destroyed	116
2026-08-11T23:20:49Z	GUNPEN4	5	drumlin	40000	B	C	core_destroyed	208
2026-08-11T23:20:53Z	GUNPEN4	6	fjordgate	40000	A	T	core_destroyed	551
2026-08-11T23:20:55Z	GUNPEN4	7	fjordgate	40000	B	C	core_destroyed	327
2026-08-11T23:20:58Z	GUNPEN4	8	heart	40000	A	C	core_destroyed	246
2026-08-11T23:21:00Z	GUNPEN4	9	heart	40000	B	C	core_destroyed	166
2026-08-11T23:21:04Z	GUNPEN4	10	hive	40000	A	C	core_destroyed	262
2026-08-11T23:21:07Z	GUNPEN4	11	hive	40000	B	C	core_destroyed	228
2026-08-11T23:21:08Z	GUNPEN4	12	meander	40000	A	T	tiebreak	1000
2026-08-11T23:21:10Z	GUNPEN4	13	meander	40000	B	T	core_destroyed	222
2026-08-11T23:21:12Z	GUNPEN4	14	nordkap	40000	A	T	tiebreak	1000
2026-08-11T23:21:15Z	GUNPEN4	15	nordkap	40000	B	C	core_destroyed	273
2026-08-11T23:21:18Z	GUNPEN4	16	antler	40001	A	T	core_destroyed	377
2026-08-11T23:21:21Z	GUNPEN4	17	antler	40001	B	T	core_destroyed	368
2026-08-11T23:21:24Z	GUNPEN4	18	atoll	40001	A	C	core_destroyed	408
2026-08-11T23:21:26Z	GUNPEN4	19	atoll	40001	B	C	core_destroyed	536
2026-08-11T23:21:30Z	GUNPEN4	20	drumlin	40001	A	C	core_destroyed	323
2026-08-11T23:21:31Z	GUNPEN4	21	drumlin	40001	B	T	core_destroyed	116
2026-08-11T23:21:33Z	GUNPEN4	22	fjordgate	40001	A	T	core_destroyed	335
2026-08-11T23:21:35Z	GUNPEN4	23	fjordgate	40001	B	C	core_destroyed	245
2026-08-11T23:21:38Z	GUNPEN4	24	heart	40001	A	C	core_destroyed	183
2026-08-11T23:21:40Z	GUNPEN4	25	heart	40001	B	T	core_destroyed	182
2026-08-11T23:21:46Z	GUNPEN4	26	hive	40001	A	C	core_destroyed	403
2026-08-11T23:21:52Z	GUNPEN4	27	hive	40001	B	C	core_destroyed	326
2026-08-11T23:21:53Z	GUNPEN4	28	meander	40001	A	C	core_destroyed	170
2026-08-11T23:21:55Z	GUNPEN4	29	meander	40001	B	T	core_destroyed	173
2026-08-11T23:21:57Z	GUNPEN4	30	nordkap	40001	A	T	core_destroyed	215
2026-08-11T23:21:58Z	GUNPEN4	31	nordkap	40001	B	C	core_destroyed	150
2026-08-11T23:22:00Z	GUNPEN4	32	antler	40002	A	T	core_destroyed	270
2026-08-11T23:22:02Z	GUNPEN4	33	antler	40002	B	C	core_destroyed	206
2026-08-11T23:22:04Z	GUNPEN4	34	atoll	40002	A	T	core_destroyed	149
2026-08-11T23:22:06Z	GUNPEN4	35	atoll	40002	B	T	core_destroyed	358
2026-08-11T23:22:07Z	GUNPEN4	36	drumlin	40002	A	T	core_destroyed	166
2026-08-11T23:22:09Z	GUNPEN4	37	drumlin	40002	B	C	core_destroyed	110
2026-08-11T23:22:10Z	GUNPEN4	38	fjordgate	40002	A	C	core_destroyed	171
2026-08-11T23:22:11Z	GUNPEN4	39	fjordgate	40002	B	C	core_destroyed	157
2026-08-11T23:22:14Z	GUNPEN4	40	heart	40002	A	C	core_destroyed	149
2026-08-11T23:22:21Z	GUNPEN4	41	heart	40002	B	C	core_destroyed	425
2026-08-11T23:22:25Z	GUNPEN4	42	hive	40002	A	T	core_destroyed	313
2026-08-11T23:22:27Z	GUNPEN4	43	hive	40002	B	T	core_destroyed	120
2026-08-11T23:22:29Z	GUNPEN4	44	meander	40002	A	T	core_destroyed	308
2026-08-11T23:22:30Z	GUNPEN4	45	meander	40002	B	C	core_destroyed	160
2026-08-11T23:22:32Z	GUNPEN4	46	nordkap	40002	A	C	core_destroyed	169
2026-08-11T23:22:34Z	GUNPEN4	47	nordkap	40002	B	T	core_destroyed	206
2026-08-11T23:22:35Z	GUNPEN4	48	antler	40003	A	C	core_destroyed	172
2026-08-11T23:22:37Z	GUNPEN4	49	antler	40003	B	T	core_destroyed	212
2026-08-11T23:22:39Z	GUNPEN4	50	atoll	40003	A	T	core_destroyed	157
2026-08-11T23:22:42Z	GUNPEN4	51	atoll	40003	B	T	core_destroyed	222
2026-08-11T23:22:43Z	GUNPEN4	52	drumlin	40003	A	T	core_destroyed	99
2026-08-11T23:22:48Z	GUNPEN4	53	drumlin	40003	B	T	core_destroyed	287
