ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T08:19:38Z	GUNSUB	0	antler	100000	A	C	core_destroyed	183
2026-08-12T08:19:39Z	GUNSUB	1	antler	100000	B	T	core_destroyed	143
2026-08-12T08:19:43Z	GUNSUB	2	atoll	100000	A	T	core_destroyed	258
2026-08-12T08:19:44Z	GUNSUB	3	atoll	100000	B	C	core_destroyed	145
2026-08-12T08:19:47Z	GUNSUB	4	drumlin	100000	A	T	core_destroyed	238
2026-08-12T08:19:48Z	GUNSUB	5	drumlin	100000	B	C	core_destroyed	96
2026-08-12T08:19:50Z	GUNSUB	6	fjordgate	100000	A	C	core_destroyed	131
2026-08-12T08:19:52Z	GUNSUB	7	fjordgate	100000	B	T	core_destroyed	260
2026-08-12T08:19:54Z	GUNSUB	8	heart	100000	A	T	core_destroyed	106
2026-08-12T08:19:59Z	GUNSUB	9	heart	100000	B	C	core_destroyed	326
2026-08-12T08:20:02Z	GUNSUB	10	hive	100000	A	C	core_destroyed	253
2026-08-12T08:20:06Z	GUNSUB	11	hive	100000	B	T	core_destroyed	352
2026-08-12T08:20:09Z	GUNSUB	12	meander	100000	A	T	core_destroyed	242
2026-08-12T08:20:10Z	GUNSUB	13	meander	100000	B	T	core_destroyed	147
2026-08-12T08:20:13Z	GUNSUB	14	nordkap	100000	A	C	core_destroyed	311
2026-08-12T08:20:16Z	GUNSUB	15	nordkap	100000	B	C	core_destroyed	227
2026-08-12T08:20:17Z	GUNSUB	16	antler	100001	A	C	core_destroyed	121
2026-08-12T08:20:20Z	GUNSUB	17	antler	100001	B	C	core_destroyed	425
2026-08-12T08:20:22Z	GUNSUB	18	atoll	100001	A	C	core_destroyed	274
2026-08-12T08:20:23Z	GUNSUB	19	atoll	100001	B	T	core_destroyed	154
2026-08-12T08:20:25Z	GUNSUB	20	drumlin	100001	A	C	core_destroyed	108
2026-08-12T08:20:28Z	GUNSUB	21	drumlin	100001	B	C	core_destroyed	212
2026-08-12T08:20:29Z	GUNSUB	22	fjordgate	100001	A	T	core_destroyed	156
2026-08-12T08:20:31Z	GUNSUB	23	fjordgate	100001	B	T	core_destroyed	251
2026-08-12T08:20:36Z	GUNSUB	24	heart	100001	A	C	tiebreak	1000
2026-08-12T08:20:38Z	GUNSUB	25	heart	100001	B	C	core_destroyed	120
2026-08-12T08:20:41Z	GUNSUB	26	hive	100001	A	T	core_destroyed	315
2026-08-12T08:20:45Z	GUNSUB	27	hive	100001	B	C	core_destroyed	210
2026-08-12T08:20:47Z	GUNSUB	28	meander	100001	A	T	core_destroyed	136
2026-08-12T08:20:48Z	GUNSUB	29	meander	100001	B	T	core_destroyed	115
2026-08-12T08:20:51Z	GUNSUB	30	nordkap	100001	A	C	core_destroyed	336
2026-08-12T08:20:54Z	GUNSUB	31	nordkap	100001	B	C	core_destroyed	342
2026-08-12T08:20:56Z	GUNSUB	32	antler	100002	A	T	core_destroyed	353
2026-08-12T08:20:58Z	GUNSUB	33	antler	100002	B	T	core_destroyed	265
2026-08-12T08:20:59Z	GUNSUB	34	atoll	100002	A	C	core_destroyed	258
2026-08-12T08:21:01Z	GUNSUB	35	atoll	100002	B	C	core_destroyed	283
2026-08-12T08:21:09Z	GUNSUB	36	drumlin	100002	A	T	core_destroyed	530
2026-08-12T08:21:10Z	GUNSUB	37	drumlin	100002	B	C	core_destroyed	120
2026-08-12T08:21:12Z	GUNSUB	38	fjordgate	100002	A	C	core_destroyed	131
2026-08-12T08:21:13Z	GUNSUB	39	fjordgate	100002	B	C	core_destroyed	212
2026-08-12T08:21:17Z	GUNSUB	40	heart	100002	A	T	core_destroyed	493
2026-08-12T08:21:20Z	GUNSUB	41	heart	100002	B	T	core_destroyed	240
2026-08-12T08:21:26Z	GUNSUB	42	hive	100002	A	T	core_destroyed	359
2026-08-12T08:21:29Z	GUNSUB	43	hive	100002	B	T	core_destroyed	194
2026-08-12T08:21:31Z	GUNSUB	44	meander	100002	A	C	core_destroyed	157
2026-08-12T08:21:32Z	GUNSUB	45	meander	100002	B	C	core_destroyed	112
2026-08-12T08:21:33Z	GUNSUB	46	nordkap	100002	A	T	core_destroyed	128
2026-08-12T08:21:37Z	GUNSUB	47	nordkap	100002	B	T	core_destroyed	375
2026-08-12T08:21:41Z	GUNSUB	48	antler	100003	A	C	core_destroyed	477
2026-08-12T08:21:43Z	GUNSUB	49	antler	100003	B	C	core_destroyed	152
2026-08-12T08:21:45Z	GUNSUB	50	atoll	100003	A	C	core_destroyed	186
2026-08-12T08:21:47Z	GUNSUB	51	atoll	100003	B	T	core_destroyed	164
2026-08-12T08:21:49Z	GUNSUB	52	drumlin	100003	A	C	core_destroyed	173
2026-08-12T08:21:55Z	GUNSUB	53	drumlin	100003	B	T	core_destroyed	416
2026-08-12T08:21:57Z	GUNSUB	54	fjordgate	100003	A	C	core_destroyed	121
2026-08-12T08:21:58Z	GUNSUB	55	fjordgate	100003	B	C	core_destroyed	122
2026-08-12T08:22:01Z	GUNSUB	56	heart	100003	A	C	core_destroyed	210
2026-08-12T08:22:05Z	GUNSUB	57	heart	100003	B	C	core_destroyed	157
2026-08-12T08:22:10Z	GUNSUB	58	hive	100003	A	T	core_destroyed	418
2026-08-12T08:22:13Z	GUNSUB	59	hive	100003	B	T	core_destroyed	215
2026-08-12T08:22:14Z	GUNSUB	60	meander	100003	A	T	core_destroyed	209
2026-08-12T08:22:17Z	GUNSUB	61	meander	100003	B	T	core_destroyed	274
2026-08-12T08:22:20Z	GUNSUB	62	nordkap	100003	A	C	core_destroyed	223
2026-08-12T08:22:23Z	GUNSUB	63	nordkap	100003	B	T	core_destroyed	276
2026-08-12T08:22:24Z	GUNSUB	64	antler	100004	A	C	core_destroyed	110
2026-08-12T08:22:27Z	GUNSUB	65	antler	100004	B	C	core_destroyed	211
2026-08-12T08:22:28Z	GUNSUB	66	atoll	100004	A	T	core_destroyed	141
2026-08-12T08:22:34Z	GUNSUB	67	atoll	100004	B	C	core_destroyed	459
2026-08-12T08:22:39Z	GUNSUB	68	drumlin	100004	A	T	core_destroyed	302
2026-08-12T08:22:43Z	GUNSUB	69	drumlin	100004	B	T	core_destroyed	238
2026-08-12T08:22:44Z	GUNSUB	70	fjordgate	100004	A	T	core_destroyed	275
2026-08-12T08:22:46Z	GUNSUB	71	fjordgate	100004	B	C	core_destroyed	308
2026-08-12T08:22:49Z	GUNSUB	72	heart	100004	A	T	core_destroyed	195
