ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T08:32:29Z	L4REPAIR2	0	antler	241000	A	C	core_destroyed	137
2026-08-14T08:32:30Z	L4REPAIR2	1	antler	241000	B	C	core_destroyed	158
2026-08-14T08:32:33Z	L4REPAIR2	2	archipelago	241000	A	T	core_destroyed	118
2026-08-14T08:32:35Z	L4REPAIR2	3	archipelago	241000	B	T	core_destroyed	93
2026-08-14T08:32:40Z	L4REPAIR2	4	auroraveil	241000	A	C	core_destroyed	373
2026-08-14T08:32:42Z	L4REPAIR2	5	auroraveil	241000	B	T	core_destroyed	257
2026-08-14T08:32:46Z	L4REPAIR2	6	drakkarfjord	241000	A	C	core_destroyed	229
2026-08-14T08:32:50Z	L4REPAIR2	7	drakkarfjord	241000	B	T	core_destroyed	248
2026-08-14T08:32:52Z	L4REPAIR2	8	drumlin	241000	A	C	core_destroyed	188
2026-08-14T08:32:58Z	L4REPAIR2	9	drumlin	241000	B	C	core_destroyed	373
2026-08-14T08:32:59Z	L4REPAIR2	10	fjordgate	241000	A	T	core_destroyed	221
2026-08-14T08:33:01Z	L4REPAIR2	11	fjordgate	241000	B	T	core_destroyed	351
2026-08-14T08:33:03Z	L4REPAIR2	12	frostgate	241000	A	T	core_destroyed	272
2026-08-14T08:33:08Z	L4REPAIR2	13	frostgate	241000	B	T	core_destroyed	833
2026-08-14T08:33:11Z	L4REPAIR2	14	glacierkeep	241000	A	T	core_destroyed	324
2026-08-14T08:33:15Z	L4REPAIR2	15	glacierkeep	241000	B	C	core_destroyed	333
2026-08-14T08:33:19Z	L4REPAIR2	16	icefloe	241000	A	T	core_destroyed	306
2026-08-14T08:33:21Z	L4REPAIR2	17	icefloe	241000	B	T	core_destroyed	196
2026-08-14T08:33:23Z	L4REPAIR2	18	midgard	241000	A	C	core_destroyed	74
2026-08-14T08:33:26Z	L4REPAIR2	19	midgard	241000	B	C	core_destroyed	89
2026-08-14T08:33:28Z	L4REPAIR2	20	nordkap	241000	A	T	core_destroyed	185
2026-08-14T08:33:30Z	L4REPAIR2	21	nordkap	241000	B	T	core_destroyed	204
2026-08-14T08:33:42Z	L4REPAIR2	22	ragnarok	241000	A	C	core_destroyed	424
2026-08-14T08:33:46Z	L4REPAIR2	23	ragnarok	241000	B	T	core_destroyed	204
2026-08-14T08:33:49Z	L4REPAIR2	24	royale	241000	A	C	core_destroyed	713
2026-08-14T08:33:51Z	L4REPAIR2	25	royale	241000	B	C	core_destroyed	208
2026-08-14T08:33:56Z	L4REPAIR2	26	valkyrie	241000	A	T	core_destroyed	273
2026-08-14T08:33:58Z	L4REPAIR2	27	valkyrie	241000	B	C	core_destroyed	109
2026-08-14T08:34:01Z	L4REPAIR2	28	yulerune	241000	A	T	core_destroyed	181
2026-08-14T08:34:03Z	L4REPAIR2	29	yulerune	241000	B	T	core_destroyed	108
2026-08-14T08:34:04Z	L4REPAIR2	30	antler	241001	A	T	core_destroyed	131
2026-08-14T08:34:06Z	L4REPAIR2	31	antler	241001	B	T	core_destroyed	506
2026-08-14T08:34:10Z	L4REPAIR2	32	archipelago	241001	A	C	core_destroyed	237
2026-08-14T08:34:12Z	L4REPAIR2	33	archipelago	241001	B	T	core_destroyed	109
2026-08-14T08:34:14Z	L4REPAIR2	34	auroraveil	241001	A	C	core_destroyed	184
2026-08-14T08:34:17Z	L4REPAIR2	35	auroraveil	241001	B	T	core_destroyed	291
2026-08-14T08:34:26Z	L4REPAIR2	36	drakkarfjord	241001	A	T	core_destroyed	648
2026-08-14T08:34:34Z	L4REPAIR2	37	drakkarfjord	241001	B	T	core_destroyed	442
2026-08-14T08:34:37Z	L4REPAIR2	38	drumlin	241001	A	T	core_destroyed	184
2026-08-14T08:34:43Z	L4REPAIR2	39	drumlin	241001	B	C	core_destroyed	318
2026-08-14T08:34:45Z	L4REPAIR2	40	fjordgate	241001	A	C	core_destroyed	239
2026-08-14T08:34:46Z	L4REPAIR2	41	fjordgate	241001	B	C	core_destroyed	306
2026-08-14T08:34:48Z	L4REPAIR2	42	frostgate	241001	A	C	core_destroyed	172
2026-08-14T08:34:50Z	L4REPAIR2	43	frostgate	241001	B	T	tiebreak	1000
2026-08-14T08:34:52Z	L4REPAIR2	44	glacierkeep	241001	A	T	core_destroyed	156
2026-08-14T08:35:15Z	L4REPAIR2	45	glacierkeep	241001	B	T	tiebreak	1000
2026-08-14T08:35:18Z	L4REPAIR2	46	icefloe	241001	A	T	core_destroyed	185
2026-08-14T08:35:20Z	L4REPAIR2	47	icefloe	241001	B	C	core_destroyed	121
2026-08-14T08:35:23Z	L4REPAIR2	48	midgard	241001	A	C	core_destroyed	136
