ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T10:56:58Z	LAUNCHLATE160	0	antler	107000	A	T	core_destroyed	257
2026-08-12T10:57:00Z	LAUNCHLATE160	1	antler	107000	B	T	core_destroyed	339
2026-08-12T10:57:02Z	LAUNCHLATE160	2	atoll	107000	A	T	core_destroyed	169
2026-08-12T10:57:03Z	LAUNCHLATE160	3	atoll	107000	B	T	core_destroyed	295
2026-08-12T10:57:04Z	LAUNCHLATE160	4	drumlin	107000	A	T	core_destroyed	107
2026-08-12T10:57:06Z	LAUNCHLATE160	5	drumlin	107000	B	T	core_destroyed	118
2026-08-12T10:57:08Z	LAUNCHLATE160	6	fjordgate	107000	A	C	core_destroyed	120
2026-08-12T10:57:09Z	LAUNCHLATE160	7	fjordgate	107000	B	T	core_destroyed	118
2026-08-12T10:57:12Z	LAUNCHLATE160	8	heart	107000	A	T	core_destroyed	129
2026-08-12T10:57:14Z	LAUNCHLATE160	9	heart	107000	B	T	core_destroyed	199
2026-08-12T10:57:16Z	LAUNCHLATE160	10	hive	107000	A	C	core_destroyed	114
2026-08-12T10:57:20Z	LAUNCHLATE160	11	hive	107000	B	T	core_destroyed	239
2026-08-12T10:57:21Z	LAUNCHLATE160	12	meander	107000	A	C	core_destroyed	106
2026-08-12T10:57:23Z	LAUNCHLATE160	13	meander	107000	B	C	core_destroyed	188
2026-08-12T10:57:25Z	LAUNCHLATE160	14	nordkap	107000	A	T	core_destroyed	288
2026-08-12T10:57:26Z	LAUNCHLATE160	15	nordkap	107000	B	T	core_destroyed	212
2026-08-12T10:57:30Z	LAUNCHLATE160	16	antler	107001	A	T	core_destroyed	491
2026-08-12T10:57:33Z	LAUNCHLATE160	17	antler	107001	B	C	core_destroyed	380
2026-08-12T10:57:40Z	LAUNCHLATE160	18	atoll	107001	A	T	core_destroyed	783
2026-08-12T10:57:42Z	LAUNCHLATE160	19	atoll	107001	B	C	core_destroyed	513
2026-08-12T10:57:46Z	LAUNCHLATE160	20	drumlin	107001	A	T	core_destroyed	332
2026-08-12T10:57:50Z	LAUNCHLATE160	21	drumlin	107001	B	T	core_destroyed	302
2026-08-12T10:57:52Z	LAUNCHLATE160	22	fjordgate	107001	A	C	core_destroyed	263
2026-08-12T10:57:53Z	LAUNCHLATE160	23	fjordgate	107001	B	C	core_destroyed	139
2026-08-12T10:57:57Z	LAUNCHLATE160	24	heart	107001	A	T	core_destroyed	367
2026-08-12T10:58:00Z	LAUNCHLATE160	25	heart	107001	B	C	core_destroyed	186
2026-08-12T10:58:07Z	LAUNCHLATE160	26	hive	107001	A	C	core_destroyed	387
2026-08-12T10:58:12Z	LAUNCHLATE160	27	hive	107001	B	T	core_destroyed	326
2026-08-12T10:58:14Z	LAUNCHLATE160	28	meander	107001	A	C	core_destroyed	196
2026-08-12T10:58:16Z	LAUNCHLATE160	29	meander	107001	B	C	core_destroyed	196
2026-08-12T10:58:19Z	LAUNCHLATE160	30	nordkap	107001	A	T	core_destroyed	285
2026-08-12T10:58:21Z	LAUNCHLATE160	31	nordkap	107001	B	C	core_destroyed	168
2026-08-12T10:58:23Z	LAUNCHLATE160	32	antler	107002	A	C	core_destroyed	233
2026-08-12T10:58:24Z	LAUNCHLATE160	33	antler	107002	B	C	core_destroyed	138
2026-08-12T10:58:26Z	LAUNCHLATE160	34	atoll	107002	A	C	core_destroyed	98
