ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-13T00:06:01Z	LAUNCHRES0	0	antler	141000	A	T	core_destroyed	278
2026-08-13T00:06:03Z	LAUNCHRES0	1	antler	141000	B	C	core_destroyed	231
2026-08-13T00:06:04Z	LAUNCHRES0	2	atoll	141000	A	C	core_destroyed	126
2026-08-13T00:06:06Z	LAUNCHRES0	3	atoll	141000	B	C	core_destroyed	211
2026-08-13T00:06:08Z	LAUNCHRES0	4	drumlin	141000	A	C	core_destroyed	168
2026-08-13T00:06:10Z	LAUNCHRES0	5	drumlin	141000	B	C	core_destroyed	189
2026-08-13T00:06:11Z	LAUNCHRES0	6	fjordgate	141000	A	C	core_destroyed	186
2026-08-13T00:06:13Z	LAUNCHRES0	7	fjordgate	141000	B	T	core_destroyed	158
2026-08-13T00:06:17Z	LAUNCHRES0	8	heart	141000	A	C	core_destroyed	246
2026-08-13T00:06:19Z	LAUNCHRES0	9	heart	141000	B	C	core_destroyed	216
2026-08-13T00:06:25Z	LAUNCHRES0	10	hive	141000	A	T	core_destroyed	432
2026-08-13T00:06:28Z	LAUNCHRES0	11	hive	141000	B	T	core_destroyed	221
2026-08-13T00:06:29Z	LAUNCHRES0	12	meander	141000	A	T	core_destroyed	310
2026-08-13T00:06:31Z	LAUNCHRES0	13	meander	141000	B	T	core_destroyed	171
2026-08-13T00:06:34Z	LAUNCHRES0	14	nordkap	141000	A	C	core_destroyed	257
2026-08-13T00:06:35Z	LAUNCHRES0	15	nordkap	141000	B	T	core_destroyed	156
2026-08-13T00:06:38Z	LAUNCHRES0	16	antler	141001	A	C	core_destroyed	338
2026-08-13T00:06:39Z	LAUNCHRES0	17	antler	141001	B	C	core_destroyed	102
2026-08-13T00:06:41Z	LAUNCHRES0	18	atoll	141001	A	C	core_destroyed	356
2026-08-13T00:06:42Z	LAUNCHRES0	19	atoll	141001	B	T	core_destroyed	126
2026-08-13T00:06:47Z	LAUNCHRES0	20	drumlin	141001	A	C	core_destroyed	411
2026-08-13T00:06:49Z	LAUNCHRES0	21	drumlin	141001	B	C	core_destroyed	131
2026-08-13T00:06:50Z	LAUNCHRES0	22	fjordgate	141001	A	C	core_destroyed	185
2026-08-13T00:06:51Z	LAUNCHRES0	23	fjordgate	141001	B	C	core_destroyed	211
2026-08-13T00:06:53Z	LAUNCHRES0	24	heart	141001	A	T	core_destroyed	114
2026-08-13T00:06:56Z	LAUNCHRES0	25	heart	141001	B	C	tiebreak	1000
2026-08-13T00:06:58Z	LAUNCHRES0	26	hive	141001	A	C	core_destroyed	120
2026-08-13T00:07:00Z	LAUNCHRES0	27	hive	141001	B	T	core_destroyed	130
2026-08-13T00:07:02Z	LAUNCHRES0	28	meander	141001	A	T	core_destroyed	208
2026-08-13T00:07:03Z	LAUNCHRES0	29	meander	141001	B	C	core_destroyed	223
2026-08-13T00:07:05Z	LAUNCHRES0	30	nordkap	141001	A	C	core_destroyed	146
2026-08-13T00:07:06Z	LAUNCHRES0	31	nordkap	141001	B	T	tiebreak	1000
2026-08-13T00:07:08Z	LAUNCHRES0	32	antler	141002	A	T	core_destroyed	158
2026-08-13T00:07:09Z	LAUNCHRES0	33	antler	141002	B	C	core_destroyed	149
2026-08-13T00:07:14Z	LAUNCHRES0	34	atoll	141002	A	C	core_destroyed	677
2026-08-13T00:07:17Z	LAUNCHRES0	35	atoll	141002	B	T	core_destroyed	164
2026-08-13T00:07:26Z	LAUNCHRES0	36	drumlin	141002	A	T	core_destroyed	657
2026-08-13T00:07:28Z	LAUNCHRES0	37	drumlin	141002	B	C	core_destroyed	118
2026-08-13T00:07:29Z	LAUNCHRES0	38	fjordgate	141002	A	C	core_destroyed	214
2026-08-13T00:07:31Z	LAUNCHRES0	39	fjordgate	141002	B	T	core_destroyed	162
2026-08-13T00:07:35Z	LAUNCHRES0	40	heart	141002	A	T	core_destroyed	456
2026-08-13T00:07:38Z	LAUNCHRES0	41	heart	141002	B	C	core_destroyed	152
2026-08-13T00:07:40Z	LAUNCHRES0	42	hive	141002	A	C	core_destroyed	98
2026-08-13T00:07:41Z	LAUNCHRES0	43	hive	141002	B	T	core_destroyed	117
2026-08-13T00:07:43Z	LAUNCHRES0	44	meander	141002	A	T	core_destroyed	165
2026-08-13T00:07:45Z	LAUNCHRES0	45	meander	141002	B	T	core_destroyed	233
2026-08-13T00:07:47Z	LAUNCHRES0	46	nordkap	141002	A	C	core_destroyed	777
2026-08-13T00:07:50Z	LAUNCHRES0	47	nordkap	141002	B	C	core_destroyed	307
2026-08-13T00:07:51Z	LAUNCHRES0	48	antler	141003	A	T	core_destroyed	222
2026-08-13T00:07:52Z	LAUNCHRES0	49	antler	141003	B	C	core_destroyed	128
2026-08-13T00:07:54Z	LAUNCHRES0	50	atoll	141003	A	C	core_destroyed	249
2026-08-13T00:07:57Z	LAUNCHRES0	51	atoll	141003	B	C	core_destroyed	419
2026-08-13T00:07:59Z	LAUNCHRES0	52	drumlin	141003	A	T	core_destroyed	176
2026-08-13T00:08:00Z	LAUNCHRES0	53	drumlin	141003	B	C	core_destroyed	148
2026-08-13T00:08:01Z	LAUNCHRES0	54	fjordgate	141003	A	T	core_destroyed	245
2026-08-13T00:08:07Z	LAUNCHRES0	55	fjordgate	141003	B	T	tiebreak	1000
2026-08-13T00:08:09Z	LAUNCHRES0	56	heart	141003	A	T	core_destroyed	129
2026-08-13T00:08:11Z	LAUNCHRES0	57	heart	141003	B	T	core_destroyed	201
2026-08-13T00:08:13Z	LAUNCHRES0	58	hive	141003	A	T	core_destroyed	190
2026-08-13T00:08:17Z	LAUNCHRES0	59	hive	141003	B	T	core_destroyed	300
2026-08-13T00:08:19Z	LAUNCHRES0	60	meander	141003	A	C	core_destroyed	163
2026-08-13T00:08:20Z	LAUNCHRES0	61	meander	141003	B	C	core_destroyed	132
2026-08-13T00:08:22Z	LAUNCHRES0	62	nordkap	141003	A	C	core_destroyed	122
2026-08-13T00:08:24Z	LAUNCHRES0	63	nordkap	141003	B	T	core_destroyed	280
2026-08-13T00:08:25Z	LAUNCHRES0	64	antler	141004	A	C	core_destroyed	137
2026-08-13T00:08:27Z	LAUNCHRES0	65	antler	141004	B	C	core_destroyed	156
2026-08-13T00:08:28Z	LAUNCHRES0	66	atoll	141004	A	C	core_destroyed	139
2026-08-13T00:08:31Z	LAUNCHRES0	67	atoll	141004	B	T	core_destroyed	236
2026-08-13T00:08:33Z	LAUNCHRES0	68	drumlin	141004	A	T	core_destroyed	170
2026-08-13T00:08:36Z	LAUNCHRES0	69	drumlin	141004	B	C	core_destroyed	248
2026-08-13T00:08:37Z	LAUNCHRES0	70	fjordgate	141004	A	C	core_destroyed	179
2026-08-13T00:08:39Z	LAUNCHRES0	71	fjordgate	141004	B	C	core_destroyed	142
2026-08-13T00:08:40Z	LAUNCHRES0	72	heart	141004	A	C	core_destroyed	135
2026-08-13T00:08:44Z	LAUNCHRES0	73	heart	141004	B	C	core_destroyed	865
2026-08-13T00:08:46Z	LAUNCHRES0	74	hive	141004	A	T	core_destroyed	137
2026-08-13T00:08:50Z	LAUNCHRES0	75	hive	141004	B	C	core_destroyed	228
2026-08-13T00:08:51Z	LAUNCHRES0	76	meander	141004	A	T	core_destroyed	128
2026-08-13T00:08:53Z	LAUNCHRES0	77	meander	141004	B	C	core_destroyed	260
2026-08-13T00:08:54Z	LAUNCHRES0	78	nordkap	141004	A	C	core_destroyed	239
2026-08-13T00:08:56Z	LAUNCHRES0	79	nordkap	141004	B	T	core_destroyed	485
2026-08-13T00:08:58Z	LAUNCHRES0	80	antler	141005	A	C	core_destroyed	489
2026-08-13T00:09:00Z	LAUNCHRES0	81	antler	141005	B	C	core_destroyed	246
2026-08-13T00:09:02Z	LAUNCHRES0	82	atoll	141005	A	C	core_destroyed	111
2026-08-13T00:09:03Z	LAUNCHRES0	83	atoll	141005	B	T	core_destroyed	107
2026-08-13T00:09:04Z	LAUNCHRES0	84	drumlin	141005	A	T	core_destroyed	89
2026-08-13T00:09:06Z	LAUNCHRES0	85	drumlin	141005	B	C	core_destroyed	127
2026-08-13T00:09:07Z	LAUNCHRES0	86	fjordgate	141005	A	C	core_destroyed	355
2026-08-13T00:09:09Z	LAUNCHRES0	87	fjordgate	141005	B	T	core_destroyed	329
2026-08-13T00:09:18Z	LAUNCHRES0	88	heart	141005	A	C	core_destroyed	670
2026-08-13T00:09:19Z	LAUNCHRES0	89	heart	141005	B	C	core_destroyed	188
2026-08-13T00:09:21Z	LAUNCHRES0	90	hive	141005	A	C	core_destroyed	120
2026-08-13T00:09:24Z	LAUNCHRES0	91	hive	141005	B	T	core_destroyed	182
2026-08-13T00:09:27Z	LAUNCHRES0	92	meander	141005	A	T	core_destroyed	399
