ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-13T09:28:40Z	MAPCODE	0	antler	214000	A	T	core_destroyed	148
2026-08-13T09:28:42Z	MAPCODE	1	antler	214000	B	C	core_destroyed	393
2026-08-13T09:28:44Z	MAPCODE	2	archipelago	214000	A	C	core_destroyed	79
2026-08-13T09:28:48Z	MAPCODE	3	archipelago	214000	B	T	core_destroyed	201
2026-08-13T09:28:49Z	MAPCODE	4	auroraveil	214000	A	T	core_destroyed	103
2026-08-13T09:28:50Z	MAPCODE	5	auroraveil	214000	B	T	core_destroyed	168
2026-08-13T09:28:52Z	MAPCODE	6	drakkarfjord	214000	A	T	core_destroyed	164
2026-08-13T09:28:55Z	MAPCODE	7	drakkarfjord	214000	B	T	core_destroyed	244
2026-08-13T09:28:58Z	MAPCODE	8	drumlin	214000	A	T	core_destroyed	267
2026-08-13T09:29:01Z	MAPCODE	9	drumlin	214000	B	C	core_destroyed	421
2026-08-13T09:29:02Z	MAPCODE	10	fjordgate	214000	A	T	core_destroyed	206
2026-08-13T09:29:03Z	MAPCODE	11	fjordgate	214000	B	C	core_destroyed	167
2026-08-13T09:29:05Z	MAPCODE	12	frostgate	214000	A	C	core_destroyed	166
2026-08-13T09:29:07Z	MAPCODE	13	frostgate	214000	B	T	core_destroyed	335
2026-08-13T09:29:16Z	MAPCODE	14	glacierkeep	214000	A	T	tiebreak	1000
2026-08-13T09:29:18Z	MAPCODE	15	glacierkeep	214000	B	T	core_destroyed	322
2026-08-13T09:29:19Z	MAPCODE	16	icefloe	214000	A	T	core_destroyed	166
2026-08-13T09:29:21Z	MAPCODE	17	icefloe	214000	B	T	core_destroyed	150
2026-08-13T09:29:23Z	MAPCODE	18	midgard	214000	A	T	core_destroyed	195
2026-08-13T09:29:26Z	MAPCODE	19	midgard	214000	B	T	core_destroyed	166
2026-08-13T09:29:28Z	MAPCODE	20	nordkap	214000	A	C	core_destroyed	216
2026-08-13T09:29:30Z	MAPCODE	21	nordkap	214000	B	T	core_destroyed	248
2026-08-13T09:30:06Z	MAPCODE	22	ragnarok	214000	A	T	tiebreak	1000
2026-08-13T09:30:09Z	MAPCODE	23	ragnarok	214000	B	T	core_destroyed	229
2026-08-13T09:30:11Z	MAPCODE	24	royale	214000	A	C	core_destroyed	217
2026-08-13T09:30:12Z	MAPCODE	25	royale	214000	B	T	core_destroyed	123
2026-08-13T09:30:14Z	MAPCODE	26	valkyrie	214000	A	T	core_destroyed	134
2026-08-13T09:30:16Z	MAPCODE	27	valkyrie	214000	B	T	core_destroyed	166
2026-08-13T09:30:17Z	MAPCODE	28	yulerune	214000	A	T	core_destroyed	112
2026-08-13T09:30:18Z	MAPCODE	29	yulerune	214000	B	T	core_destroyed	101
2026-08-13T09:30:21Z	MAPCODE	30	antler	214001	A	C	tiebreak	1000
2026-08-13T09:30:23Z	MAPCODE	31	antler	214001	B	C	core_destroyed	309
2026-08-13T09:30:25Z	MAPCODE	32	archipelago	214001	A	C	core_destroyed	103
2026-08-13T09:30:30Z	MAPCODE	33	archipelago	214001	B	T	core_destroyed	520
2026-08-13T09:30:31Z	MAPCODE	34	auroraveil	214001	A	T	core_destroyed	119
2026-08-13T09:30:33Z	MAPCODE	35	auroraveil	214001	B	T	core_destroyed	150
2026-08-13T09:30:34Z	MAPCODE	36	drakkarfjord	214001	A	T	core_destroyed	146
2026-08-13T09:30:36Z	MAPCODE	37	drakkarfjord	214001	B	T	core_destroyed	131
2026-08-13T09:30:38Z	MAPCODE	38	drumlin	214001	A	C	core_destroyed	258
2026-08-13T09:30:41Z	MAPCODE	39	drumlin	214001	B	C	core_destroyed	174
2026-08-13T09:30:42Z	MAPCODE	40	fjordgate	214001	A	T	core_destroyed	93
2026-08-13T09:30:44Z	MAPCODE	41	fjordgate	214001	B	T	core_destroyed	349
2026-08-13T09:30:45Z	MAPCODE	42	frostgate	214001	A	C	core_destroyed	221
2026-08-13T09:30:47Z	MAPCODE	43	frostgate	214001	B	C	core_destroyed	211
2026-08-13T09:30:49Z	MAPCODE	44	glacierkeep	214001	A	T	core_destroyed	156
2026-08-13T09:30:51Z	MAPCODE	45	glacierkeep	214001	B	C	core_destroyed	219
2026-08-13T09:30:54Z	MAPCODE	46	icefloe	214001	A	T	core_destroyed	385
2026-08-13T09:30:56Z	MAPCODE	47	icefloe	214001	B	T	core_destroyed	130
2026-08-13T09:31:00Z	MAPCODE	48	midgard	214001	A	T	core_destroyed	214
2026-08-13T09:31:02Z	MAPCODE	49	midgard	214001	B	T	core_destroyed	124
2026-08-13T09:31:05Z	MAPCODE	50	nordkap	214001	A	C	core_destroyed	405
2026-08-13T09:31:07Z	MAPCODE	51	nordkap	214001	B	C	core_destroyed	131
2026-08-13T09:31:31Z	MAPCODE	52	ragnarok	214001	A	T	tiebreak	1000
2026-08-13T09:31:34Z	MAPCODE	53	ragnarok	214001	B	T	core_destroyed	138
2026-08-13T09:31:36Z	MAPCODE	54	royale	214001	A	C	core_destroyed	265
2026-08-13T09:31:37Z	MAPCODE	55	royale	214001	B	T	core_destroyed	239
2026-08-13T09:31:39Z	MAPCODE	56	valkyrie	214001	A	T	core_destroyed	323
2026-08-13T09:31:43Z	MAPCODE	57	valkyrie	214001	B	T	core_destroyed	395
2026-08-13T09:31:45Z	MAPCODE	58	yulerune	214001	A	T	core_destroyed	138
2026-08-13T09:31:46Z	MAPCODE	59	yulerune	214001	B	T	core_destroyed	115
2026-08-13T09:31:48Z	MAPCODE	60	antler	214002	A	T	core_destroyed	149
2026-08-13T09:31:51Z	MAPCODE	61	antler	214002	B	C	core_destroyed	570
2026-08-13T09:31:53Z	MAPCODE	62	archipelago	214002	A	T	core_destroyed	259
2026-08-13T09:31:55Z	MAPCODE	63	archipelago	214002	B	C	core_destroyed	120
2026-08-13T09:31:57Z	MAPCODE	64	auroraveil	214002	A	T	core_destroyed	132
2026-08-13T09:31:58Z	MAPCODE	65	auroraveil	214002	B	T	core_destroyed	124
2026-08-13T09:32:02Z	MAPCODE	66	drakkarfjord	214002	A	T	core_destroyed	273
2026-08-13T09:32:05Z	MAPCODE	67	drakkarfjord	214002	B	T	core_destroyed	198
2026-08-13T09:32:06Z	MAPCODE	68	drumlin	214002	A	C	core_destroyed	138
2026-08-13T09:32:10Z	MAPCODE	69	drumlin	214002	B	T	core_destroyed	275
2026-08-13T09:32:11Z	MAPCODE	70	fjordgate	214002	A	T	core_destroyed	161
2026-08-13T09:32:12Z	MAPCODE	71	fjordgate	214002	B	C	core_destroyed	132
2026-08-13T09:32:14Z	MAPCODE	72	frostgate	214002	A	T	tiebreak	1000
2026-08-13T09:32:16Z	MAPCODE	73	frostgate	214002	B	C	core_destroyed	191
2026-08-13T09:32:18Z	MAPCODE	74	glacierkeep	214002	A	T	core_destroyed	168
2026-08-13T09:32:20Z	MAPCODE	75	glacierkeep	214002	B	T	core_destroyed	295
2026-08-13T09:32:22Z	MAPCODE	76	icefloe	214002	A	T	core_destroyed	211
2026-08-13T09:32:24Z	MAPCODE	77	icefloe	214002	B	T	core_destroyed	205
2026-08-13T09:32:26Z	MAPCODE	78	midgard	214002	A	T	core_destroyed	125
2026-08-13T09:32:29Z	MAPCODE	79	midgard	214002	B	T	core_destroyed	168
2026-08-13T09:32:31Z	MAPCODE	80	nordkap	214002	A	T	core_destroyed	169
2026-08-13T09:32:33Z	MAPCODE	81	nordkap	214002	B	T	core_destroyed	202
2026-08-13T09:32:35Z	MAPCODE	82	ragnarok	214002	A	T	core_destroyed	153
2026-08-13T09:32:38Z	MAPCODE	83	ragnarok	214002	B	T	core_destroyed	165
2026-08-13T09:32:39Z	MAPCODE	84	royale	214002	A	C	core_destroyed	175
2026-08-13T09:32:40Z	MAPCODE	85	royale	214002	B	T	core_destroyed	132
2026-08-13T09:32:44Z	MAPCODE	86	valkyrie	214002	A	T	core_destroyed	386
2026-08-13T09:32:46Z	MAPCODE	87	valkyrie	214002	B	T	core_destroyed	137
2026-08-13T09:32:48Z	MAPCODE	88	yulerune	214002	A	T	core_destroyed	172
2026-08-13T09:32:50Z	MAPCODE	89	yulerune	214002	B	T	core_destroyed	142
2026-08-13T09:32:52Z	MAPCODE	90	antler	214003	A	T	core_destroyed	273
2026-08-13T09:32:55Z	MAPCODE	91	antler	214003	B	C	tiebreak	1000
2026-08-13T09:32:57Z	MAPCODE	92	archipelago	214003	A	T	core_destroyed	118
2026-08-13T09:33:01Z	MAPCODE	93	archipelago	214003	B	T	core_destroyed	150
2026-08-13T09:33:02Z	MAPCODE	94	auroraveil	214003	A	T	core_destroyed	382
2026-08-13T09:33:04Z	MAPCODE	95	auroraveil	214003	B	T	core_destroyed	127
2026-08-13T09:33:06Z	MAPCODE	96	drakkarfjord	214003	A	T	core_destroyed	172
2026-08-13T09:33:09Z	MAPCODE	97	drakkarfjord	214003	B	T	core_destroyed	198
2026-08-13T09:33:11Z	MAPCODE	98	drumlin	214003	A	C	core_destroyed	156
2026-08-13T09:33:16Z	MAPCODE	99	drumlin	214003	B	T	core_destroyed	770
2026-08-13T09:33:17Z	MAPCODE	100	fjordgate	214003	A	T	core_destroyed	357
2026-08-13T09:33:19Z	MAPCODE	101	fjordgate	214003	B	C	core_destroyed	377
2026-08-13T09:33:20Z	MAPCODE	102	frostgate	214003	A	C	core_destroyed	245
2026-08-13T09:33:21Z	MAPCODE	103	frostgate	214003	B	C	core_destroyed	119
2026-08-13T09:33:23Z	MAPCODE	104	glacierkeep	214003	A	T	core_destroyed	194
2026-08-13T09:33:25Z	MAPCODE	105	glacierkeep	214003	B	T	core_destroyed	297
2026-08-13T09:33:30Z	MAPCODE	106	icefloe	214003	A	T	tiebreak	1000
2026-08-13T09:33:32Z	MAPCODE	107	icefloe	214003	B	T	core_destroyed	161
2026-08-13T09:33:34Z	MAPCODE	108	midgard	214003	A	T	core_destroyed	146
2026-08-13T09:33:38Z	MAPCODE	109	midgard	214003	B	T	core_destroyed	279
2026-08-13T09:33:41Z	MAPCODE	110	nordkap	214003	A	C	tiebreak	1000
2026-08-13T09:33:42Z	MAPCODE	111	nordkap	214003	B	T	core_destroyed	234
2026-08-13T09:33:45Z	MAPCODE	112	ragnarok	214003	A	T	core_destroyed	152
2026-08-13T09:33:47Z	MAPCODE	113	ragnarok	214003	B	T	core_destroyed	126
2026-08-13T09:33:48Z	MAPCODE	114	royale	214003	A	T	core_destroyed	124
2026-08-13T09:33:50Z	MAPCODE	115	royale	214003	B	C	core_destroyed	324
2026-08-13T09:33:52Z	MAPCODE	116	valkyrie	214003	A	T	core_destroyed	144
2026-08-13T09:33:53Z	MAPCODE	117	valkyrie	214003	B	T	core_destroyed	130
2026-08-13T09:33:55Z	MAPCODE	118	yulerune	214003	A	T	core_destroyed	114
2026-08-13T09:34:04Z	MAPCODE	119	yulerune	214003	B	T	tiebreak	1000
2026-08-13T09:34:05Z	MAPCODE	120	antler	214004	A	C	core_destroyed	143
2026-08-13T09:34:08Z	MAPCODE	121	antler	214004	B	T	core_destroyed	413
2026-08-13T09:34:11Z	MAPCODE	122	archipelago	214004	A	T	core_destroyed	165
2026-08-13T09:34:13Z	MAPCODE	123	archipelago	214004	B	C	core_destroyed	118
2026-08-13T09:34:14Z	MAPCODE	124	auroraveil	214004	A	T	core_destroyed	211
