ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T07:23:22Z	MAPFIX	0	valkyrie	250000	A	T	core_destroyed	107
2026-08-14T07:23:24Z	MAPFIX	1	valkyrie	250000	B	T	core_destroyed	98
2026-08-14T07:23:26Z	MAPFIX	2	glacierkeep	250000	A	T	core_destroyed	325
2026-08-14T07:23:28Z	MAPFIX	3	glacierkeep	250000	B	C	core_destroyed	329
2026-08-14T07:23:30Z	MAPFIX	4	valkyrie	250001	A	T	core_destroyed	92
2026-08-14T07:23:32Z	MAPFIX	5	valkyrie	250001	B	T	core_destroyed	93
2026-08-14T07:23:35Z	MAPFIX	6	glacierkeep	250001	A	T	core_destroyed	314
2026-08-14T07:23:36Z	MAPFIX	7	glacierkeep	250001	B	T	core_destroyed	191
2026-08-14T07:23:39Z	MAPFIX	8	valkyrie	250002	A	C	core_destroyed	226
2026-08-14T07:23:44Z	MAPFIX	9	valkyrie	250002	B	C	tiebreak	1000
2026-08-14T07:23:46Z	MAPFIX	10	glacierkeep	250002	A	T	core_destroyed	144
2026-08-14T07:23:48Z	MAPFIX	11	glacierkeep	250002	B	C	core_destroyed	328
2026-08-14T07:23:51Z	MAPFIX	12	valkyrie	250003	A	C	core_destroyed	224
2026-08-14T07:23:54Z	MAPFIX	13	valkyrie	250003	B	T	core_destroyed	292
2026-08-14T07:23:56Z	MAPFIX	14	glacierkeep	250003	A	T	core_destroyed	154
2026-08-14T07:23:59Z	MAPFIX	15	glacierkeep	250003	B	C	core_destroyed	359
2026-08-14T07:24:04Z	MAPFIX	16	valkyrie	250004	A	T	core_destroyed	268
2026-08-14T07:24:07Z	MAPFIX	17	valkyrie	250004	B	T	core_destroyed	198
2026-08-14T07:24:11Z	MAPFIX	18	glacierkeep	250004	A	T	core_destroyed	278
2026-08-14T07:24:15Z	MAPFIX	19	glacierkeep	250004	B	C	tiebreak	1000
2026-08-14T07:24:17Z	MAPFIX	20	valkyrie	250005	A	T	core_destroyed	105
2026-08-14T07:24:20Z	MAPFIX	21	valkyrie	250005	B	T	core_destroyed	373
2026-08-14T07:24:24Z	MAPFIX	22	glacierkeep	250005	A	T	core_destroyed	432
2026-08-14T07:24:32Z	MAPFIX	23	glacierkeep	250005	B	C	tiebreak	1000
2026-08-14T07:24:34Z	MAPFIX	24	valkyrie	250006	A	T	core_destroyed	136
2026-08-14T07:24:44Z	MAPFIX	25	valkyrie	250006	B	C	tiebreak	1000
2026-08-14T07:24:45Z	MAPFIX	26	glacierkeep	250006	A	T	core_destroyed	167
2026-08-14T07:24:48Z	MAPFIX	27	glacierkeep	250006	B	C	core_destroyed	310
2026-08-14T07:24:50Z	MAPFIX	28	valkyrie	250007	A	C	core_destroyed	332
2026-08-14T07:24:51Z	MAPFIX	29	valkyrie	250007	B	T	core_destroyed	92
2026-08-14T07:24:56Z	MAPFIX	30	glacierkeep	250007	A	C	tiebreak	1000
2026-08-14T07:24:59Z	MAPFIX	31	glacierkeep	250007	B	C	tiebreak	1000
2026-08-14T07:25:02Z	MAPFIX	32	valkyrie	250008	A	T	core_destroyed	122
2026-08-14T07:25:04Z	MAPFIX	33	valkyrie	250008	B	C	core_destroyed	201
2026-08-14T07:25:10Z	MAPFIX	34	glacierkeep	250008	A	C	core_destroyed	598
2026-08-14T07:25:12Z	MAPFIX	35	glacierkeep	250008	B	C	core_destroyed	145
2026-08-14T07:25:14Z	MAPFIX	36	valkyrie	250009	A	C	core_destroyed	133
2026-08-14T07:25:20Z	MAPFIX	37	valkyrie	250009	B	T	core_destroyed	318
2026-08-14T07:25:22Z	MAPFIX	38	glacierkeep	250009	A	T	core_destroyed	310
2026-08-14T07:25:29Z	MAPFIX	39	glacierkeep	250009	B	T	core_destroyed	697
2026-08-14T07:25:31Z	MAPFIX	40	valkyrie	250010	A	C	core_destroyed	158
2026-08-14T07:25:35Z	MAPFIX	41	valkyrie	250010	B	T	core_destroyed	306
2026-08-14T07:25:38Z	MAPFIX	42	glacierkeep	250010	A	C	tiebreak	1000
2026-08-14T07:25:43Z	MAPFIX	43	glacierkeep	250010	B	C	core_destroyed	705
2026-08-14T07:25:44Z	MAPFIX	44	valkyrie	250011	A	T	core_destroyed	105
2026-08-14T07:25:48Z	MAPFIX	45	valkyrie	250011	B	C	core_destroyed	274
2026-08-14T07:25:53Z	MAPFIX	46	glacierkeep	250011	A	T	core_destroyed	395
2026-08-14T07:25:55Z	MAPFIX	47	glacierkeep	250011	B	C	core_destroyed	258
