ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T12:45:37Z	NESTSHOT2	0	antler	276000	A	T	core_destroyed	278
2026-08-14T12:45:39Z	NESTSHOT2	1	antler	276000	B	T	core_destroyed	174
2026-08-14T12:45:45Z	NESTSHOT2	2	archipelago	276000	A	T	core_destroyed	441
2026-08-14T12:45:47Z	NESTSHOT2	3	archipelago	276000	B	T	core_destroyed	88
2026-08-14T12:45:49Z	NESTSHOT2	4	auroraveil	276000	A	C	core_destroyed	106
2026-08-14T12:45:51Z	NESTSHOT2	5	auroraveil	276000	B	C	core_destroyed	317
2026-08-14T12:45:57Z	NESTSHOT2	6	drakkarfjord	276000	A	T	core_destroyed	393
2026-08-14T12:46:00Z	NESTSHOT2	7	drakkarfjord	276000	B	T	core_destroyed	201
2026-08-14T12:46:05Z	NESTSHOT2	8	drumlin	276000	A	C	core_destroyed	371
2026-08-14T12:46:07Z	NESTSHOT2	9	drumlin	276000	B	T	core_destroyed	109
2026-08-14T12:46:08Z	NESTSHOT2	10	fjordgate	276000	A	T	core_destroyed	181
2026-08-14T12:46:10Z	NESTSHOT2	11	fjordgate	276000	B	T	core_destroyed	236
2026-08-14T12:46:14Z	NESTSHOT2	12	frostgate	276000	A	T	core_destroyed	377
2026-08-14T12:46:16Z	NESTSHOT2	13	frostgate	276000	B	C	core_destroyed	389
2026-08-14T12:46:28Z	NESTSHOT2	14	glacierkeep	276000	A	C	tiebreak	1000
2026-08-14T12:46:34Z	NESTSHOT2	15	glacierkeep	276000	B	T	tiebreak	1000
2026-08-14T12:46:37Z	NESTSHOT2	16	icefloe	276000	A	T	core_destroyed	172
2026-08-14T12:46:40Z	NESTSHOT2	17	icefloe	276000	B	T	core_destroyed	491
2026-08-14T12:46:43Z	NESTSHOT2	18	midgard	276000	A	T	core_destroyed	83
2026-08-14T12:46:46Z	NESTSHOT2	19	midgard	276000	B	T	core_destroyed	161
2026-08-14T12:46:47Z	NESTSHOT2	20	nordkap	276000	A	T	core_destroyed	154
2026-08-14T12:46:49Z	NESTSHOT2	21	nordkap	276000	B	T	core_destroyed	199
2026-08-14T12:46:56Z	NESTSHOT2	22	ragnarok	276000	A	C	core_destroyed	317
2026-08-14T12:47:02Z	NESTSHOT2	23	ragnarok	276000	B	T	core_destroyed	505
2026-08-14T12:47:05Z	NESTSHOT2	24	royale	276000	A	C	core_destroyed	565
2026-08-14T12:47:08Z	NESTSHOT2	25	royale	276000	B	C	core_destroyed	428
2026-08-14T12:47:11Z	NESTSHOT2	26	valkyrie	276000	A	T	core_destroyed	324
2026-08-14T12:47:19Z	NESTSHOT2	27	valkyrie	276000	B	T	core_destroyed	513
2026-08-14T12:47:21Z	NESTSHOT2	28	yulerune	276000	A	T	core_destroyed	185
2026-08-14T12:47:25Z	NESTSHOT2	29	yulerune	276000	B	T	core_destroyed	228
2026-08-14T12:47:27Z	NESTSHOT2	30	antler	276001	A	C	core_destroyed	237
2026-08-14T12:47:30Z	NESTSHOT2	31	antler	276001	B	C	core_destroyed	422
2026-08-14T12:47:32Z	NESTSHOT2	32	archipelago	276001	A	C	core_destroyed	202
2026-08-14T12:47:36Z	NESTSHOT2	33	archipelago	276001	B	T	core_destroyed	197
2026-08-14T12:47:38Z	NESTSHOT2	34	auroraveil	276001	A	C	core_destroyed	228
2026-08-14T12:47:41Z	NESTSHOT2	35	auroraveil	276001	B	C	core_destroyed	489
2026-08-14T12:47:44Z	NESTSHOT2	36	drakkarfjord	276001	A	T	core_destroyed	192
2026-08-14T12:47:50Z	NESTSHOT2	37	drakkarfjord	276001	B	T	tiebreak	1000
2026-08-14T12:47:52Z	NESTSHOT2	38	drumlin	276001	A	T	core_destroyed	201
2026-08-14T12:47:55Z	NESTSHOT2	39	drumlin	276001	B	C	core_destroyed	268
2026-08-14T12:47:57Z	NESTSHOT2	40	fjordgate	276001	A	C	core_destroyed	266
2026-08-14T12:47:58Z	NESTSHOT2	41	fjordgate	276001	B	C	core_destroyed	108
2026-08-14T12:47:59Z	NESTSHOT2	42	frostgate	276001	A	C	core_destroyed	433
2026-08-14T12:48:01Z	NESTSHOT2	43	frostgate	276001	B	T	core_destroyed	237
2026-08-14T12:48:05Z	NESTSHOT2	44	glacierkeep	276001	A	C	core_destroyed	576
2026-08-14T12:48:12Z	NESTSHOT2	45	glacierkeep	276001	B	C	tiebreak	1000
2026-08-14T12:48:14Z	NESTSHOT2	46	icefloe	276001	A	T	core_destroyed	150
2026-08-14T12:48:17Z	NESTSHOT2	47	icefloe	276001	B	C	core_destroyed	203
2026-08-14T12:48:19Z	NESTSHOT2	48	midgard	276001	A	T	core_destroyed	114
