ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-13T19:17:21Z	PAVEFIRST	0	antler	234000	A	T	core_destroyed	206
2026-08-13T19:17:26Z	PAVEFIRST	1	antler	234000	B	C	tiebreak	1000
2026-08-13T19:17:31Z	PAVEFIRST	2	archipelago	234000	A	C	core_destroyed	520
2026-08-13T19:17:33Z	PAVEFIRST	3	archipelago	234000	B	C	core_destroyed	118
2026-08-13T19:17:34Z	PAVEFIRST	4	auroraveil	234000	A	T	core_destroyed	82
2026-08-13T19:17:35Z	PAVEFIRST	5	auroraveil	234000	B	C	core_destroyed	130
2026-08-13T19:17:43Z	PAVEFIRST	6	drakkarfjord	234000	A	T	core_destroyed	567
2026-08-13T19:17:50Z	PAVEFIRST	7	drakkarfjord	234000	B	T	core_destroyed	512
2026-08-13T19:17:54Z	PAVEFIRST	8	drumlin	234000	A	T	core_destroyed	341
2026-08-13T19:17:58Z	PAVEFIRST	9	drumlin	234000	B	T	core_destroyed	232
2026-08-13T19:18:00Z	PAVEFIRST	10	fjordgate	234000	A	C	core_destroyed	96
2026-08-13T19:18:02Z	PAVEFIRST	11	fjordgate	234000	B	C	tiebreak	1000
2026-08-13T19:18:04Z	PAVEFIRST	12	frostgate	234000	A	C	tiebreak	1000
2026-08-13T19:18:06Z	PAVEFIRST	13	frostgate	234000	B	C	core_destroyed	157
2026-08-13T19:18:10Z	PAVEFIRST	14	glacierkeep	234000	A	C	tiebreak	1000
2026-08-13T19:18:13Z	PAVEFIRST	15	glacierkeep	234000	B	T	core_destroyed	272
2026-08-13T19:18:19Z	PAVEFIRST	16	icefloe	234000	A	T	core_destroyed	406
2026-08-13T19:18:21Z	PAVEFIRST	17	icefloe	234000	B	C	core_destroyed	158
2026-08-13T19:18:23Z	PAVEFIRST	18	midgard	234000	A	C	core_destroyed	130
2026-08-13T19:18:26Z	PAVEFIRST	19	midgard	234000	B	T	core_destroyed	151
2026-08-13T19:18:28Z	PAVEFIRST	20	nordkap	234000	A	T	core_destroyed	208
2026-08-13T19:18:30Z	PAVEFIRST	21	nordkap	234000	B	C	core_destroyed	729
2026-08-13T19:18:37Z	PAVEFIRST	22	ragnarok	234000	A	T	tiebreak	1000
2026-08-13T19:18:42Z	PAVEFIRST	23	ragnarok	234000	B	T	core_destroyed	181
2026-08-13T19:18:43Z	PAVEFIRST	24	royale	234000	A	C	core_destroyed	161
2026-08-13T19:18:45Z	PAVEFIRST	25	royale	234000	B	C	core_destroyed	430
2026-08-13T19:18:48Z	PAVEFIRST	26	valkyrie	234000	A	T	core_destroyed	141
2026-08-13T19:18:50Z	PAVEFIRST	27	valkyrie	234000	B	T	core_destroyed	145
2026-08-13T19:18:56Z	PAVEFIRST	28	yulerune	234000	A	T	core_destroyed	492
2026-08-13T19:18:58Z	PAVEFIRST	29	yulerune	234000	B	T	core_destroyed	152
2026-08-13T19:19:00Z	PAVEFIRST	30	antler	234001	A	T	core_destroyed	147
2026-08-13T19:19:01Z	PAVEFIRST	31	antler	234001	B	C	core_destroyed	216
2026-08-13T19:19:03Z	PAVEFIRST	32	archipelago	234001	A	C	core_destroyed	146
2026-08-13T19:19:05Z	PAVEFIRST	33	archipelago	234001	B	C	tiebreak	153
2026-08-13T19:19:07Z	PAVEFIRST	34	auroraveil	234001	A	C	core_destroyed	244
2026-08-13T19:19:09Z	PAVEFIRST	35	auroraveil	234001	B	T	core_destroyed	183
2026-08-13T19:19:14Z	PAVEFIRST	36	drakkarfjord	234001	A	C	core_destroyed	221
2026-08-13T19:19:17Z	PAVEFIRST	37	drakkarfjord	234001	B	T	core_destroyed	167
2026-08-13T19:19:22Z	PAVEFIRST	38	drumlin	234001	A	T	core_destroyed	358
