ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T21:13:36Z	SALT	0	antler	133000	A	C	tiebreak	1000
2026-08-12T21:13:38Z	SALT	1	antler	133000	B	T	core_destroyed	259
2026-08-12T21:13:39Z	SALT	2	atoll	133000	A	C	core_destroyed	116
2026-08-12T21:13:41Z	SALT	3	atoll	133000	B	T	core_destroyed	406
2026-08-12T21:13:45Z	SALT	4	drumlin	133000	A	T	core_destroyed	321
2026-08-12T21:13:52Z	SALT	5	drumlin	133000	B	T	core_destroyed	616
2026-08-12T21:13:54Z	SALT	6	fjordgate	133000	A	T	core_destroyed	235
2026-08-12T21:13:55Z	SALT	7	fjordgate	133000	B	C	core_destroyed	112
2026-08-12T21:13:58Z	SALT	8	heart	133000	A	T	core_destroyed	251
2026-08-12T21:14:00Z	SALT	9	heart	133000	B	T	core_destroyed	155
2026-08-12T21:14:02Z	SALT	10	hive	133000	A	T	core_destroyed	261
2026-08-12T21:14:04Z	SALT	11	hive	133000	B	T	core_destroyed	92
2026-08-12T21:14:06Z	SALT	12	meander	133000	A	C	core_destroyed	152
2026-08-12T21:14:08Z	SALT	13	meander	133000	B	T	core_destroyed	251
2026-08-12T21:14:11Z	SALT	14	nordkap	133000	A	T	core_destroyed	287
2026-08-12T21:14:14Z	SALT	15	nordkap	133000	B	C	core_destroyed	287
2026-08-12T21:14:15Z	SALT	16	antler	133001	A	T	core_destroyed	245
2026-08-12T21:14:18Z	SALT	17	antler	133001	B	T	core_destroyed	271
2026-08-12T21:14:20Z	SALT	18	atoll	133001	A	T	core_destroyed	377
2026-08-12T21:14:23Z	SALT	19	atoll	133001	B	T	core_destroyed	317
2026-08-12T21:14:26Z	SALT	20	drumlin	133001	A	T	core_destroyed	294
2026-08-12T21:14:29Z	SALT	21	drumlin	133001	B	C	core_destroyed	155
2026-08-12T21:14:30Z	SALT	22	fjordgate	133001	A	C	core_destroyed	111
2026-08-12T21:14:31Z	SALT	23	fjordgate	133001	B	C	core_destroyed	165
2026-08-12T21:14:34Z	SALT	24	heart	133001	A	T	core_destroyed	340
2026-08-12T21:14:35Z	SALT	25	heart	133001	B	T	core_destroyed	153
2026-08-12T21:14:38Z	SALT	26	hive	133001	A	T	core_destroyed	291
2026-08-12T21:14:42Z	SALT	27	hive	133001	B	T	core_destroyed	229
2026-08-12T21:14:43Z	SALT	28	meander	133001	A	T	core_destroyed	214
2026-08-12T21:14:45Z	SALT	29	meander	133001	B	C	core_destroyed	134
2026-08-12T21:14:47Z	SALT	30	nordkap	133001	A	C	core_destroyed	248
2026-08-12T21:14:49Z	SALT	31	nordkap	133001	B	T	tiebreak	1000
2026-08-12T21:14:51Z	SALT	32	antler	133002	A	T	core_destroyed	530
2026-08-12T21:14:54Z	SALT	33	antler	133002	B	T	core_destroyed	360
2026-08-12T21:14:56Z	SALT	34	atoll	133002	A	C	core_destroyed	232
2026-08-12T21:14:57Z	SALT	35	atoll	133002	B	T	core_destroyed	317
2026-08-12T21:14:59Z	SALT	36	drumlin	133002	A	T	core_destroyed	195
2026-08-12T21:15:08Z	SALT	37	drumlin	133002	B	C	core_destroyed	749
2026-08-12T21:15:09Z	SALT	38	fjordgate	133002	A	T	core_destroyed	169
2026-08-12T21:15:10Z	SALT	39	fjordgate	133002	B	T	core_destroyed	144
2026-08-12T21:15:12Z	SALT	40	heart	133002	A	T	core_destroyed	147
2026-08-12T21:15:16Z	SALT	41	heart	133002	B	C	core_destroyed	314
2026-08-12T21:15:24Z	SALT	42	hive	133002	A	T	core_destroyed	508
2026-08-12T21:15:32Z	SALT	43	hive	133002	B	C	core_destroyed	795
2026-08-12T21:15:34Z	SALT	44	meander	133002	A	T	core_destroyed	184
2026-08-12T21:15:36Z	SALT	45	meander	133002	B	T	core_destroyed	146
2026-08-12T21:15:39Z	SALT	46	nordkap	133002	A	T	core_destroyed	261
2026-08-12T21:15:42Z	SALT	47	nordkap	133002	B	T	core_destroyed	291
2026-08-12T21:15:44Z	SALT	48	antler	133003	A	C	core_destroyed	154
2026-08-12T21:15:46Z	SALT	49	antler	133003	B	T	core_destroyed	103
2026-08-12T21:15:52Z	SALT	50	atoll	133003	A	C	core_destroyed	432
2026-08-12T21:15:57Z	SALT	51	atoll	133003	B	C	core_destroyed	402
2026-08-12T21:15:59Z	SALT	52	drumlin	133003	A	T	core_destroyed	116
2026-08-12T21:16:01Z	SALT	53	drumlin	133003	B	T	core_destroyed	129
2026-08-12T21:16:03Z	SALT	54	fjordgate	133003	A	T	core_destroyed	413
2026-08-12T21:16:05Z	SALT	55	fjordgate	133003	B	C	core_destroyed	172
2026-08-12T21:16:07Z	SALT	56	heart	133003	A	T	core_destroyed	172
2026-08-12T21:16:10Z	SALT	57	heart	133003	B	C	core_destroyed	169
2026-08-12T21:16:15Z	SALT	58	hive	133003	A	T	core_destroyed	249
2026-08-12T21:16:18Z	SALT	59	hive	133003	B	T	core_destroyed	200
2026-08-12T21:16:20Z	SALT	60	meander	133003	A	C	core_destroyed	208
2026-08-12T21:16:23Z	SALT	61	meander	133003	B	C	core_destroyed	392
2026-08-12T21:16:26Z	SALT	62	nordkap	133003	A	T	core_destroyed	264
2026-08-12T21:16:28Z	SALT	63	nordkap	133003	B	C	core_destroyed	164
2026-08-12T21:16:30Z	SALT	64	antler	133004	A	C	core_destroyed	205
