ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-13T04:58:09Z	SALTBARONLY	0	antler	203000	A	T	core_destroyed	332
2026-08-13T04:58:10Z	SALTBARONLY	1	antler	203000	B	T	core_destroyed	217
2026-08-13T04:58:13Z	SALTBARONLY	2	atoll	203000	A	T	tiebreak	1000
2026-08-13T04:58:14Z	SALTBARONLY	3	atoll	203000	B	C	core_destroyed	135
2026-08-13T04:58:16Z	SALTBARONLY	4	drumlin	203000	A	T	core_destroyed	104
2026-08-13T04:58:17Z	SALTBARONLY	5	drumlin	203000	B	T	core_destroyed	109
2026-08-13T04:58:18Z	SALTBARONLY	6	fjordgate	203000	A	T	core_destroyed	157
2026-08-13T04:58:20Z	SALTBARONLY	7	fjordgate	203000	B	C	core_destroyed	232
2026-08-13T04:58:24Z	SALTBARONLY	8	heart	203000	A	C	core_destroyed	219
2026-08-13T04:58:26Z	SALTBARONLY	9	heart	203000	B	C	core_destroyed	142
2026-08-13T04:58:28Z	SALTBARONLY	10	hive	203000	A	C	core_destroyed	92
2026-08-13T04:58:31Z	SALTBARONLY	11	hive	203000	B	C	core_destroyed	224
2026-08-13T04:58:32Z	SALTBARONLY	12	meander	203000	A	C	core_destroyed	146
2026-08-13T04:58:34Z	SALTBARONLY	13	meander	203000	B	C	core_destroyed	167
2026-08-13T04:58:36Z	SALTBARONLY	14	nordkap	203000	A	T	core_destroyed	289
2026-08-13T04:58:37Z	SALTBARONLY	15	nordkap	203000	B	C	core_destroyed	144
2026-08-13T04:58:39Z	SALTBARONLY	16	antler	203001	A	C	core_destroyed	128
2026-08-13T04:58:40Z	SALTBARONLY	17	antler	203001	B	C	core_destroyed	310
2026-08-13T04:58:43Z	SALTBARONLY	18	atoll	203001	A	C	tiebreak	1000
2026-08-13T04:58:46Z	SALTBARONLY	19	atoll	203001	B	T	core_destroyed	371
2026-08-13T04:58:53Z	SALTBARONLY	20	drumlin	203001	A	C	core_destroyed	480
2026-08-13T04:58:56Z	SALTBARONLY	21	drumlin	203001	B	C	core_destroyed	345
2026-08-13T04:58:57Z	SALTBARONLY	22	fjordgate	203001	A	T	core_destroyed	220
2026-08-13T04:58:58Z	SALTBARONLY	23	fjordgate	203001	B	C	core_destroyed	160
2026-08-13T04:59:02Z	SALTBARONLY	24	heart	203001	A	T	core_destroyed	302
2026-08-13T04:59:04Z	SALTBARONLY	25	heart	203001	B	C	core_destroyed	262
2026-08-13T04:59:07Z	SALTBARONLY	26	hive	203001	A	C	core_destroyed	170
2026-08-13T04:59:14Z	SALTBARONLY	27	hive	203001	B	T	core_destroyed	428
2026-08-13T04:59:16Z	SALTBARONLY	28	meander	203001	A	T	core_destroyed	273
2026-08-13T04:59:17Z	SALTBARONLY	29	meander	203001	B	T	core_destroyed	194
2026-08-13T04:59:20Z	SALTBARONLY	30	nordkap	203001	A	C	core_destroyed	205
2026-08-13T04:59:21Z	SALTBARONLY	31	nordkap	203001	B	C	core_destroyed	143
2026-08-13T04:59:24Z	SALTBARONLY	32	antler	203002	A	T	core_destroyed	589
2026-08-13T04:59:25Z	SALTBARONLY	33	antler	203002	B	T	core_destroyed	210
2026-08-13T04:59:27Z	SALTBARONLY	34	atoll	203002	A	C	core_destroyed	136
2026-08-13T04:59:30Z	SALTBARONLY	35	atoll	203002	B	C	core_destroyed	373
2026-08-13T04:59:35Z	SALTBARONLY	36	drumlin	203002	A	C	core_destroyed	377
2026-08-13T04:59:37Z	SALTBARONLY	37	drumlin	203002	B	T	core_destroyed	180
2026-08-13T04:59:38Z	SALTBARONLY	38	fjordgate	203002	A	T	core_destroyed	174
2026-08-13T04:59:40Z	SALTBARONLY	39	fjordgate	203002	B	T	core_destroyed	238
2026-08-13T04:59:42Z	SALTBARONLY	40	heart	203002	A	T	core_destroyed	160
2026-08-13T04:59:43Z	SALTBARONLY	41	heart	203002	B	C	core_destroyed	177
2026-08-13T04:59:46Z	SALTBARONLY	42	hive	203002	A	T	core_destroyed	244
2026-08-13T04:59:49Z	SALTBARONLY	43	hive	203002	B	T	core_destroyed	282
2026-08-13T04:59:51Z	SALTBARONLY	44	meander	203002	A	C	core_destroyed	198
2026-08-13T04:59:53Z	SALTBARONLY	45	meander	203002	B	T	core_destroyed	136
2026-08-13T04:59:54Z	SALTBARONLY	46	nordkap	203002	A	T	core_destroyed	147
2026-08-13T04:59:56Z	SALTBARONLY	47	nordkap	203002	B	C	core_destroyed	186
2026-08-13T04:59:58Z	SALTBARONLY	48	antler	203003	A	C	core_destroyed	476
2026-08-13T05:00:00Z	SALTBARONLY	49	antler	203003	B	C	core_destroyed	291
2026-08-13T05:00:03Z	SALTBARONLY	50	atoll	203003	A	T	core_destroyed	419
2026-08-13T05:00:05Z	SALTBARONLY	51	atoll	203003	B	C	core_destroyed	231
2026-08-13T05:00:07Z	SALTBARONLY	52	drumlin	203003	A	C	core_destroyed	115
2026-08-13T05:00:08Z	SALTBARONLY	53	drumlin	203003	B	C	core_destroyed	77
2026-08-13T05:00:10Z	SALTBARONLY	54	fjordgate	203003	A	T	core_destroyed	210
2026-08-13T05:00:11Z	SALTBARONLY	55	fjordgate	203003	B	C	core_destroyed	128
2026-08-13T05:00:13Z	SALTBARONLY	56	heart	203003	A	C	core_destroyed	212
2026-08-13T05:00:19Z	SALTBARONLY	57	heart	203003	B	C	tiebreak	1000
2026-08-13T05:00:21Z	SALTBARONLY	58	hive	203003	A	T	core_destroyed	119
2026-08-13T05:00:34Z	SALTBARONLY	59	hive	203003	B	T	core_destroyed	617
2026-08-13T05:00:35Z	SALTBARONLY	60	meander	203003	A	C	core_destroyed	148
2026-08-13T05:00:37Z	SALTBARONLY	61	meander	203003	B	T	core_destroyed	148
2026-08-13T05:00:40Z	SALTBARONLY	62	nordkap	203003	A	T	core_destroyed	360
2026-08-13T05:00:41Z	SALTBARONLY	63	nordkap	203003	B	T	core_destroyed	197
2026-08-13T05:00:44Z	SALTBARONLY	64	antler	203004	A	T	core_destroyed	338
2026-08-13T05:00:46Z	SALTBARONLY	65	antler	203004	B	T	core_destroyed	185
2026-08-13T05:00:48Z	SALTBARONLY	66	atoll	203004	A	C	core_destroyed	155
2026-08-13T05:00:49Z	SALTBARONLY	67	atoll	203004	B	C	core_destroyed	179
2026-08-13T05:00:51Z	SALTBARONLY	68	drumlin	203004	A	C	core_destroyed	157
2026-08-13T05:00:53Z	SALTBARONLY	69	drumlin	203004	B	C	core_destroyed	183
2026-08-13T05:00:55Z	SALTBARONLY	70	fjordgate	203004	A	C	core_destroyed	114
2026-08-13T05:00:56Z	SALTBARONLY	71	fjordgate	203004	B	C	core_destroyed	261
2026-08-13T05:00:58Z	SALTBARONLY	72	heart	203004	A	T	core_destroyed	181
2026-08-13T05:01:00Z	SALTBARONLY	73	heart	203004	B	C	core_destroyed	159
2026-08-13T05:01:03Z	SALTBARONLY	74	hive	203004	A	T	core_destroyed	227
2026-08-13T05:01:05Z	SALTBARONLY	75	hive	203004	B	T	core_destroyed	181
2026-08-13T05:01:07Z	SALTBARONLY	76	meander	203004	A	C	core_destroyed	152
2026-08-13T05:01:09Z	SALTBARONLY	77	meander	203004	B	T	core_destroyed	136
2026-08-13T05:01:11Z	SALTBARONLY	78	nordkap	203004	A	T	core_destroyed	287
2026-08-13T05:01:15Z	SALTBARONLY	79	nordkap	203004	B	C	core_destroyed	303
2026-08-13T05:01:16Z	SALTBARONLY	80	antler	203005	A	T	core_destroyed	102
2026-08-13T05:01:18Z	SALTBARONLY	81	antler	203005	B	T	core_destroyed	252
2026-08-13T05:01:21Z	SALTBARONLY	82	atoll	203005	A	C	core_destroyed	386
2026-08-13T05:01:26Z	SALTBARONLY	83	atoll	203005	B	T	core_destroyed	407
2026-08-13T05:01:28Z	SALTBARONLY	84	drumlin	203005	A	T	core_destroyed	170
2026-08-13T05:01:30Z	SALTBARONLY	85	drumlin	203005	B	C	core_destroyed	106
2026-08-13T05:01:31Z	SALTBARONLY	86	fjordgate	203005	A	T	core_destroyed	239
2026-08-13T05:01:33Z	SALTBARONLY	87	fjordgate	203005	B	C	core_destroyed	222
2026-08-13T05:01:37Z	SALTBARONLY	88	heart	203005	A	C	core_destroyed	240
2026-08-13T05:01:39Z	SALTBARONLY	89	heart	203005	B	C	core_destroyed	242
2026-08-13T05:01:41Z	SALTBARONLY	90	hive	203005	A	C	core_destroyed	148
2026-08-13T05:01:46Z	SALTBARONLY	91	hive	203005	B	C	core_destroyed	324
2026-08-13T05:01:48Z	SALTBARONLY	92	meander	203005	A	C	core_destroyed	181
2026-08-13T05:01:49Z	SALTBARONLY	93	meander	203005	B	C	core_destroyed	162
2026-08-13T05:01:52Z	SALTBARONLY	94	nordkap	203005	A	C	core_destroyed	444
2026-08-13T05:01:53Z	SALTBARONLY	95	nordkap	203005	B	C	core_destroyed	123
2026-08-13T05:01:55Z	SALTBARONLY	96	antler	203006	A	C	core_destroyed	707
2026-08-13T05:01:56Z	SALTBARONLY	97	antler	203006	B	T	core_destroyed	138
2026-08-13T05:01:58Z	SALTBARONLY	98	atoll	203006	A	C	core_destroyed	148
2026-08-13T05:02:00Z	SALTBARONLY	99	atoll	203006	B	C	core_destroyed	160
2026-08-13T05:02:02Z	SALTBARONLY	100	drumlin	203006	A	T	core_destroyed	177
2026-08-13T05:02:05Z	SALTBARONLY	101	drumlin	203006	B	T	core_destroyed	227
2026-08-13T05:02:06Z	SALTBARONLY	102	fjordgate	203006	A	C	core_destroyed	161
2026-08-13T05:02:07Z	SALTBARONLY	103	fjordgate	203006	B	C	core_destroyed	151
2026-08-13T05:02:12Z	SALTBARONLY	104	heart	203006	A	T	core_destroyed	469
2026-08-13T05:02:14Z	SALTBARONLY	105	heart	203006	B	T	tiebreak	1000
2026-08-13T05:02:16Z	SALTBARONLY	106	hive	203006	A	T	core_destroyed	127
2026-08-13T05:02:18Z	SALTBARONLY	107	hive	203006	B	C	core_destroyed	157
2026-08-13T05:02:19Z	SALTBARONLY	108	meander	203006	A	T	core_destroyed	243
2026-08-13T05:02:21Z	SALTBARONLY	109	meander	203006	B	C	core_destroyed	215
2026-08-13T05:02:23Z	SALTBARONLY	110	nordkap	203006	A	C	core_destroyed	162
2026-08-13T05:02:25Z	SALTBARONLY	111	nordkap	203006	B	T	core_destroyed	252
2026-08-13T05:02:27Z	SALTBARONLY	112	antler	203007	A	T	tiebreak	1000
2026-08-13T05:02:29Z	SALTBARONLY	113	antler	203007	B	T	core_destroyed	417
2026-08-13T05:02:31Z	SALTBARONLY	114	atoll	203007	A	T	core_destroyed	393
2026-08-13T05:02:32Z	SALTBARONLY	115	atoll	203007	B	T	core_destroyed	99
2026-08-13T05:02:37Z	SALTBARONLY	116	drumlin	203007	A	T	core_destroyed	322
2026-08-13T05:02:39Z	SALTBARONLY	117	drumlin	203007	B	T	core_destroyed	512
2026-08-13T05:02:43Z	SALTBARONLY	118	fjordgate	203007	A	C	tiebreak	1000
2026-08-13T05:02:44Z	SALTBARONLY	119	fjordgate	203007	B	T	core_destroyed	322
2026-08-13T05:02:49Z	SALTBARONLY	120	heart	203007	A	C	tiebreak	1000
2026-08-13T05:02:55Z	SALTBARONLY	121	heart	203007	B	C	core_destroyed	402
2026-08-13T05:02:57Z	SALTBARONLY	122	hive	203007	A	C	core_destroyed	151
2026-08-13T05:03:00Z	SALTBARONLY	123	hive	203007	B	T	core_destroyed	189
2026-08-13T05:03:01Z	SALTBARONLY	124	meander	203007	A	C	core_destroyed	129
2026-08-13T05:03:03Z	SALTBARONLY	125	meander	203007	B	T	core_destroyed	177
2026-08-13T05:03:04Z	SALTBARONLY	126	nordkap	203007	A	C	core_destroyed	86
2026-08-13T05:03:05Z	SALTBARONLY	127	nordkap	203007	B	C	core_destroyed	116
