ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-13T04:59:09Z	SALTNOBLOCK	0	antler	204000	A	C	core_destroyed	437
2026-08-13T04:59:11Z	SALTNOBLOCK	1	antler	204000	B	T	core_destroyed	188
2026-08-13T04:59:16Z	SALTNOBLOCK	2	atoll	204000	A	C	core_destroyed	532
2026-08-13T04:59:18Z	SALTNOBLOCK	3	atoll	204000	B	C	core_destroyed	244
2026-08-13T04:59:23Z	SALTNOBLOCK	4	drumlin	204000	A	T	core_destroyed	462
2026-08-13T04:59:26Z	SALTNOBLOCK	5	drumlin	204000	B	T	core_destroyed	540
2026-08-13T04:59:28Z	SALTNOBLOCK	6	fjordgate	204000	A	T	core_destroyed	446
2026-08-13T04:59:29Z	SALTNOBLOCK	7	fjordgate	204000	B	C	core_destroyed	183
2026-08-13T04:59:31Z	SALTNOBLOCK	8	heart	204000	A	T	core_destroyed	195
2026-08-13T04:59:34Z	SALTNOBLOCK	9	heart	204000	B	C	core_destroyed	265
2026-08-13T04:59:37Z	SALTNOBLOCK	10	hive	204000	A	T	core_destroyed	212
2026-08-13T04:59:43Z	SALTNOBLOCK	11	hive	204000	B	T	core_destroyed	384
2026-08-13T04:59:44Z	SALTNOBLOCK	12	meander	204000	A	C	core_destroyed	204
2026-08-13T04:59:46Z	SALTNOBLOCK	13	meander	204000	B	C	core_destroyed	112
2026-08-13T04:59:47Z	SALTNOBLOCK	14	nordkap	204000	A	T	core_destroyed	124
2026-08-13T04:59:48Z	SALTNOBLOCK	15	nordkap	204000	B	T	core_destroyed	210
2026-08-13T04:59:51Z	SALTNOBLOCK	16	antler	204001	A	T	core_destroyed	700
2026-08-13T04:59:52Z	SALTNOBLOCK	17	antler	204001	B	C	core_destroyed	138
2026-08-13T04:59:56Z	SALTNOBLOCK	18	atoll	204001	A	C	core_destroyed	437
2026-08-13T04:59:59Z	SALTNOBLOCK	19	atoll	204001	B	C	core_destroyed	309
