ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T14:29:45Z	SALTREF	0	antler	288000	A	T	core_destroyed	158
2026-08-14T14:29:46Z	SALTREF	1	antler	288000	B	T	core_destroyed	136
2026-08-14T14:29:48Z	SALTREF	2	archipelago	288000	A	C	core_destroyed	88
2026-08-14T14:29:52Z	SALTREF	3	archipelago	288000	B	C	core_destroyed	192
2026-08-14T14:29:54Z	SALTREF	4	auroraveil	288000	A	T	core_destroyed	192
2026-08-14T14:29:57Z	SALTREF	5	auroraveil	288000	B	C	core_destroyed	128
2026-08-14T14:30:05Z	SALTREF	6	drakkarfjord	288000	A	C	tiebreak	1000
2026-08-14T14:30:16Z	SALTREF	7	drakkarfjord	288000	B	C	core_destroyed	638
2026-08-14T14:30:17Z	SALTREF	8	drumlin	288000	A	T	core_destroyed	124
2026-08-14T14:30:21Z	SALTREF	9	drumlin	288000	B	C	core_destroyed	266
2026-08-14T14:30:23Z	SALTREF	10	fjordgate	288000	A	T	tiebreak	1000
2026-08-14T14:30:25Z	SALTREF	11	fjordgate	288000	B	T	core_destroyed	173
2026-08-14T14:30:26Z	SALTREF	12	frostgate	288000	A	C	core_destroyed	277
2026-08-14T14:30:29Z	SALTREF	13	frostgate	288000	B	C	core_destroyed	234
2026-08-14T14:30:33Z	SALTREF	14	glacierkeep	288000	A	C	core_destroyed	500
2026-08-14T14:30:36Z	SALTREF	15	glacierkeep	288000	B	T	core_destroyed	196
2026-08-14T14:30:38Z	SALTREF	16	icefloe	288000	A	C	core_destroyed	138
2026-08-14T14:30:41Z	SALTREF	17	icefloe	288000	B	C	core_destroyed	206
2026-08-14T14:30:49Z	SALTREF	18	midgard	288000	A	C	core_destroyed	357
2026-08-14T14:30:52Z	SALTREF	19	midgard	288000	B	T	core_destroyed	83
2026-08-14T14:30:55Z	SALTREF	20	nordkap	288000	A	C	core_destroyed	218
2026-08-14T14:31:00Z	SALTREF	21	nordkap	288000	B	T	tiebreak	1000
2026-08-14T14:31:10Z	SALTREF	22	ragnarok	288000	A	C	core_destroyed	397
2026-08-14T14:31:13Z	SALTREF	23	ragnarok	288000	B	C	core_destroyed	169
2026-08-14T14:31:18Z	SALTREF	24	royale	288000	A	T	core_destroyed	913
2026-08-14T14:31:20Z	SALTREF	25	royale	288000	B	T	core_destroyed	397
2026-08-14T14:31:26Z	SALTREF	26	valkyrie	288000	A	T	core_destroyed	359
2026-08-14T14:31:30Z	SALTREF	27	valkyrie	288000	B	T	core_destroyed	164
2026-08-14T14:31:33Z	SALTREF	28	yulerune	288000	A	T	core_destroyed	177
2026-08-14T14:31:36Z	SALTREF	29	yulerune	288000	B	T	core_destroyed	150
2026-08-14T14:31:38Z	SALTREF	30	antler	288001	A	T	core_destroyed	247
2026-08-14T14:31:41Z	SALTREF	31	antler	288001	B	T	tiebreak	1000
2026-08-14T14:31:44Z	SALTREF	32	archipelago	288001	A	T	core_destroyed	198
2026-08-14T14:31:51Z	SALTREF	33	archipelago	288001	B	T	core_destroyed	214
2026-08-14T14:31:52Z	SALTREF	34	auroraveil	288001	A	C	core_destroyed	130
2026-08-14T14:31:54Z	SALTREF	35	auroraveil	288001	B	C	core_destroyed	142
2026-08-14T14:31:58Z	SALTREF	36	drakkarfjord	288001	A	T	core_destroyed	226
2026-08-14T14:32:00Z	SALTREF	37	drakkarfjord	288001	B	T	core_destroyed	110
2026-08-14T14:32:05Z	SALTREF	38	drumlin	288001	A	T	core_destroyed	474
2026-08-14T14:32:10Z	SALTREF	39	drumlin	288001	B	C	core_destroyed	280
2026-08-14T14:32:12Z	SALTREF	40	fjordgate	288001	A	T	core_destroyed	229
2026-08-14T14:32:13Z	SALTREF	41	fjordgate	288001	B	C	core_destroyed	107
2026-08-14T14:32:18Z	SALTREF	42	frostgate	288001	A	C	core_destroyed	569
2026-08-14T14:32:20Z	SALTREF	43	frostgate	288001	B	C	core_destroyed	281
2026-08-14T14:32:25Z	SALTREF	44	glacierkeep	288001	A	T	core_destroyed	501
2026-08-14T14:32:34Z	SALTREF	45	glacierkeep	288001	B	C	core_destroyed	401
2026-08-14T14:32:36Z	SALTREF	46	icefloe	288001	A	C	core_destroyed	111
2026-08-14T14:32:40Z	SALTREF	47	icefloe	288001	B	C	core_destroyed	257
2026-08-14T14:32:45Z	SALTREF	48	midgard	288001	A	C	core_destroyed	230
2026-08-14T14:32:48Z	SALTREF	49	midgard	288001	B	C	core_destroyed	108
2026-08-14T14:32:50Z	SALTREF	50	nordkap	288001	A	T	core_destroyed	257
2026-08-14T14:32:52Z	SALTREF	51	nordkap	288001	B	T	core_destroyed	333
2026-08-14T14:32:57Z	SALTREF	52	ragnarok	288001	A	C	core_destroyed	219
2026-08-14T14:33:05Z	SALTREF	53	ragnarok	288001	B	T	core_destroyed	224
2026-08-14T14:33:07Z	SALTREF	54	royale	288001	A	C	core_destroyed	133
2026-08-14T14:33:08Z	SALTREF	55	royale	288001	B	T	core_destroyed	329
2026-08-14T14:33:12Z	SALTREF	56	valkyrie	288001	A	T	core_destroyed	119
2026-08-14T14:33:21Z	SALTREF	57	valkyrie	288001	B	C	core_destroyed	396
2026-08-14T14:33:24Z	SALTREF	58	yulerune	288001	A	T	core_destroyed	281
2026-08-14T14:33:26Z	SALTREF	59	yulerune	288001	B	T	core_destroyed	163
2026-08-14T14:33:27Z	SALTREF	60	antler	288002	A	T	core_destroyed	239
2026-08-14T14:33:30Z	SALTREF	61	antler	288002	B	T	core_destroyed	206
2026-08-14T14:33:33Z	SALTREF	62	archipelago	288002	A	C	core_destroyed	148
2026-08-14T14:33:37Z	SALTREF	63	archipelago	288002	B	T	core_destroyed	180
2026-08-14T14:33:43Z	SALTREF	64	auroraveil	288002	A	T	core_destroyed	602
2026-08-14T14:33:45Z	SALTREF	65	auroraveil	288002	B	C	core_destroyed	269
2026-08-14T14:33:51Z	SALTREF	66	drakkarfjord	288002	A	T	core_destroyed	266
2026-08-14T14:33:54Z	SALTREF	67	drakkarfjord	288002	B	T	core_destroyed	117
2026-08-14T14:33:57Z	SALTREF	68	drumlin	288002	A	C	core_destroyed	204
2026-08-14T14:34:01Z	SALTREF	69	drumlin	288002	B	C	core_destroyed	160
2026-08-14T14:34:03Z	SALTREF	70	fjordgate	288002	A	T	core_destroyed	369
2026-08-14T14:34:09Z	SALTREF	71	fjordgate	288002	B	T	tiebreak	1000
2026-08-14T14:34:11Z	SALTREF	72	frostgate	288002	A	C	core_destroyed	157
2026-08-14T14:34:14Z	SALTREF	73	frostgate	288002	B	C	core_destroyed	229
2026-08-14T14:34:16Z	SALTREF	74	glacierkeep	288002	A	T	core_destroyed	254
2026-08-14T14:34:19Z	SALTREF	75	glacierkeep	288002	B	C	core_destroyed	240
2026-08-14T14:34:22Z	SALTREF	76	icefloe	288002	A	C	core_destroyed	207
2026-08-14T14:34:24Z	SALTREF	77	icefloe	288002	B	C	core_destroyed	150
2026-08-14T14:34:35Z	SALTREF	78	midgard	288002	A	C	core_destroyed	428
2026-08-14T14:34:39Z	SALTREF	79	midgard	288002	B	C	core_destroyed	150
2026-08-14T14:34:40Z	SALTREF	80	nordkap	288002	A	C	core_destroyed	137
2026-08-14T14:34:43Z	SALTREF	81	nordkap	288002	B	C	core_destroyed	166
2026-08-14T14:34:47Z	SALTREF	82	ragnarok	288002	A	T	core_destroyed	192
2026-08-14T14:35:07Z	SALTREF	83	ragnarok	288002	B	C	core_destroyed	381
