ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-12T17:51:03Z	SHIPGATE0	0	antler	122000	A	C	core_destroyed	423
2026-08-12T17:51:08Z	SHIPGATE0	1	antler	122000	B	T	tiebreak	1000
2026-08-12T17:51:09Z	SHIPGATE0	2	atoll	122000	A	C	core_destroyed	144
2026-08-12T17:51:14Z	SHIPGATE0	3	atoll	122000	B	T	core_destroyed	374
2026-08-12T17:51:17Z	SHIPGATE0	4	drumlin	122000	A	T	core_destroyed	293
2026-08-12T17:51:19Z	SHIPGATE0	5	drumlin	122000	B	C	core_destroyed	208
2026-08-12T17:51:22Z	SHIPGATE0	6	fjordgate	122000	A	C	core_destroyed	760
2026-08-12T17:51:23Z	SHIPGATE0	7	fjordgate	122000	B	T	core_destroyed	184
2026-08-12T17:51:26Z	SHIPGATE0	8	heart	122000	A	C	core_destroyed	481
2026-08-12T17:51:33Z	SHIPGATE0	9	heart	122000	B	T	tiebreak	1000
2026-08-12T17:51:38Z	SHIPGATE0	10	hive	122000	A	T	core_destroyed	284
2026-08-12T17:51:40Z	SHIPGATE0	11	hive	122000	B	C	core_destroyed	115
2026-08-12T17:51:42Z	SHIPGATE0	12	meander	122000	A	T	core_destroyed	227
2026-08-12T17:51:44Z	SHIPGATE0	13	meander	122000	B	C	core_destroyed	158
2026-08-12T17:51:45Z	SHIPGATE0	14	nordkap	122000	A	C	core_destroyed	322
2026-08-12T17:51:47Z	SHIPGATE0	15	nordkap	122000	B	C	core_destroyed	367
2026-08-12T17:51:50Z	SHIPGATE0	16	antler	122001	A	T	tiebreak	1000
2026-08-12T17:51:53Z	SHIPGATE0	17	antler	122001	B	C	tiebreak	1000
2026-08-12T17:51:54Z	SHIPGATE0	18	atoll	122001	A	T	core_destroyed	149
2026-08-12T17:51:56Z	SHIPGATE0	19	atoll	122001	B	T	core_destroyed	120
2026-08-12T17:52:01Z	SHIPGATE0	20	drumlin	122001	A	C	core_destroyed	374
2026-08-12T17:52:02Z	SHIPGATE0	21	drumlin	122001	B	C	core_destroyed	154
2026-08-12T17:52:04Z	SHIPGATE0	22	fjordgate	122001	A	T	core_destroyed	225
2026-08-12T17:52:06Z	SHIPGATE0	23	fjordgate	122001	B	T	core_destroyed	266
2026-08-12T17:52:07Z	SHIPGATE0	24	heart	122001	A	C	core_destroyed	145
2026-08-12T17:52:09Z	SHIPGATE0	25	heart	122001	B	C	core_destroyed	119
2026-08-12T17:52:14Z	SHIPGATE0	26	hive	122001	A	T	core_destroyed	347
2026-08-12T17:52:18Z	SHIPGATE0	27	hive	122001	B	T	core_destroyed	195
2026-08-12T17:52:21Z	SHIPGATE0	28	meander	122001	A	T	core_destroyed	413
2026-08-12T17:52:22Z	SHIPGATE0	29	meander	122001	B	C	core_destroyed	152
2026-08-12T17:52:24Z	SHIPGATE0	30	nordkap	122001	A	T	core_destroyed	167
2026-08-12T17:52:25Z	SHIPGATE0	31	nordkap	122001	B	T	core_destroyed	132
2026-08-12T17:52:28Z	SHIPGATE0	32	antler	122002	A	T	tiebreak	1000
2026-08-12T17:52:29Z	SHIPGATE0	33	antler	122002	B	T	core_destroyed	172
2026-08-12T17:52:31Z	SHIPGATE0	34	atoll	122002	A	T	core_destroyed	332
2026-08-12T17:52:34Z	SHIPGATE0	35	atoll	122002	B	C	core_destroyed	462
2026-08-12T17:52:36Z	SHIPGATE0	36	drumlin	122002	A	T	core_destroyed	162
2026-08-12T17:52:41Z	SHIPGATE0	37	drumlin	122002	B	T	core_destroyed	398
2026-08-12T17:52:43Z	SHIPGATE0	38	fjordgate	122002	A	T	core_destroyed	228
2026-08-12T17:52:45Z	SHIPGATE0	39	fjordgate	122002	B	C	core_destroyed	221
2026-08-12T17:52:49Z	SHIPGATE0	40	heart	122002	A	T	core_destroyed	257
2026-08-12T17:52:51Z	SHIPGATE0	41	heart	122002	B	T	core_destroyed	193
2026-08-12T17:52:56Z	SHIPGATE0	42	hive	122002	A	T	core_destroyed	342
2026-08-12T17:52:59Z	SHIPGATE0	43	hive	122002	B	T	core_destroyed	205
2026-08-12T17:53:00Z	SHIPGATE0	44	meander	122002	A	T	core_destroyed	156
2026-08-12T17:53:02Z	SHIPGATE0	45	meander	122002	B	C	core_destroyed	151
2026-08-12T17:53:04Z	SHIPGATE0	46	nordkap	122002	A	C	core_destroyed	192
2026-08-12T17:53:07Z	SHIPGATE0	47	nordkap	122002	B	T	tiebreak	1000
2026-08-12T17:53:10Z	SHIPGATE0	48	antler	122003	A	C	core_destroyed	339
2026-08-12T17:53:11Z	SHIPGATE0	49	antler	122003	B	T	core_destroyed	134
2026-08-12T17:53:16Z	SHIPGATE0	50	atoll	122003	A	C	core_destroyed	398
2026-08-12T17:53:20Z	SHIPGATE0	51	atoll	122003	B	T	core_destroyed	530
2026-08-12T17:53:25Z	SHIPGATE0	52	drumlin	122003	A	C	core_destroyed	351
2026-08-12T17:53:29Z	SHIPGATE0	53	drumlin	122003	B	T	core_destroyed	264
2026-08-12T17:53:30Z	SHIPGATE0	54	fjordgate	122003	A	T	core_destroyed	202
