ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T16:37:13Z	SPKT64P	0	midgard	302000	A	C	core_destroyed	137
2026-08-14T16:37:16Z	SPKT64P	1	midgard	302000	B	T	core_destroyed	180
2026-08-14T16:37:18Z	SPKT64P	2	fjordgate	302000	A	C	core_destroyed	226
2026-08-14T16:37:20Z	SPKT64P	3	fjordgate	302000	B	T	core_destroyed	347
2026-08-14T16:37:23Z	SPKT64P	4	midgard	302001	A	C	core_destroyed	245
2026-08-14T16:37:27Z	SPKT64P	5	midgard	302001	B	C	core_destroyed	216
2026-08-14T16:37:28Z	SPKT64P	6	fjordgate	302001	A	C	core_destroyed	228
2026-08-14T16:37:30Z	SPKT64P	7	fjordgate	302001	B	C	core_destroyed	206
2026-08-14T16:37:32Z	SPKT64P	8	midgard	302002	A	C	core_destroyed	178
2026-08-14T16:37:43Z	SPKT64P	9	midgard	302002	B	C	tiebreak	1000
2026-08-14T16:37:44Z	SPKT64P	10	fjordgate	302002	A	T	core_destroyed	198
2026-08-14T16:37:45Z	SPKT64P	11	fjordgate	302002	B	T	core_destroyed	164
2026-08-14T16:37:47Z	SPKT64P	12	midgard	302003	A	C	core_destroyed	101
2026-08-14T16:37:50Z	SPKT64P	13	midgard	302003	B	C	core_destroyed	158
2026-08-14T16:37:51Z	SPKT64P	14	fjordgate	302003	A	C	core_destroyed	182
2026-08-14T16:37:52Z	SPKT64P	15	fjordgate	302003	B	C	core_destroyed	102
2026-08-14T16:37:55Z	SPKT64P	16	midgard	302004	A	C	core_destroyed	150
2026-08-14T16:37:57Z	SPKT64P	17	midgard	302004	B	T	core_destroyed	128
2026-08-14T16:38:00Z	SPKT64P	18	fjordgate	302004	A	C	core_destroyed	567
2026-08-14T16:38:02Z	SPKT64P	19	fjordgate	302004	B	C	tiebreak	1000
2026-08-14T16:38:05Z	SPKT64P	20	midgard	302005	A	C	core_destroyed	135
2026-08-14T16:38:08Z	SPKT64P	21	midgard	302005	B	C	core_destroyed	165
2026-08-14T16:38:10Z	SPKT64P	22	fjordgate	302005	A	T	core_destroyed	456
2026-08-14T16:38:11Z	SPKT64P	23	fjordgate	302005	B	C	core_destroyed	88
2026-08-14T16:38:16Z	SPKT64P	24	midgard	302006	A	T	tiebreak	1000
2026-08-14T16:38:18Z	SPKT64P	25	midgard	302006	B	C	core_destroyed	126
2026-08-14T16:38:20Z	SPKT64P	26	fjordgate	302006	A	T	core_destroyed	261
2026-08-14T16:38:21Z	SPKT64P	27	fjordgate	302006	B	C	core_destroyed	90
2026-08-14T16:38:25Z	SPKT64P	28	midgard	302007	A	T	core_destroyed	274
2026-08-14T16:38:30Z	SPKT64P	29	midgard	302007	B	C	core_destroyed	204
2026-08-14T16:38:31Z	SPKT64P	30	fjordgate	302007	A	C	core_destroyed	168
2026-08-14T16:38:32Z	SPKT64P	31	fjordgate	302007	B	T	core_destroyed	197
2026-08-14T16:38:37Z	SPKT64P	32	midgard	302008	A	T	tiebreak	1000
2026-08-14T16:38:39Z	SPKT64P	33	midgard	302008	B	C	core_destroyed	129
2026-08-14T16:38:41Z	SPKT64P	34	fjordgate	302008	A	C	core_destroyed	249
2026-08-14T16:38:42Z	SPKT64P	35	fjordgate	302008	B	T	core_destroyed	441
2026-08-14T16:38:44Z	SPKT64P	36	midgard	302009	A	T	core_destroyed	169
2026-08-14T16:38:49Z	SPKT64P	37	midgard	302009	B	T	core_destroyed	303
2026-08-14T16:38:51Z	SPKT64P	38	fjordgate	302009	A	C	core_destroyed	202
2026-08-14T16:38:52Z	SPKT64P	39	fjordgate	302009	B	C	core_destroyed	146
