ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T12:24:35Z	V141VS140	0	antler	278000	A	C	core_destroyed	375
2026-08-14T12:24:38Z	V141VS140	1	antler	278000	B	C	core_destroyed	396
2026-08-14T12:24:40Z	V141VS140	2	archipelago	278000	A	C	core_destroyed	111
2026-08-14T12:24:42Z	V141VS140	3	archipelago	278000	B	T	core_destroyed	86
2026-08-14T12:24:50Z	V141VS140	4	auroraveil	278000	A	T	core_destroyed	561
2026-08-14T12:24:53Z	V141VS140	5	auroraveil	278000	B	T	core_destroyed	256
2026-08-14T12:24:57Z	V141VS140	6	drakkarfjord	278000	A	C	core_destroyed	208
2026-08-14T12:25:01Z	V141VS140	7	drakkarfjord	278000	B	T	core_destroyed	224
2026-08-14T12:25:05Z	V141VS140	8	drumlin	278000	A	C	core_destroyed	302
2026-08-14T12:25:08Z	V141VS140	9	drumlin	278000	B	C	core_destroyed	212
2026-08-14T12:25:10Z	V141VS140	10	fjordgate	278000	A	T	core_destroyed	202
2026-08-14T12:25:12Z	V141VS140	11	fjordgate	278000	B	T	core_destroyed	249
2026-08-14T12:25:13Z	V141VS140	12	frostgate	278000	A	T	core_destroyed	277
2026-08-14T12:25:21Z	V141VS140	13	frostgate	278000	B	T	core_destroyed	571
2026-08-14T12:25:25Z	V141VS140	14	glacierkeep	278000	A	C	core_destroyed	316
2026-08-14T12:25:33Z	V141VS140	15	glacierkeep	278000	B	C	core_destroyed	691
2026-08-14T12:25:35Z	V141VS140	16	icefloe	278000	A	T	core_destroyed	171
2026-08-14T12:25:38Z	V141VS140	17	icefloe	278000	B	C	core_destroyed	261
2026-08-14T12:25:41Z	V141VS140	18	midgard	278000	A	T	core_destroyed	89
2026-08-14T12:25:44Z	V141VS140	19	midgard	278000	B	C	core_destroyed	89
2026-08-14T12:25:46Z	V141VS140	20	nordkap	278000	A	C	core_destroyed	160
2026-08-14T12:25:50Z	V141VS140	21	nordkap	278000	B	T	core_destroyed	502
2026-08-14T12:25:53Z	V141VS140	22	ragnarok	278000	A	T	core_destroyed	235
2026-08-14T12:25:59Z	V141VS140	23	ragnarok	278000	B	C	core_destroyed	357
2026-08-14T12:26:01Z	V141VS140	24	royale	278000	A	T	core_destroyed	255
2026-08-14T12:26:05Z	V141VS140	25	royale	278000	B	C	core_destroyed	798
2026-08-14T12:26:09Z	V141VS140	26	valkyrie	278000	A	T	core_destroyed	353
2026-08-14T12:26:12Z	V141VS140	27	valkyrie	278000	B	T	core_destroyed	144
2026-08-14T12:26:14Z	V141VS140	28	yulerune	278000	A	T	core_destroyed	160
2026-08-14T12:26:16Z	V141VS140	29	yulerune	278000	B	C	core_destroyed	176
2026-08-14T12:26:18Z	V141VS140	30	antler	278001	A	C	core_destroyed	168
2026-08-14T12:26:19Z	V141VS140	31	antler	278001	B	C	core_destroyed	120
2026-08-14T12:26:24Z	V141VS140	32	archipelago	278001	A	C	core_destroyed	211
2026-08-14T12:26:26Z	V141VS140	33	archipelago	278001	B	T	core_destroyed	88
2026-08-14T12:26:28Z	V141VS140	34	auroraveil	278001	A	C	core_destroyed	369
2026-08-14T12:26:29Z	V141VS140	35	auroraveil	278001	B	C	core_destroyed	79
2026-08-14T12:26:36Z	V141VS140	36	drakkarfjord	278001	A	T	core_destroyed	532
2026-08-14T12:26:46Z	V141VS140	37	drakkarfjord	278001	B	C	core_destroyed	466
2026-08-14T12:26:50Z	V141VS140	38	drumlin	278001	A	C	core_destroyed	316
2026-08-14T12:26:54Z	V141VS140	39	drumlin	278001	B	T	core_destroyed	189
