ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-14T06:35:09Z	X3R0V134	0	antler	246000	A	T	core_destroyed	213
2026-08-14T06:35:11Z	X3R0V134	1	antler	246000	B	T	tiebreak	1000
2026-08-14T06:35:14Z	X3R0V134	2	archipelago	246000	A	T	core_destroyed	140
2026-08-14T06:35:18Z	X3R0V134	3	archipelago	246000	B	T	core_destroyed	301
2026-08-14T06:35:20Z	X3R0V134	4	auroraveil	246000	A	T	core_destroyed	241
2026-08-14T06:35:22Z	X3R0V134	5	auroraveil	246000	B	T	core_destroyed	213
2026-08-14T06:35:28Z	X3R0V134	6	drakkarfjord	246000	A	C	core_destroyed	448
2026-08-14T06:35:33Z	X3R0V134	7	drakkarfjord	246000	B	T	core_destroyed	542
2026-08-14T06:35:39Z	X3R0V134	8	drumlin	246000	A	T	core_destroyed	634
2026-08-14T06:35:40Z	X3R0V134	9	drumlin	246000	B	C	core_destroyed	79
2026-08-14T06:35:41Z	X3R0V134	10	fjordgate	246000	A	C	core_destroyed	156
2026-08-14T06:35:43Z	X3R0V134	11	fjordgate	246000	B	C	tiebreak	1000
2026-08-14T06:35:45Z	X3R0V134	12	frostgate	246000	A	T	core_destroyed	489
2026-08-14T06:35:47Z	X3R0V134	13	frostgate	246000	B	T	core_destroyed	264
2026-08-14T06:35:50Z	X3R0V134	14	glacierkeep	246000	A	T	core_destroyed	344
2026-08-14T06:36:05Z	X3R0V134	15	glacierkeep	246000	B	C	tiebreak	1000
2026-08-14T06:36:07Z	X3R0V134	16	icefloe	246000	A	T	core_destroyed	164
2026-08-14T06:36:09Z	X3R0V134	17	icefloe	246000	B	C	core_destroyed	315
2026-08-14T06:36:11Z	X3R0V134	18	midgard	246000	A	T	core_destroyed	100
2026-08-14T06:36:14Z	X3R0V134	19	midgard	246000	B	C	core_destroyed	103
2026-08-14T06:36:15Z	X3R0V134	20	nordkap	246000	A	T	core_destroyed	183
2026-08-14T06:36:17Z	X3R0V134	21	nordkap	246000	B	C	core_destroyed	177
2026-08-14T06:36:19Z	X3R0V134	22	ragnarok	246000	A	T	core_destroyed	151
2026-08-14T06:36:23Z	X3R0V134	23	ragnarok	246000	B	T	core_destroyed	168
2026-08-14T06:36:27Z	X3R0V134	24	royale	246000	A	C	tiebreak	1000
2026-08-14T06:36:30Z	X3R0V134	25	royale	246000	B	T	core_destroyed	422
2026-08-14T06:36:33Z	X3R0V134	26	valkyrie	246000	A	T	core_destroyed	140
2026-08-14T06:36:34Z	X3R0V134	27	valkyrie	246000	B	C	core_destroyed	85
2026-08-14T06:36:36Z	X3R0V134	28	yulerune	246000	A	T	core_destroyed	159
2026-08-14T06:36:41Z	X3R0V134	29	yulerune	246000	B	C	tiebreak	1000
2026-08-14T06:36:43Z	X3R0V134	30	antler	246001	A	C	core_destroyed	354
2026-08-14T06:36:44Z	X3R0V134	31	antler	246001	B	C	core_destroyed	236
2026-08-14T06:36:47Z	X3R0V134	32	archipelago	246001	A	T	core_destroyed	102
2026-08-14T06:36:50Z	X3R0V134	33	archipelago	246001	B	C	core_destroyed	118
2026-08-14T06:36:54Z	X3R0V134	34	auroraveil	246001	A	T	core_destroyed	569
2026-08-14T06:36:56Z	X3R0V134	35	auroraveil	246001	B	C	core_destroyed	328
2026-08-14T06:37:05Z	X3R0V134	36	drakkarfjord	246001	A	T	core_destroyed	546
2026-08-14T06:37:17Z	X3R0V134	37	drakkarfjord	246001	B	T	core_destroyed	677
2026-08-14T06:37:19Z	X3R0V134	38	drumlin	246001	A	C	core_destroyed	233
2026-08-14T06:37:21Z	X3R0V134	39	drumlin	246001	B	C	core_destroyed	211
2026-08-14T06:37:23Z	X3R0V134	40	fjordgate	246001	A	C	core_destroyed	379
2026-08-14T06:37:24Z	X3R0V134	41	fjordgate	246001	B	C	core_destroyed	244
2026-08-14T06:37:25Z	X3R0V134	42	frostgate	246001	A	C	core_destroyed	203
2026-08-14T06:37:26Z	X3R0V134	43	frostgate	246001	B	C	core_destroyed	293
2026-08-14T06:37:29Z	X3R0V134	44	glacierkeep	246001	A	C	tiebreak	1000
2026-08-14T06:37:31Z	X3R0V134	45	glacierkeep	246001	B	C	core_destroyed	135
2026-08-14T06:37:34Z	X3R0V134	46	icefloe	246001	A	T	core_destroyed	250
2026-08-14T06:37:40Z	X3R0V134	47	icefloe	246001	B	C	tiebreak	1000
2026-08-14T06:37:43Z	X3R0V134	48	midgard	246001	A	C	core_destroyed	189
2026-08-14T06:37:45Z	X3R0V134	49	midgard	246001	B	C	core_destroyed	76
2026-08-14T06:37:49Z	X3R0V134	50	nordkap	246001	A	C	core_destroyed	673
2026-08-14T06:37:51Z	X3R0V134	51	nordkap	246001	B	C	tiebreak	1000
2026-08-14T06:37:59Z	X3R0V134	52	ragnarok	246001	A	T	tiebreak	1000
2026-08-14T06:38:07Z	X3R0V134	53	ragnarok	246001	B	T	core_destroyed	347
2026-08-14T06:38:08Z	X3R0V134	54	royale	246001	A	C	core_destroyed	124
2026-08-14T06:38:09Z	X3R0V134	55	royale	246001	B	T	core_destroyed	143
2026-08-14T06:38:18Z	X3R0V134	56	valkyrie	246001	A	T	tiebreak	1000
2026-08-14T06:38:21Z	X3R0V134	57	valkyrie	246001	B	C	core_destroyed	228
2026-08-14T06:38:24Z	X3R0V134	58	yulerune	246001	A	C	core_destroyed	238
2026-08-14T06:38:26Z	X3R0V134	59	yulerune	246001	B	T	core_destroyed	154
2026-08-14T06:38:28Z	X3R0V134	60	antler	246002	A	T	core_destroyed	539
2026-08-14T06:38:29Z	X3R0V134	61	antler	246002	B	T	core_destroyed	190
2026-08-14T06:38:31Z	X3R0V134	62	archipelago	246002	A	C	core_destroyed	131
2026-08-14T06:38:33Z	X3R0V134	63	archipelago	246002	B	T	core_destroyed	107
2026-08-14T06:38:35Z	X3R0V134	64	auroraveil	246002	A	T	core_destroyed	164
2026-08-14T06:38:36Z	X3R0V134	65	auroraveil	246002	B	C	core_destroyed	97
2026-08-14T06:38:39Z	X3R0V134	66	drakkarfjord	246002	A	C	core_destroyed	198
2026-08-14T06:38:43Z	X3R0V134	67	drakkarfjord	246002	B	T	core_destroyed	296
2026-08-14T06:38:46Z	X3R0V134	68	drumlin	246002	A	T	core_destroyed	313
2026-08-14T06:38:47Z	X3R0V134	69	drumlin	246002	B	C	core_destroyed	78
2026-08-14T06:38:48Z	X3R0V134	70	fjordgate	246002	A	T	core_destroyed	169
2026-08-14T06:38:50Z	X3R0V134	71	fjordgate	246002	B	C	core_destroyed	581
2026-08-14T06:38:52Z	X3R0V134	72	frostgate	246002	A	T	core_destroyed	333
2026-08-14T06:38:53Z	X3R0V134	73	frostgate	246002	B	C	core_destroyed	334
2026-08-14T06:38:59Z	X3R0V134	74	glacierkeep	246002	A	T	tiebreak	1000
2026-08-14T06:39:01Z	X3R0V134	75	glacierkeep	246002	B	C	core_destroyed	200
2026-08-14T06:39:03Z	X3R0V134	76	icefloe	246002	A	T	core_destroyed	202
2026-08-14T06:39:09Z	X3R0V134	77	icefloe	246002	B	T	tiebreak	1000
2026-08-14T06:39:14Z	X3R0V134	78	midgard	246002	A	C	core_destroyed	389
2026-08-14T06:39:17Z	X3R0V134	79	midgard	246002	B	C	core_destroyed	183
2026-08-14T06:39:19Z	X3R0V134	80	nordkap	246002	A	T	core_destroyed	465
2026-08-14T06:39:21Z	X3R0V134	81	nordkap	246002	B	T	core_destroyed	148
2026-08-14T06:39:28Z	X3R0V134	82	ragnarok	246002	A	C	core_destroyed	421
2026-08-14T06:39:30Z	X3R0V134	83	ragnarok	246002	B	C	core_destroyed	105
2026-08-14T06:39:31Z	X3R0V134	84	royale	246002	A	C	core_destroyed	180
2026-08-14T06:39:33Z	X3R0V134	85	royale	246002	B	C	core_destroyed	110
2026-08-14T06:39:35Z	X3R0V134	86	valkyrie	246002	A	C	core_destroyed	169
2026-08-14T06:39:38Z	X3R0V134	87	valkyrie	246002	B	C	core_destroyed	134
2026-08-14T06:39:39Z	X3R0V134	88	yulerune	246002	A	C	core_destroyed	158
2026-08-14T06:39:41Z	X3R0V134	89	yulerune	246002	B	T	core_destroyed	156
2026-08-14T06:39:43Z	X3R0V134	90	antler	246003	A	C	core_destroyed	208
2026-08-14T06:39:44Z	X3R0V134	91	antler	246003	B	C	core_destroyed	108
2026-08-14T06:39:48Z	X3R0V134	92	archipelago	246003	A	T	core_destroyed	165
2026-08-14T06:39:50Z	X3R0V134	93	archipelago	246003	B	T	core_destroyed	128
2026-08-14T06:39:53Z	X3R0V134	94	auroraveil	246003	A	T	tiebreak	1000
2026-08-14T06:39:56Z	X3R0V134	95	auroraveil	246003	B	C	tiebreak	1000
2026-08-14T06:39:58Z	X3R0V134	96	drakkarfjord	246003	A	T	core_destroyed	141
2026-08-14T06:40:03Z	X3R0V134	97	drakkarfjord	246003	B	T	core_destroyed	642
2026-08-14T06:40:04Z	X3R0V134	98	drumlin	246003	A	T	core_destroyed	217
2026-08-14T06:40:06Z	X3R0V134	99	drumlin	246003	B	T	core_destroyed	122
2026-08-14T06:40:08Z	X3R0V134	100	fjordgate	246003	A	T	core_destroyed	777
2026-08-14T06:40:10Z	X3R0V134	101	fjordgate	246003	B	C	core_destroyed	400
2026-08-14T06:40:11Z	X3R0V134	102	frostgate	246003	A	C	core_destroyed	157
2026-08-14T06:40:12Z	X3R0V134	103	frostgate	246003	B	T	core_destroyed	153
2026-08-14T06:40:14Z	X3R0V134	104	glacierkeep	246003	A	T	core_destroyed	273
2026-08-14T06:40:20Z	X3R0V134	105	glacierkeep	246003	B	C	core_destroyed	601
2026-08-14T06:40:23Z	X3R0V134	106	icefloe	246003	A	T	core_destroyed	397
2026-08-14T06:40:25Z	X3R0V134	107	icefloe	246003	B	C	core_destroyed	177
2026-08-14T06:40:27Z	X3R0V134	108	midgard	246003	A	C	core_destroyed	83
2026-08-14T06:40:32Z	X3R0V134	109	midgard	246003	B	C	core_destroyed	180
2026-08-14T06:40:33Z	X3R0V134	110	nordkap	246003	A	T	core_destroyed	137
2026-08-14T06:40:34Z	X3R0V134	111	nordkap	246003	B	C	core_destroyed	133
2026-08-14T06:40:44Z	X3R0V134	112	ragnarok	246003	A	T	core_destroyed	352
2026-08-14T06:40:46Z	X3R0V134	113	ragnarok	246003	B	C	core_destroyed	102
2026-08-14T06:40:47Z	X3R0V134	114	royale	246003	A	C	core_destroyed	126
2026-08-14T06:40:50Z	X3R0V134	115	royale	246003	B	C	core_destroyed	566
2026-08-14T06:40:52Z	X3R0V134	116	valkyrie	246003	A	T	core_destroyed	136
2026-08-14T06:40:57Z	X3R0V134	117	valkyrie	246003	B	T	core_destroyed	271
