ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-11T14:15:26Z	GUNAXIS	0	antler	7000	A	C	core_destroyed	275
2026-08-11T14:15:29Z	GUNAXIS	1	antler	7000	B	T	core_destroyed	233
2026-08-11T14:15:33Z	GUNAXIS	2	atoll	7000	A	C	core_destroyed	327
2026-08-11T14:15:40Z	GUNAXIS	3	atoll	7000	B	T	core_destroyed	797
2026-08-11T14:15:43Z	GUNAXIS	4	drumlin	7000	A	T	core_destroyed	247
2026-08-11T14:15:45Z	GUNAXIS	5	drumlin	7000	B	C	core_destroyed	120
2026-08-11T14:15:46Z	GUNAXIS	6	fjordgate	7000	A	C	core_destroyed	137
2026-08-11T14:15:48Z	GUNAXIS	7	fjordgate	7000	B	C	core_destroyed	171
2026-08-11T14:15:52Z	GUNAXIS	8	heart	7000	A	T	core_destroyed	132
2026-08-11T14:15:58Z	GUNAXIS	9	heart	7000	B	T	core_destroyed	350
2026-08-11T14:16:00Z	GUNAXIS	10	hive	7000	A	T	core_destroyed	128
2026-08-11T14:16:06Z	GUNAXIS	11	hive	7000	B	C	core_destroyed	309
2026-08-11T14:16:08Z	GUNAXIS	12	meander	7000	A	T	core_destroyed	134
2026-08-11T14:16:10Z	GUNAXIS	13	meander	7000	B	T	core_destroyed	218
2026-08-11T14:16:12Z	GUNAXIS	14	nordkap	7000	A	T	core_destroyed	201
2026-08-11T14:16:14Z	GUNAXIS	15	nordkap	7000	B	C	core_destroyed	174
2026-08-11T14:16:16Z	GUNAXIS	16	antler	7001	A	T	core_destroyed	125
2026-08-11T14:16:20Z	GUNAXIS	17	antler	7001	B	C	core_destroyed	381
2026-08-11T14:16:22Z	GUNAXIS	18	atoll	7001	A	T	core_destroyed	321
2026-08-11T14:16:24Z	GUNAXIS	19	atoll	7001	B	T	core_destroyed	183
2026-08-11T14:16:26Z	GUNAXIS	20	drumlin	7001	A	C	core_destroyed	101
2026-08-11T14:16:35Z	GUNAXIS	21	drumlin	7001	B	T	core_destroyed	515
2026-08-11T14:16:36Z	GUNAXIS	22	fjordgate	7001	A	T	core_destroyed	156
2026-08-11T14:16:38Z	GUNAXIS	23	fjordgate	7001	B	T	core_destroyed	139
2026-08-11T14:16:44Z	GUNAXIS	24	heart	7001	A	C	core_destroyed	430
2026-08-11T14:16:50Z	GUNAXIS	25	heart	7001	B	T	core_destroyed	379
2026-08-11T14:16:52Z	GUNAXIS	26	hive	7001	A	C	core_destroyed	146
2026-08-11T14:16:59Z	GUNAXIS	27	hive	7001	B	T	core_destroyed	428
2026-08-11T14:17:01Z	GUNAXIS	28	meander	7001	A	C	core_destroyed	249
2026-08-11T14:17:03Z	GUNAXIS	29	meander	7001	B	C	core_destroyed	123
2026-08-11T14:17:06Z	GUNAXIS	30	nordkap	7001	A	C	core_destroyed	306
2026-08-11T14:17:08Z	GUNAXIS	31	nordkap	7001	B	C	core_destroyed	248
2026-08-11T14:17:10Z	GUNAXIS	32	antler	7002	A	T	core_destroyed	169
2026-08-11T14:17:14Z	GUNAXIS	33	antler	7002	B	C	core_destroyed	308
2026-08-11T14:17:15Z	GUNAXIS	34	atoll	7002	A	T	core_destroyed	157
2026-08-11T14:17:21Z	GUNAXIS	35	atoll	7002	B	C	core_destroyed	613
2026-08-11T14:17:24Z	GUNAXIS	36	drumlin	7002	A	T	core_destroyed	182
2026-08-11T14:17:27Z	GUNAXIS	37	drumlin	7002	B	C	core_destroyed	230
2026-08-11T14:17:29Z	GUNAXIS	38	fjordgate	7002	A	T	core_destroyed	266
2026-08-11T14:17:37Z	GUNAXIS	39	fjordgate	7002	B	C	tiebreak	1000
2026-08-11T14:17:41Z	GUNAXIS	40	heart	7002	A	C	core_destroyed	306
2026-08-11T14:17:44Z	GUNAXIS	41	heart	7002	B	T	core_destroyed	265
2026-08-11T14:17:47Z	GUNAXIS	42	hive	7002	A	T	core_destroyed	201
2026-08-11T14:17:49Z	GUNAXIS	43	hive	7002	B	T	core_destroyed	150
2026-08-11T14:17:51Z	GUNAXIS	44	meander	7002	A	C	core_destroyed	95
2026-08-11T14:17:53Z	GUNAXIS	45	meander	7002	B	T	core_destroyed	162
2026-08-11T14:17:56Z	GUNAXIS	46	nordkap	7002	A	T	core_destroyed	178
2026-08-11T14:17:58Z	GUNAXIS	47	nordkap	7002	B	T	core_destroyed	152
2026-08-11T14:18:02Z	GUNAXIS	48	antler	7003	A	C	tiebreak	1000
2026-08-11T14:18:05Z	GUNAXIS	49	antler	7003	B	C	core_destroyed	204
2026-08-11T14:18:09Z	GUNAXIS	50	atoll	7003	A	T	core_destroyed	678
2026-08-11T14:18:11Z	GUNAXIS	51	atoll	7003	B	C	core_destroyed	483
2026-08-11T14:18:16Z	GUNAXIS	52	drumlin	7003	A	T	core_destroyed	273
2026-08-11T14:18:18Z	GUNAXIS	53	drumlin	7003	B	C	core_destroyed	100
2026-08-11T14:18:20Z	GUNAXIS	54	fjordgate	7003	A	C	core_destroyed	123
2026-08-11T14:18:21Z	GUNAXIS	55	fjordgate	7003	B	C	core_destroyed	122
2026-08-11T14:18:24Z	GUNAXIS	56	heart	7003	A	C	core_destroyed	167
2026-08-11T14:18:28Z	GUNAXIS	57	heart	7003	B	T	core_destroyed	179
2026-08-11T14:20:17Z	GUNAXIS	58	antler	7003	A	C	core_destroyed	160
2026-08-11T14:20:20Z	GUNAXIS	59	antler	7003	B	T	core_destroyed	229
2026-08-11T14:20:23Z	GUNAXIS	60	atoll	7003	A	C	core_destroyed	223
2026-08-11T14:20:25Z	GUNAXIS	61	atoll	7003	B	C	core_destroyed	211
2026-08-11T14:20:30Z	GUNAXIS	62	drumlin	7003	A	C	core_destroyed	254
2026-08-11T14:20:36Z	GUNAXIS	63	drumlin	7003	B	C	core_destroyed	401
2026-08-11T14:20:37Z	GUNAXIS	64	fjordgate	7003	A	T	core_destroyed	224
2026-08-11T14:20:39Z	GUNAXIS	65	fjordgate	7003	B	C	core_destroyed	137
2026-08-11T14:20:43Z	GUNAXIS	66	heart	7003	A	T	core_destroyed	157
2026-08-11T14:20:54Z	GUNAXIS	67	heart	7003	B	T	tiebreak	1000
2026-08-11T14:21:02Z	GUNAXIS	68	hive	7003	A	C	core_destroyed	425
2026-08-11T14:21:04Z	GUNAXIS	69	hive	7003	B	T	core_destroyed	153
2026-08-11T14:21:06Z	GUNAXIS	70	meander	7003	A	T	core_destroyed	152
2026-08-11T14:21:08Z	GUNAXIS	71	meander	7003	B	C	core_destroyed	147
2026-08-11T14:21:11Z	GUNAXIS	72	nordkap	7003	A	T	core_destroyed	185
2026-08-11T14:21:13Z	GUNAXIS	73	nordkap	7003	B	C	core_destroyed	159
2026-08-11T14:21:15Z	GUNAXIS	74	antler	7004	A	C	core_destroyed	157
2026-08-11T14:21:17Z	GUNAXIS	75	antler	7004	B	C	core_destroyed	180
2026-08-11T14:21:20Z	GUNAXIS	76	atoll	7004	A	C	core_destroyed	196
2026-08-11T14:21:21Z	GUNAXIS	77	atoll	7004	B	T	core_destroyed	149
2026-08-11T14:21:25Z	GUNAXIS	78	drumlin	7004	A	T	core_destroyed	226
2026-08-11T14:21:27Z	GUNAXIS	79	drumlin	7004	B	C	core_destroyed	217
2026-08-11T14:21:29Z	GUNAXIS	80	fjordgate	7004	A	T	core_destroyed	121
2026-08-11T14:21:30Z	GUNAXIS	81	fjordgate	7004	B	C	core_destroyed	143
2026-08-11T14:21:33Z	GUNAXIS	82	heart	7004	A	C	core_destroyed	269
2026-08-11T14:21:37Z	GUNAXIS	83	heart	7004	B	T	core_destroyed	244
2026-08-11T14:21:41Z	GUNAXIS	84	hive	7004	A	T	core_destroyed	287
2026-08-11T14:21:52Z	GUNAXIS	85	hive	7004	B	C	core_destroyed	623
2026-08-11T14:21:54Z	GUNAXIS	86	meander	7004	A	T	core_destroyed	162
2026-08-11T14:21:55Z	GUNAXIS	87	meander	7004	B	T	core_destroyed	198
2026-08-11T14:21:58Z	GUNAXIS	88	nordkap	7004	A	C	core_destroyed	254
2026-08-11T14:22:00Z	GUNAXIS	89	nordkap	7004	B	T	core_destroyed	102
2026-08-11T14:22:03Z	GUNAXIS	90	antler	7005	A	T	core_destroyed	617
2026-08-11T14:22:07Z	GUNAXIS	91	antler	7005	B	C	core_destroyed	362
2026-08-11T14:22:10Z	GUNAXIS	92	atoll	7005	A	T	core_destroyed	597
2026-08-11T14:22:13Z	GUNAXIS	93	atoll	7005	B	T	core_destroyed	254
2026-08-11T14:22:16Z	GUNAXIS	94	drumlin	7005	A	T	core_destroyed	185
2026-08-11T14:22:18Z	GUNAXIS	95	drumlin	7005	B	C	core_destroyed	184
2026-08-11T14:22:21Z	GUNAXIS	96	fjordgate	7005	A	C	core_destroyed	332
2026-08-11T14:22:22Z	GUNAXIS	97	fjordgate	7005	B	T	core_destroyed	138
2026-08-11T14:22:24Z	GUNAXIS	98	heart	7005	A	T	core_destroyed	126
2026-08-11T14:22:27Z	GUNAXIS	99	heart	7005	B	T	core_destroyed	164
2026-08-11T14:22:31Z	GUNAXIS	100	hive	7005	A	T	core_destroyed	240
2026-08-11T14:22:34Z	GUNAXIS	101	hive	7005	B	C	core_destroyed	198
2026-08-11T14:22:36Z	GUNAXIS	102	meander	7005	A	C	core_destroyed	104
2026-08-11T14:22:37Z	GUNAXIS	103	meander	7005	B	C	core_destroyed	138
2026-08-11T14:22:39Z	GUNAXIS	104	nordkap	7005	A	C	core_destroyed	174
2026-08-11T14:22:41Z	GUNAXIS	105	nordkap	7005	B	C	core_destroyed	223
2026-08-11T14:22:43Z	GUNAXIS	106	antler	7006	A	T	core_destroyed	192
2026-08-11T14:22:45Z	GUNAXIS	107	antler	7006	B	C	core_destroyed	106
2026-08-11T14:22:47Z	GUNAXIS	108	atoll	7006	A	T	core_destroyed	120
2026-08-11T14:22:52Z	GUNAXIS	109	atoll	7006	B	T	core_destroyed	539
2026-08-11T14:22:58Z	GUNAXIS	110	drumlin	7006	A	T	core_destroyed	403
2026-08-11T14:23:03Z	GUNAXIS	111	drumlin	7006	B	T	core_destroyed	264
2026-08-11T14:23:05Z	GUNAXIS	112	fjordgate	7006	A	C	core_destroyed	204
2026-08-11T14:23:06Z	GUNAXIS	113	fjordgate	7006	B	C	core_destroyed	117
2026-08-11T14:23:10Z	GUNAXIS	114	heart	7006	A	C	core_destroyed	189
2026-08-11T14:23:13Z	GUNAXIS	115	heart	7006	B	T	core_destroyed	196
2026-08-11T14:23:18Z	GUNAXIS	116	hive	7006	A	C	core_destroyed	276
2026-08-11T14:23:21Z	GUNAXIS	117	hive	7006	B	C	core_destroyed	259
2026-08-11T14:23:25Z	GUNAXIS	118	meander	7006	A	C	core_destroyed	457
2026-08-11T14:23:27Z	GUNAXIS	119	meander	7006	B	T	core_destroyed	126
2026-08-11T14:23:28Z	GUNAXIS	120	nordkap	7006	A	T	core_destroyed	138
2026-08-11T14:23:30Z	GUNAXIS	121	nordkap	7006	B	C	core_destroyed	84
2026-08-11T14:23:33Z	GUNAXIS	122	antler	7007	A	C	core_destroyed	264
2026-08-11T14:23:35Z	GUNAXIS	123	antler	7007	B	C	core_destroyed	74
2026-08-11T14:23:41Z	GUNAXIS	124	atoll	7007	A	T	core_destroyed	996
2026-08-11T14:23:42Z	GUNAXIS	125	atoll	7007	B	T	core_destroyed	144
2026-08-11T14:23:45Z	GUNAXIS	126	drumlin	7007	A	T	core_destroyed	196
2026-08-11T14:23:48Z	GUNAXIS	127	drumlin	7007	B	C	core_destroyed	191
2026-08-11T14:23:50Z	GUNAXIS	128	fjordgate	7007	A	T	core_destroyed	299
2026-08-11T14:23:52Z	GUNAXIS	129	fjordgate	7007	B	T	core_destroyed	228
2026-08-11T14:23:58Z	GUNAXIS	130	heart	7007	A	T	core_destroyed	535
2026-08-11T14:24:01Z	GUNAXIS	131	heart	7007	B	C	core_destroyed	161
