ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-11T18:40:18Z	BESTFIT	0	antler	4000	A	T	core_destroyed	360
2026-08-11T18:40:22Z	BESTFIT	1	antler	4000	B	C	core_destroyed	177
2026-08-11T18:40:26Z	BESTFIT	2	atoll	4000	A	C	core_destroyed	221
2026-08-11T18:40:31Z	BESTFIT	3	atoll	4000	B	T	core_destroyed	276
2026-08-11T18:40:35Z	BESTFIT	4	drumlin	4000	A	C	core_destroyed	195
2026-08-11T18:40:38Z	BESTFIT	5	drumlin	4000	B	T	core_destroyed	152
2026-08-11T18:40:41Z	BESTFIT	6	fjordgate	4000	A	C	core_destroyed	297
2026-08-11T18:40:44Z	BESTFIT	7	fjordgate	4000	B	T	core_destroyed	129
2026-08-11T18:40:48Z	BESTFIT	8	heart	4000	A	T	core_destroyed	156
2026-08-11T18:41:02Z	BESTFIT	9	heart	4000	B	C	core_destroyed	422
2026-08-11T18:41:07Z	BESTFIT	10	hive	4000	A	T	core_destroyed	166
2026-08-11T18:41:16Z	BESTFIT	11	hive	4000	B	C	core_destroyed	272
2026-08-11T18:41:21Z	BESTFIT	12	meander	4000	A	C	core_destroyed	243
2026-08-11T18:41:23Z	BESTFIT	13	meander	4000	B	T	core_destroyed	140
2026-08-11T18:41:28Z	BESTFIT	14	nordkap	4000	A	T	core_destroyed	250
2026-08-11T18:41:31Z	BESTFIT	15	nordkap	4000	B	C	core_destroyed	191
2026-08-11T18:41:35Z	BESTFIT	16	antler	4001	A	T	core_destroyed	253
2026-08-11T18:41:37Z	BESTFIT	17	antler	4001	B	C	core_destroyed	94
2026-08-11T18:41:39Z	BESTFIT	18	atoll	4001	A	C	core_destroyed	98
2026-08-11T18:41:43Z	BESTFIT	19	atoll	4001	B	C	core_destroyed	383
2026-08-11T18:41:46Z	BESTFIT	20	drumlin	4001	A	T	core_destroyed	106
2026-08-11T18:41:50Z	BESTFIT	21	drumlin	4001	B	T	core_destroyed	146
2026-08-11T18:41:53Z	BESTFIT	22	fjordgate	4001	A	T	core_destroyed	237
2026-08-11T18:41:56Z	BESTFIT	23	fjordgate	4001	B	C	core_destroyed	153
2026-08-11T18:42:05Z	BESTFIT	24	heart	4001	A	C	core_destroyed	302
2026-08-11T18:42:11Z	BESTFIT	25	heart	4001	B	T	core_destroyed	186
2026-08-11T18:42:20Z	BESTFIT	26	hive	4001	A	T	core_destroyed	310
2026-08-11T18:42:26Z	BESTFIT	27	hive	4001	B	T	core_destroyed	227
2026-08-11T18:42:28Z	BESTFIT	28	meander	4001	A	C	core_destroyed	164
2026-08-11T18:42:32Z	BESTFIT	29	meander	4001	B	C	core_destroyed	211
2026-08-11T18:42:34Z	BESTFIT	30	nordkap	4001	A	T	core_destroyed	110
2026-08-11T18:42:41Z	BESTFIT	31	nordkap	4001	B	C	core_destroyed	301
2026-08-11T18:42:52Z	BESTFIT	32	antler	4002	A	T	core_destroyed	544
2026-08-11T18:42:55Z	BESTFIT	33	antler	4002	B	T	core_destroyed	269
2026-08-11T18:42:59Z	BESTFIT	34	atoll	4002	A	T	tiebreak	1000
2026-08-11T18:43:03Z	BESTFIT	35	atoll	4002	B	C	core_destroyed	516
2026-08-11T18:43:09Z	BESTFIT	36	drumlin	4002	A	C	core_destroyed	184
