ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-11T18:40:19Z	CAL_v104v92	0	antler	1000	A	T	core_destroyed	524
2026-08-11T18:40:24Z	CAL_v104v92	1	antler	1000	B	T	core_destroyed	465
2026-08-11T18:40:28Z	CAL_v104v92	2	atoll	1000	A	T	core_destroyed	291
2026-08-11T18:40:33Z	CAL_v104v92	3	atoll	1000	B	T	core_destroyed	308
2026-08-11T18:40:35Z	CAL_v104v92	4	drumlin	1000	A	T	core_destroyed	103
2026-08-11T18:40:39Z	CAL_v104v92	5	drumlin	1000	B	C	core_destroyed	276
2026-08-11T18:40:42Z	CAL_v104v92	6	fjordgate	1000	A	T	core_destroyed	153
2026-08-11T18:40:47Z	CAL_v104v92	7	fjordgate	1000	B	T	core_destroyed	833
2026-08-11T18:40:57Z	CAL_v104v92	8	heart	1000	A	C	core_destroyed	661
2026-08-11T18:41:42Z	CAL_v104v92	9	heart	1000	B	T	tiebreak	1000
2026-08-11T18:41:47Z	CAL_v104v92	10	hive	1000	A	T	core_destroyed	243
2026-08-11T18:41:51Z	CAL_v104v92	11	hive	1000	B	T	core_destroyed	155
2026-08-11T18:41:54Z	CAL_v104v92	12	meander	1000	A	T	core_destroyed	166
2026-08-11T18:41:56Z	CAL_v104v92	13	meander	1000	B	T	core_destroyed	85
2026-08-11T18:41:58Z	CAL_v104v92	14	nordkap	1000	A	T	core_destroyed	137
2026-08-11T18:42:00Z	CAL_v104v92	15	nordkap	1000	B	T	core_destroyed	110
2026-08-11T18:42:03Z	CAL_v104v92	16	antler	1001	A	C	core_destroyed	199
2026-08-11T18:42:05Z	CAL_v104v92	17	antler	1001	B	C	core_destroyed	195
2026-08-11T18:42:08Z	CAL_v104v92	18	atoll	1001	A	C	core_destroyed	135
2026-08-11T18:42:10Z	CAL_v104v92	19	atoll	1001	B	T	core_destroyed	121
2026-08-11T18:42:13Z	CAL_v104v92	20	drumlin	1001	A	T	core_destroyed	125
2026-08-11T18:42:32Z	CAL_v104v92	21	drumlin	1001	B	C	tiebreak	1000
2026-08-11T18:42:41Z	CAL_v104v92	22	fjordgate	1001	A	C	tiebreak	1000
2026-08-11T18:42:44Z	CAL_v104v92	23	fjordgate	1001	B	T	core_destroyed	317
2026-08-11T18:42:49Z	CAL_v104v92	24	heart	1001	A	T	core_destroyed	293
2026-08-11T18:42:53Z	CAL_v104v92	25	heart	1001	B	T	core_destroyed	180
2026-08-11T18:42:57Z	CAL_v104v92	26	hive	1001	A	T	core_destroyed	166
2026-08-11T18:43:02Z	CAL_v104v92	27	hive	1001	B	T	core_destroyed	258
2026-08-11T18:43:05Z	CAL_v104v92	28	meander	1001	A	T	core_destroyed	150
2026-08-11T18:43:08Z	CAL_v104v92	29	meander	1001	B	T	core_destroyed	144
