ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-11T18:40:18Z	NULL	0	antler	3000	A	C	tiebreak	1000
2026-08-11T18:40:22Z	NULL	1	antler	3000	B	C	core_destroyed	225
2026-08-11T18:40:25Z	NULL	2	atoll	3000	A	T	core_destroyed	116
2026-08-11T18:40:34Z	NULL	3	atoll	3000	B	T	core_destroyed	405
2026-08-11T18:40:37Z	NULL	4	drumlin	3000	A	T	core_destroyed	156
2026-08-11T18:40:45Z	NULL	5	drumlin	3000	B	C	core_destroyed	277
2026-08-11T18:40:48Z	NULL	6	fjordgate	3000	A	C	core_destroyed	190
2026-08-11T18:40:50Z	NULL	7	fjordgate	3000	B	C	core_destroyed	154
2026-08-11T18:41:02Z	NULL	8	heart	3000	A	T	core_destroyed	371
2026-08-11T18:41:12Z	NULL	9	heart	3000	B	T	core_destroyed	338
2026-08-11T18:41:20Z	NULL	10	hive	3000	A	C	core_destroyed	318
2026-08-11T18:41:24Z	NULL	11	hive	3000	B	T	core_destroyed	171
2026-08-11T18:41:27Z	NULL	12	meander	3000	A	C	core_destroyed	132
2026-08-11T18:41:29Z	NULL	13	meander	3000	B	C	core_destroyed	130
2026-08-11T18:41:39Z	NULL	14	nordkap	3000	A	C	core_destroyed	527
2026-08-11T18:41:41Z	NULL	15	nordkap	3000	B	C	core_destroyed	138
2026-08-11T18:41:46Z	NULL	16	antler	3001	A	C	core_destroyed	352
2026-08-11T18:41:49Z	NULL	17	antler	3001	B	C	core_destroyed	172
2026-08-11T18:41:54Z	NULL	18	atoll	3001	A	T	core_destroyed	278
2026-08-11T18:41:57Z	NULL	19	atoll	3001	B	T	core_destroyed	157
2026-08-11T18:42:03Z	NULL	20	drumlin	3001	A	T	core_destroyed	254
2026-08-11T18:42:05Z	NULL	21	drumlin	3001	B	C	core_destroyed	171
2026-08-11T18:42:07Z	NULL	22	fjordgate	3001	A	T	core_destroyed	128
2026-08-11T18:42:09Z	NULL	23	fjordgate	3001	B	T	core_destroyed	118
2026-08-11T18:42:14Z	NULL	24	heart	3001	A	T	core_destroyed	165
2026-08-11T18:42:21Z	NULL	25	heart	3001	B	C	core_destroyed	183
2026-08-11T18:42:26Z	NULL	26	hive	3001	A	C	core_destroyed	257
2026-08-11T18:42:31Z	NULL	27	hive	3001	B	T	core_destroyed	189
2026-08-11T18:42:34Z	NULL	28	meander	3001	A	C	core_destroyed	268
2026-08-11T18:42:37Z	NULL	29	meander	3001	B	C	core_destroyed	137
2026-08-11T18:42:40Z	NULL	30	nordkap	3001	A	T	core_destroyed	152
2026-08-11T18:42:43Z	NULL	31	nordkap	3001	B	C	core_destroyed	201
2026-08-11T18:42:47Z	NULL	32	antler	3002	A	C	core_destroyed	206
2026-08-11T18:42:51Z	NULL	33	antler	3002	B	C	core_destroyed	188
2026-08-11T18:42:54Z	NULL	34	atoll	3002	A	C	core_destroyed	272
2026-08-11T18:43:00Z	NULL	35	atoll	3002	B	C	core_destroyed	254
2026-08-11T18:43:03Z	NULL	36	drumlin	3002	A	C	core_destroyed	146
2026-08-11T18:43:08Z	NULL	37	drumlin	3002	B	T	core_destroyed	150
