ts	shard	game	map	seed	seat	winner	cond	turns
2026-08-11T18:40:17Z	ROSTER	0	antler	8000	A	T	core_destroyed	121
2026-08-11T18:40:20Z	ROSTER	1	antler	8000	B	C	core_destroyed	215
2026-08-11T18:40:26Z	ROSTER	2	atoll	8000	A	C	core_destroyed	282
2026-08-11T18:40:29Z	ROSTER	3	atoll	8000	B	C	core_destroyed	93
2026-08-11T18:40:39Z	ROSTER	4	drumlin	8000	A	C	core_destroyed	419
2026-08-11T18:40:55Z	ROSTER	5	drumlin	8000	B	T	core_destroyed	593
2026-08-11T18:40:59Z	ROSTER	6	fjordgate	8000	A	C	core_destroyed	278
2026-08-11T18:41:01Z	ROSTER	7	fjordgate	8000	B	C	core_destroyed	105
2026-08-11T18:41:09Z	ROSTER	8	heart	8000	A	C	core_destroyed	370
2026-08-11T18:41:14Z	ROSTER	9	heart	8000	B	T	core_destroyed	195
2026-08-11T18:41:25Z	ROSTER	10	hive	8000	A	C	core_destroyed	369
2026-08-11T18:41:34Z	ROSTER	11	hive	8000	B	C	core_destroyed	289
2026-08-11T18:41:36Z	ROSTER	12	meander	8000	A	C	core_destroyed	160
2026-08-11T18:41:39Z	ROSTER	13	meander	8000	B	C	core_destroyed	132
2026-08-11T18:41:43Z	ROSTER	14	nordkap	8000	A	C	core_destroyed	250
2026-08-11T18:41:47Z	ROSTER	15	nordkap	8000	B	T	core_destroyed	222
2026-08-11T18:41:52Z	ROSTER	16	antler	8001	A	T	core_destroyed	255
2026-08-11T18:41:55Z	ROSTER	17	antler	8001	B	C	core_destroyed	184
2026-08-11T18:41:57Z	ROSTER	18	atoll	8001	A	C	core_destroyed	106
2026-08-11T18:42:06Z	ROSTER	19	atoll	8001	B	T	core_destroyed	457
2026-08-11T18:42:08Z	ROSTER	20	drumlin	8001	A	T	core_destroyed	148
2026-08-11T18:42:11Z	ROSTER	21	drumlin	8001	B	C	core_destroyed	141
2026-08-11T18:42:13Z	ROSTER	22	fjordgate	8001	A	C	core_destroyed	165
2026-08-11T18:42:15Z	ROSTER	23	fjordgate	8001	B	C	core_destroyed	144
2026-08-11T18:42:27Z	ROSTER	24	heart	8001	A	C	core_destroyed	250
2026-08-11T18:42:32Z	ROSTER	25	heart	8001	B	T	core_destroyed	187
2026-08-11T18:42:37Z	ROSTER	26	hive	8001	A	T	core_destroyed	205
2026-08-11T18:42:47Z	ROSTER	27	hive	8001	B	C	core_destroyed	306
2026-08-11T18:42:49Z	ROSTER	28	meander	8001	A	C	core_destroyed	198
2026-08-11T18:42:52Z	ROSTER	29	meander	8001	B	T	core_destroyed	168
2026-08-11T18:42:55Z	ROSTER	30	nordkap	8001	A	C	core_destroyed	176
2026-08-11T18:43:00Z	ROSTER	31	nordkap	8001	B	C	core_destroyed	269
2026-08-11T18:43:02Z	ROSTER	32	antler	8002	A	T	core_destroyed	125
2026-08-11T18:43:07Z	ROSTER	33	antler	8002	B	C	core_destroyed	269
