file	match	game	opp	oppver	ourver	map	maphash	trig	rounds	our_team	n_parked_bots	max_park_len	first_park_round	total_parked_bot_rounds	total_raider_rounds	total_bot_rounds
bab61537-2315-4121-9286-d9447197afc2_game_1.replay26	bab61537-2315-4121-9286-d9447197afc2	1	Ouroboros	8	64	?	32e660f402	unrated	364	1	0	0	-1	0	0	823
bab61537-2315-4121-9286-d9447197afc2_game_2.replay26	bab61537-2315-4121-9286-d9447197afc2	2	Ouroboros	8	64	?	925f7a4755	unrated	206	1	0	0	-1	0	40	511
bab61537-2315-4121-9286-d9447197afc2_game_3.replay26	bab61537-2315-4121-9286-d9447197afc2	3	Ouroboros	8	64	?	d045777fb4	unrated	690	1	0	0	-1	0	0	1329
bab61537-2315-4121-9286-d9447197afc2_game_4.replay26	bab61537-2315-4121-9286-d9447197afc2	4	Ouroboros	8	64	?	8cbf96e7b4	unrated	313	1	0	0	-1	0	7	1285
bab61537-2315-4121-9286-d9447197afc2_game_5.replay26	bab61537-2315-4121-9286-d9447197afc2	5	Ouroboros	8	64	?	0c59455b91	unrated	301	1	0	0	-1	0	0	1425
047ea519-f6e8-4971-9534-9b5d7f3df263_game_1.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	1	Orizon	34	64	lighthouse	00349f3ee5	ladder	1000	1	0	0	-1	0	97	4017
047ea519-f6e8-4971-9534-9b5d7f3df263_game_2.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	2	Orizon	34	64	fjordgate	93f8deafba	ladder	550	1	0	0	-1	0	355	1595
047ea519-f6e8-4971-9534-9b5d7f3df263_game_3.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	3	Orizon	34	64	moonrise	65714cc548	ladder	493	1	0	0	-1	0	42	1160
047ea519-f6e8-4971-9534-9b5d7f3df263_game_4.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	4	Orizon	34	64	jackpot	29fc6e6fa5	ladder	95	1	0	0	-1	0	0	400
047ea519-f6e8-4971-9534-9b5d7f3df263_game_5.replay26	047ea519-f6e8-4971-9534-9b5d7f3df263	5	Orizon	34	64	antler	e150ec12c3	ladder	1000	1	0	0	-1	0	961	6306
4479f68d-94e4-414a-9d39-64fe7fdc9af2_game_1.replay26	4479f68d-94e4-414a-9d39-64fe7fdc9af2	1	Powerpuff Girls	26	64	meander	925f7a4755	ladder	156	0	0	0	-1	0	209	629
