game	map	arrive_r	last_ring_r	ring_rounds	span	n_gaps	gap_rounds	longest_gap	seats_lost_across_gaps	throws_on_seat	throws_on_corner	throws_off_ring
v513_log-atoll-s1-A	atoll	5	146	142	142	0	0	0	0	0	0	8
v513_log-atoll-s1-B	atoll	5	197	99	193	1	94	94	0	0	14	35
v513_log-atoll-s2-A	atoll	5	227	223	223	0	0	0	0	5	9	37
v513_log-atoll-s2-B	atoll	5	546	270	542	7	272	61	10	3	8	93
v513_log-atoll-s3-A	atoll	5	199	195	195	0	0	0	0	0	0	6
v513_log-atoll-s3-B	atoll	5	197	80	193	2	113	67	2	1	1	8
v513_log-drakkarfjord-s1-A	drakkarfjord	11	380	215	370	3	155	93	1	0	0	0
v513_log-drakkarfjord-s1-B	drakkarfjord	11	118	108	108	0	0	0	0	0	0	0
v513_log-drakkarfjord-s2-A	drakkarfjord	11	168	158	158	0	0	0	0	0	0	0
v513_log-drakkarfjord-s2-B	drakkarfjord	11	128	118	118	0	0	0	0	0	0	0
v513_log-drakkarfjord-s3-A	drakkarfjord	11	214	204	204	0	0	0	0	0	0	0
v513_log-drakkarfjord-s3-B	drakkarfjord	11	172	162	162	0	0	0	0	0	0	0
v513_log-glacierkeep-s1-A	glacierkeep	9	57	49	49	0	0	0	0	0	0	0
v513_log-glacierkeep-s1-B	glacierkeep	9	188	180	180	0	0	0	0	0	0	0
v513_log-glacierkeep-s2-A	glacierkeep	9	258	250	250	0	0	0	0	0	0	0
v513_log-glacierkeep-s2-B	glacierkeep	9	120	112	112	0	0	0	0	0	0	0
v513_log-glacierkeep-s3-A	glacierkeep	9	172	164	164	0	0	0	0	0	0	0
v513_log-glacierkeep-s3-B	glacierkeep	9	999	991	991	0	0	0	0	0	0	0
v513_log-midgard-s1-A	midgard	14	183	120	170	1	50	50	0	0	0	3
v513_log-midgard-s1-B	midgard	123	134	12	12	0	0	0	0	0	0	2
v513_log-midgard-s2-A	midgard	13	311	217	299	1	82	82	0	0	0	0
v513_log-midgard-s2-B	midgard	78	115	38	38	0	0	0	0	0	0	2
v513_log-midgard-s3-A	midgard	14	465	265	452	3	187	112	1	1	1	12
v513_log-midgard-s3-B	midgard	187	209	23	23	0	0	0	0	0	0	2
v513_log-nordkap-s1-A	nordkap	5	276	119	272	1	153	153	4	0	0	0
v513_log-nordkap-s1-B	nordkap	5	608	604	604	0	0	0	0	0	0	9
v513_log-nordkap-s2-A	nordkap	5	311	307	307	0	0	0	0	0	0	0
v513_log-nordkap-s2-B	nordkap	5	140	136	136	0	0	0	0	0	0	11
v513_log-nordkap-s3-A	nordkap	5	347	343	343	0	0	0	0	0	0	0
v513_log-nordkap-s3-B	nordkap	5	341	337	337	0	0	0	0	0	0	0
