map	seat	side	x	y	env	cls	enemy_core	our_core
atoll	A	orth	14	1	EMPTY	barrier-legal	14,2	2,14
atoll	A	orth	15	1	EMPTY	barrier-legal	14,2	2,14
atoll	A	orth	16	2	EMPTY	barrier-legal	14,2	2,14
atoll	A	orth	16	3	EMPTY	barrier-legal	14,2	2,14
atoll	A	orth	15	4	EMPTY	barrier-legal	14,2	2,14
atoll	A	orth	14	4	EMPTY	barrier-legal	14,2	2,14
atoll	A	orth	13	3	EMPTY	barrier-legal	14,2	2,14
atoll	A	orth	13	2	EMPTY	barrier-legal	14,2	2,14
atoll	A	diag	13	1	EMPTY	barrier-legal	14,2	2,14
atoll	A	diag	16	1	EMPTY	barrier-legal	14,2	2,14
atoll	A	diag	13	4	EMPTY	barrier-legal	14,2	2,14
atoll	A	diag	16	4	EMPTY	barrier-legal	14,2	2,14
atoll	B	orth	2	13	EMPTY	barrier-legal	2,14	14,2
atoll	B	orth	3	13	EMPTY	barrier-legal	2,14	14,2
atoll	B	orth	4	14	EMPTY	barrier-legal	2,14	14,2
atoll	B	orth	4	15	EMPTY	barrier-legal	2,14	14,2
atoll	B	orth	3	16	EMPTY	barrier-legal	2,14	14,2
atoll	B	orth	2	16	EMPTY	barrier-legal	2,14	14,2
atoll	B	orth	1	15	EMPTY	barrier-legal	2,14	14,2
atoll	B	orth	1	14	EMPTY	barrier-legal	2,14	14,2
atoll	B	diag	1	13	EMPTY	barrier-legal	2,14	14,2
atoll	B	diag	4	13	EMPTY	barrier-legal	2,14	14,2
atoll	B	diag	1	16	EMPTY	barrier-legal	2,14	14,2
atoll	B	diag	4	16	EMPTY	barrier-legal	2,14	14,2
midgard	A	orth	26	25	EMPTY	barrier-legal	26,26	2,2
midgard	A	orth	27	25	EMPTY	barrier-legal	26,26	2,2
midgard	A	orth	28	26	EMPTY	barrier-legal	26,26	2,2
midgard	A	orth	28	27	EMPTY	barrier-legal	26,26	2,2
midgard	A	orth	27	28	EMPTY	barrier-legal	26,26	2,2
midgard	A	orth	26	28	EMPTY	barrier-legal	26,26	2,2
midgard	A	orth	25	27	EMPTY	barrier-legal	26,26	2,2
midgard	A	orth	25	26	EMPTY	barrier-legal	26,26	2,2
midgard	A	diag	25	25	WALL	wall-excluded	26,26	2,2
midgard	A	diag	28	25	EMPTY	barrier-legal	26,26	2,2
midgard	A	diag	25	28	EMPTY	barrier-legal	26,26	2,2
midgard	A	diag	28	28	EMPTY	barrier-legal	26,26	2,2
midgard	B	orth	2	1	EMPTY	barrier-legal	2,2	26,26
midgard	B	orth	3	1	EMPTY	barrier-legal	2,2	26,26
midgard	B	orth	4	2	EMPTY	barrier-legal	2,2	26,26
midgard	B	orth	4	3	EMPTY	barrier-legal	2,2	26,26
midgard	B	orth	3	4	EMPTY	barrier-legal	2,2	26,26
midgard	B	orth	2	4	EMPTY	barrier-legal	2,2	26,26
midgard	B	orth	1	3	EMPTY	barrier-legal	2,2	26,26
midgard	B	orth	1	2	EMPTY	barrier-legal	2,2	26,26
midgard	B	diag	1	1	EMPTY	barrier-legal	2,2	26,26
midgard	B	diag	4	1	EMPTY	barrier-legal	2,2	26,26
midgard	B	diag	1	4	EMPTY	barrier-legal	2,2	26,26
midgard	B	diag	4	4	WALL	wall-excluded	2,2	26,26
drakkarfjord	A	orth	26	3	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	orth	27	3	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	orth	28	4	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	orth	28	5	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	orth	27	6	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	orth	26	6	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	orth	25	5	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	orth	25	4	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	diag	25	3	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	diag	28	3	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	diag	25	6	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	A	diag	28	6	EMPTY	barrier-legal	26,4	2,24
drakkarfjord	B	orth	2	23	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	orth	3	23	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	orth	4	24	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	orth	4	25	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	orth	3	26	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	orth	2	26	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	orth	1	25	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	orth	1	24	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	diag	1	23	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	diag	4	23	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	diag	1	26	EMPTY	barrier-legal	2,24	26,4
drakkarfjord	B	diag	4	26	EMPTY	barrier-legal	2,24	26,4
glacierkeep	A	orth	14	25	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	orth	15	25	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	orth	16	26	EMPTY	barrier-legal	14,26	14,2
glacierkeep	A	orth	16	27	EMPTY	barrier-legal	14,26	14,2
