game	map	seat	tile	ring_rounds	ours_block	ours_body	enemy_bldg	enemy_body	our_conv	empty	closed_pct
v513_log-atoll-s1-A	atoll	A	14,1	142	89	0	51	0	0	2	62.7
v513_log-atoll-s1-A	atoll	A	15,1	142	85	0	56	0	0	1	59.9
v513_log-atoll-s1-A	atoll	A	16,2	142	0	0	0	0	0	142	0.0
v513_log-atoll-s1-A	atoll	A	16,3	142	2	0	0	0	0	140	1.4
v513_log-atoll-s1-A	atoll	A	15,4	142	5	0	0	1	0	136	3.5
v513_log-atoll-s1-A	atoll	A	14,4	142	17	0	122	1	0	2	12.0
v513_log-atoll-s1-A	atoll	A	13,3	142	139	0	0	0	0	3	97.9
v513_log-atoll-s1-A	atoll	A	13,2	142	125	0	0	1	0	16	88.0
v513_log-atoll-s1-B	atoll	B	2,13	99	76	0	0	2	0	21	76.8
v513_log-atoll-s1-B	atoll	B	3,13	99	96	0	0	0	0	3	97.0
v513_log-atoll-s1-B	atoll	B	4,14	99	0	0	97	0	0	2	0.0
v513_log-atoll-s1-B	atoll	B	4,15	99	69	0	0	3	0	27	69.7
v513_log-atoll-s1-B	atoll	B	3,16	99	0	0	90	0	0	9	0.0
v513_log-atoll-s1-B	atoll	B	2,16	99	0	0	0	9	0	90	0.0
v513_log-atoll-s1-B	atoll	B	1,15	99	0	0	99	0	0	0	0.0
v513_log-atoll-s1-B	atoll	B	1,14	99	86	0	0	2	0	11	86.9
v513_log-atoll-s2-A	atoll	A	14,1	223	104	0	111	0	0	8	46.6
v513_log-atoll-s2-A	atoll	A	15,1	223	123	0	51	5	0	44	55.2
v513_log-atoll-s2-A	atoll	A	16,2	223	68	0	0	11	0	144	30.5
v513_log-atoll-s2-A	atoll	A	16,3	223	183	0	0	7	0	33	82.1
v513_log-atoll-s2-A	atoll	A	15,4	223	181	0	0	0	0	42	81.2
v513_log-atoll-s2-A	atoll	A	14,4	223	49	0	0	1	0	173	22.0
v513_log-atoll-s2-A	atoll	A	13,3	223	216	0	0	1	0	6	96.9
v513_log-atoll-s2-A	atoll	A	13,2	223	211	0	0	4	0	8	94.6
v513_log-atoll-s2-B	atoll	B	2,13	270	265	0	0	0	0	5	98.1
v513_log-atoll-s2-B	atoll	B	3,13	270	266	0	1	0	0	3	98.5
v513_log-atoll-s2-B	atoll	B	4,14	270	84	1	167	2	0	16	31.5
v513_log-atoll-s2-B	atoll	B	4,15	270	164	1	0	6	0	99	61.1
v513_log-atoll-s2-B	atoll	B	3,16	270	0	0	268	0	0	2	0.0
v513_log-atoll-s2-B	atoll	B	2,16	270	104	0	0	5	0	161	38.5
v513_log-atoll-s2-B	atoll	B	1,15	270	204	0	28	1	0	37	75.6
v513_log-atoll-s2-B	atoll	B	1,14	270	259	0	0	3	0	8	95.9
v513_log-atoll-s3-A	atoll	A	14,1	195	42	0	91	44	0	18	21.5
v513_log-atoll-s3-A	atoll	A	15,1	195	0	0	182	3	0	10	0.0
v513_log-atoll-s3-A	atoll	A	16,2	195	67	0	0	2	0	126	34.4
v513_log-atoll-s3-A	atoll	A	16,3	195	175	0	0	3	0	17	89.7
v513_log-atoll-s3-A	atoll	A	15,4	195	189	0	0	1	0	5	96.9
v513_log-atoll-s3-A	atoll	A	14,4	195	15	0	150	1	0	29	7.7
v513_log-atoll-s3-A	atoll	A	13,3	195	110	6	0	3	0	76	59.5
v513_log-atoll-s3-A	atoll	A	13,2	195	129	0	0	4	0	62	66.2
v513_log-atoll-s3-B	atoll	B	2,13	80	74	0	0	1	0	5	92.5
v513_log-atoll-s3-B	atoll	B	3,13	80	76	0	0	0	0	4	95.0
v513_log-atoll-s3-B	atoll	B	4,14	80	0	0	78	1	0	1	0.0
v513_log-atoll-s3-B	atoll	B	4,15	80	45	0	0	5	0	30	56.2
v513_log-atoll-s3-B	atoll	B	3,16	80	1	0	64	0	0	15	1.2
v513_log-atoll-s3-B	atoll	B	2,16	80	15	0	0	3	0	62	18.8
v513_log-atoll-s3-B	atoll	B	1,15	80	0	0	78	1	0	1	0.0
v513_log-atoll-s3-B	atoll	B	1,14	80	0	12	0	3	0	65	15.0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	26,3	215	86	0	8	0	0	121	40.0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	27,3	215	192	0	0	0	0	23	89.3
v513_log-drakkarfjord-s1-A	drakkarfjord	A	28,4	215	189	0	0	0	0	26	87.9
v513_log-drakkarfjord-s1-A	drakkarfjord	A	28,5	215	185	0	0	0	0	30	86.0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	27,6	215	182	0	0	0	0	33	84.7
v513_log-drakkarfjord-s1-A	drakkarfjord	A	26,6	215	0	0	193	0	0	22	0.0
v513_log-drakkarfjord-s1-A	drakkarfjord	A	25,5	215	31	0	182	0	0	2	14.4
v513_log-drakkarfjord-s1-A	drakkarfjord	A	25,4	215	110	3	0	0	0	102	52.6
v513_log-drakkarfjord-s1-B	drakkarfjord	B	2,23	108	24	3	0	4	0	77	25.0
v513_log-drakkarfjord-s1-B	drakkarfjord	B	3,23	108	107	0	0	0	0	1	99.1
v513_log-drakkarfjord-s1-B	drakkarfjord	B	4,24	108	90	0	0	0	0	18	83.3
v513_log-drakkarfjord-s1-B	drakkarfjord	B	4,25	108	97	0	0	0	0	11	89.8
v513_log-drakkarfjord-s1-B	drakkarfjord	B	3,26	108	80	2	0	0	0	26	75.9
v513_log-drakkarfjord-s1-B	drakkarfjord	B	2,26	108	82	0	0	0	0	26	75.9
v513_log-drakkarfjord-s1-B	drakkarfjord	B	1,25	108	76	0	0	0	0	32	70.4
v513_log-drakkarfjord-s1-B	drakkarfjord	B	1,24	108	72	0	0	0	0	36	66.7
v513_log-drakkarfjord-s2-A	drakkarfjord	A	26,3	158	138	0	0	0	0	20	87.3
v513_log-drakkarfjord-s2-A	drakkarfjord	A	27,3	158	136	0	0	0	0	22	86.1
v513_log-drakkarfjord-s2-A	drakkarfjord	A	28,4	158	133	0	0	0	0	25	84.2
v513_log-drakkarfjord-s2-A	drakkarfjord	A	28,5	158	127	0	0	0	0	31	80.4
v513_log-drakkarfjord-s2-A	drakkarfjord	A	27,6	158	124	0	0	0	0	34	78.5
v513_log-drakkarfjord-s2-A	drakkarfjord	A	26,6	158	74	3	58	0	0	23	48.7
v513_log-drakkarfjord-s2-A	drakkarfjord	A	25,5	158	146	0	0	0	0	12	92.4
v513_log-drakkarfjord-s2-A	drakkarfjord	A	25,4	158	124	3	0	0	0	31	80.4
v513_log-drakkarfjord-s2-B	drakkarfjord	B	2,23	118	14	0	0	0	0	104	11.9
v513_log-drakkarfjord-s2-B	drakkarfjord	B	3,23	118	107	0	0	0	0	11	90.7
v513_log-drakkarfjord-s2-B	drakkarfjord	B	4,24	118	117	0	0	0	0	1	99.2
v513_log-drakkarfjord-s2-B	drakkarfjord	B	4,25	118	96	2	0	0	0	20	83.1
v513_log-drakkarfjord-s2-B	drakkarfjord	B	3,26	118	114	0	0	0	0	4	96.6
v513_log-drakkarfjord-s2-B	drakkarfjord	B	2,26	118	95	0	0	0	0	23	80.5
v513_log-drakkarfjord-s2-B	drakkarfjord	B	1,25	118	92	0	0	0	0	26	78.0
v513_log-drakkarfjord-s2-B	drakkarfjord	B	1,24	118	88	0	0	0	0	30	74.6
v513_log-drakkarfjord-s3-A	drakkarfjord	A	26,3	204	183	0	0	0	0	21	89.7
v513_log-drakkarfjord-s3-A	drakkarfjord	A	27,3	204	181	0	0	0	0	23	88.7
v513_log-drakkarfjord-s3-A	drakkarfjord	A	28,4	204	178	0	0	0	0	26	87.3
v513_log-drakkarfjord-s3-A	drakkarfjord	A	28,5	204	174	0	0	0	0	30	85.3
v513_log-drakkarfjord-s3-A	drakkarfjord	A	27,6	204	171	0	0	0	0	33	83.8
v513_log-drakkarfjord-s3-A	drakkarfjord	A	26,6	204	127	0	58	0	0	19	62.3
v513_log-drakkarfjord-s3-A	drakkarfjord	A	25,5	204	185	0	0	0	0	19	90.7
v513_log-drakkarfjord-s3-A	drakkarfjord	A	25,4	204	140	3	0	0	0	61	70.1
v513_log-drakkarfjord-s3-B	drakkarfjord	B	2,23	162	79	0	0	0	0	83	48.8
v513_log-drakkarfjord-s3-B	drakkarfjord	B	3,23	162	151	0	0	0	0	11	93.2
v513_log-drakkarfjord-s3-B	drakkarfjord	B	4,24	162	161	0	0	0	0	1	99.4
v513_log-drakkarfjord-s3-B	drakkarfjord	B	4,25	162	93	2	0	46	0	21	58.6
v513_log-drakkarfjord-s3-B	drakkarfjord	B	3,26	162	158	0	0	0	0	4	97.5
v513_log-drakkarfjord-s3-B	drakkarfjord	B	2,26	162	139	0	0	0	0	23	85.8
v513_log-drakkarfjord-s3-B	drakkarfjord	B	1,25	162	136	0	0	0	0	26	84.0
v513_log-drakkarfjord-s3-B	drakkarfjord	B	1,24	162	132	0	0	0	0	30	81.5
v513_log-glacierkeep-s1-A	glacierkeep	A	14,25	49	36	0	0	0	0	13	73.5
v513_log-glacierkeep-s1-A	glacierkeep	A	15,25	49	40	0	0	0	0	9	81.6
v513_log-glacierkeep-s1-A	glacierkeep	A	16,26	49	43	0	0	0	0	6	87.8
v513_log-glacierkeep-s1-A	glacierkeep	A	16,27	49	48	0	0	0	0	1	98.0
v513_log-glacierkeep-s1-A	glacierkeep	A	15,28	49	47	0	0	0	0	2	95.9
v513_log-glacierkeep-s1-A	glacierkeep	A	14,28	49	0	0	0	0	0	49	0.0
v513_log-glacierkeep-s1-A	glacierkeep	A	13,27	49	0	0	0	0	0	49	0.0
v513_log-glacierkeep-s1-A	glacierkeep	A	13,26	49	0	0	0	0	0	49	0.0
v513_log-glacierkeep-s1-B	glacierkeep	B	14,1	180	112	0	0	0	0	68	62.2
v513_log-glacierkeep-s1-B	glacierkeep	B	15,1	180	165	0	0	0	0	15	91.7
v513_log-glacierkeep-s1-B	glacierkeep	B	16,2	180	178	0	0	0	0	2	98.9
v513_log-glacierkeep-s1-B	glacierkeep	B	16,3	180	166	0	0	0	0	14	92.2
v513_log-glacierkeep-s1-B	glacierkeep	B	15,4	180	163	0	0	0	0	17	90.6
v513_log-glacierkeep-s1-B	glacierkeep	B	14,4	180	159	0	0	0	0	21	88.3
v513_log-glacierkeep-s1-B	glacierkeep	B	13,3	180	156	0	0	0	0	24	86.7
v513_log-glacierkeep-s1-B	glacierkeep	B	13,2	180	152	0	0	0	0	28	84.4
v513_log-glacierkeep-s2-A	glacierkeep	A	14,25	250	237	0	0	0	0	13	94.8
v513_log-glacierkeep-s2-A	glacierkeep	A	15,25	250	241	0	0	0	0	9	96.4
v513_log-glacierkeep-s2-A	glacierkeep	A	16,26	250	244	0	0	0	0	6	97.6
v513_log-glacierkeep-s2-A	glacierkeep	A	16,27	250	249	0	0	0	0	1	99.6
v513_log-glacierkeep-s2-A	glacierkeep	A	15,28	250	248	0	0	0	0	2	99.2
v513_log-glacierkeep-s2-A	glacierkeep	A	14,28	250	214	0	0	0	0	36	85.6
v513_log-glacierkeep-s2-A	glacierkeep	A	13,27	250	218	0	0	1	0	31	87.2
v513_log-glacierkeep-s2-A	glacierkeep	A	13,26	250	222	0	0	1	0	27	88.8
v513_log-glacierkeep-s2-B	glacierkeep	B	14,1	112	100	0	0	3	0	9	89.3
v513_log-glacierkeep-s2-B	glacierkeep	B	15,1	112	70	0	0	4	0	38	62.5
v513_log-glacierkeep-s2-B	glacierkeep	B	16,2	112	110	0	0	0	0	2	98.2
v513_log-glacierkeep-s2-B	glacierkeep	B	16,3	112	76	0	0	0	0	36	67.9
