map	w	h	coredsq	rounds	seats	claim_onset	claim2_onset	claim3_onset	claim5_onset	own_onset	claim_r20	claim_r40	claim_r80	claim_r150	claim_max	own_max	claim_mean	claim_tail50	own_mean	ours_max	ours_seatrounds	ours_first	episodes	epi_ended	retakes	retake_lat_mean	retake_lat_med	pecks_total	ourblock_seatrounds	ourconv_seatrounds	mjbody_seatrounds	empty_seatrounds	claim_w40_100	block_w40_100	mj_claim_epis	mj_claim_ended	mj_claim_life_med	claim_pre_press	claim_post_press	our_near16_first	our_near36_first	mj_harv1	mj_harv2	mj_harv_n	pecks_on_ours	pecks_on_theirs	peck_victims	tag	seat	result	cond	turn
antler	14	18	64	377	8	2	3	-1	-1	2	2	2	2	1	2	2	1.223	1.0	1.223	7	2255	10	10	3	2	1.0	1	111	2255	0	193	107	1.917	5.317	4	3	23	2	1	9	9	4	6	2	73	38	barrier:73	antler_s300_A	A	OPP	Core destroyed	377
antler	14	18	64	81	8	2	3	45	-1	2	2	2	3	-1	3	3	2.383	2.72	2.383	5	266	10	5	1	1	1.0	1	92	266	0	16	161	-1	-1	3	0	-1	2	2	9	9	4	6	2	83	9	barrier:83	antler_s300_B	B	OPP	Core destroyed	81
antler	14	18	64	282	8	2	3	-1	-1	2	2	2	0	1	2	2	1.085	1.0	1.085	6	1502	10	9	3	2	1.0	1	104	1502	0	156	292	0.95	5.267	4	3	34	2	1	9	9	4	6	2	68	36	barrier:68	antler_s301_A	A	OPP	Core destroyed	282
antler	14	18	64	263	8	2	3	24	57	2	2	3	6	6	7	7	4.875	5.0	4.875	3	575	10	10	7	7	2.43	1	211	575	0	7	139	5.133	1.783	9	4	118	2	3	9	9	4	6	3	101	110	barrier:101	antler_s301_B	B	OPP	Core destroyed	263
antler	14	18	64	222	8	2	3	31	-1	2	2	2	4	4	4	4	3.311	3.34	3.311	5	845	11	25	21	3	1.0	1	237	845	0	33	163	3.55	3.85	7	3	77	2	2	9	9	4	6	2	138	99	barrier:138	antler_s302_A	A	US	Core destroyed	222
antler	14	18	64	101	8	2	3	-1	-1	2	2	2	2	-1	2	2	1.881	1.86	1.881	3	159	17	17	14	0	-1	-1	77	159	0	8	359	1.9	1.933	2	1	92	2	2	9	9	4	6	2	67	10	barrier:67	antler_s302_B	B	OPP	Core destroyed	101
antler	14	18	64	343	8	2	3	33	-1	2	2	3	1	1	3	3	1.277	1.0	1.277	6	1852	10	30	24	1	1.0	1	180	1852	0	254	200	1.883	5.033	3	2	66	2	2	9	9	4	6	2	144	36	barrier:144	antler_s303_A	A	US	Core destroyed	343
antler	14	18	64	418	8	2	3	24	28	2	2	5	5	6	6	6	2.545	0.0	2.545	8	1785	90	11	4	2	29.5	58	171	1785	0	20	385	5.0	0.167	8	8	145	2	5	9	9	4	6	5	45	126	barrier:45	antler_s303_B	B	US	Core destroyed	418
antler	14	18	64	463	8	2	3	-1	-1	2	2	1	1	1	2	2	1.056	1.0	1.056	5	2001	11	72	68	0	-1	-1	116	2001	0	328	886	1.0	4.9	2	1	28	2	2	9	9	4	6	2	106	10	barrier:106	antler_s304_A	A	OPP	Core destroyed	463
antler	14	18	64	253	8	2	3	24	29	2	2	5	5	5	6	6	4.921	5.6	4.921	2	172	109	5	4	3	1.0	1	124	172	0	33	475	5.033	0.0	9	3	107	2	5	9	9	4	6	3	60	64	barrier:60	antler_s304_B	B	US	Core destroyed	253
antler	14	18	64	146	8	2	3	31	-1	2	2	3	3	-1	3	3	2.404	2.0	2.404	6	671	11	8	2	1	1.0	1	183	671	0	6	140	2.917	4.833	3	1	93	2	2	9	9	4	6	2	130	53	barrier:130	antler_s305_A	A	OPP	Core destroyed	146
antler	14	18	64	332	8	2	3	26	31	2	2	5	5	3	5	5	2.786	3.4	2.786	7	992	84	7	4	4	1.0	1	167	992	0	10	646	4.533	0.533	9	5	159	2	4	9	9	4	6	2	92	75	barrier:92	antler_s305_B	B	US	Core destroyed	332
antler	14	18	64	257	8	2	3	-1	-1	2	2	1	0	0	2	2	0.389	0.0	0.389	8	1723	11	12	4	3	17.33	17	89	1723	0	50	168	0.667	6.0	3	3	22	2	1	9	9	4	6	2	57	32	barrier:57	antler_s306_A	A	OPP	Core destroyed	257
antler	14	18	64	229	8	2	3	24	28	2	2	5	5	6	6	6	4.934	5.94	4.934	3	212	90	4	3	1	1.0	1	117	212	0	24	376	5.0	0.167	8	2	119	2	5	9	9	4	6	3	50	67	barrier:50	antler_s306_B	B	OPP	Core destroyed	229
antler	14	18	64	350	8	2	3	31	-1	2	2	3	2	1	3	3	1.366	1.0	1.366	6	1893	10	10	4	1	1.0	1	106	1893	0	301	128	2.317	4.65	3	2	103	2	2	9	9	4	6	2	64	42	barrier:64	antler_s307_A	A	US	Core destroyed	350
antler	14	18	64	66	8	2	3	24	28	2	2	5	-1	-1	5	5	3.742	4.4	3.742	0	0	-1	0	0	0	-1	-1	4	0	0	9	216	-1	-1	5	0	-1	2	5	9	9	4	6	3	0	4		antler_s307_B	B	OPP	Core destroyed	66
antler	14	18	64	125	8	2	3	31	-1	2	2	3	3	-1	3	3	2.472	2.4	2.472	6	546	11	7	1	1	1.0	1	161	546	0	6	139	2.917	4.833	3	1	93	2	2	9	9	4	6	2	108	53	barrier:108	antler_s308_A	A	OPP	Core destroyed	125
antler	14	18	64	117	8	2	3	38	-1	2	2	3	3	-1	3	3	2.427	2.52	2.427	2	125	13	3	1	1	1.0	1	49	125	0	48	450	2.883	1.067	4	2	93	2	2	8	8	4	6	2	25	24	barrier:25	antler_s308_B	B	OPP	Core destroyed	117
antler	14	18	64	125	8	2	3	31	-1	2	2	3	3	-1	3	3	2.472	2.4	2.472	6	546	11	7	1	1	1.0	1	161	546	0	5	140	2.917	4.833	3	1	93	2	2	9	9	4	6	2	108	53	barrier:108	antler_s309_A	A	OPP	Core destroyed	125
antler	14	18	64	255	8	2	3	49	-1	2	2	2	3	3	4	4	2.365	0.54	2.365	7	747	17	15	8	2	10.5	20	102	537	210	55	513	2.85	0.133	4	4	175	2	2	9	9	4	6	3	48	54	barrier:36,conveyor:12	antler_s309_B	B	US	Core destroyed	255
antler	14	18	64	183	8	2	3	63	-1	2	2	2	3	3	3	3	2.579	3.0	2.579	5	698	11	5	1	1	1.0	1	57	698	0	15	279	2.617	4.367	4	1	22	2	1	9	9	4	6	2	39	18	barrier:39	antler_s310_A	A	OPP	Core destroyed	183
antler	14	18	64	320	8	2	3	72	-1	2	2	1	3	3	4	4	2.094	1.0	2.094	7	1364	13	8	1	1	1.0	1	92	1044	320	9	476	2.133	2.8	5	4	137	2	1	9	9	4	6	2	52	40	barrier:31,conveyor:21	antler_s310_B	B	US	Core destroyed	320
antler	14	18	64	496	8	2	3	36	-1	2	2	3	2	1	3	3	1.702	3.0	1.702	7	2882	11	24	20	3	1.0	1	128	2882	0	23	219	1.9	5.517	5	2	80	2	2	9	9	4	6	3	108	20	barrier:108	antler_s311_A	A	US	Core destroyed	496
antler	14	18	64	527	8	2	3	426	-1	2	2	2	2	0	4	4	1.376	4.0	1.376	7	2310	17	26	22	3	2.0	1	260	2194	116	114	937	2.0	1.883	6	2	117	2	2	9	9	4	6	2	232	28	barrier:212,conveyor:20	antler_s311_B	B	OPP	Core destroyed	527
