tag	map	seed	seat	rounds	won	spawn_n	spawn1_rnd	spawn4_rnd	spawn_fwd4	spawn_fwd_pos4	spawn_n30	harv1_rnd	harv1_dour	harv1_dtheir	harv_n30	harv_n60	harv_n	opp_harv1_rnd	opp_harv_n30	opp_harv_n60	conv1_rnd	conv_n30	conv_n60	opp_conv_n30	turret_n	opp_turret_n	ti_bank30	ti_coll30	opp_coll30	ti_bank60	ti_coll60	opp_coll60	ti_bank100	ti_coll100	opp_coll100	ti_bank200	ti_coll200	opp_coll200	ti_coll_end	opp_coll_end	harv_live30	harv_wired30	conv_good30	enemy_ourring30	conv_dmin30	harv_dmin30	conv_home30	harv_live60	harv_wired60	conv_good60	enemy_ourring60	conv_dmin60	harv_dmin60	conv_home60	harv_live100	harv_wired100	conv_good100	enemy_ourring100	conv_dmin100	harv_dmin100	conv_home100	harv_live150	harv_wired150	conv_good150	enemy_ourring150	conv_dmin150	harv_dmin150	conv_home150	head2_rnd	head1_rnd	head_dmin_ever	headadj_free_rnds	headadj_enemy_rnds	headadj_own_rnds	headadj_free_share	replan_rnds	replan_share	replan_dist	ringfree_rounds_after_head2	rounds_after_head2	ringfree_share_after_head2	homering_n	eseal30	ebar30	oseal30	free30	eseal60	ebar60	oseal60	free60	eseal100	ebar100	oseal100	free100	eseal150	ebar150	oseal150	free150	eseal_first	ebar_first	eseal_max	oseal_max	eseal_mean	bots_ours	bots_theirs	moves	rev_rate	choke_step_rate	dep_rnd	arr36_rnd	arr16_rnd	n_reach36	n_reach16	reach36_share	stall_bots	bfs_cc	route_steps	route_detour	arr16_hops	arr16_walks	throws_ours	throws_opp	throw1_rnd	throws_ours30	throw_fwd	throw_back	throw_gain	turret_dmin	turret1_rnd	turret_n30	turret_n_theirhalf	fwdbuild_n	fwdbuild1_rnd	fwdbuild_n100	fc_rnd	fc_victim_ours	fc_weapon	fc_basin	fc_dour	fc_dtheir	fc_pres0	fc_pres20	atring_first8	atring_first16	atring_rnds8	atring_share8	atring_share16	atring_bodyrnds	atring_peak	establish_first	establish_rnds	establish_share	establish_peak	raider_n	raider_life_med	kill_sentinel	kill_gunner	kill_builder_attack	kill_none	apron_death_med	apron_death_first	ourbot_deaths	oppbot_deaths	death_home	death_mid	death_apron	death_tiles	death_top1	death_conc	death_med_rnd	death_choke	our_recv_sent	our_recv_gun	our_recv_peck	opp_recv_sent	opp_recv_gun	opp_recv_peck	ourcore_firsthit	ourcore_min	ourcore_r150	oppcore_firsthit	oppcore_min	oppcore_r150	tape_ours_won	tape_turn	cond
antler_s300_A	antler	300	A	377	0	9	0	3	0.0	2	5	2	2	10	4	5	5	4	2	2	3	11	20	6	5	4	61	110	90	120	330	190	47	590	280	16	750	280	750	280	4	2	4	3	1	2	1	5	3	12	4	1	2	2	5	2	5	7	1	2	2	5	0	2	7	1	2	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	5	4	4	0	2	6	6	0	0	6	6	0	0	8	8	6	0	5.252	9	5	953	0.4071	0.0252	5	0	5	9	8	1.0	0	7	1	0.143	1	1	48	12	5	4	47	0	108	3	9	2	5	20	9	17	6	1	sentinel	ours	1	9	2	4	8	5	362	0.96	0.987	737	4	10	367	0.973	11	9	236	0	1	0	0	248	248	1	0	0	0	1	1	1	1.0	248	1	39	11	156	65	0	48	40	0	464	61	286	406	0	377	Core destroyed
antler_s300_B	antler	300	B	81	0	5	0	3	0.0	2	5	2	2	10	2	3	4	4	2	2	3	6	9	4	2	4	24	90	120	22	240	270	80	340	370	80	340	370	340	370	2	2	6	2	1	2	2	3	2	6	1	1	2	2	0	0	0	0	-1	-1	0	0	0	0	0	-1	-1	0	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	1	1	0	5	-1	-1	-1	-1	-1	-1	-1	-1	8	8	3	0	1.21	5	5	270	0.1296	0.0778	5	0	5	3	3	0.6	0	7	1	0.143	1	1	30	14	5	6	7	22	-98	3	9	2	1	10	9	10	11	0	builder_attack	theirs	9	1	2	3	8	5	73	0.901	0.938	136	2	9	72	0.889	6	3	-1	0	0	0	0	-1	-1	0	2	0	0	0	0	0	-1	-1	0	28	0	83	13	0	20	36	0	0	-1	500	500	0	81	Core destroyed
antler_s301_A	antler	301	A	282	0	5	0	3	0.0	2	5	2	2	10	4	5	5	4	2	2	3	11	19	6	2	4	115	110	100	163	240	250	15	310	290	15	310	550	310	750	4	2	4	2	1	2	1	5	1	8	5	1	2	1	5	0	1	7	1	2	1	5	0	1	7	1	2	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	5	5	5	0	1	6	6	0	0	6	6	0	0	8	8	6	0	5.043	5	5	318	0.5723	0.0063	5	0	5	4	4	0.8	0	7	1	0.143	1	1	11	52	5	4	8	3	12	3	9	1	2	14	9	13	6	1	sentinel	ours	1	9	2	4	8	5	274	0.972	0.982	538	3	9	273	0.968	9	4	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	85	3	118	41	0	36	38	0	368	70	286	500	0	282	Core destroyed
antler_s301_B	antler	301	B	263	0	5	0	3	0.0	2	5	2	2	10	2	4	4	4	2	2	3	4	7	5	7	8	24	100	120	20	240	270	70	440	470	58	1170	1160	1490	1780	2	2	4	2	1	2	2	4	2	4	2	1	2	2	4	2	4	2	1	2	2	4	3	8	2	1	2	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	2	2	0	4	2	2	0	4	2	2	0	2	8	8	3	0	1.966	5	12	774	0.3204	0.0194	5	0	5	5	5	1.0	0	7	1	0.143	1	1	41	24	5	2	23	15	-21	3	9	2	4	18	9	12	11	0	builder_attack	theirs	9	1	2	3	8	5	223	0.848	0.981	368	2	9	254	0.966	4	5	167	0	1	0	0	187	187	1	6	1	0	0	1	1	1.0	187	0	60	29	116	62	115	120	36	0	370	168	372	500	0	263	Core destroyed
antler_s302_A	antler	302	A	222	1	6	0	3	0.0	2	5	2	2	10	3	3	4	4	2	2	3	9	9	6	7	5	29	150	100	81	380	270	152	700	460	142	1700	960	1900	1050	3	3	8	1	1	2	2	3	3	8	1	1	2	2	4	4	12	1	1	2	3	4	4	12	1	1	2	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	1	4	1	1	1	2	1	1	1	2	1	1	1	2	8	8	1	1	0.964	6	5	558	0.3853	0.0036	5	0	5	5	5	0.833	2	7	1	0.143	1	1	3	17	5	3	3	0	7	3	9	3	3	33	9	18	6	1	sentinel	ours	1	9	2	4	8	5	213	0.959	0.977	494	4	9	213	0.959	8	5	167	1	0	0	0	186	186	1	2	0	0	1	1	1	1.0	186	0	47	92	145	74	6	128	36	434	494	119	0	456	1	222	Core destroyed
antler_s302_B	antler	302	B	101	0	5	0	3	0.0	2	5	2	2	10	3	3	5	4	2	2	3	10	10	4	3	4	7	120	120	67	280	270	64	460	460	64	460	460	460	460	3	2	4	2	1	2	2	3	2	4	2	1	2	2	5	2	4	2	1	2	2	0	0	0	0	-1	-1	0	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	2	2	0	4	2	2	0	4	-1	-1	-1	-1	8	8	3	0	1.772	5	5	303	0.1056	0.0	5	0	5	5	5	1.0	0	7	1	0.143	1	1	29	3	5	5	27	0	60	3	9	2	2	20	9	20	11	0	builder_attack	theirs	9	1	2	5	8	5	92	0.911	0.95	193	4	9	92	0.911	4	5	-1	0	0	0	0	-1	-1	0	3	0	0	0	0	0	-1	-1	0	28	49	69	13	6	14	36	0	0	-1	500	500	0	101	Core destroyed
antler_s303_A	antler	303	A	343	1	9	0	3	0.0	2	5	2	2	10	5	5	6	4	2	2	3	10	20	6	4	4	84	110	100	118	260	270	180	610	380	485	950	630	1300	980	5	2	4	2	1	2	1	5	2	4	5	1	2	1	5	3	12	5	1	2	2	6	1	9	6	1	2	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	6	4	4	0	2	5	5	0	0	5	5	0	0	8	8	5	0	4.414	9	5	469	0.258	0.0043	5	0	5	9	7	1.0	0	7	1	0.143	1	1	45	16	5	5	13	31	-93	3	9	1	3	42	9	21	6	1	sentinel	ours	1	9	2	4	8	5	335	0.977	0.985	1162	4	9	334	0.974	9	9	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	82	117	159	48	0	36	48	356	460	294	0	500	1	343	Core destroyed
antler_s303_B	antler	303	B	418	1	9	0	3	0.0	2	5	2	2	10	3	3	5	4	2	3	3	12	12	7	23	7	76	140	120	46	380	320	121	600	620	62	1090	1300	2910	1300	3	3	12	2	1	2	3	3	3	12	2	1	2	3	3	2	4	2	1	2	2	4	2	4	2	1	2	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	3	2	2	0	1	2	2	0	4	2	2	0	2	8	8	2	0	1.586	9	8	797	0.5082	0.0063	5	0	5	9	8	1.0	0	7	1	0.143	1	1	12	20	5	4	11	1	19	2	9	3	16	33	9	5	11	0	builder_attack	theirs	9	1	2	5	10	5	408	0.976	0.988	818	4	9	405	0.969	11	9	71	0	3	0	0	262	98	3	7	1	0	2	3	1	0.333	262	0	101	72	64	49	31	149	36	304	364	315	0	500	1	418	Core destroyed
antler_s304_A	antler	304	A	463	0	5	0	3	0.0	2	5	2	2	10	4	5	5	4	2	2	3	11	20	6	3	4	76	110	100	130	310	170	8	450	270	30	450	520	450	1180	4	2	4	2	1	2	1	5	3	15	5	1	2	2	5	0	1	8	1	2	1	5	0	1	8	1	2	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	5	5	5	0	1	7	7	0	0	7	7	0	0	8	8	7	0	6.272	5	5	1386	0.767	0.0094	5	0	5	5	5	1.0	0	7	1	0.143	1	1	29	23	5	4	27	2	38	3	9	2	3	81	9	21	6	1	sentinel	ours	1	9	2	4	8	5	451	0.974	0.989	479	3	9	454	0.981	9	5	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	31	330	138	67	0	10	300	0	500	61	132	190	0	463	Core destroyed
antler_s304_B	antler	304	B	253	1	5	0	3	0.0	2	5	2	2	10	3	3	5	4	2	3	3	12	12	7	9	7	44	140	120	66	380	320	72	640	620	99	1130	1270	1400	1520	3	3	12	2	1	2	3	3	3	12	1	1	2	3	5	2	5	6	1	2	3	5	2	5	3	1	2	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	3	1	1	0	4	5	5	0	0	3	3	0	2	8	8	5	0	2.696	5	8	373	0.1501	0.0054	5	0	5	5	5	1.0	0	7	1	0.143	1	1	23	25	5	4	20	1	50	3	9	3	5	11	9	5	11	0	builder_attack	theirs	9	1	2	4	10	5	202	0.798	0.83	334	4	9	244	0.964	4	5	106	2	1	0	0	136	126	3	4	1	0	2	3	1	0.333	136	0	99	16	76	70	25	76	36	128	238	134	0	454	1	253	Core destroyed
