tag	map	seed	seat	ours	turn	ourcore_sent	ourcore_gun	ourcore_peck	ourcore_heal	ourcore_dmg	ourcore_hp_calc	oppcore_sent	oppcore_gun	oppcore_peck	oppcore_heal	oppcore_dmg	oppcore_hp_calc	fwd_sent_n	fwd_sent_first	fwd_sent_life	fwd_sent_alive_r	fwd_gunn_n	fwd_gunn_first	fwd_gunn_life	fwd_gunn_alive_r	fwd_laun_n	fwd_laun_first	fwd_laun_life	fwd_laun_alive_r	home_sent_n	home_sent_first	home_sent_life	home_sent_alive_r	home_gunn_n	home_gunn_first	home_gunn_life	home_gunn_alive_r	home_laun_n	home_laun_first	home_laun_life	home_laun_alive_r	fwd_sent_alive	fwd_sent_dry	opp_sent_n	opp_gun_n	opp_fwd_turret	unknown_deltas	ourcore_overkill
atoll_s1_A	atoll	1	A	OPP	1000	126	0	0	126	126	500	0	0	0	0	0	500	0			0	0			0	3	7	332	995	7	23	792	5547	1	26	974	974	9	1	83	751	0	0	12	4	2		0
atoll_s1_B	atoll	1	B	US	1000	432	0	0	144	432	212	1782	0	0	1574	1782	292	3	81	66	199	1	266	4	4	9	5	65	588	1	27	973	973	1	42	958	958	23	1	1	23	198	0	24	3	12		0
atoll_s2_A	atoll	2	A	US	566	54	0	0	54	54	500	558	0	0	56	558	-2	2	164	31	62	0			0	3	18	183	550	5	20	360	1798	3	37	358	1073	11	1	24	266	62	0	8	3	1		0
atoll_s2_B	atoll	2	B	US	161	54	0	0	54	54	500	504	0	0	0	504	-4	1	84	77	77	1	29	102	102	1	46	115	115	1	14	147	147	0			0	2	1	1	2	77	45	4	0	0		0
atoll_s3_A	atoll	3	A	US	245	0	0	0	0	0	500	504	0	0	0	504	-4	1	172	73	73	1	28	217	217	1	7	238	238	1	19	226	226	1	42	203	203	2	1	1	2	73	65	2	1	1		0
atoll_s3_B	atoll	3	B	US	143	504	0	0	494	504	490	504	0	0	0	504	-4	1	86	57	57	0			0	1	66	77	77	2	14	119	238	0			0	2	1	1	2	57	14	3	0	1		0
drakkarfjord_s1_A	drakkarfjord	1	A	US	208	0	0	0	0	0	500	504	0	0	0	504	-4	1	152	56	56	0			0	3	9	93	278	3	43	151	454	0			0	4	1	1	4	56	0	1	0	0		0
drakkarfjord_s1_B	drakkarfjord	1	B	US	1000	0	0	0	0	0	500	3096	0	0	3096	3096	500	1	81	919	919	0			0	1	9	1	1	0			0	2	43	951	1902	4	1	1	4	919	916	1	0	0		0
drakkarfjord_s2_A	drakkarfjord	2	A	US	309	0	0	0	0	0	500	540	0	0	36	540	-4	2	108	37	74	0			0	3	9	27	82	1	68	241	241	3	71	228	684	7	1	1	7	74	23	3	1	0		0
drakkarfjord_s2_B	drakkarfjord	2	B	US	1000	0	0	0	0	0	500	0	0	0	0	0	500	0			0	0			0	2	9	3	6	2	46	909	1818	3	90	863	2590	37	1	345	12753	0	0	3	4	0		0
