r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	339	0	0	354	0	0	0	0	1	3	0	0	0	0
4	500	500	339	0	0	300	0	0	0	0	0	3	0	0	0	0
5	500	500	307	0	0	300	0	0	0	0	1	3	0	0	0	0
6	500	500	307	0	0	300	0	0	0	0	0	3	0	0	0	0
7	500	500	285	0	0	310	0	0	0	0	1	3	0	0	1	0
8	500	500	285	0	0	310	0	0	0	0	0	3	1	0	0	0
9	500	500	281	0	0	294	16	0	0	0	0	3	1	0	0	0
10	500	500	228	0	0	226	24	0	0	0	0	4	1	0	0	0
11	500	500	184	0	0	236	24	0	0	0	0	5	0	0	0	0
12	500	500	124	0	0	192	24	0	0	0	0	6	1	0	0	0
13	500	500	80	0	0	186	24	0	0	0	0	6	1	0	0	0
14	500	500	68	0	0	186	24	0	0	0	0	6	1	0	0	0
15	500	500	78	0	0	190	24	0	0	0	0	6	0	0	0	0
16	500	500	72	0	0	184	24	0	0	0	0	6	1	0	0	0
17	500	500	60	0	0	184	24	0	0	0	0	6	1	0	0	0
18	500	500	60	0	0	184	24	0	0	0	0	6	0	0	0	0
19	500	500	64	0	0	149	24	0	0	0	0	6	1	0	0	0
20	500	500	64	0	0	90	24	0	0	0	0	6	1	0	0	0
21	500	500	51	0	0	11	24	0	0	0	0	6	1	0	0	0
22	500	500	51	0	0	4	14	0	0	0	0	6	1	0	0	0
23	500	500	54	0	0	14	14	0	0	0	0	6	1	0	0	0
24	500	500	54	0	0	0	4	0	0	0	0	6	1	0	0	0
25	500	500	47	0	0	0	4	0	0	0	0	6	1	0	0	0
26	500	500	47	0	0	0	4	0	0	0	0	6	1	0	0	0
27	500	500	34	16	0	10	4	0	0	0	0	6	1	0	0	1
28	500	500	26	24	0	3	4	0	0	0	0	6	0	0	0	1
