r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	339	0	0	354	0	0	0	0	1	3	0	0	1	0
4	500	500	339	0	0	300	0	0	0	0	0	3	1	0	0	0
5	500	500	335	0	0	284	16	0	0	0	0	3	1	0	0	0
6	500	500	246	0	0	175	24	0	0	0	0	4	1	0	0	0
7	500	500	194	0	0	128	24	0	0	0	0	5	0	0	0	0
8	500	500	126	0	0	122	14	0	0	0	0	6	1	0	0	0
9	500	500	74	0	0	60	24	0	0	0	0	6	1	0	0	0
10	500	500	44	16	0	56	24	10	0	0	0	6	1	0	0	0
11	500	500	64	16	10	18	24	10	0	0	0	6	0	0	0	0
12	500	500	35	24	10	4	20	10	0	0	0	6	0	0	0	0
13	500	500	35	24	10	4	16	10	0	0	0	6	0	0	0	0
14	500	500	35	24	10	14	12	20	0	0	0	6	0	0	0	0
15	500	500	65	24	30	17	8	20	0	0	0	6	1	0	0	0
16	500	500	58	24	30	12	9	20	0	0	0	6	1	0	0	1
17	500	500	58	24	30	22	5	30	0	0	0	6	1	0	0	1
18	500	500	51	24	30	5	11	30	0	0	0	6	1	0	0	1
19	500	500	81	24	50	15	7	30	0	0	0	6	0	0	0	0
20	500	500	34	24	50	25	7	40	0	1	0	6	1	0	0	1
21	500	500	22	24	50	15	20	50	0	1	0	6	1	0	0	1
22	500	500	22	20	50	25	20	60	0	1	0	6	1	0	0	1
23	500	500	38	20	60	31	24	60	0	1	0	6	1	0	0	1
24	500	500	32	20	60	31	24	60	0	1	0	6	1	0	0	2
25	500	500	28	20	60	34	24	70	0	1	0	6	1	0	0	1
26	500	500	24	24	60	34	24	70	0	1	0	6	1	0	0	0
27	500	500	44	24	70	44	24	70	0	1	0	6	1	0	0	1
28	500	500	42	24	70	47	24	80	0	1	0	6	1	0	0	1
