tag	id	kind	pos	dir	built	died	life	dsq_opp	dsq_own	shots	core_shots	first_core	funded_r
atoll_s1_A	7	launcher	(4, 12)		1	2	1	200.5	8.5	0	0		0
atoll_s1_A	13	launcher	(8, 8)		3	4	1	72.5	72.5	0	0		0
atoll_s1_A	25	launcher	(12, 4)		7		993	8.5	200.5	0	0		978
atoll_s1_A	64	sentinel	(4, 17)	N	23		977	320.5	8.5	15	0		962
atoll_s1_A	73	gunner	(5, 14)	NW	26		974	222.5	6.5	18	0		959
atoll_s1_A	126	sentinel	(2, 11)	SW	51		949	228.5	12.5	4	0		942
atoll_s1_A	141	sentinel	(1, 11)	S	60		940	254.5	14.5	3	0		933
atoll_s1_A	189	sentinel	(0, 10)	NE	84		916	266.5	26.5	4	0		915
atoll_s1_A	230	sentinel	(4, 9)	SW	104	258	154	152.5	32.5	3	0		153
atoll_s1_A	301	sentinel	(5, 10)	S	139		861	146.5	26.5	3	0		860
atoll_s1_A	340	launcher	(5, 15)		159	160	1	246.5	6.5	0	0		1
atoll_s1_A	357	launcher	(12, 7)		168	169	1	26.5	146.5	0	0		1
atoll_s1_A	424	launcher	(4, 12)		202	300	98	200.5	8.5	0	0		97
atoll_s1_A	430	launcher	(5, 15)		205	206	1	246.5	6.5	0	0		1
atoll_s1_A	449	launcher	(12, 7)		214	215	1	26.5	146.5	0	0		1
atoll_s1_A	517	sentinel	(6, 14)	SW	250		750	204.5	12.5	0	0		749
atoll_s1_A	624	launcher	(8, 10)		301	302	1	98.5	50.5	0	0		1
atoll_s1_A	674	launcher	(1, 13)		327	328	1	292.5	4.5	0	0		1
atoll_s1_A	688	launcher	(6, 5)		334	335	1	78.5	102.5	0	0		1
atoll_s1_A	724	launcher	(4, 12)		354		646	200.5	8.5	0	0		646
atoll_s1_B	7	launcher	(13, 5)		1	2	1	200.5	8.5	0	0		0
atoll_s1_B	13	launcher	(9, 9)		3	4	1	72.5	72.5	0	0		0
atoll_s1_B	21	launcher	(5, 13)		5	19	14	8.5	200.5	0	0		10
atoll_s1_B	50	launcher	(5, 13)		20	44	24	8.5	200.5	0	0		24
atoll_s1_B	62	sentinel	(11, 5)	E	27		973	162.5	18.5	50	0		968
atoll_s1_B	93	gunner	(12, 3)	SE	42		958	222.5	6.5	728	0		953
atoll_s1_B	145	sentinel	(6, 15)	W	81	90	9	12.5	228.5	5	5	82	9
atoll_s1_B	173	launcher	(12, 2)		109	110	1	246.5	6.5	0	0		1
atoll_s1_B	175	launcher	(7, 5)		111	112	1	110.5	62.5	0	0		1
atoll_s1_B	204	launcher	(16, 5)		131	132	1	272.5	8.5	0	0		1
atoll_s1_B	212	launcher	(10, 12)		138	139	1	62.5	110.5	0	0		1
atoll_s1_B	236	launcher	(12, 2)		157	158	1	246.5	6.5	0	0		1
atoll_s1_B	241	launcher	(5, 6)		162	163	1	78.5	102.5	0	0		1
atoll_s1_B	336	launcher	(16, 4)		245	246	1	292.5	4.5	0	0		1
atoll_s1_B	344	launcher	(10, 9)		250	251	1	86.5	62.5	0	0		1
atoll_s1_B	363	gunner	(5, 10)	N	266	270	4	26.5	146.5	3	0		4
atoll_s1_B	490	launcher	(16, 5)		375	376	1	272.5	8.5	0	0		1
atoll_s1_B	494	launcher	(11, 8)		377	378	1	114.5	42.5	0	0		1
atoll_s1_B	496	launcher	(7, 12)		379	380	1	26.5	146.5	0	0		1
atoll_s1_B	583	launcher	(12, 2)		451	452	1	246.5	6.5	0	0		1
atoll_s1_B	588	launcher	(7, 5)		453	454	1	110.5	62.5	0	0		1
atoll_s1_B	593	launcher	(2, 9)		456	457	1	30.5	198.5	0	0		1
atoll_s1_B	596	launcher	(0, 14)		459		541	6.5	342.5	0	0		541
atoll_s1_B	667	launcher	(12, 2)		517	518	1	246.5	6.5	0	0		1
atoll_s1_B	669	launcher	(7, 5)		519	520	1	110.5	62.5	0	0		1
atoll_s1_B	673	launcher	(2, 9)		522	523	1	30.5	198.5	0	0		1
atoll_s1_B	908	launcher	(16, 4)		725	726	1	292.5	4.5	0	0		1
atoll_s1_B	913	launcher	(11, 8)		728	729	1	114.5	42.5	0	0		1
atoll_s1_B	915	launcher	(7, 12)		730	731	1	26.5	146.5	0	0		1
