tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
g3_nodoor_noch_archipelago_g0	g3_nodoor_noch	archipelago	0	8200	A	US	nodoor_noch	Core destroyed	135	0	890	700
g3_nodoor_noch_archipelago_g1	g3_nodoor_noch	archipelago	1	8201	B	US	nodoor_noch	Core destroyed	380	0	2760	2130
g3_nodoor_noch_archipelago_g2	g3_nodoor_noch	archipelago	2	8202	A	OPP	_v468kladturbo	Core destroyed	617	0	4540	4580
g3_nodoor_noch_archipelago_g3	g3_nodoor_noch	archipelago	3	8203	B	US	nodoor_noch	Core destroyed	233	0	1660	1140
g3_nodoor_noch_archipelago_g4	g3_nodoor_noch	archipelago	4	8204	A	US	nodoor_noch	Core destroyed	160	0	1440	1110
g3_nodoor_noch_archipelago_g5	g3_nodoor_noch	archipelago	5	8205	B	US	nodoor_noch	Core destroyed	120	0	1030	700
g3_nodoor_noch_archipelago_g6	g3_nodoor_noch	archipelago	6	8206	A	US	nodoor_noch	Core destroyed	300	0	970	1030
g3_nodoor_noch_archipelago_g7	g3_nodoor_noch	archipelago	7	8207	B	US	nodoor_noch	Core destroyed	97	0	820	480
g3_nodoor_noch_archipelago_g8	g3_nodoor_noch	archipelago	8	8208	A	US	nodoor_noch	Core destroyed	205	0	1900	1500
g3_nodoor_noch_archipelago_g9	g3_nodoor_noch	archipelago	9	8209	B	US	nodoor_noch	Core destroyed	172	0	2120	630
g3_nodoor_noch_archipelago_g10	g3_nodoor_noch	archipelago	10	8210	A	US	nodoor_noch	Core destroyed	663	0	4960	4940
g3_nodoor_noch_archipelago_g11	g3_nodoor_noch	archipelago	11	8211	B	US	nodoor_noch	Core destroyed	219	0	2630	950
g3_nodoor_noch_archipelago_g12	g3_nodoor_noch	archipelago	12	8212	A	OPP	_v468kladturbo	Core destroyed	184	0	2470	1700
g3_nodoor_noch_archipelago_g13	g3_nodoor_noch	archipelago	13	8213	B	US	nodoor_noch	Core destroyed	269	0	1500	1350
g3_nodoor_noch_archipelago_g14	g3_nodoor_noch	archipelago	14	8214	A	US	nodoor_noch	Core destroyed	170	0	1190	820
g3_nodoor_noch_archipelago_g15	g3_nodoor_noch	archipelago	15	8215	B	US	nodoor_noch	Core destroyed	124	0	1070	420
g3_nodoor_noch_archipelago_g16	g3_nodoor_noch	archipelago	16	8216	A	US	nodoor_noch	Core destroyed	204	0	1620	1090
g3_nodoor_noch_archipelago_g17	g3_nodoor_noch	archipelago	17	8217	B	OPP	_v468kladturbo	Core destroyed	198	0	2370	1410
g3_nodoor_noch_archipelago_g18	g3_nodoor_noch	archipelago	18	8218	A	US	nodoor_noch	Core destroyed	142	0	740	360
g3_nodoor_noch_archipelago_g19	g3_nodoor_noch	archipelago	19	8219	B	OPP	_v468kladturbo	Core destroyed	238	0	780	2030
g3_nodoor_noch_archipelago_g20	g3_nodoor_noch	archipelago	20	8220	A	OPP	_v468kladturbo	Core destroyed	108	0	480	710
g3_nodoor_noch_archipelago_g21	g3_nodoor_noch	archipelago	21	8221	B	US	nodoor_noch	Core destroyed	443	0	1250	1360
g3_nodoor_noch_archipelago_g22	g3_nodoor_noch	archipelago	22	8222	A	US	nodoor_noch	Core destroyed	265	0	1900	770
g3_nodoor_noch_archipelago_g23	g3_nodoor_noch	archipelago	23	8223	B	US	nodoor_noch	Core destroyed	380	0	2760	2130
g3_nodoor_noch_archipelago_g24	g3_nodoor_noch	archipelago	24	8224	A	OPP	_v468kladturbo	Core destroyed	192	0	1320	1380
g3_nodoor_noch_archipelago_g25	g3_nodoor_noch	archipelago	25	8225	B	OPP	_v468kladturbo	Core destroyed	171	0	1190	1550
g3_nodoor_noch_archipelago_g26	g3_nodoor_noch	archipelago	26	8226	A	US	nodoor_noch	Core destroyed	166	0	1690	800
g3_nodoor_noch_archipelago_g27	g3_nodoor_noch	archipelago	27	8227	B	US	nodoor_noch	Core destroyed	436	0	4970	2170
g3_nodoor_noch_archipelago_g28	g3_nodoor_noch	archipelago	28	8228	A	US	nodoor_noch	Titanium collected (tiebreak)	1000	0	14540	9600
g3_nodoor_noch_archipelago_g29	g3_nodoor_noch	archipelago	29	8229	B	US	nodoor_noch	Core destroyed	235	0	1850	570
g3_nodoor_noch_archipelago_g30	g3_nodoor_noch	archipelago	30	8230	A	US	nodoor_noch	Core destroyed	91	0	600	750
g3_nodoor_noch_archipelago_g31	g3_nodoor_noch	archipelago	31	8231	B	US	nodoor_noch	Core destroyed	148	0	1320	830
g3_nodoor_noch_archipelago_g32	g3_nodoor_noch	archipelago	32	8232	A	US	nodoor_noch	Core destroyed	106	0	880	590
g3_nodoor_noch_archipelago_g33	g3_nodoor_noch	archipelago	33	8233	B	US	nodoor_noch	Core destroyed	122	0	1480	610
g3_nodoor_noch_archipelago_g34	g3_nodoor_noch	archipelago	34	8234	A	OPP	_v468kladturbo	Core destroyed	83	0	360	580
g3_nodoor_noch_archipelago_g35	g3_nodoor_noch	archipelago	35	8235	B	US	nodoor_noch	Core destroyed	724	0	4190	3660
