tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
m_sui_glacierkeep_g0	m_sui	glacierkeep	0	7400	A	US	sui	Titanium collected (tiebreak)	1000	0	2030	0
m_sui_glacierkeep_g1	m_sui	glacierkeep	1	7401	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	10	260
m_sui_glacierkeep_g2	m_sui	glacierkeep	2	7402	A	US	sui	Titanium collected (tiebreak)	1000	0	3330	0
m_sui_nordkap_g0	m_sui	nordkap	0	7400	A	US	sui	Titanium collected (tiebreak)	1000	0	17310	4490
m_sui_nordkap_g1	m_sui	nordkap	1	7401	B	US	sui	Titanium collected (tiebreak)	1000	0	10470	130
m_sui_nordkap_g2	m_sui	nordkap	2	7402	A	US	sui	Titanium collected (tiebreak)	1000	0	14890	4120
m_sui_atoll_g0	m_sui	atoll	0	7400	A	US	sui	Titanium collected (tiebreak)	1000	0	5910	3890
m_sui_atoll_g1	m_sui	atoll	1	7401	B	US	sui	Titanium collected (tiebreak)	1000	0	4960	3030
m_sui_atoll_g2	m_sui	atoll	2	7402	A	US	sui	Titanium collected (tiebreak)	1000	0	3910	3090
m_sui_midgard_g0	m_sui	midgard	0	7400	A	OPP	_v488beltbreak2	Core destroyed	681	0	540	680
m_sui_midgard_g1	m_sui	midgard	1	7401	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	440	1380
m_sui_midgard_g2	m_sui	midgard	2	7402	A	OPP	_v488beltbreak2	Core destroyed	199	0	510	1470
m_sui_drakkarfjord_g0	m_sui	drakkarfjord	0	7400	A	US	sui	Titanium collected (tiebreak)	1000	0	8170	370
m_sui_drakkarfjord_g1	m_sui	drakkarfjord	1	7401	B	US	sui	Titanium collected (tiebreak)	1000	0	10360	940
m_sui_drakkarfjord_g2	m_sui	drakkarfjord	2	7402	A	US	sui	Titanium collected (tiebreak)	1000	0	14030	280
