tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
only1A_glacierkeep_g0	only1A	glacierkeep	0	7400	A	US	only1	Titanium collected (tiebreak)	1000	0	180	0
only1A_glacierkeep_g1	only1A	glacierkeep	1	7401	B	US	only1	Core destroyed	241	0	30	0
only1A_glacierkeep_g2	only1A	glacierkeep	2	7402	A	US	only1	Titanium collected (tiebreak)	1000	0	330	0
only1A_glacierkeep_g3	only1A	glacierkeep	3	7403	B	US	only1	Core destroyed	273	0	170	0
only1A_glacierkeep_g4	only1A	glacierkeep	4	7404	A	US	only1	Core destroyed	265	0	170	0
only1A_glacierkeep_g5	only1A	glacierkeep	5	7405	B	OPP	_v488beltbreak2	Core destroyed	489	0	70	20
only1A_nordkap_g0	only1A	nordkap	0	7400	A	US	only1	Core destroyed	468	0	3860	1710
only1A_nordkap_g1	only1A	nordkap	1	7401	B	US	only1	Core destroyed	453	0	5930	4730
only1A_nordkap_g2	only1A	nordkap	2	7402	A	US	only1	Core destroyed	412	0	150	250
only1A_nordkap_g3	only1A	nordkap	3	7403	B	OPP	_v488beltbreak2	Core destroyed	304	0	1770	5030
only1A_nordkap_g4	only1A	nordkap	4	7404	A	OPP	_v488beltbreak2	Core destroyed	372	0	130	960
only1A_nordkap_g5	only1A	nordkap	5	7405	B	OPP	_v488beltbreak2	Core destroyed	206	0	1790	2460
only1A_atoll_g0	only1A	atoll	0	7400	A	OPP	_v488beltbreak2	Core destroyed	224	0	280	1380
only1A_atoll_g1	only1A	atoll	1	7401	B	OPP	_v488beltbreak2	Core destroyed	278	0	430	1360
only1A_atoll_g2	only1A	atoll	2	7402	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	5020	11980
only1A_atoll_g3	only1A	atoll	3	7403	B	US	only1	Core destroyed	271	0	1420	1180
only1A_atoll_g4	only1A	atoll	4	7404	A	US	only1	Core destroyed	1000	0	5010	4480
only1A_atoll_g5	only1A	atoll	5	7405	B	OPP	_v488beltbreak2	Core destroyed	451	0	2980	3580
only1A_midgard_g0	only1A	midgard	0	7400	A	US	only1	Core destroyed	99	0	530	800
only1A_midgard_g1	only1A	midgard	1	7401	B	OPP	_v488beltbreak2	Core destroyed	172	0	520	1540
only1A_midgard_g2	only1A	midgard	2	7402	A	OPP	_v488beltbreak2	Core destroyed	292	0	450	2850
only1A_midgard_g3	only1A	midgard	3	7403	B	OPP	_v488beltbreak2	Core destroyed	120	0	660	1510
only1A_midgard_g4	only1A	midgard	4	7404	A	US	only1	Core destroyed	213	0	890	760
only1A_midgard_g5	only1A	midgard	5	7405	B	OPP	_v488beltbreak2	Core destroyed	178	0	610	1690
only1A_drakkarfjord_g0	only1A	drakkarfjord	0	7400	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	400	2450
only1A_drakkarfjord_g1	only1A	drakkarfjord	1	7401	B	OPP	_v488beltbreak2	Core destroyed	885	0	430	0
only1A_drakkarfjord_g2	only1A	drakkarfjord	2	7402	A	OPP	_v488beltbreak2	Core destroyed	288	0	270	2750
only1A_drakkarfjord_g3	only1A	drakkarfjord	3	7403	B	OPP	_v488beltbreak2	Core destroyed	344	0	430	1610
only1A_drakkarfjord_g4	only1A	drakkarfjord	4	7404	A	OPP	_v488beltbreak2	Core destroyed	151	0	270	1090
only1A_drakkarfjord_g5	only1A	drakkarfjord	5	7405	B	US	only1	Core destroyed	123	0	400	0
