tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
only1B_glacierkeep_g0	only1B	glacierkeep	0	7500	A	US	only1	Core destroyed	357	0	160	0
only1B_glacierkeep_g1	only1B	glacierkeep	1	7501	B	US	only1	Core destroyed	244	0	240	0
only1B_glacierkeep_g2	only1B	glacierkeep	2	7502	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	2440	4360
only1B_glacierkeep_g3	only1B	glacierkeep	3	7503	B	US	only1	Core destroyed	397	0	0	0
only1B_glacierkeep_g4	only1B	glacierkeep	4	7504	A	US	only1	Core destroyed	357	0	160	0
only1B_glacierkeep_g5	only1B	glacierkeep	5	7505	B	US	only1	Titanium collected (tiebreak)	1000	0	180	0
only1B_nordkap_g0	only1B	nordkap	0	7500	A	US	only1	Core destroyed	252	0	950	590
only1B_nordkap_g1	only1B	nordkap	1	7501	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	1410	2560
only1B_nordkap_g2	only1B	nordkap	2	7502	A	OPP	_v488beltbreak2	Core destroyed	737	0	190	260
only1B_nordkap_g3	only1B	nordkap	3	7503	B	OPP	_v488beltbreak2	Core destroyed	275	0	290	2520
only1B_nordkap_g4	only1B	nordkap	4	7504	A	OPP	_v488beltbreak2	Core destroyed	665	0	680	2680
only1B_nordkap_g5	only1B	nordkap	5	7505	B	OPP	_v488beltbreak2	Core destroyed	210	0	220	2080
only1B_atoll_g0	only1B	atoll	0	7500	A	US	only1	Core destroyed	597	0	4070	3160
only1B_atoll_g1	only1B	atoll	1	7501	B	OPP	_v488beltbreak2	Core destroyed	219	0	280	1340
only1B_atoll_g2	only1B	atoll	2	7502	A	OPP	_v488beltbreak2	Core destroyed	168	0	590	700
only1B_atoll_g3	only1B	atoll	3	7503	B	OPP	_v488beltbreak2	Core destroyed	645	0	2550	2630
only1B_atoll_g4	only1B	atoll	4	7504	A	US	only1	Core destroyed	192	0	930	420
only1B_atoll_g5	only1B	atoll	5	7505	B	OPP	_v488beltbreak2	Core destroyed	248	0	1040	800
only1B_midgard_g0	only1B	midgard	0	7500	A	OPP	_v488beltbreak2	Core destroyed	260	0	650	2310
only1B_midgard_g1	only1B	midgard	1	7501	B	OPP	_v488beltbreak2	Core destroyed	124	0	600	1280
only1B_midgard_g2	only1B	midgard	2	7502	A	OPP	_v488beltbreak2	Core destroyed	236	0	510	2110
only1B_midgard_g3	only1B	midgard	3	7503	B	US	only1	Core destroyed	113	0	700	990
only1B_midgard_g4	only1B	midgard	4	7504	A	OPP	_v488beltbreak2	Core destroyed	520	0	2700	4220
only1B_midgard_g5	only1B	midgard	5	7505	B	OPP	_v488beltbreak2	Core destroyed	136	0	530	1600
only1B_drakkarfjord_g0	only1B	drakkarfjord	0	7500	A	OPP	_v488beltbreak2	Core destroyed	211	0	290	1550
only1B_drakkarfjord_g1	only1B	drakkarfjord	1	7501	B	US	only1	Core destroyed	114	0	340	0
only1B_drakkarfjord_g2	only1B	drakkarfjord	2	7502	A	OPP	_v488beltbreak2	Core destroyed	700	0	4500	6810
only1B_drakkarfjord_g3	only1B	drakkarfjord	3	7503	B	OPP	_v488beltbreak2	Core destroyed	356	0	150	4040
only1B_drakkarfjord_g4	only1B	drakkarfjord	4	7504	A	OPP	_v488beltbreak2	Core destroyed	199	0	400	1780
only1B_drakkarfjord_g5	only1B	drakkarfjord	5	7505	B	US	only1	Core destroyed	114	0	340	0
