tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
p514ndI_glacierkeep_g0	p514ndI	glacierkeep	0	8400	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	150	180
p514ndI_glacierkeep_g1	p514ndI	glacierkeep	1	8401	B	US	p514nd	Titanium collected (tiebreak)	1000	0	110	0
p514ndI_glacierkeep_g2	p514ndI	glacierkeep	2	8402	A	US	p514nd	Core destroyed	196	0	430	0
p514ndI_glacierkeep_g3	p514ndI	glacierkeep	3	8403	B	US	p514nd	Core destroyed	660	0	1510	0
p514ndI_glacierkeep_g4	p514ndI	glacierkeep	4	8404	A	US	p514nd	Core destroyed	337	0	150	0
p514ndI_glacierkeep_g5	p514ndI	glacierkeep	5	8405	B	US	p514nd	Titanium collected (tiebreak)	1000	0	60	0
p514ndI_nordkap_g0	p514ndI	nordkap	0	8400	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	9670	10010
p514ndI_nordkap_g1	p514ndI	nordkap	1	8401	B	US	p514nd	Core destroyed	203	0	610	80
p514ndI_nordkap_g2	p514ndI	nordkap	2	8402	A	US	p514nd	Core destroyed	226	0	660	100
p514ndI_nordkap_g3	p514ndI	nordkap	3	8403	B	US	p514nd	Core destroyed	329	0	1330	200
p514ndI_nordkap_g4	p514ndI	nordkap	4	8404	A	US	p514nd	Core destroyed	401	0	1000	1040
p514ndI_nordkap_g5	p514ndI	nordkap	5	8405	B	US	p514nd	Core destroyed	329	0	800	0
p514ndI_atoll_g0	p514ndI	atoll	0	8400	A	OPP	_v488beltbreak2	Core destroyed	224	0	280	1380
p514ndI_atoll_g1	p514ndI	atoll	1	8401	B	US	p514nd	Core destroyed	143	0	680	330
p514ndI_atoll_g2	p514ndI	atoll	2	8402	A	OPP	_v488beltbreak2	Core destroyed	113	0	420	860
p514ndI_atoll_g3	p514ndI	atoll	3	8403	B	OPP	_v488beltbreak2	Core destroyed	406	0	2010	1060
p514ndI_atoll_g4	p514ndI	atoll	4	8404	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	4970	8540
p514ndI_atoll_g5	p514ndI	atoll	5	8405	B	US	p514nd	Core destroyed	188	0	910	190
p514ndI_midgard_g0	p514ndI	midgard	0	8400	A	OPP	_v488beltbreak2	Core destroyed	142	0	470	1120
p514ndI_midgard_g1	p514ndI	midgard	1	8401	B	OPP	_v488beltbreak2	Core destroyed	530	0	550	3440
p514ndI_midgard_g2	p514ndI	midgard	2	8402	A	OPP	_v488beltbreak2	Core destroyed	520	0	2700	4220
p514ndI_midgard_g3	p514ndI	midgard	3	8403	B	OPP	_v488beltbreak2	Core destroyed	173	0	550	1820
p514ndI_midgard_g4	p514ndI	midgard	4	8404	A	OPP	_v488beltbreak2	Core destroyed	212	0	460	2070
p514ndI_midgard_g5	p514ndI	midgard	5	8405	B	OPP	_v488beltbreak2	Core destroyed	173	0	550	1810
p514ndI_drakkarfjord_g0	p514ndI	drakkarfjord	0	8400	A	OPP	_v488beltbreak2	Core destroyed	181	0	490	1310
p514ndI_drakkarfjord_g1	p514ndI	drakkarfjord	1	8401	B	US	p514nd	Core destroyed	203	0	1130	940
p514ndI_drakkarfjord_g2	p514ndI	drakkarfjord	2	8402	A	OPP	_v488beltbreak2	Core destroyed	171	0	270	1200
p514ndI_drakkarfjord_g3	p514ndI	drakkarfjord	3	8403	B	US	p514nd	Core destroyed	340	0	2410	0
p514ndI_drakkarfjord_g4	p514ndI	drakkarfjord	4	8404	A	OPP	_v488beltbreak2	Core destroyed	164	0	530	960
p514ndI_drakkarfjord_g5	p514ndI	drakkarfjord	5	8405	B	US	p514nd	Core destroyed	236	0	700	730
