tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
p514ndN_glacierkeep_g0	p514ndN	glacierkeep	0	8900	A	US	p514nd	Titanium collected (tiebreak)	1000	0	6700	1050
p514ndN_glacierkeep_g1	p514ndN	glacierkeep	1	8901	B	US	p514nd	Core destroyed	326	0	10	0
p514ndN_glacierkeep_g2	p514ndN	glacierkeep	2	8902	A	US	p514nd	Core destroyed	753	0	940	990
p514ndN_glacierkeep_g3	p514ndN	glacierkeep	3	8903	B	US	p514nd	Core destroyed	245	0	30	0
p514ndN_glacierkeep_g4	p514ndN	glacierkeep	4	8904	A	US	p514nd	Core destroyed	269	0	190	0
p514ndN_glacierkeep_g5	p514ndN	glacierkeep	5	8905	B	US	p514nd	Titanium collected (tiebreak)	1000	0	250	0
p514ndN_nordkap_g0	p514ndN	nordkap	0	8900	A	US	p514nd	Core destroyed	480	0	1670	370
p514ndN_nordkap_g1	p514ndN	nordkap	1	8901	B	US	p514nd	Core destroyed	219	0	520	150
p514ndN_nordkap_g2	p514ndN	nordkap	2	8902	A	US	p514nd	Core destroyed	409	0	3060	90
p514ndN_nordkap_g3	p514ndN	nordkap	3	8903	B	US	p514nd	Core destroyed	241	0	2220	890
p514ndN_nordkap_g4	p514ndN	nordkap	4	8904	A	US	p514nd	Titanium collected (tiebreak)	1000	0	1030	340
p514ndN_nordkap_g5	p514ndN	nordkap	5	8905	B	OPP	_v488beltbreak2	Core destroyed	271	0	70	2810
p514ndN_atoll_g0	p514ndN	atoll	0	8900	A	US	p514nd	Core destroyed	433	0	2130	1170
p514ndN_atoll_g1	p514ndN	atoll	1	8901	B	OPP	_v488beltbreak2	Core destroyed	153	0	270	730
p514ndN_atoll_g2	p514ndN	atoll	2	8902	A	OPP	_v488beltbreak2	Core destroyed	330	0	1790	1610
p514ndN_atoll_g3	p514ndN	atoll	3	8903	B	OPP	_v488beltbreak2	Core destroyed	144	0	230	690
p514ndN_atoll_g4	p514ndN	atoll	4	8904	A	US	p514nd	Core destroyed	189	0	670	300
p514ndN_atoll_g5	p514ndN	atoll	5	8905	B	OPP	_v488beltbreak2	Core destroyed	200	0	210	960
p514ndN_midgard_g0	p514ndN	midgard	0	8900	A	OPP	_v488beltbreak2	Core destroyed	238	0	1850	2340
p514ndN_midgard_g1	p514ndN	midgard	1	8901	B	OPP	_v488beltbreak2	Core destroyed	165	0	1010	1800
p514ndN_midgard_g2	p514ndN	midgard	2	8902	A	OPP	_v488beltbreak2	Core destroyed	169	0	480	940
p514ndN_midgard_g3	p514ndN	midgard	3	8903	B	OPP	_v488beltbreak2	Core destroyed	236	0	510	2080
p514ndN_midgard_g4	p514ndN	midgard	4	8904	A	OPP	_v488beltbreak2	Core destroyed	182	0	460	1610
p514ndN_midgard_g5	p514ndN	midgard	5	8905	B	OPP	_v488beltbreak2	Core destroyed	173	0	550	1810
p514ndN_drakkarfjord_g0	p514ndN	drakkarfjord	0	8900	A	OPP	_v488beltbreak2	Core destroyed	164	0	530	960
p514ndN_drakkarfjord_g1	p514ndN	drakkarfjord	1	8901	B	US	p514nd	Core destroyed	129	0	390	0
p514ndN_drakkarfjord_g2	p514ndN	drakkarfjord	2	8902	A	OPP	_v488beltbreak2	Core destroyed	235	0	390	2230
p514ndN_drakkarfjord_g3	p514ndN	drakkarfjord	3	8903	B	US	p514nd	Core destroyed	173	0	760	0
p514ndN_drakkarfjord_g4	p514ndN	drakkarfjord	4	8904	A	OPP	_v488beltbreak2	Core destroyed	204	0	280	1380
p514ndN_drakkarfjord_g5	p514ndN	drakkarfjord	5	8905	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	990	1970
