tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v515C_glacierkeep_g0	v515C	glacierkeep	0	7600	A	US	v515	Core destroyed	804	0	4110	230
v515C_glacierkeep_g1	v515C	glacierkeep	1	7601	B	US	v515	Titanium collected (tiebreak)	1000	0	30	0
v515C_glacierkeep_g2	v515C	glacierkeep	2	7602	A	OPP	_v488beltbreak2	Core destroyed	829	0	170	0
v515C_glacierkeep_g3	v515C	glacierkeep	3	7603	B	US	v515	Titanium collected (tiebreak)	1000	0	20	0
v515C_glacierkeep_g4	v515C	glacierkeep	4	7604	A	US	v515	Core destroyed	177	0	160	0
v515C_glacierkeep_g5	v515C	glacierkeep	5	7605	B	US	v515	Core destroyed	185	0	170	0
v515C_nordkap_g0	v515C	nordkap	0	7600	A	OPP	_v488beltbreak2	Core destroyed	194	0	580	1600
v515C_nordkap_g1	v515C	nordkap	1	7601	B	OPP	_v488beltbreak2	Core destroyed	686	0	130	820
v515C_nordkap_g2	v515C	nordkap	2	7602	A	US	v515	Core destroyed	454	0	1460	420
v515C_nordkap_g3	v515C	nordkap	3	7603	B	US	v515	Core destroyed	140	0	650	0
v515C_nordkap_g4	v515C	nordkap	4	7604	A	OPP	_v488beltbreak2	Core destroyed	410	0	380	2800
v515C_nordkap_g5	v515C	nordkap	5	7605	B	US	v515	Core destroyed	237	0	230	0
v515C_atoll_g0	v515C	atoll	0	7600	A	US	v515	Titanium collected (tiebreak)	1000	0	8260	2630
v515C_atoll_g1	v515C	atoll	1	7601	B	OPP	_v488beltbreak2	Core destroyed	425	0	2080	4440
v515C_atoll_g2	v515C	atoll	2	7602	A	US	v515	Core destroyed	288	0	2380	1960
v515C_atoll_g3	v515C	atoll	3	7603	B	OPP	_v488beltbreak2	Core destroyed	741	0	2270	4510
v515C_atoll_g4	v515C	atoll	4	7604	A	OPP	_v488beltbreak2	Core destroyed	542	0	3210	2670
v515C_atoll_g5	v515C	atoll	5	7605	B	US	v515	Core destroyed	202	0	980	660
v515C_midgard_g0	v515C	midgard	0	7600	A	OPP	_v488beltbreak2	Core destroyed	154	0	760	1440
v515C_midgard_g1	v515C	midgard	1	7601	B	OPP	_v488beltbreak2	Core destroyed	128	0	550	1640
v515C_midgard_g2	v515C	midgard	2	7602	A	US	v515	Core destroyed	539	0	6140	3880
v515C_midgard_g3	v515C	midgard	3	7603	B	OPP	_v488beltbreak2	Core destroyed	183	0	1100	1620
v515C_midgard_g4	v515C	midgard	4	7604	A	US	v515	Core destroyed	379	0	2530	1300
v515C_midgard_g5	v515C	midgard	5	7605	B	OPP	_v488beltbreak2	Core destroyed	164	0	810	2280
v515C_drakkarfjord_g0	v515C	drakkarfjord	0	7600	A	OPP	_v488beltbreak2	Core destroyed	681	0	3940	9140
v515C_drakkarfjord_g1	v515C	drakkarfjord	1	7601	B	US	v515	Core destroyed	152	0	530	0
v515C_drakkarfjord_g2	v515C	drakkarfjord	2	7602	A	OPP	_v488beltbreak2	Core destroyed	897	0	3200	8920
v515C_drakkarfjord_g3	v515C	drakkarfjord	3	7603	B	US	v515	Core destroyed	173	0	760	0
v515C_drakkarfjord_g4	v515C	drakkarfjord	4	7604	A	OPP	_v488beltbreak2	Core destroyed	357	0	390	2800
v515C_drakkarfjord_g5	v515C	drakkarfjord	5	7605	B	US	v515	Core destroyed	234	0	1780	0
